datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-05-22 04:35:20+00:00	WV02	0.56	0.0.1	10300110E84B5A00	46	033113111031	25.6	358.4	61.0	85.9	73.6	32646	{'type': 'Polygon', 'coordinates': [[[480156.25, 2230156.25], [480156.25, 2227552.1501190835], [477942.4040733831, 2229212.2486791257], [476523.5897122083, 2230156.25], [480156.25, 2230156.25]]]}	MXRA-Z46-033113111031	476523.5897122083,2227552.1501190835,480156.25,2230156.25	4.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033113111031/2023-05-22/10300110E84B5A00-visual.tif
2023-05-22 04:35:20+00:00	WV02	0.56	0.0.1	10300110E84B5A00	46	033113111120	25.6	357.6	61.0	85.9	73.6	32646	{'type': 'Polygon', 'coordinates': [[[479843.75, 2230156.25], [485156.25, 2230156.25], [485156.25, 2224843.75], [484284.9387955591, 2224843.75], [483224.90446287376, 2225251.0555425207], [479843.75, 2227786.4847644065], [479843.75, 2230156.25]]]}	MXRA-Z46-033113111120	479843.75,2224843.75,485156.25,2230156.25	22.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033113111120/2023-05-22/10300110E84B5A00-visual.tif
2023-05-22 04:35:20+00:00	WV02	0.56	0.0.1	10300110E84B5A00	46	033113111121	25.6	357.0	61.0	85.9	73.6	32646	{'type': 'Polygon', 'coordinates': [[[484843.75, 2224843.75], [484843.75, 2230156.25], [488870.56633203547, 2230156.25], [488869.7194312485, 2224843.75], [484843.75, 2224843.75]]]}	MXRA-Z46-033113111121	484843.75,2224843.75,488870.56633203547,2230156.25	21.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033113111121/2023-05-22/10300110E84B5A00-visual.tif
2023-05-22 04:35:20+00:00	WV02	0.56	0.0.1	10300110E84B5A00	46	033113111122	26.0	357.7	60.6	85.8	73.6	32646	{'type': 'Polygon', 'coordinates': [[[485156.25, 2225156.25], [485156.25, 2224508.9590673987], [483471.6409285228, 2225156.25], [485156.25, 2225156.25]]]}	MXRA-Z46-033113111122	483471.6409285228,2224508.9590673987,485156.25,2225156.25	0.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033113111122/2023-05-22/10300110E84B5A00-visual.tif
2023-05-22 04:35:20+00:00	WV02	0.56	0.0.1	10300110E84B5A00	46	033113111123	26.0	357.1	60.6	85.8	73.6	32646	{'type': 'Polygon', 'coordinates': [[[484843.75, 2225156.25], [488869.76924894186, 2225156.25], [488869.4386126022, 2223082.210653971], [484843.75, 2224629.0334632113], [484843.75, 2225156.25]]]}	MXRA-Z46-033113111123	484843.75,2223082.210653971,488869.76924894186,2225156.25	5.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033113111123/2023-05-22/10300110E84B5A00-visual.tif
2023-05-22 04:35:21+00:00	WV02	0.55	0.0.1	10300110E84B5A00	46	033111333232	24.2	358.6	62.6	86.3	73.6	32646	{'type': 'Polygon', 'coordinates': [[[471138.00048828125, 2245156.25], [475156.25, 2245156.25], [475156.25, 2239843.75], [471092.529296875, 2239843.75], [471138.00048828125, 2245156.25]]]}	MXRA-Z46-033111333232	471092.529296875,2239843.75,475156.25,2245156.25	21.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111333232/2023-05-22/10300110E84B5A00-visual.tif
2023-05-22 04:35:21+00:00	WV02	0.55	0.0.1	10300110E84B5A00	46	033111333233	24.2	358.0	62.6	86.3	73.6	32646	{'type': 'Polygon', 'coordinates': [[[474843.75, 2245156.25], [474843.75, 2239843.75], [480156.25, 2239843.75], [480156.25, 2245156.25], [474843.75, 2245156.25]]]}	MXRA-Z46-033111333233	474843.75,2239843.75,480156.25,2245156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111333233/2023-05-22/10300110E84B5A00-visual.tif
2023-05-22 04:35:21+00:00	WV02	0.55	0.0.1	10300110E84B5A00	46	033111333322	24.3	357.2	62.6	86.3	73.6	32646	{'type': 'Polygon', 'coordinates': [[[479843.75, 2245156.25], [479843.75, 2239843.75], [485156.25, 2239843.75], [485156.25, 2245156.25], [479843.75, 2245156.25]]]}	MXRA-Z46-033111333322	479843.75,2239843.75,485156.25,2245156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111333322/2023-05-22/10300110E84B5A00-visual.tif
2023-05-22 04:35:21+00:00	WV02	0.55	0.0.1	10300110E84B5A00	46	033111333323	24.3	356.5	62.6	86.3	73.6	32646	{'type': 'Polygon', 'coordinates': [[[484843.75, 2239843.75], [484843.75, 2245156.25], [488872.9575813163, 2245156.25], [488872.1106805293, 2239843.75], [484843.75, 2239843.75]]]}	MXRA-Z46-033111333323	484843.75,2239843.75,488872.9575813163,2245156.25	21.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111333323/2023-05-22/10300110E84B5A00-visual.tif
2023-05-22 04:35:21+00:00	WV02	0.55	0.0.1	10300110E84B5A00	46	033113111010	24.7	358.8	62.1	86.1	73.6	32646	{'type': 'Polygon', 'coordinates': [[[471095.27587890625, 2240156.25], [475156.25, 2240156.25], [475156.25, 2234843.75], [471048.583984375, 2234843.75], [471095.27587890625, 2240156.25]]]}	MXRA-Z46-033113111010	471048.583984375,2234843.75,475156.25,2240156.25	21.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033113111010/2023-05-22/10300110E84B5A00-visual.tif
