datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-03-14 04:30:22+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111300111	19.9	159.0	68.1	134.5	57.1	32646	{'type': 'Polygon', 'coordinates': [[[380156.25, 2394843.75], [379836.43726988335, 2394843.75], [379920.9792092404, 2396318.8065179186], [380156.25, 2396315.9977964126], [380156.25, 2394843.75]]]}	MXRA-Z46-033111300111	379836.43726988335,2394843.75,380156.25,2396318.8065179186	0.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111300111/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:22+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111301000	19.8	159.7	68.2	134.5	57.1	32646	{'type': 'Polygon', 'coordinates': [[[385156.25, 2394843.75], [379843.75, 2394843.75], [379843.75, 2394971.3398128715], [379920.9792092404, 2396318.8065179186], [385156.25, 2396256.306546658], [385156.25, 2394843.75]]]}	MXRA-Z46-033111301000	379843.75,2394843.75,385156.25,2396318.8065179186	7.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111301000/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:22+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111301001	19.7	160.9	68.3	134.5	57.1	32646	{'type': 'Polygon', 'coordinates': [[[390156.25, 2394843.75], [384843.75, 2394843.75], [384843.75, 2396260.0372497677], [390156.25, 2396196.6152969035], [390156.25, 2394843.75]]]}	MXRA-Z46-033111301001	384843.75,2394843.75,390156.25,2396260.0372497677	7.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111301001/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:22+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111301010	19.6	161.7	68.4	134.5	57.1	32646	{'type': 'Polygon', 'coordinates': [[[389843.75, 2394843.75], [389843.75, 2396200.346000013], [392093.7674543309, 2396173.4847292495], [392080.82595916773, 2394843.75], [389843.75, 2394843.75]]]}	MXRA-Z46-033111301010	389843.75,2394843.75,392093.7674543309,2396200.346000013	3.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111301010/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:23+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111300113	19.9	159.3	68.1	134.4	57.2	32646	{'type': 'Polygon', 'coordinates': [[[380156.25, 2395156.25], [380156.25, 2389843.75], [379549.865405246, 2389843.75], [379854.3480114232, 2395156.25], [380156.25, 2395156.25]]]}	MXRA-Z46-033111300113	379549.865405246,2389843.75,380156.25,2395156.25	2.4	0.0	1	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111300113/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:23+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111300131	19.8	159.5	68.2	134.4	57.2	32646	{'type': 'Polygon', 'coordinates': [[[380156.25, 2390156.25], [380156.25, 2384843.75], [379263.29354060866, 2384843.75], [379567.7761467858, 2390156.25], [380156.25, 2390156.25]]]}	MXRA-Z46-033111300131	379263.29354060866,2384843.75,380156.25,2390156.25	3.9	1.2	31	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111300131/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:23+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111301002	19.8	160.0	68.2	134.4	57.2	32646	{'type': 'Polygon', 'coordinates': [[[385156.25, 2395156.25], [385156.25, 2389843.75], [379843.75, 2389843.75], [379843.75, 2394971.3398128715], [379854.3480114232, 2395156.25], [385156.25, 2395156.25]]]}	MXRA-Z46-033111301002	379843.75,2389843.75,385156.25,2395156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111301002/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:23+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111301003	19.6	161.2	68.4	134.4	57.2	32646	{'type': 'Polygon', 'coordinates': [[[384843.75, 2395156.25], [384843.75, 2389843.75], [390156.25, 2389843.75], [390156.25, 2395156.25], [384843.75, 2395156.25]]]}	MXRA-Z46-033111301003	384843.75,2389843.75,390156.25,2395156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111301003/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:23+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111301012	19.5	161.9	68.5	134.4	57.2	32646	{'type': 'Polygon', 'coordinates': [[[389843.75, 2389843.75], [389843.75, 2395156.25], [392083.86733061535, 2395156.25], [392032.1640160051, 2389843.75], [389843.75, 2389843.75]]]}	MXRA-Z46-033111301012	389843.75,2389843.75,392083.86733061535,2395156.25	11.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111301012/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:23+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111301020	19.7	160.2	68.3	134.4	57.2	32646	{'type': 'Polygon', 'coordinates': [[[379843.75, 2390156.25], [379843.75, 2384843.75], [385156.25, 2384843.75], [385156.25, 2390156.25], [379843.75, 2390156.25]]]}	MXRA-Z46-033111301020	379843.75,2384843.75,385156.25,2390156.25	28.2	1.5	5	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111301020/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:23+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111301021	19.6	161.4	68.4	134.4	57.2	32646	{'type': 'Polygon', 'coordinates': [[[384843.75, 2390156.25], [384843.75, 2384843.75], [390156.25, 2384843.75], [390156.25, 2390156.25], [384843.75, 2390156.25]]]}	MXRA-Z46-033111301021	384843.75,2384843.75,390156.25,2390156.25	28.2	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111301021/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:23+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111301030	19.5	162.2	68.5	134.4	57.2	32646	{'type': 'Polygon', 'coordinates': [[[389843.75, 2384843.75], [389843.75, 2390156.25], [392035.2053874528, 2390156.25], [391983.50207284256, 2384843.75], [389843.75, 2384843.75]]]}	MXRA-Z46-033111301030	389843.75,2384843.75,392035.2053874528,2390156.25	11.5	0.4	4	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111301030/2023-03-14/1040010082988200-visual.tif
2023-03-14 04:30:24+00:00	WV03	0.34	0.0.1	1040010082988200	46	033111300133	19.8	159.7	68.2	134.3	57.2	32646	{'type': 'Polygon', 'coordinates': [[[380156.25, 2385156.25], [380156.25, 2380057.059054628], [378989.9277221276, 2380074.164213429], [379281.2042821485, 2385156.25], [380156.25, 2385156.25]]]}	MXRA-Z46-033111300133	378989.9277221276,2380057.059054628,380156.25,2385156.25	5.1	2.3	45	https://maxar-opendata.s3.amazonaws.com/events/BayofBengal-Cyclone-Mocha-May-23/ard/46/033111300133/2023-03-14/1040010082988200-visual.tif
