datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2015-05-28 09:58:35+00:00	GE01	0.5	0.0.1	1050410012C31100	33	031111212322	26.5	79.4	60.4	141.7	63.3	32633	{'type': 'Polygon', 'coordinates': [[[282408.5749949367, 4885156.25], [282342.69959877245, 4884939.04105258], [281550.507322125, 4885156.25], [282408.5749949367, 4885156.25]]]}	MXRA-Z33-031111212322	281550.507322125,4884939.04105258,282408.5749949367,4885156.25	0.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212322/2015-05-28/1050410012C31100-visual.tif
2015-05-28 09:58:37+00:00	GE01	0.5	0.0.1	1050410012C31100	33	031111212230	26.9	81.5	60.0	141.8	63.3	32633	{'type': 'Polygon', 'coordinates': [[[275156.25, 4890156.25], [275156.25, 4886909.47323054], [271921.0898598083, 4887796.512588914], [271998.291015625, 4888215.637207031], [271998.9013671875, 4888430.7861328125], [272024.23095703125, 4888591.003417969], [271970.31393518957, 4889033.440156023], [272514.6100375571, 4890156.25], [275156.25, 4890156.25]]]}	MXRA-Z33-031111212230	271921.0898598083,4886909.47323054,275156.25,4890156.25	8.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212230/2015-05-28/1050410012C31100-visual.tif
2015-05-28 09:58:37+00:00	GE01	0.5	0.0.1	1050410012C31100	33	031111212231	26.6	81.5	60.3	141.8	63.3	32633	{'type': 'Polygon', 'coordinates': [[[274843.75, 4890156.25], [280156.25, 4890156.25], [280156.25, 4885538.537450029], [274843.75, 4886995.156716822], [274843.75, 4890156.25]]]}	MXRA-Z33-031111212231	274843.75,4885538.537450029,280156.25,4890156.25	20.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212231/2015-05-28/1050410012C31100-visual.tif
2015-05-28 09:58:37+00:00	GE01	0.49	0.0.1	1050410012C31100	33	031111212320	26.3	81.4	60.7	141.8	63.3	32633	{'type': 'Polygon', 'coordinates': [[[279843.75, 4890156.25], [283924.9811316693, 4890156.25], [282342.69959877245, 4884939.04105258], [279843.75, 4885624.2209363105], [279843.75, 4890156.25]]]}	MXRA-Z33-031111212320	279843.75,4884939.04105258,283924.9811316693,4890156.25	16.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212320/2015-05-28/1050410012C31100-visual.tif
2015-05-28 09:58:38+00:00	GE01	0.5	0.0.1	1050410012C31100	33	031111212212	26.7	83.5	60.2	141.8	63.3	32633	{'type': 'Polygon', 'coordinates': [[[275156.25, 4895156.25], [275156.25, 4889843.75], [272363.1217575939, 4889843.75], [274938.4225169677, 4895156.25], [275156.25, 4895156.25]]]}	MXRA-Z33-031111212212	272363.1217575939,4889843.75,275156.25,4895156.25	7.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212212/2015-05-28/1050410012C31100-visual.tif
2015-05-28 09:58:38+00:00	GE01	0.5	0.0.1	1050410012C31100	33	031111212213	26.4	83.5	60.5	141.8	63.3	32633	{'type': 'Polygon', 'coordinates': [[[280156.25, 4895156.25], [280156.25, 4889843.75], [274843.75, 4889843.75], [274843.75, 4894960.953297446], [274938.4225169677, 4895156.25], [280156.25, 4895156.25]]]}	MXRA-Z33-031111212213	274843.75,4889843.75,280156.25,4895156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212213/2015-05-28/1050410012C31100-visual.tif
2015-05-28 09:58:38+00:00	GE01	0.49	0.0.1	1050410012C31100	33	031111212302	26.1	83.5	60.9	141.8	63.3	32633	{'type': 'Polygon', 'coordinates': [[[279843.75, 4889843.75], [279843.75, 4895156.25], [285156.25, 4895156.25], [285156.25, 4894216.075525976], [283830.2057481235, 4889843.75], [279843.75, 4889843.75]]]}	MXRA-Z33-031111212302	279843.75,4889843.75,285156.25,4895156.25	25.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212302/2015-05-28/1050410012C31100-visual.tif
2015-05-28 09:58:38+00:00	GE01	0.49	0.0.1	1050410012C31100	33	031111212303	25.8	83.4	61.3	141.8	63.3	32633	{'type': 'Polygon', 'coordinates': [[[284843.75, 4895156.25], [285441.387268402, 4895156.25], [284843.75, 4893185.67874628], [284843.75, 4895156.25]]]}	MXRA-Z33-031111212303	284843.75,4893185.67874628,285441.387268402,4895156.25	0.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212303/2015-05-28/1050410012C31100-visual.tif
2015-05-28 09:58:39+00:00	GE01	0.49	0.0.1	1050410012C31100	33	031111212033	26.2	87.1	60.8	141.9	63.3	32633	{'type': 'Polygon', 'coordinates': [[[280156.25, 4899843.75], [277210.7467164151, 4899843.75], [278402.3780024409, 4902301.925490365], [280156.25, 4901636.49272562], [280156.25, 4899843.75]]]}	MXRA-Z33-031111212033	277210.7467164151,4899843.75,280156.25,4902301.925490365	5.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212033/2015-05-28/1050410012C31100-visual.tif
2015-05-28 09:58:39+00:00	GE01	0.49	0.0.1	1050410012C31100	33	031111212122	25.8	87.2	61.2	141.9	63.3	32633	{'type': 'Polygon', 'coordinates': [[[279843.75, 4899843.75], [279843.75, 4901755.057671792], [284881.3573765479, 4899843.75], [279843.75, 4899843.75]]]}	MXRA-Z33-031111212122	279843.75,4899843.75,284881.3573765479,4901755.057671792	4.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Emilia-Romagna-Italy-flooding-may23/ard/33/031111212122/2015-05-28/1050410012C31100-visual.tif
