datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-08-13 11:33:20+00:00	WV03	0.52	0.0.1	104001007B1A7600	28	033133031303	40.7	154.2	44.3	84.2	66.3	32628	{'type': 'Polygon', 'coordinates': [[[330156.25, 1489843.75], [327526.85546875, 1489843.75], [327521.9499719426, 1490814.1464593555], [330156.25, 1490479.9781856064], [330156.25, 1489843.75]]]}	MXRA-Z28-033133031303	327521.9499719426,1489843.75,330156.25,1490814.1464593555	2.1	2.1	100	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031303/2022-08-13/104001007B1A7600-visual.tif
2022-08-13 11:33:20+00:00	WV03	0.52	0.0.1	104001007B1A7600	28	033133031312	40.7	154.6	44.3	84.2	66.3	32628	{'type': 'Polygon', 'coordinates': [[[329843.75, 1489843.75], [329843.75, 1490519.619678388], [330186.40282494563, 1490476.1532160307], [330170.6629778596, 1489843.75], [329843.75, 1489843.75]]]}	MXRA-Z28-033133031312	329843.75,1489843.75,330186.40282494563,1490519.619678388	0.2	0.2	100	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031312/2022-08-13/104001007B1A7600-visual.tif
2022-08-13 11:33:20+00:00	WV03	0.52	0.0.1	104001007B1A7600	28	033133031321	40.4	153.7	44.7	84.1	66.3	32628	{'type': 'Polygon', 'coordinates': [[[330156.25, 1490156.25], [330156.25, 1489264.6583797848], [330046.21826689795, 1484843.75], [327549.13330078125, 1484843.75], [327525.32958984375, 1490156.25], [330156.25, 1490156.25]]]}	MXRA-Z28-033133031321	327525.32958984375,1484843.75,330156.25,1490156.25	13.6	12.6	92	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031321/2022-08-13/104001007B1A7600-visual.tif
2022-08-13 11:33:19+00:00	WV03	0.51	0.0.1	104001007B1A7600	28	033133031323	40.0	153.3	45.1	84.0	66.3	32628	{'type': 'Polygon', 'coordinates': [[[330053.99606133305, 1485156.25], [329921.7735559363, 1479843.75], [327569.27490234375, 1479843.75], [327549.4384765625, 1485156.25], [330053.99606133305, 1485156.25]]]}	MXRA-Z28-033133031323	327549.4384765625,1479843.75,330053.99606133305,1485156.25	12.9	10.2	79	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031323/2022-08-13/104001007B1A7600-visual.tif
2022-08-13 11:33:20+00:00	WV03	0.52	0.0.1	104001007B1A7600	28	033133031330	40.4	154.2	44.7	84.1	66.3	32628	{'type': 'Polygon', 'coordinates': [[[329843.75, 1484843.75], [329843.75, 1490156.25], [330178.4407722947, 1490156.25], [330046.21826689795, 1484843.75], [329843.75, 1484843.75]]]}	MXRA-Z28-033133031330	329843.75,1484843.75,330178.4407722947,1490156.25	1.4	1.2	88	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031330/2022-08-13/104001007B1A7600-visual.tif
2022-08-13 11:33:19+00:00	WV03	0.51	0.0.1	104001007B1A7600	28	033133031332	40.0	153.7	45.1	84.0	66.3	32628	{'type': 'Polygon', 'coordinates': [[[329843.75, 1479843.75], [329843.75, 1485156.25], [330053.99606133305, 1485156.25], [329921.7735559363, 1479843.75], [329843.75, 1479843.75]]]}	MXRA-Z28-033133031332	329843.75,1479843.75,330053.99606133305,1485156.25	0.7	0.5	68	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031332/2022-08-13/104001007B1A7600-visual.tif
2022-08-13 11:33:19+00:00	WV03	0.51	0.0.1	104001007B1A7600	28	033133033101	39.7	152.9	45.5	83.9	66.3	32628	{'type': 'Polygon', 'coordinates': [[[329929.5513503714, 1480156.25], [329797.32884497463, 1474843.75], [327600.40283203125, 1474843.75], [327568.359375, 1480156.25], [329929.5513503714, 1480156.25]]]}	MXRA-Z28-033133033101	327568.359375,1474843.75,329929.5513503714,1480156.25	12.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133033101/2022-08-13/104001007B1A7600-visual.tif
2022-08-13 11:33:19+00:00	WV03	0.5	0.0.1	104001007B1A7600	28	033133033103	39.5	152.6	45.8	83.9	66.3	32628	{'type': 'Polygon', 'coordinates': [[[329805.1066394097, 1475156.25], [329777.2945062737, 1474038.8006154061], [327605.0992069736, 1474158.9065180875], [327598.2666015625, 1475156.25], [329805.1066394097, 1475156.25]]]}	MXRA-Z28-033133033103	327598.2666015625,1474038.8006154061,329805.1066394097,1475156.25	2.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133033103/2022-08-13/104001007B1A7600-visual.tif
2022-03-15 11:45:28+00:00	WV02	0.47	0.0.1	10300100CFC9A500	28	033133031213	8.5	184.2	80.5	122.9	62.9	32628	{'type': 'Polygon', 'coordinates': [[[320156.25, 1489843.75], [315455.322265625, 1489843.75], [315470.63516642543, 1492342.8892077415], [320156.25, 1491748.5059546148], [320156.25, 1489843.75]]]}	MXRA-Z28-033133031213	315455.322265625,1489843.75,320156.25,1492342.8892077415	10.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031213/2022-03-15/10300100CFC9A500-visual.tif
2022-03-15 11:45:28+00:00	WV02	0.47	0.0.1	10300100CFC9A500	28	033133031231	8.4	184.6	80.6	122.9	62.9	32628	{'type': 'Polygon', 'coordinates': [[[315457.45849609375, 1490156.25], [320156.25, 1490156.25], [320156.25, 1484843.75], [315425.4150390625, 1484843.75], [315457.45849609375, 1490156.25]]]}	MXRA-Z28-033133031231	315425.4150390625,1484843.75,320156.25,1490156.25	25.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031231/2022-03-15/10300100CFC9A500-visual.tif
