datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-08-13 11:33:09+00:00	WV03	0.48	0.0.1	104001007C806A00	28	033133031212	38.1	146.9	47.4	84.2	66.1	32628	{'type': 'Polygon', 'coordinates': [[[315156.25, 1489843.75], [314775.719473772, 1489843.75], [315156.25, 1491456.1081015319], [315156.25, 1489843.75]]]}	MXRA-Z28-033133031212	314775.719473772,1489843.75,315156.25,1491456.1081015319	0.3	0.2	91	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031212/2022-08-13/104001007C806A00-visual.tif
2022-08-13 11:33:09+00:00	WV03	0.48	0.0.1	104001007C806A00	28	033133031213	37.9	147.3	47.6	84.2	66.1	32628	{'type': 'Polygon', 'coordinates': [[[320156.25, 1489843.75], [314843.75, 1489843.75], [314843.75, 1490132.0043253559], [315368.593022988, 1492355.8335369974], [320156.25, 1491748.5059546148], [320156.25, 1489843.75]]]}	MXRA-Z28-033133031213	314843.75,1489843.75,320156.25,1492355.8335369974	11.3	6.1	54	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031213/2022-08-13/104001007C806A00-visual.tif
2022-08-13 11:33:09+00:00	WV03	0.48	0.0.1	104001007C806A00	28	033133031302	37.7	147.7	47.8	84.2	66.1	32628	{'type': 'Polygon', 'coordinates': [[[325156.25, 1489843.75], [319843.75, 1489843.75], [319843.75, 1491788.1474473963], [325156.25, 1491114.2420701105], [325156.25, 1489843.75]]]}	MXRA-Z28-033133031302	319843.75,1489843.75,325156.25,1491788.1474473963	8.5	7.3	86	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031302/2022-08-13/104001007C806A00-visual.tif
2022-08-13 11:33:09+00:00	WV03	0.48	0.0.1	104001007C806A00	28	033133031303	37.5	148.1	48.0	84.2	66.1	32628	{'type': 'Polygon', 'coordinates': [[[329864.501953125, 1489843.75], [324843.75, 1489843.75], [324843.75, 1491153.8835628922], [329871.70073349867, 1490516.0740502272], [329864.501953125, 1489843.75]]]}	MXRA-Z28-033133031303	324843.75,1489843.75,329871.70073349867,1491153.8835628922	4.9	4.1	82	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031303/2022-08-13/104001007C806A00-visual.tif
2022-08-13 11:33:09+00:00	WV03	0.48	0.0.1	104001007C806A00	28	033133031320	37.6	147.6	47.9	84.2	66.1	32628	{'type': 'Polygon', 'coordinates': [[[319843.75, 1490156.25], [319843.75, 1484843.75], [325156.25, 1484843.75], [325156.25, 1490156.25], [319843.75, 1490156.25]]]}	MXRA-Z28-033133031320	319843.75,1484843.75,325156.25,1490156.25	28.2	21.9	77	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031320/2022-08-13/104001007C806A00-visual.tif
2022-08-13 11:33:09+00:00	WV03	0.47	0.0.1	104001007C806A00	28	033133031321	37.5	148.0	48.1	84.2	66.1	32628	{'type': 'Polygon', 'coordinates': [[[324843.75, 1490156.25], [324843.75, 1484843.75], [329816.89453125, 1484843.75], [329867.85888671875, 1490156.25], [324843.75, 1490156.25]]]}	MXRA-Z28-033133031321	324843.75,1484843.75,329867.85888671875,1490156.25	26.5	24.8	93	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031321/2022-08-13/104001007C806A00-visual.tif
2022-08-13 11:33:10+00:00	WV03	0.48	0.0.1	104001007C806A00	28	033133031230	38.0	146.9	47.5	84.1	66.1	32628	{'type': 'Polygon', 'coordinates': [[[315156.25, 1490156.25], [315156.25, 1484843.75], [313595.6760148578, 1484843.75], [314849.47218995413, 1490156.25], [315156.25, 1490156.25]]]}	MXRA-Z28-033133031230	313595.6760148578,1484843.75,315156.25,1490156.25	4.9	1.2	25	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031230/2022-08-13/104001007C806A00-visual.tif
2022-08-13 11:33:10+00:00	WV03	0.48	0.0.1	104001007C806A00	28	033133031231	37.8	147.2	47.7	84.1	66.1	32628	{'type': 'Polygon', 'coordinates': [[[320156.25, 1490156.25], [320156.25, 1484843.75], [314843.75, 1484843.75], [314843.75, 1490132.0043253559], [314849.47218995413, 1490156.25], [320156.25, 1490156.25]]]}	MXRA-Z28-033133031231	314843.75,1484843.75,320156.25,1490156.25	28.2	6.9	24	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031231/2022-08-13/104001007C806A00-visual.tif
2022-08-13 11:33:10+00:00	WV03	0.48	0.0.1	104001007C806A00	28	033133031232	37.9	146.8	47.6	84.0	66.1	32628	{'type': 'Polygon', 'coordinates': [[[315156.25, 1485156.25], [315156.25, 1479843.75], [312415.6325559435, 1479843.75], [313669.42873103986, 1485156.25], [315156.25, 1485156.25]]]}	MXRA-Z28-033133031232	312415.6325559435,1479843.75,315156.25,1485156.25	11.2	5.1	46	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031232/2022-08-13/104001007C806A00-visual.tif
2022-08-13 11:33:10+00:00	WV03	0.48	0.0.1	104001007C806A00	28	033133031233	37.7	147.2	47.8	84.0	66.1	32628	{'type': 'Polygon', 'coordinates': [[[314843.75, 1485156.25], [314843.75, 1479843.75], [320156.25, 1479843.75], [320156.25, 1485156.25], [314843.75, 1485156.25]]]}	MXRA-Z28-033133031233	314843.75,1479843.75,320156.25,1485156.25	28.2	10.3	36	https://maxar-opendata.s3.amazonaws.com/events/Gambia-flooding-8-11-2022/ard/28/033133031233/2022-08-13/104001007C806A00-visual.tif
