datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-25 14:52:39+00:00	GE01	0.63	0.0.1	105001002F010700	19	122002303333	37.1	57.7	48.1	129.8	61.7	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 1999843.75], [738153.3813476562, 1999843.75], [738216.1484827317, 2000029.266911249], [740156.207635232, 1999944.0556490219], [740156.25, 1999843.75]]]}	MXRA-Z19-122002303333	738153.3813476562,1999843.75,740156.25,2000029.266911249	0.2	0.0	7	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303333/2022-09-25/105001002F010700-visual.tif
2022-09-25 14:52:39+00:00	GE01	0.63	0.0.1	105001002F010700	19	122002321111	37.2	57.4	48.0	129.8	61.7	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 1994843.75], [737914.1235351562, 1994843.75], [737911.0717773438, 1994918.5180664062], [737869.2626953125, 1995012.5122070312], [737858.5815429688, 1995096.435546875], [737861.328125, 1995285.64453125], [737904.052734375, 1995699.1577148438], [737888.7939453125, 1995850.830078125], [737891.5405273438, 1996148.681640625], [737935.4858398438, 1996513.9770507812], [738049.0112304688, 1996956.787109375], [738013.916015625, 1997114.5629882812], [738015.13671875, 1997477.7221679688], [737951.0498046875, 1997716.9799804688], [737938.5375976562, 1997925.7202148438], [737963.2568359375, 1998951.1108398438], [737979.1259765625, 1999129.9438476562], [738051.7578125, 1999371.9482421875], [738125.3051757812, 1999756.1645507812], [738193.0541992188, 1999988.0981445312], [738210.3453782457, 2000029.5217951566], [740156.25, 1999944.0537882769], [740156.25, 1994843.75]]]}	MXRA-Z19-122002321111	737858.5815429688,1994843.75,740156.25,2000029.5217951566	11.2	2.8	25	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321111/2022-09-25/105001002F010700-visual.tif
2022-09-25 14:52:38+00:00	GE01	0.64	0.0.1	105001002F010700	19	122002321113	37.5	56.5	47.6	129.8	61.7	32619	{'type': 'Polygon', 'coordinates': [[[737859.1918945312, 1995156.25], [740156.25, 1995156.25], [740156.25, 1989843.75], [737819.82421875, 1989843.75], [737832.6416015625, 1991969.9096679688], [737856.4453125, 1992369.384765625], [737899.7802734375, 1992635.8032226562], [737897.3388671875, 1993009.6435546875], [737852.783203125, 1993196.7163085938], [737899.169921875, 1993559.2651367188], [737881.1645507812, 1993656.6162109375], [737922.0581054688, 1993833.6181640625], [737906.1889648438, 1994049.9877929688], [737919.0063476562, 1994231.8725585938], [737876.2817382812, 1994443.9697265625], [737906.1889648438, 1994613.6474609375], [737916.259765625, 1994878.5400390625], [737864.990234375, 1995025.3295898438], [737859.1918945312, 1995156.25]]]}	MXRA-Z19-122002321113	737819.82421875,1989843.75,740156.25,1995156.25	12.1	4.6	38	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321113/2022-09-25/105001002F010700-visual.tif
2022-09-25 14:52:37+00:00	GE01	0.65	0.0.1	105001002F010700	19	122002321131	37.8	55.7	47.2	129.7	61.7	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 1990156.25], [740156.25, 1988633.8492552997], [737813.4072186621, 1988809.4824363168], [737819.5190429688, 1990156.25], [740156.25, 1990156.25]]]}	MXRA-Z19-122002321131	737813.4072186621,1988633.8492552997,740156.25,1990156.25	3.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321131/2022-09-25/105001002F010700-visual.tif
2022-09-25 14:52:39+00:00	GE01	0.63	0.0.1	105001002F010700	19	122002330000	37.1	57.1	48.0	129.8	61.7	32619	{'type': 'Polygon', 'coordinates': [[[745156.25, 1994843.75], [739843.75, 1994843.75], [739843.75, 1999957.7794107208], [745156.25, 1999724.4438291753], [745156.25, 1994843.75]]]}	MXRA-Z19-122002330000	739843.75,1994843.75,745156.25,1999957.7794107208	26.5	8.2	31	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330000/2022-09-25/105001002F010700-visual.tif
2022-09-25 14:52:39+00:00	GE01	0.63	0.0.1	105001002F010700	19	122002330001	37.0	56.7	48.2	129.8	61.7	32619	{'type': 'Polygon', 'coordinates': [[[750156.25, 1994843.75], [744843.75, 1994843.75], [744843.75, 1999738.169451619], [750156.25, 1999504.8338700735], [750156.25, 1994843.75]]]}	MXRA-Z19-122002330001	744843.75,1994843.75,750156.25,1999738.169451619	25.3	8.2	32	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330001/2022-09-25/105001002F010700-visual.tif
2022-09-25 14:52:38+00:00	GE01	0.64	0.0.1	105001002F010700	19	122002330002	37.5	56.2	47.6	129.7	61.7	32619	{'type': 'Polygon', 'coordinates': [[[739843.75, 1995156.25], [739843.75, 1989843.75], [745156.25, 1989843.75], [745156.25, 1995156.25], [739843.75, 1995156.25]]]}	MXRA-Z19-122002330002	739843.75,1989843.75,745156.25,1995156.25	28.2	10.8	38	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330002/2022-09-25/105001002F010700-visual.tif
2022-09-25 14:52:38+00:00	GE01	0.63	0.0.1	105001002F010700	19	122002330003	37.3	55.8	47.8	129.7	61.7	32619	{'type': 'Polygon', 'coordinates': [[[744843.75, 1995156.25], [744843.75, 1989843.75], [750156.25, 1989843.75], [750156.25, 1995156.25], [744843.75, 1995156.25]]]}	MXRA-Z19-122002330003	744843.75,1989843.75,750156.25,1995156.25	28.2	10.6	37	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330003/2022-09-25/105001002F010700-visual.tif
2022-09-25 14:52:39+00:00	GE01	0.62	0.0.1	105001002F010700	19	122002330010	36.8	56.3	48.4	129.8	61.7	32619	{'type': 'Polygon', 'coordinates': [[[755156.25, 1994843.75], [749843.75, 1994843.75], [749843.75, 1999518.5594925175], [755156.25, 1999285.223910972], [755156.25, 1994843.75]]]}	MXRA-Z19-122002330010	749843.75,1994843.75,755156.25,1999518.5594925175	24.2	10.5	43	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330010/2022-09-25/105001002F010700-visual.tif
2022-09-25 14:52:38+00:00	GE01	0.62	0.0.1	105001002F010700	19	122002330011	36.7	55.9	48.6	129.7	61.7	32619	{'type': 'Polygon', 'coordinates': [[[760156.25, 1994843.75], [754843.75, 1994843.75], [754843.75, 1999298.9495334157], [760156.25, 1999065.6139518702], [760156.25, 1994843.75]]]}	MXRA-Z19-122002330011	754843.75,1994843.75,760156.25,1999298.9495334157	23.0	8.9	38	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330011/2022-09-25/105001002F010700-visual.tif
