datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-08-03 15:11:29+00:00	WV02	0.51	0.0.1	10300100D7C2AD00	19	122002330001	18.7	199.9	68.9	88.5	70.7	32619	{'type': 'Polygon', 'coordinates': [[[750156.25, 1994843.75], [749625.244140625, 1994843.75], [749605.712890625, 1995796.8139648438], [749597.7783203125, 1996040.6494140625], [749591.064453125, 1996170.9594726562], [749591.9799804688, 1996337.5854492188], [749582.8247070312, 1996517.9443359375], [749584.0454101562, 1996640.625], [749575.5004882812, 1996794.43359375], [749575.5004882812, 1996851.806640625], [749577.9418945312, 1996928.1005859375], [749577.3315429688, 1997041.9311523438], [749572.75390625, 1997230.224609375], [749565.4296875, 1997354.4311523438], [749567.5659179688, 1997470.3979492188], [749554.443359375, 1997892.1508789062], [749548.33984375, 1998047.4853515625], [749543.45703125, 1998132.0190429688], [749539.794921875, 1998293.45703125], [749530.3344726562, 1998525.0854492188], [749529.4189453125, 1998655.0903320312], [749521.484375, 1998777.4658203125], [749521.1791992188, 1998803.4057617188], [749525.7568359375, 1998887.0239257812], [749525.146484375, 1998916.6259765625], [749522.3999023438, 1998981.0180664062], [749512.0239257812, 1999097.5952148438], [749512.0239257812, 1999129.9438476562], [749516.9067382812, 1999216.30859375], [749516.9067382812, 1999253.8452148438], [749512.0239257812, 1999338.9892578125], [749505.6494902886, 1999533.4095403394], [750156.25, 1999504.8338700735], [750156.25, 1994843.75]]]}	MXRA-Z19-122002330001	749505.6494902886,1994843.75,750156.25,1999533.4095403394	2.7	1.2	44	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330001/2022-08-03/10300100D7C2AD00-visual.tif
2022-08-03 15:11:29+00:00	WV02	0.51	0.0.1	10300100D7C2AD00	19	122002330003	18.2	200.4	69.5	88.3	70.7	32619	{'type': 'Polygon', 'coordinates': [[[749618.8354492188, 1995156.25], [749727.1728515625, 1989843.75], [750156.25, 1989843.75], [750156.25, 1995156.25], [749618.8354492188, 1995156.25]]]}	MXRA-Z19-122002330003	749618.8354492188,1989843.75,750156.25,1995156.25	2.5	0.0	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330003/2022-08-03/10300100D7C2AD00-visual.tif
2022-08-03 15:11:29+00:00	WV02	0.51	0.0.1	10300100D7C2AD00	19	122002330010	18.7	200.2	68.9	88.5	70.7	32619	{'type': 'Polygon', 'coordinates': [[[755156.25, 1994843.75], [749843.75, 1994843.75], [749843.75, 1999518.5594925175], [755156.25, 1999285.223910972], [755156.25, 1994843.75]]]}	MXRA-Z19-122002330010	749843.75,1994843.75,755156.25,1999518.5594925175	24.2	9.0	37	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330010/2022-08-03/10300100D7C2AD00-visual.tif
2022-08-03 15:11:29+00:00	WV02	0.51	0.0.1	10300100D7C2AD00	19	122002330011	18.8	201.3	68.8	88.5	70.7	32619	{'type': 'Polygon', 'coordinates': [[[760156.25, 1994843.75], [754843.75, 1994843.75], [754843.75, 1999298.9495334157], [760156.25, 1999065.6139518702], [760156.25, 1994843.75]]]}	MXRA-Z19-122002330011	754843.75,1994843.75,760156.25,1999298.9495334157	23.0	16.0	69	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330011/2022-08-03/10300100D7C2AD00-visual.tif
2022-08-03 15:11:29+00:00	WV02	0.51	0.0.1	10300100D7C2AD00	19	122002330012	18.2	200.7	69.5	88.3	70.7	32619	{'type': 'Polygon', 'coordinates': [[[749843.75, 1995156.25], [749843.75, 1989843.75], [755156.25, 1989843.75], [755156.25, 1995156.25], [749843.75, 1995156.25]]]}	MXRA-Z19-122002330012	749843.75,1989843.75,755156.25,1995156.25	28.2	2.3	8	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330012/2022-08-03/10300100D7C2AD00-visual.tif
2022-08-03 15:11:29+00:00	WV02	0.51	0.0.1	10300100D7C2AD00	19	122002330013	18.3	201.8	69.4	88.3	70.7	32619	{'type': 'Polygon', 'coordinates': [[[754843.75, 1995156.25], [754843.75, 1989843.75], [760156.25, 1989843.75], [760156.25, 1995156.25], [754843.75, 1995156.25]]]}	MXRA-Z19-122002330013	754843.75,1989843.75,760156.25,1995156.25	28.2	1.4	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330013/2022-08-03/10300100D7C2AD00-visual.tif
2022-08-03 15:11:28+00:00	WV02	0.5	0.0.1	10300100D7C2AD00	19	122002330021	17.6	200.9	70.1	88.3	70.7	32619	{'type': 'Polygon', 'coordinates': [[[749721.0693359375, 1990156.25], [750156.25, 1990156.25], [750156.25, 1987884.1908385407], [749764.48538583, 1987913.5598025806], [749721.0693359375, 1990156.25]]]}	MXRA-Z19-122002330021	749721.0693359375,1987884.1908385407,750156.25,1990156.25	0.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330021/2022-08-03/10300100D7C2AD00-visual.tif
2022-08-03 15:11:28+00:00	WV02	0.5	0.0.1	10300100D7C2AD00	19	122002330030	17.7	201.2	70.1	88.3	70.7	32619	{'type': 'Polygon', 'coordinates': [[[749843.75, 1990156.25], [755156.25, 1990156.25], [755156.25, 1987509.3616301613], [749843.75, 1987907.6176640643], [749843.75, 1990156.25]]]}	MXRA-Z19-122002330030	749843.75,1987509.3616301613,755156.25,1990156.25	13.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330030/2022-08-03/10300100D7C2AD00-visual.tif
2022-08-03 15:11:28+00:00	WV02	0.5	0.0.1	10300100D7C2AD00	19	122002330031	17.8	202.3	70.0	88.3	70.7	32619	{'type': 'Polygon', 'coordinates': [[[754843.75, 1990156.25], [760156.25, 1990156.25], [760156.25, 1987134.5324217817], [754843.75, 1987532.788455685], [754843.75, 1990156.25]]]}	MXRA-Z19-122002330031	754843.75,1987134.5324217817,760156.25,1990156.25	14.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330031/2022-08-03/10300100D7C2AD00-visual.tif
2022-08-03 15:11:29+00:00	WV02	0.51	0.0.1	10300100D7C2AD00	19	122002330100	18.9	202.3	68.7	88.5	70.7	32619	{'type': 'Polygon', 'coordinates': [[[759843.75, 1994843.75], [759843.75, 1999079.3395743142], [764010.9713125862, 1998896.3069139093], [763865.7973756356, 1994843.75], [759843.75, 1994843.75]]]}	MXRA-Z19-122002330100	759843.75,1994843.75,764010.9713125862,1999079.3395743142	16.9	9.5	56	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330100/2022-08-03/10300100D7C2AD00-visual.tif
