datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-02-07 15:18:25+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002303131	28.6	313.6	58.4	147.3	51.0	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 2024843.75], [738118.3526515283, 2024843.75], [738111.6629656524, 2025386.4993245548], [740156.25, 2025412.2908347656], [740156.25, 2024843.75]]]}	MXRA-Z19-122002303131	738111.6629656524,2024843.75,740156.25,2025412.2908347656	1.1	0.8	78	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303131/2022-02-07/1040010073586A00-visual.tif
2022-02-07 15:18:25+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002303133	28.6	313.6	58.3	147.3	51.0	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 2025156.25], [740156.25, 2019843.75], [738179.9804193878, 2019843.75], [738114.5009160371, 2025156.25], [740156.25, 2025156.25]]]}	MXRA-Z19-122002303133	738114.5009160371,2019843.75,740156.25,2025156.25	10.6	8.0	75	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303133/2022-02-07/1040010073586A00-visual.tif
2022-02-07 15:18:26+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002303311	28.7	313.5	58.2	147.3	51.0	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 2020156.25], [740156.25, 2015470.9054748688], [738234.1755791394, 2015446.7742832217], [738176.1286838966, 2020156.25], [740156.25, 2020156.25]]]}	MXRA-Z19-122002303311	738176.1286838966,2015446.7742832217,740156.25,2020156.25	9.1	9.1	100	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303311/2022-02-07/1040010073586A00-visual.tif
2022-02-07 15:18:28+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002303332	28.7	313.7	58.2	147.2	51.2	32619	{'type': 'Polygon', 'coordinates': [[[735156.25, 1999843.75], [732422.1801757812, 1999843.75], [732405.570420715, 2000284.47907336], [735156.25, 2000163.6637473784], [735156.25, 1999843.75]]]}	MXRA-Z19-122002303332	732405.570420715,1999843.75,735156.25,2000284.47907336	1.0	0.2	22	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303332/2022-02-07/1040010073586A00-visual.tif
2022-02-07 15:18:28+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002303333	28.9	313.4	58.0	147.2	51.2	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 1999843.75], [734843.75, 1999843.75], [734843.75, 2000177.3893698223], [740156.25, 1999944.0537882769], [740156.25, 1999843.75]]]}	MXRA-Z19-122002303333	734843.75,1999843.75,740156.25,2000177.3893698223	1.1	0.8	70	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303333/2022-02-07/1040010073586A00-visual.tif
2022-02-07 15:18:25+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002312020	28.8	313.2	58.1	147.3	51.0	32619	{'type': 'Polygon', 'coordinates': [[[745156.25, 2024843.75], [739843.75, 2024843.75], [739843.75, 2025408.3487932652], [745156.25, 2025475.3634987748], [745156.25, 2024843.75]]]}	MXRA-Z19-122002312020	739843.75,2024843.75,745156.25,2025475.3634987748	3.1	1.4	46	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002312020/2022-02-07/1040010073586A00-visual.tif
2022-02-07 15:18:25+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002312021	29.0	312.8	57.8	147.3	51.0	32619	{'type': 'Polygon', 'coordinates': [[[744843.75, 2024843.75], [744843.75, 2025471.4214572744], [748115.8529302768, 2025512.6975070192], [748124.4447287939, 2024843.75], [744843.75, 2024843.75]]]}	MXRA-Z19-122002312021	744843.75,2024843.75,748124.4447287939,2025512.6975070192	2.1	1.0	47	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002312021/2022-02-07/1040010073586A00-visual.tif
2022-02-07 15:18:25+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002312022	28.9	313.1	58.0	147.3	51.0	32619	{'type': 'Polygon', 'coordinates': [[[739843.75, 2025156.25], [739843.75, 2019843.75], [745156.25, 2019843.75], [745156.25, 2025156.25], [739843.75, 2025156.25]]]}	MXRA-Z19-122002312022	739843.75,2019843.75,745156.25,2025156.25	28.2	15.0	53	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002312022/2022-02-07/1040010073586A00-visual.tif
2022-02-07 15:18:25+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002312023	29.1	312.8	57.8	147.3	51.0	32619	{'type': 'Polygon', 'coordinates': [[[744843.75, 2019843.75], [744843.75, 2025156.25], [748120.4310550625, 2025156.25], [748188.663508496, 2019843.75], [744843.75, 2019843.75]]]}	MXRA-Z19-122002312023	744843.75,2019843.75,748188.663508496,2025156.25	17.5	9.4	53	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002312023/2022-02-07/1040010073586A00-visual.tif
2022-02-07 15:18:26+00:00	WV03	0.39	0.0.1	1040010073586A00	19	122002312200	29.0	313.1	57.9	147.3	51.0	32619	{'type': 'Polygon', 'coordinates': [[[739843.75, 2020156.25], [745156.25, 2020156.25], [745156.25, 2015533.6792972172], [739843.75, 2015466.982110972], [739843.75, 2020156.25]]]}	MXRA-Z19-122002312200	739843.75,2015466.982110972,745156.25,2020156.25	24.7	22.1	89	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002312200/2022-02-07/1040010073586A00-visual.tif
