datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-02-12 14:58:48+00:00	WV03	0.37	0.0.1	10400100739AD300	19	122002312021	25.6	138.8	61.8	139.9	49.5	32619	{'type': 'Polygon', 'coordinates': [[[745828.857421875, 2024843.75], [745811.8384631687, 2025483.6334409479], [748115.8529302768, 2025512.6975070192], [748124.4447287939, 2024843.75], [745828.857421875, 2024843.75]]]}	MXRA-Z19-122002312021	745811.8384631687,2024843.75,748124.4447287939,2025512.6975070192	1.5	1.1	78	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002312021/2022-02-12/10400100739AD300-visual.tif
2022-02-12 14:58:49+00:00	WV03	0.37	0.0.1	10400100739AD300	19	122002312023	25.5	138.9	61.8	139.9	49.5	32619	{'type': 'Polygon', 'coordinates': [[[748120.4310550625, 2025156.25], [748188.663508496, 2019843.75], [745870.0561523438, 2019843.75], [745877.9907226562, 2020447.0825195312], [745914.9169921875, 2020771.7895507812], [745951.8432617188, 2021502.685546875], [745926.513671875, 2022366.0278320312], [745940.8569335938, 2022758.4838867188], [745884.0942382812, 2023690.185546875], [745876.7700195312, 2024045.41015625], [745849.9145507812, 2024198.9135742188], [745846.5576171875, 2024653.3203125], [745806.2744140625, 2025156.25], [748120.4310550625, 2025156.25]]]}	MXRA-Z19-122002312023	745806.2744140625,2019843.75,748188.663508496,2025156.25	11.9	2.6	22	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002312023/2022-02-12/10400100739AD300-visual.tif
2022-02-12 14:58:50+00:00	WV03	0.37	0.0.1	10400100739AD300	19	122002312201	25.4	138.9	61.9	139.9	49.6	32619	{'type': 'Polygon', 'coordinates': [[[748184.6498347645, 2020156.25], [748243.523180867, 2015572.4392848564], [745999.6849481363, 2015544.2684243366], [745993.0419921875, 2016030.5786132812], [746008.6059570312, 2016183.4716796875], [745974.7314453125, 2017434.3872070312], [745908.5083007812, 2018429.5654296875], [745872.802734375, 2019267.2729492188], [745874.0234375, 2020156.25], [748184.6498347645, 2020156.25]]]}	MXRA-Z19-122002312201	745872.802734375,2015544.2684243366,748243.523180867,2020156.25	10.4	3.5	34	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002312201/2022-02-12/10400100739AD300-visual.tif
2022-02-12 14:58:52+00:00	WV03	0.36	0.0.1	10400100739AD300	19	122002330010	25.0	139.9	62.4	139.8	49.8	32619	{'type': 'Polygon', 'coordinates': [[[755156.25, 1994843.75], [749843.75, 1994843.75], [749843.75, 1999518.5594925175], [755156.25, 1999285.223910972], [755156.25, 1994843.75]]]}	MXRA-Z19-122002330010	749843.75,1994843.75,755156.25,1999518.5594925175	24.2	10.6	44	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330010/2022-02-12/10400100739AD300-visual.tif
2022-02-12 14:58:52+00:00	WV03	0.36	0.0.1	10400100739AD300	19	122002330011	24.7	140.6	62.7	139.8	49.8	32619	{'type': 'Polygon', 'coordinates': [[[760156.25, 1994843.75], [754843.75, 1994843.75], [754843.75, 1999298.9495334157], [760156.25, 1999065.6139518702], [760156.25, 1994843.75]]]}	MXRA-Z19-122002330011	754843.75,1994843.75,760156.25,1999298.9495334157	23.0	5.0	22	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330011/2022-02-12/10400100739AD300-visual.tif
2022-02-12 14:58:52+00:00	WV03	0.36	0.0.1	10400100739AD300	19	122002330100	24.6	140.9	62.9	139.8	49.8	32619	{'type': 'Polygon', 'coordinates': [[[761458.4350585938, 1996890.869140625], [761489.2578125, 1996458.1298828125], [761469.7265625, 1996211.2426757812], [761473.6938476562, 1994843.75], [759843.75, 1994843.75], [759843.75, 1999079.3395743142], [761448.7269914552, 1999008.8457880237], [761458.4350585938, 1996890.869140625]]]}	MXRA-Z19-122002330100	759843.75,1994843.75,761489.2578125,1999079.3395743142	6.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330100/2022-02-12/10400100739AD300-visual.tif
2022-02-12 14:58:53+00:00	WV03	0.37	0.0.1	10400100739AD300	19	122002330001	25.2	139.3	62.2	139.8	49.8	32619	{'type': 'Polygon', 'coordinates': [[[750156.25, 1994843.75], [746216.1254882812, 1994843.75], [746149.7159605201, 1999680.8088253834], [750156.25, 1999504.8338700735], [750156.25, 1994843.75]]]}	MXRA-Z19-122002330001	746149.7159605201,1994843.75,750156.25,1999680.8088253834	18.8	10.2	54	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330001/2022-02-12/10400100739AD300-visual.tif
2022-02-12 14:58:53+00:00	WV03	0.36	0.0.1	10400100739AD300	19	122002330003	25.1	139.4	62.3	139.7	49.8	32619	{'type': 'Polygon', 'coordinates': [[[746222.5341796875, 1995156.25], [750156.25, 1995156.25], [750156.25, 1989843.75], [746260.3759765625, 1989843.75], [746242.0654296875, 1990455.322265625], [746269.53125, 1992280.2734375], [746219.482421875, 1992707.51953125], [746243.896484375, 1993420.7153320312], [746199.3408203125, 1993797.607421875], [746222.5341796875, 1995156.25]]]}	MXRA-Z19-122002330003	746199.3408203125,1989843.75,750156.25,1995156.25	20.8	3.3	16	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330003/2022-02-12/10400100739AD300-visual.tif
2022-02-12 14:58:53+00:00	WV03	0.36	0.0.1	10400100739AD300	19	122002330012	24.9	140.0	62.5	139.7	49.8	32619	{'type': 'Polygon', 'coordinates': [[[749843.75, 1995156.25], [749843.75, 1989843.75], [755156.25, 1989843.75], [755156.25, 1995156.25], [749843.75, 1995156.25]]]}	MXRA-Z19-122002330012	749843.75,1989843.75,755156.25,1995156.25	28.2	17.2	60	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330012/2022-02-12/10400100739AD300-visual.tif
2022-02-12 14:58:53+00:00	WV03	0.36	0.0.1	10400100739AD300	19	122002330013	24.6	140.7	62.8	139.7	49.8	32619	{'type': 'Polygon', 'coordinates': [[[754843.75, 1995156.25], [754843.75, 1989843.75], [760156.25, 1989843.75], [760156.25, 1995156.25], [754843.75, 1995156.25]]]}	MXRA-Z19-122002330013	754843.75,1989843.75,760156.25,1995156.25	28.2	16.2	57	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330013/2022-02-12/10400100739AD300-visual.tif
