datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-05-19 15:06:50+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002303332	25.4	179.2	61.6	80.9	71.7	32619	{'type': 'Polygon', 'coordinates': [[[735156.25, 1999843.75], [731986.9209565916, 1999843.75], [732126.2971105139, 2000296.7453134065], [735156.25, 2000163.6637473784], [735156.25, 1999843.75]]]}	MXRA-Z19-122002303332	731986.9209565916,1999843.75,735156.25,2000296.7453134065	1.2	0.6	52	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303332/2022-05-19/105001002BD72900-visual.tif
2022-05-19 15:06:50+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002303333	25.4	179.4	61.6	80.9	71.7	32619	{'type': 'Polygon', 'coordinates': [[[735264.2822265625, 1999843.75], [734843.75, 1999843.75], [734843.75, 2000177.3893698223], [735260.1839110618, 2000159.098762987], [735264.2822265625, 1999843.75]]]}	MXRA-Z19-122002303333	734843.75,1999843.75,735264.2822265625,2000177.3893698223	0.1	0.1	79	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303333/2022-05-19/105001002BD72900-visual.tif
2022-05-19 15:06:50+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002321110	25.5	179.4	61.5	80.9	71.7	32619	{'type': 'Polygon', 'coordinates': [[[735156.25, 2000156.25], [735156.25, 1994843.75], [730448.536896123, 1994843.75], [732083.0699603709, 2000156.25], [735156.25, 2000156.25]]]}	MXRA-Z19-122002321110	730448.536896123,1994843.75,735156.25,2000156.25	20.6	7.1	34	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321110/2022-05-19/105001002BD72900-visual.tif
2022-05-19 15:06:50+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002321111	25.5	179.6	61.5	80.9	71.7	32619	{'type': 'Polygon', 'coordinates': [[[734843.75, 2000156.25], [734843.75, 1994843.75], [735332.6416015625, 1994843.75], [735260.3149414062, 2000156.25], [734843.75, 2000156.25]]]}	MXRA-Z19-122002321111	734843.75,1994843.75,735332.6416015625,2000156.25	2.4	0.7	33	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321111/2022-05-19/105001002BD72900-visual.tif
2022-05-19 15:06:51+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002321103	25.6	178.7	61.4	80.8	71.7	32619	{'type': 'Polygon', 'coordinates': [[[730156.25, 1989843.75], [728910.1528356543, 1989843.75], [730156.25, 1993893.7697459343], [730156.25, 1989843.75]]]}	MXRA-Z19-122002321103	728910.1528356543,1989843.75,730156.25,1993893.7697459343	2.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321103/2022-05-19/105001002BD72900-visual.tif
2022-05-19 15:06:51+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002321112	25.6	179.6	61.4	80.8	71.7	32619	{'type': 'Polygon', 'coordinates': [[[735156.25, 1995156.25], [735156.25, 1989843.75], [729843.75, 1989843.75], [729843.75, 1992878.093595777], [730544.6858999023, 1995156.25], [735156.25, 1995156.25]]]}	MXRA-Z19-122002321112	729843.75,1989843.75,735156.25,1995156.25	27.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321112/2022-05-19/105001002BD72900-visual.tif
2022-05-19 15:06:51+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002321113	25.6	179.9	61.4	80.8	71.7	32619	{'type': 'Polygon', 'coordinates': [[[734843.75, 1995156.25], [734843.75, 1989843.75], [735401.0009765625, 1989843.75], [735328.369140625, 1995156.25], [734843.75, 1995156.25]]]}	MXRA-Z19-122002321113	734843.75,1989843.75,735401.0009765625,1995156.25	2.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321113/2022-05-19/105001002BD72900-visual.tif
2022-05-19 15:06:52+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002321121	25.6	178.9	61.3	80.8	71.7	32619	{'type': 'Polygon', 'coordinates': [[[730156.25, 1990156.25], [730156.25, 1989383.5076720584], [728799.8330412644, 1989485.1926110336], [729006.3018394336, 1990156.25], [730156.25, 1990156.25]]]}	MXRA-Z19-122002321121	728799.8330412644,1989383.5076720584,730156.25,1990156.25	0.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321121/2022-05-19/105001002BD72900-visual.tif
2022-05-19 15:06:52+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002321130	25.6	179.8	61.4	80.8	71.7	32619	{'type': 'Polygon', 'coordinates': [[[729843.75, 1990156.25], [735156.25, 1990156.25], [735156.25, 1989008.678463679], [729843.75, 1989406.9344975823], [729843.75, 1990156.25]]]}	MXRA-Z19-122002321130	729843.75,1989008.678463679,735156.25,1990156.25	5.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321130/2022-05-19/105001002BD72900-visual.tif
2022-05-19 15:06:52+00:00	GE01	0.49	0.0.1	105001002BD72900	19	122002321131	25.6	179.9	61.4	80.8	71.7	32619	{'type': 'Polygon', 'coordinates': [[[734843.75, 1990156.25], [735396.728515625, 1990156.25], [735412.4171602847, 1988989.4746768987], [734843.75, 1989032.1052892026], [734843.75, 1990156.25]]]}	MXRA-Z19-122002321131	734843.75,1988989.4746768987,735412.4171602847,1990156.25	0.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321131/2022-05-19/105001002BD72900-visual.tif
