datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-06-07 14:57:31+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002303333	23.9	116.9	63.3	73.1	68.8	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 1999843.75], [736209.1064453125, 1999843.75], [736228.0176727837, 2000116.589576421], [740156.25, 1999944.0537882769], [740156.25, 1999843.75]]]}	MXRA-Z19-122002303333	736209.1064453125,1999843.75,740156.25,2000116.589576421	0.7	0.1	19	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303333/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:32+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002330001	23.4	118.1	64.0	73.0	68.8	32619	{'type': 'Polygon', 'coordinates': [[[750156.25, 1994843.75], [744843.75, 1994843.75], [744843.75, 1999738.169451619], [750156.25, 1999504.8338700735], [750156.25, 1994843.75]]]}	MXRA-Z19-122002330001	744843.75,1994843.75,750156.25,1999738.169451619	25.3	0.6	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330001/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:32+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002330010	23.1	118.4	64.3	73.0	68.8	32619	{'type': 'Polygon', 'coordinates': [[[754704.8950195312, 1998844.2993164062], [754718.017578125, 1994843.75], [749843.75, 1994843.75], [749843.75, 1999518.5594925175], [754732.9001296954, 1999303.8182805127], [754704.8950195312, 1998844.2993164062]]]}	MXRA-Z19-122002330010	749843.75,1994843.75,754732.9001296954,1999518.5594925175	22.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330010/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:33+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002321111	23.9	117.4	63.3	73.0	68.8	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 1994843.75], [736219.1772460938, 1994843.75], [736178.8940429688, 1998353.8818359375], [736244.5283408002, 2000115.8643949956], [740156.25, 1999944.0537882769], [740156.25, 1994843.75]]]}	MXRA-Z19-122002321111	736178.8940429688,1994843.75,740156.25,2000115.8643949956	20.5	1.2	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321111/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:33+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002330000	23.7	117.7	63.6	73.0	68.8	32619	{'type': 'Polygon', 'coordinates': [[[745156.25, 1994843.75], [739843.75, 1994843.75], [739843.75, 1999957.7794107208], [745156.25, 1999724.4438291753], [745156.25, 1994843.75]]]}	MXRA-Z19-122002330000	739843.75,1994843.75,745156.25,1999957.7794107208	26.5	1.4	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330000/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:33+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002330012	23.1	118.9	64.3	73.0	68.8	32619	{'type': 'Polygon', 'coordinates': [[[749843.75, 1995156.25], [749843.75, 1989843.75], [754764.7094726562, 1989843.75], [754715.2709960938, 1995156.25], [749843.75, 1995156.25]]]}	MXRA-Z19-122002330012	749843.75,1989843.75,754764.7094726562,1995156.25	26.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330012/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:34+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002321113	23.9	117.9	63.3	73.0	68.8	32619	{'type': 'Polygon', 'coordinates': [[[736230.46875, 1995156.25], [740156.25, 1995156.25], [740156.25, 1989843.75], [736264.0380859375, 1989843.75], [736213.37890625, 1993337.7075195312], [736229.248046875, 1993839.7216796875], [736212.158203125, 1994544.0673828125], [736230.46875, 1995156.25]]]}	MXRA-Z19-122002321113	736212.158203125,1989843.75,740156.25,1995156.25	20.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321113/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:34+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002330002	23.7	118.2	63.6	73.0	68.8	32619	{'type': 'Polygon', 'coordinates': [[[739843.75, 1995156.25], [739843.75, 1989843.75], [745156.25, 1989843.75], [745156.25, 1995156.25], [739843.75, 1995156.25]]]}	MXRA-Z19-122002330002	739843.75,1989843.75,745156.25,1995156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330002/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:34+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002330003	23.3	118.6	64.0	73.0	68.8	32619	{'type': 'Polygon', 'coordinates': [[[744843.75, 1995156.25], [744843.75, 1989843.75], [750156.25, 1989843.75], [750156.25, 1995156.25], [744843.75, 1995156.25]]]}	MXRA-Z19-122002330003	744843.75,1989843.75,750156.25,1995156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330003/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:35+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002321131	23.9	118.4	63.3	72.9	68.8	32619	{'type': 'Polygon', 'coordinates': [[[736259.1552734375, 1990156.25], [740156.25, 1990156.25], [740156.25, 1988633.8492552997], [736277.3380063461, 1988924.6351576906], [736259.1552734375, 1990156.25]]]}	MXRA-Z19-122002321131	736259.1552734375,1988633.8492552997,740156.25,1990156.25	5.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321131/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:35+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002330020	23.6	118.7	63.6	72.9	68.8	32619	{'type': 'Polygon', 'coordinates': [[[739843.75, 1990156.25], [745156.25, 1990156.25], [745156.25, 1988259.02004692], [739843.75, 1988657.2760808233], [739843.75, 1990156.25]]]}	MXRA-Z19-122002330020	739843.75,1988259.02004692,745156.25,1990156.25	9.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330020/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:35+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002330021	23.3	119.1	64.0	72.9	68.8	32619	{'type': 'Polygon', 'coordinates': [[[744843.75, 1990156.25], [750156.25, 1990156.25], [750156.25, 1987884.1908385407], [744843.75, 1988282.446872444], [744843.75, 1990156.25]]]}	MXRA-Z19-122002330021	744843.75,1987884.1908385407,750156.25,1990156.25	11.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330021/2022-06-07/105001002C5F6600-visual.tif
2022-06-07 14:57:35+00:00	GE01	0.48	0.0.1	105001002C5F6600	19	122002330030	23.0	119.4	64.3	72.9	68.8	32619	{'type': 'Polygon', 'coordinates': [[[749843.75, 1990156.25], [754760.7421875, 1990156.25], [754789.6326793437, 1987536.8454061772], [749843.75, 1987907.6176640643], [749843.75, 1990156.25]]]}	MXRA-Z19-122002330030	749843.75,1987536.8454061772,754789.6326793437,1990156.25	12.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002330030/2022-06-07/105001002C5F6600-visual.tif
