datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-25 14:53:50+00:00	GE01	0.54	0.0.1	105001002F010900	19	122002303332	30.7	117.8	55.5	130.0	61.8	32619	{'type': 'Polygon', 'coordinates': [[[735156.25, 1999843.75], [731986.9209565916, 1999843.75], [732126.2971105139, 2000296.7453134065], [735156.25, 2000163.6637473784], [735156.25, 1999843.75]]]}	MXRA-Z19-122002303332	731986.9209565916,1999843.75,735156.25,2000296.7453134065	1.2	0.2	20	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303332/2022-09-25/105001002F010900-visual.tif
2022-09-25 14:53:50+00:00	GE01	0.54	0.0.1	105001002F010900	19	122002303333	30.5	118.2	55.8	130.0	61.8	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 1999843.75], [734843.75, 1999843.75], [734843.75, 2000177.3893698223], [740156.2410570452, 1999944.0541810691], [740156.25, 1999843.75]]]}	MXRA-Z19-122002303333	734843.75,1999843.75,740156.25,2000177.3893698223	1.1	0.0	8	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002303333/2022-09-25/105001002F010900-visual.tif
2022-09-25 14:53:49+00:00	GE01	0.54	0.0.1	105001002F010900	19	122002321103	30.4	114.7	55.9	129.9	61.8	32619	{'type': 'Polygon', 'coordinates': [[[730156.25, 1989843.75], [728910.1528356543, 1989843.75], [730156.25, 1993893.7697459343], [730156.25, 1989843.75]]]}	MXRA-Z19-122002321103	728910.1528356543,1989843.75,730156.25,1993893.7697459343	2.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321103/2022-09-25/105001002F010900-visual.tif
2022-09-25 14:53:50+00:00	GE01	0.54	0.0.1	105001002F010900	19	122002321110	30.5	116.6	55.8	130.0	61.8	32619	{'type': 'Polygon', 'coordinates': [[[735156.25, 2000156.25], [735156.25, 1994843.75], [730448.536896123, 1994843.75], [732083.0699603709, 2000156.25], [735156.25, 2000156.25]]]}	MXRA-Z19-122002321110	730448.536896123,1994843.75,735156.25,2000156.25	20.6	9.6	46	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321110/2022-09-25/105001002F010900-visual.tif
2022-09-25 14:53:50+00:00	GE01	0.54	0.0.1	105001002F010900	19	122002321111	30.3	117.0	56.0	130.0	61.8	32619	{'type': 'Polygon', 'coordinates': [[[740156.25, 1994843.75], [734843.75, 1994843.75], [734843.75, 2000156.25], [735325.0435148479, 2000156.25], [740156.25, 1999944.0537882769], [740156.25, 1994843.75]]]}	MXRA-Z19-122002321111	734843.75,1994843.75,740156.25,2000156.25	27.7	7.1	25	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321111/2022-09-25/105001002F010900-visual.tif
2022-09-25 14:53:49+00:00	GE01	0.54	0.0.1	105001002F010900	19	122002321112	30.3	115.0	56.0	129.9	61.8	32619	{'type': 'Polygon', 'coordinates': [[[735156.25, 1995156.25], [735156.25, 1989843.75], [729843.75, 1989843.75], [729843.75, 1992878.093595777], [730544.6858999023, 1995156.25], [735156.25, 1995156.25]]]}	MXRA-Z19-122002321112	729843.75,1989843.75,735156.25,1995156.25	27.4	4.1	15	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321112/2022-09-25/105001002F010900-visual.tif
2022-09-25 14:53:49+00:00	GE01	0.53	0.0.1	105001002F010900	19	122002321113	30.0	115.4	56.3	129.9	61.8	32619	{'type': 'Polygon', 'coordinates': [[[734843.75, 1995156.25], [734843.75, 1989843.75], [740156.25, 1989843.75], [740156.25, 1995156.25], [734843.75, 1995156.25]]]}	MXRA-Z19-122002321113	734843.75,1989843.75,740156.25,1995156.25	28.2	6.9	24	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321113/2022-09-25/105001002F010900-visual.tif
2022-09-25 14:53:48+00:00	GE01	0.54	0.0.1	105001002F010900	19	122002321121	30.3	113.4	56.1	129.9	61.8	32619	{'type': 'Polygon', 'coordinates': [[[730156.25, 1990156.25], [730156.25, 1989383.5076720584], [728799.8330412644, 1989485.1926110336], [729006.3018394336, 1990156.25], [730156.25, 1990156.25]]]}	MXRA-Z19-122002321121	728799.8330412644,1989383.5076720584,730156.25,1990156.25	0.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321121/2022-09-25/105001002F010900-visual.tif
2022-09-25 14:53:48+00:00	GE01	0.54	0.0.1	105001002F010900	19	122002321130	30.1	113.6	56.2	129.9	61.8	32619	{'type': 'Polygon', 'coordinates': [[[729843.75, 1990156.25], [735156.25, 1990156.25], [735156.25, 1989008.678463679], [729843.75, 1989406.9344975823], [729843.75, 1990156.25]]]}	MXRA-Z19-122002321130	729843.75,1989008.678463679,735156.25,1990156.25	5.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321130/2022-09-25/105001002F010900-visual.tif
2022-09-25 14:53:48+00:00	GE01	0.53	0.0.1	105001002F010900	19	122002321131	29.8	113.9	56.6	129.9	61.8	32619	{'type': 'Polygon', 'coordinates': [[[734843.75, 1990156.25], [740156.25, 1990156.25], [740156.25, 1988633.8492552997], [734843.75, 1989032.1052892026], [734843.75, 1990156.25]]]}	MXRA-Z19-122002321131	734843.75,1988633.8492552997,740156.25,1990156.25	7.0	0.2	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002321131/2022-09-25/105001002F010900-visual.tif
