datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-26 15:27:30+00:00	GE01	0.64	0.0.1	105001002F064B00	19	033113133132	37.6	343.8	47.5	142.4	65.0	32619	{'type': 'Polygon', 'coordinates': [[[495156.25, 2099843.75], [491267.100551132, 2099843.75], [491418.9816532393, 2102208.555905798], [495156.25, 2101988.5106658586], [495156.25, 2099843.75]]]}	MXRA-Z19-033113133132	491267.100551132,2099843.75,495156.25,2102208.555905798	8.6	0.0	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133132/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:30+00:00	GE01	0.64	0.0.1	105001002F064B00	19	033113133133	37.6	343.2	47.4	142.4	65.0	32619	{'type': 'Polygon', 'coordinates': [[[500156.25, 2099843.75], [494843.75, 2099843.75], [494843.75, 2102006.910237712], [500156.25, 2101694.117516207], [500156.25, 2099843.75]]]}	MXRA-Z19-033113133133	494843.75,2099843.75,500156.25,2102006.910237712	10.6	1.6	15	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133133/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:29+00:00	GE01	0.64	0.0.1	105001002F064B00	19	033113133310	38.0	344.1	46.9	142.3	65.0	32619	{'type': 'Polygon', 'coordinates': [[[495156.25, 2100156.25], [495156.25, 2094843.75], [490945.97250054876, 2094843.75], [491287.1710542934, 2100156.25], [495156.25, 2100156.25]]]}	MXRA-Z19-033113133310	490945.97250054876,2094843.75,495156.25,2100156.25	21.4	6.1	28	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133310/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:29+00:00	GE01	0.65	0.0.1	105001002F064B00	19	033113133311	38.0	343.6	46.9	142.3	65.0	32619	{'type': 'Polygon', 'coordinates': [[[494843.75, 2100156.25], [494843.75, 2094843.75], [500156.25, 2094843.75], [500156.25, 2100156.25], [494843.75, 2100156.25]]]}	MXRA-Z19-033113133311	494843.75,2094843.75,500156.25,2100156.25	28.2	4.2	15	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133311/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:28+00:00	GE01	0.65	0.0.1	105001002F064B00	19	033113133312	38.5	344.5	46.4	142.3	65.0	32619	{'type': 'Polygon', 'coordinates': [[[495156.25, 2095156.25], [495156.25, 2089843.75], [490624.8444499655, 2089843.75], [490966.0430037102, 2095156.25], [495156.25, 2095156.25]]]}	MXRA-Z19-033113133312	490624.8444499655,2089843.75,495156.25,2095156.25	23.1	17.4	75	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133312/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:28+00:00	GE01	0.65	0.0.1	105001002F064B00	19	033113133313	38.5	344.0	46.4	142.3	65.0	32619	{'type': 'Polygon', 'coordinates': [[[494843.75, 2095156.25], [494843.75, 2089843.75], [500156.25, 2089843.75], [500156.25, 2095156.25], [494843.75, 2095156.25]]]}	MXRA-Z19-033113133313	494843.75,2089843.75,500156.25,2095156.25	28.2	17.2	61	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133313/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:27+00:00	GE01	0.67	0.0.1	105001002F064B00	19	033113133323	39.3	345.5	45.4	142.2	65.0	32619	{'type': 'Polygon', 'coordinates': [[[490156.25, 2079843.75], [489982.5883487991, 2079843.75], [490156.25, 2082547.6815140098], [490156.25, 2079843.75]]]}	MXRA-Z19-033113133323	489982.5883487991,2079843.75,490156.25,2082547.6815140098	0.2	0.0	19	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133323/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:28+00:00	GE01	0.66	0.0.1	105001002F064B00	19	033113133330	38.9	344.9	46.0	142.3	65.0	32619	{'type': 'Polygon', 'coordinates': [[[495156.25, 2090156.25], [495156.25, 2084843.75], [490303.71639938233, 2084843.75], [490644.914953127, 2090156.25], [495156.25, 2090156.25]]]}	MXRA-Z19-033113133330	490303.71639938233,2084843.75,495156.25,2090156.25	24.8	14.1	57	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133330/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:28+00:00	GE01	0.66	0.0.1	105001002F064B00	19	033113133331	38.9	344.4	45.9	142.3	65.0	32619	{'type': 'Polygon', 'coordinates': [[[494843.75, 2090156.25], [494843.75, 2084843.75], [500156.25, 2084843.75], [500156.25, 2090156.25], [494843.75, 2090156.25]]]}	MXRA-Z19-033113133331	494843.75,2084843.75,500156.25,2090156.25	28.2	12.5	44	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133331/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:27+00:00	GE01	0.67	0.0.1	105001002F064B00	19	033113133332	39.3	345.2	45.5	142.2	65.0	32619	{'type': 'Polygon', 'coordinates': [[[495156.25, 2085156.25], [495156.25, 2079843.75], [489982.5883487991, 2079843.75], [490323.7869025438, 2085156.25], [495156.25, 2085156.25]]]}	MXRA-Z19-033113133332	489982.5883487991,2079843.75,495156.25,2085156.25	26.5	12.4	46	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133332/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:27+00:00	GE01	0.67	0.0.1	105001002F064B00	19	033113133333	39.3	344.7	45.4	142.2	65.0	32619	{'type': 'Polygon', 'coordinates': [[[494843.75, 2085156.25], [494843.75, 2079843.75], [500156.25, 2079843.75], [500156.25, 2085156.25], [494843.75, 2085156.25]]]}	MXRA-Z19-033113133333	494843.75,2079843.75,500156.25,2085156.25	28.2	19.7	70	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113133333/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:26+00:00	GE01	0.67	0.0.1	105001002F064B00	19	033113311101	39.7	345.9	45.0	142.1	65.1	32619	{'type': 'Polygon', 'coordinates': [[[490156.25, 2080156.25], [490156.25, 2074843.75], [489661.4602982159, 2074843.75], [490002.65885196056, 2080156.25], [490156.25, 2080156.25]]]}	MXRA-Z19-033113311101	489661.4602982159,2074843.75,490156.25,2080156.25	1.7	1.4	86	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113311101/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:25+00:00	GE01	0.68	0.0.1	105001002F064B00	19	033113311103	40.0	346.2	44.5	142.1	65.2	32619	{'type': 'Polygon', 'coordinates': [[[490156.25, 2075156.25], [490156.25, 2073020.795466308], [489546.9204184092, 2073060.3511409056], [489681.5308013773, 2075156.25], [490156.25, 2075156.25]]]}	MXRA-Z19-033113311103	489546.9204184092,2073020.795466308,490156.25,2075156.25	1.1	0.7	67	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113311103/2022-09-26/105001002F064B00-visual.tif
2022-09-26 15:27:26+00:00	GE01	0.67	0.0.1	105001002F064B00	19	033113311110	39.6	345.5	45.0	142.2	65.0	32619	{'type': 'Polygon', 'coordinates': [[[495156.25, 2080156.25], [495156.25, 2074843.75], [489843.75, 2074843.75], [489843.75, 2077682.0212356185], [490002.65885196056, 2080156.25], [495156.25, 2080156.25]]]}	MXRA-Z19-033113311110	489843.75,2074843.75,495156.25,2080156.25	28.0	19.3	68	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/033113311110/2022-09-26/105001002F064B00-visual.tif
