datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-26 15:27:47+00:00	GE01	0.59	0.0.1	105001002F064C00	19	122002200003	34.3	336.1	51.3	142.6	65.3	32619	{'type': 'Polygon', 'coordinates': [[[510156.25, 2075156.25], [510156.25, 2071722.4611725945], [506172.6197678286, 2071981.0653597896], [506207.275390625, 2075156.25], [510156.25, 2075156.25]]]}	MXRA-Z19-122002200003	506172.6197678286,2071722.4611725945,510156.25,2075156.25	13.1	10.4	79	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002200003/2022-09-26/105001002F064C00-visual.tif
2022-09-26 15:27:47+00:00	GE01	0.59	0.0.1	105001002F064C00	19	122002200012	34.4	335.6	51.2	142.6	65.3	32619	{'type': 'Polygon', 'coordinates': [[[509843.75, 2075156.25], [514520.33831526135, 2075156.25], [514318.83823905897, 2071452.2396195256], [509843.75, 2071742.7476459339], [509843.75, 2075156.25]]]}	MXRA-Z19-122002200012	509843.75,2071452.2396195256,514520.33831526135,2075156.25	16.2	10.8	66	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002200012/2022-09-26/105001002F064C00-visual.tif
2022-09-26 15:27:48+00:00	GE01	0.58	0.0.1	105001002F064C00	19	122002200001	33.9	335.5	51.8	142.7	65.2	32619	{'type': 'Polygon', 'coordinates': [[[506246.9482421875, 2080156.25], [510156.25, 2080156.25], [510156.25, 2074843.75], [506206.0546875, 2074843.75], [506246.9482421875, 2080156.25]]]}	MXRA-Z19-122002200001	506206.0546875,2074843.75,510156.25,2080156.25	20.8	10.9	52	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002200001/2022-09-26/105001002F064C00-visual.tif
2022-09-26 15:27:48+00:00	GE01	0.58	0.0.1	105001002F064C00	19	122002200010	33.9	334.9	51.8	142.7	65.2	32619	{'type': 'Polygon', 'coordinates': [[[509843.75, 2074843.75], [509843.75, 2080156.25], [514792.3408955789, 2080156.25], [514503.3381539915, 2074843.75], [509843.75, 2074843.75]]]}	MXRA-Z19-122002200010	509843.75,2074843.75,514792.3408955789,2080156.25	25.5	9.1	35	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002200010/2022-09-26/105001002F064C00-visual.tif
2022-09-26 15:27:49+00:00	GE01	0.57	0.0.1	105001002F064C00	19	122002022223	33.4	334.8	52.4	142.7	65.2	32619	{'type': 'Polygon', 'coordinates': [[[506241.14990234375, 2085156.25], [510156.25, 2085156.25], [510156.25, 2079843.75], [506249.69482421875, 2079843.75], [506233.5205078125, 2080666.50390625], [506255.79833984375, 2080987.2436523438], [506273.193359375, 2081759.6435546875], [506273.8037109375, 2082454.833984375], [506257.62939453125, 2082733.154296875], [506271.97265625, 2082873.8403320312], [506286.62109375, 2083730.7739257812], [506277.77099609375, 2084471.1303710938], [506241.14990234375, 2085156.25]]]}	MXRA-Z19-122002022223	506233.5205078125,2079843.75,510156.25,2085156.25	20.6	6.0	29	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002022223/2022-09-26/105001002F064C00-visual.tif
2022-09-26 15:27:49+00:00	GE01	0.57	0.0.1	105001002F064C00	19	122002022232	33.4	334.2	52.4	142.7	65.2	32619	{'type': 'Polygon', 'coordinates': [[[509843.75, 2079843.75], [509843.75, 2085156.25], [515064.3434758964, 2085156.25], [514775.34073430905, 2079843.75], [509843.75, 2079843.75]]]}	MXRA-Z19-122002022232	509843.75,2079843.75,515064.3434758964,2085156.25	26.9	4.8	17	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002022232/2022-09-26/105001002F064C00-visual.tif
2022-09-26 15:27:49+00:00	GE01	0.58	0.0.1	105001002F064C00	19	122002022233	33.5	333.6	52.3	142.7	65.2	32619	{'type': 'Polygon', 'coordinates': [[[514843.75, 2085156.25], [515064.3434758964, 2085156.25], [514843.75, 2081101.2613370449], [514843.75, 2085156.25]]]}	MXRA-Z19-122002022233	514843.75,2081101.2613370449,515064.3434758964,2085156.25	0.4	0.0	18	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002022233/2022-09-26/105001002F064C00-visual.tif
2022-09-26 15:27:50+00:00	GE01	0.56	0.0.1	105001002F064C00	19	122002022203	32.4	333.3	53.5	142.8	65.2	32619	{'type': 'Polygon', 'coordinates': [[[506440.73486328125, 2095156.25], [510156.25, 2095156.25], [510156.25, 2089843.75], [506328.125, 2089843.75], [506300.6591796875, 2090903.0151367188], [506365.3564453125, 2091616.5161132812], [506373.9013671875, 2092194.2138671875], [506391.90673828125, 2092399.2919921875], [506382.4462890625, 2092707.51953125], [506419.677734375, 2093663.0249023438], [506417.236328125, 2094306.3354492188], [506440.73486328125, 2095156.25]]]}	MXRA-Z19-122002022203	506300.6591796875,2089843.75,510156.25,2095156.25	20.0	7.4	37	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002022203/2022-09-26/105001002F064C00-visual.tif
2022-09-26 15:27:50+00:00	GE01	0.57	0.0.1	105001002F064C00	19	122002022221	32.9	334.1	53.0	142.8	65.2	32619	{'type': 'Polygon', 'coordinates': [[[506327.5146484375, 2090156.25], [510156.25, 2090156.25], [510156.25, 2084843.75], [506264.6484375, 2084843.75], [506225.28076171875, 2085367.1264648438], [506243.2861328125, 2085554.5043945312], [506212.158203125, 2085765.9912109375], [506252.44140625, 2086124.5727539062], [506246.337890625, 2086331.4819335938], [506288.75732421875, 2086809.9975585938], [506290.8935546875, 2087055.9692382812], [506265.56396484375, 2087352.9052734375], [506289.0625, 2087562.8662109375], [506317.7490234375, 2088185.7299804688], [506291.19873046875, 2088856.201171875], [506328.43017578125, 2089396.97265625], [506327.5146484375, 2090156.25]]]}	MXRA-Z19-122002022221	506212.158203125,2084843.75,510156.25,2090156.25	20.5	5.1	24	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002022221/2022-09-26/105001002F064C00-visual.tif
2022-09-26 15:27:50+00:00	GE01	0.57	0.0.1	105001002F064C00	19	122002022230	33.0	333.5	52.9	142.8	65.2	32619	{'type': 'Polygon', 'coordinates': [[[509843.75, 2084843.75], [509843.75, 2090156.25], [515156.25, 2090156.25], [515156.25, 2086845.692136841], [515047.3433146266, 2084843.75], [509843.75, 2084843.75]]]}	MXRA-Z19-122002022230	509843.75,2084843.75,515156.25,2090156.25	28.1	8.4	30	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Fiona-9-19-2022/ard/19/122002022230/2022-09-26/105001002F064C00-visual.tif
