datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2021-05-07 19:02:56+00:00	WV01	0.79	0.0.1	10200100B01E7400	17	031331303231	39.2	39.5	47.0	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[400155.33447265625, 2966607.666015625], [400156.25, 2964843.75], [399206.54296875, 2964843.75], [399239.80712890625, 2966335.44921875], [400155.33447265625, 2966607.666015625]]]}	MXRA-Z17-031331303231	399206.54296875,2964843.75,400156.25,2966607.666015625	1.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303231/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.8	0.0.1	10200100B01E7400	17	031331303233	39.4	39.4	46.8	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[399213.56201171875, 2965156.25], [400156.25, 2965156.25], [400156.25, 2959843.75], [399092.71240234375, 2959843.75], [399213.56201171875, 2965156.25]]]}	MXRA-Z17-031331303233	399092.71240234375,2959843.75,400156.25,2965156.25	5.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303233/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.78	0.0.1	10200100B01E7400	17	031331303312	38.6	38.7	47.7	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[415155.33447265625, 2971049.8046875], [415156.25, 2969843.75], [411077.2705078125, 2969843.75], [412658.69140625, 2970312.1948242188], [415155.33447265625, 2971049.8046875]]]}	MXRA-Z17-031331303312	411077.2705078125,2969843.75,415156.25,2971049.8046875	2.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303312/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.77	0.0.1	10200100B01E7400	17	031331303313	38.3	38.3	48.0	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[420155.33447265625, 2972526.5502929688], [420156.25, 2969843.75], [414843.75, 2969843.75], [414843.75, 2970957.6416015625], [420155.33447265625, 2972526.5502929688]]]}	MXRA-Z17-031331303313	414843.75,2969843.75,420156.25,2972526.5502929688	10.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303313/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.79	0.0.1	10200100B01E7400	17	031331303320	39.2	39.5	47.1	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[405155.029296875, 2968091.1254882812], [405156.25, 2964843.75], [399843.75, 2964843.75], [399843.75, 2966515.1977539062], [405155.029296875, 2968091.1254882812]]]}	MXRA-Z17-031331303320	399843.75,2964843.75,405156.25,2968091.1254882812	13.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303320/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.79	0.0.1	10200100B01E7400	17	031331303321	38.9	39.1	47.4	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[410155.94482421875, 2969571.533203125], [410156.25, 2964843.75], [404843.75, 2964843.75], [404843.75, 2967998.3520507812], [410155.94482421875, 2969571.533203125]]]}	MXRA-Z17-031331303321	404843.75,2964843.75,410156.25,2969571.533203125	20.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303321/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.8	0.0.1	10200100B01E7400	17	031331303322	39.4	39.2	46.9	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[399843.75, 2965156.25], [399843.75, 2959843.75], [405156.25, 2959843.75], [405156.25, 2965156.25], [399843.75, 2965156.25]]]}	MXRA-Z17-031331303322	399843.75,2959843.75,405156.25,2965156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303322/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.79	0.0.1	10200100B01E7400	17	031331303323	39.2	38.6	47.1	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[404843.75, 2965156.25], [404843.75, 2959843.75], [410156.25, 2959843.75], [410156.25, 2965156.25], [404843.75, 2965156.25]]]}	MXRA-Z17-031331303323	404843.75,2959843.75,410156.25,2965156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303323/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.78	0.0.1	10200100B01E7400	17	031331303330	38.7	38.6	47.6	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[412133.1787109375, 2970156.25], [415156.25, 2970156.25], [415156.25, 2964843.75], [409843.75, 2964843.75], [409843.75, 2969478.759765625], [412133.1787109375, 2970156.25]]]}	MXRA-Z17-031331303330	409843.75,2964843.75,415156.25,2970156.25	27.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303330/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.77	0.0.1	10200100B01E7400	17	031331303331	38.5	38.1	47.9	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[414843.75, 2970156.25], [414843.75, 2964843.75], [420156.25, 2964843.75], [420156.25, 2970156.25], [414843.75, 2970156.25]]]}	MXRA-Z17-031331303331	414843.75,2964843.75,420156.25,2970156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303331/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.79	0.0.1	10200100B01E7400	17	031331303332	39.0	38.1	47.2	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[409843.75, 2965156.25], [409843.75, 2959843.75], [415156.25, 2959843.75], [415156.25, 2965156.25], [409843.75, 2965156.25]]]}	MXRA-Z17-031331303332	409843.75,2959843.75,415156.25,2965156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303332/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.78	0.0.1	10200100B01E7400	17	031331303333	38.9	37.5	47.4	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[414843.75, 2965156.25], [414843.75, 2959843.75], [420156.25, 2959843.75], [420156.25, 2965156.25], [414843.75, 2965156.25]]]}	MXRA-Z17-031331303333	414843.75,2959843.75,420156.25,2965156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303333/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.76	0.0.1	10200100B01E7400	17	031331312202	38.1	37.9	48.3	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[425155.33447265625, 2973999.9389648438], [425156.25, 2969843.75], [419843.75, 2969843.75], [419844.05517578125, 2972434.6923828125], [425155.33447265625, 2973999.9389648438]]]}	MXRA-Z17-031331312202	419843.75,2969843.75,425156.25,2973999.9389648438	17.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331312202/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.76	0.0.1	10200100B01E7400	17	031331312203	38.1	37.7	48.4	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[425773.3154296875, 2974181.8237304688], [425820.61767578125, 2969843.75], [424843.75, 2969843.75], [424843.75, 2973908.69140625], [425773.3154296875, 2974181.8237304688]]]}	MXRA-Z17-031331312203	424843.75,2969843.75,425820.61767578125,2974181.8237304688	4.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331312203/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.77	0.0.1	10200100B01E7400	17	031331312220	38.3	37.5	48.0	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[419843.75, 2970156.25], [419843.75, 2964843.75], [425156.25, 2964843.75], [425156.25, 2970156.25], [419843.75, 2970156.25]]]}	MXRA-Z17-031331312220	419843.75,2964843.75,425156.25,2970156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331312220/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.77	0.0.1	10200100B01E7400	17	031331312221	38.3	37.2	48.1	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[424843.75, 2970156.25], [424843.75, 2964843.75], [425876.77001953125, 2964843.75], [425817.87109375, 2970156.25], [424843.75, 2970156.25]]]}	MXRA-Z17-031331312221	424843.75,2964843.75,425876.77001953125,2970156.25	5.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331312221/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.78	0.0.1	10200100B01E7400	17	031331312222	38.7	36.9	47.6	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[419843.75, 2965156.25], [419843.75, 2959843.75], [425156.25, 2959843.75], [425156.25, 2965156.25], [419843.75, 2965156.25]]]}	MXRA-Z17-031331312222	419843.75,2959843.75,425156.25,2965156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331312222/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.78	0.0.1	10200100B01E7400	17	031331312223	38.7	36.7	47.6	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[424843.75, 2965156.25], [424843.75, 2959843.75], [425933.2275390625, 2959843.75], [425873.4130859375, 2965156.25], [424843.75, 2965156.25]]]}	MXRA-Z17-031331312223	424843.75,2959843.75,425933.2275390625,2965156.25	5.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331312223/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.81	0.0.1	10200100B01E7400	17	031331321011	39.7	38.9	46.4	252.3	65.2	32617	{'type': 'Polygon', 'coordinates': [[[399100.03662109375, 2960156.25], [400156.25, 2960156.25], [400156.25, 2954843.75], [398978.57666015625, 2954843.75], [399100.03662109375, 2960156.25]]]}	MXRA-Z17-031331321011	398978.57666015625,2954843.75,400156.25,2960156.25	5.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321011/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:55+00:00	WV01	0.81	0.0.1	10200100B01E7400	17	031331321013	40.1	38.4	46.0	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[398985.90087890625, 2955156.25], [400156.25, 2955156.25], [400156.25, 2949843.75], [398864.74609375, 2949843.75], [398985.90087890625, 2955156.25]]]}	MXRA-Z17-031331321013	398864.74609375,2949843.75,400156.25,2955156.25	6.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321013/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:55+00:00	WV01	0.82	0.0.1	10200100B01E7400	17	031331321031	40.4	37.9	45.7	252.6	65.2	32617	{'type': 'Polygon', 'coordinates': [[[398871.76513671875, 2950156.25], [400156.25, 2950156.25], [400156.25, 2944843.75], [398751.52587890625, 2944843.75], [398871.76513671875, 2950156.25]]]}	MXRA-Z17-031331321031	398751.52587890625,2944843.75,400156.25,2950156.25	7.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321031/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:55+00:00	WV01	0.83	0.0.1	10200100B01E7400	17	031331321033	40.8	37.4	45.3	252.7	65.2	32617	{'type': 'Polygon', 'coordinates': [[[398757.62939453125, 2945156.25], [400156.25, 2945156.25], [400156.25, 2939843.75], [398636.77978515625, 2939843.75], [398757.62939453125, 2945156.25]]]}	MXRA-Z17-031331321033	398636.77978515625,2939843.75,400156.25,2945156.25	7.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321033/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.8	0.0.1	10200100B01E7400	17	031331321100	39.7	38.6	46.5	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[399843.75, 2960156.25], [399843.75, 2954843.75], [405156.25, 2954843.75], [405156.25, 2960156.25], [399843.75, 2960156.25]]]}	MXRA-Z17-031331321100	399843.75,2954843.75,405156.25,2960156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321100/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:56+00:00	WV01	0.8	0.0.1	10200100B01E7400	17	031331321101	39.5	38.1	46.7	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[404843.75, 2960156.25], [404843.75, 2954843.75], [410156.25, 2954843.75], [410156.25, 2960156.25], [404843.75, 2960156.25]]]}	MXRA-Z17-031331321101	404843.75,2954843.75,410156.25,2960156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321101/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:55+00:00	WV01	0.81	0.0.1	10200100B01E7400	17	031331321102	40.1	38.1	46.1	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[399843.75, 2955156.25], [399843.75, 2949843.75], [405156.25, 2949843.75], [405156.25, 2955156.25], [399843.75, 2955156.25]]]}	MXRA-Z17-031331321102	399843.75,2949843.75,405156.25,2955156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321102/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:55+00:00	WV01	0.81	0.0.1	10200100B01E7400	17	031331321103	39.9	37.5	46.3	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[404843.75, 2955156.25], [404843.75, 2949843.75], [410156.25, 2949843.75], [410156.25, 2955156.25], [404843.75, 2955156.25]]]}	MXRA-Z17-031331321103	404843.75,2949843.75,410156.25,2955156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321103/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:55+00:00	WV01	0.79	0.0.1	10200100B01E7400	17	031331321110	39.4	37.5	46.8	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[409843.75, 2960156.25], [409843.75, 2954843.75], [415156.25, 2954843.75], [415156.25, 2960156.25], [409843.75, 2960156.25]]]}	MXRA-Z17-031331321110	409843.75,2954843.75,415156.25,2960156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321110/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:55+00:00	WV01	0.79	0.0.1	10200100B01E7400	17	031331321111	39.2	37.0	47.0	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[414843.75, 2960156.25], [414843.75, 2954843.75], [420156.25, 2954843.75], [420156.25, 2960156.25], [414843.75, 2960156.25]]]}	MXRA-Z17-031331321111	414843.75,2954843.75,420156.25,2960156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321111/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:55+00:00	WV01	0.8	0.0.1	10200100B01E7400	17	031331321112	39.7	37.0	46.4	252.4	65.2	32617	{'type': 'Polygon', 'coordinates': [[[409843.75, 2955156.25], [409843.75, 2949843.75], [415156.25, 2949843.75], [415156.25, 2955156.25], [409843.75, 2955156.25]]]}	MXRA-Z17-031331321112	409843.75,2949843.75,415156.25,2955156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321112/2021-05-07/10200100B01E7400-visual.tif
2021-05-07 19:02:55+00:00	WV01	0.8	0.0.1	10200100B01E7400	17	031331321113	39.6	36.4	46.6	252.6	65.2	32617	{'type': 'Polygon', 'coordinates': [[[414843.75, 2955156.25], [414843.75, 2949843.75], [420156.25, 2949843.75], [420156.25, 2955156.25], [414843.75, 2955156.25]]]}	MXRA-Z17-031331321113	414843.75,2949843.75,420156.25,2955156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321113/2021-05-07/10200100B01E7400-visual.tif
