datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303021	9.8	311.6	79.4	210.4	33.2	32617	{'type': 'MultiPolygon', 'coordinates': [[[[390156.25, 2988367.6147460938], [390156.25, 2987640.479901608], [385042.6093308618, 2987652.482069528], [385051.57470703125, 2988506.4697265625], [390156.25, 2988367.6147460938]]], [[[390156.25, 2984843.75], [385013.12255859375, 2984843.75], [385033.8468156189, 2986817.8177207606], [390156.25, 2986775.4230843913], [390156.25, 2984843.75]]]]}	MXRA-Z17-031331303021	385013.12255859375,2984843.75,390156.25,2988506.4697265625	14.0	1.4	10	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303021/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303022	9.9	312.7	79.3	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[385016.4794921875, 2985156.25], [385156.25, 2985156.25], [385156.25, 2979843.75], [384960.02197265625, 2979843.75], [385016.4794921875, 2985156.25]]]}	MXRA-Z17-031331303022	384960.02197265625,2979843.75,385156.25,2985156.25	0.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303022/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303023	10.0	312.2	79.2	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[385016.4794921875, 2985156.25], [390156.25, 2985156.25], [390156.25, 2979843.75], [384960.02197265625, 2979843.75], [385016.4794921875, 2985156.25]]]}	MXRA-Z17-031331303023	384960.02197265625,2979843.75,390156.25,2985156.25	27.4	0.2	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303023/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303030	10.2	309.6	79.0	210.4	33.2	32617	{'type': 'MultiPolygon', 'coordinates': [[[[389843.75, 2988376.1596679688], [395156.25, 2988231.5063476562], [395156.25, 2987628.744458412], [389843.75, 2987641.213366808], [389843.75, 2988376.1596679688]]], [[[395156.25, 2984843.75], [389843.75, 2984843.75], [389843.75, 2986778.0094336863], [395156.25, 2986734.041495669], [395156.25, 2984843.75]]]]}	MXRA-Z17-031331303030	389843.75,2984843.75,395156.25,2988376.1596679688	13.7	0.5	4	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303030/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303031	10.7	307.7	78.5	210.4	33.2	32617	{'type': 'MultiPolygon', 'coordinates': [[[[394843.75, 2988240.0512695312], [400156.25, 2988094.1772460938], [400156.25, 2987617.009015215], [394843.75, 2987629.477923611], [394843.75, 2988240.0512695312]]], [[[400156.25, 2984843.75], [394843.75, 2984843.75], [394843.75, 2986736.627844964], [400156.25, 2986692.659906947], [400156.25, 2984843.75]]]]}	MXRA-Z17-031331303031	394843.75,2984843.75,400156.25,2988240.0512695312	12.8	0.8	6	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303031/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303032	10.4	310.2	78.8	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[389843.75, 2985156.25], [389843.75, 2979843.75], [395156.25, 2979843.75], [395156.25, 2985156.25], [389843.75, 2985156.25]]]}	MXRA-Z17-031331303032	389843.75,2979843.75,395156.25,2985156.25	28.2	9.4	33	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303032/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303033	10.8	308.3	78.3	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[394843.75, 2985156.25], [394843.75, 2979843.75], [400156.25, 2979843.75], [400156.25, 2985156.25], [394843.75, 2985156.25]]]}	MXRA-Z17-031331303033	394843.75,2979843.75,400156.25,2985156.25	28.2	4.0	14	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303033/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303120	11.0	306.5	78.1	210.4	33.2	32617	{'type': 'MultiPolygon', 'coordinates': [[[[399843.75, 2988102.7221679688], [403135.986328125, 2988012.0849609375], [403133.0818094833, 2987610.022127094], [399843.75, 2987617.742480415], [399843.75, 2988102.7221679688]]], [[[403113.09814453125, 2984843.75], [399843.75, 2984843.75], [399843.75, 2986695.246256242], [403126.27717327105, 2986668.079018351], [403113.09814453125, 2984843.75]]]]}	MXRA-Z17-031331303120	399843.75,2984843.75,403135.986328125,2988102.7221679688	7.4	4.5	61	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303120/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303122	11.2	306.9	78.0	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[399843.75, 2985156.25], [399843.75, 2979843.75], [403074.951171875, 2979843.75], [403115.53955078125, 2985156.25], [399843.75, 2985156.25]]]}	MXRA-Z17-031331303122	399843.75,2979843.75,403115.53955078125,2985156.25	17.2	1.9	11	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303122/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303200	10.1	313.5	79.1	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[384963.37890625, 2980156.25], [385156.25, 2980156.25], [385156.25, 2974843.75], [384906.92138671875, 2974843.75], [384963.37890625, 2980156.25]]]}	MXRA-Z17-031331303200	384906.92138671875,2974843.75,385156.25,2980156.25	1.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303200/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303201	10.2	313.0	79.0	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[384963.37890625, 2980156.25], [390156.25, 2980156.25], [390156.25, 2974843.75], [384906.92138671875, 2974843.75], [384963.37890625, 2980156.25]]]}	MXRA-Z17-031331303201	384906.92138671875,2974843.75,390156.25,2980156.25	27.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303201/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303210	10.6	311.0	78.6	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[389843.75, 2980156.25], [389843.75, 2974843.75], [395156.25, 2974843.75], [395156.25, 2980156.25], [389843.75, 2980156.25]]]}	MXRA-Z17-031331303210	389843.75,2974843.75,395156.25,2980156.25	28.2	2.9	10	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303210/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303211	11.0	309.1	78.1	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[394843.75, 2980156.25], [394843.75, 2974843.75], [400156.25, 2974843.75], [400156.25, 2980156.25], [394843.75, 2980156.25]]]}	MXRA-Z17-031331303211	394843.75,2974843.75,400156.25,2980156.25	28.2	7.9	28	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303211/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:03+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303300	11.4	307.7	77.7	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[399843.75, 2980156.25], [399843.75, 2974843.75], [403038.63525390625, 2974843.75], [403077.392578125, 2980156.25], [399843.75, 2980156.25]]]}	MXRA-Z17-031331303300	399843.75,2974843.75,403077.392578125,2980156.25	17.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303300/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:04+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303202	10.3	314.2	78.9	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[384910.2783203125, 2975156.25], [385156.25, 2975156.25], [385156.25, 2969843.75], [384854.43115234375, 2969843.75], [384910.2783203125, 2975156.25]]]}	MXRA-Z17-031331303202	384854.43115234375,2969843.75,385156.25,2975156.25	1.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303202/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:04+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303203	10.4	313.7	78.8	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[384910.2783203125, 2975156.25], [390156.25, 2975156.25], [390156.25, 2969843.75], [384854.43115234375, 2969843.75], [384910.2783203125, 2975156.25]]]}	MXRA-Z17-031331303203	384854.43115234375,2969843.75,390156.25,2975156.25	28.0	0.9	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303203/2021-12-18/10200100BC21AC00-visual.tif
2021-12-18 19:15:04+00:00	WV01	0.51	0.0.1	10200100BC21AC00	17	031331303212	10.8	311.7	78.3	210.4	33.2	32617	{'type': 'Polygon', 'coordinates': [[[389843.75, 2975156.25], [389843.75, 2969843.75], [395156.25, 2969843.75], [395156.25, 2975156.25], [389843.75, 2975156.25]]]}	MXRA-Z17-031331303212	389843.75,2969843.75,395156.25,2975156.25	28.2	1.5	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303212/2021-12-18/10200100BC21AC00-visual.tif
