datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-06-06 19:20:56+00:00	WV01	0.67	0.0.1	10200100C64F3000	17	031331031133	32.3	216.2	54.8	264.9	64.3	32617	{'type': 'Polygon', 'coordinates': [[[340155.33447265625, 3100753.4790039062], [340156.25, 3099843.75], [335489.501953125, 3099843.75], [338273.62060546875, 3100385.7421875], [340155.33447265625, 3100753.4790039062]]]}	MXRA-Z17-031331031133	335489.501953125,3099843.75,340156.25,3100753.4790039062	2.1	0.0	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031133/2022-06-06/10200100C64F3000-visual.tif
2022-06-06 19:20:56+00:00	WV01	0.66	0.0.1	10200100C64F3000	17	031331031310	32.2	216.0	55.0	264.9	64.3	32617	{'type': 'Polygon', 'coordinates': [[[335155.94482421875, 3099779.052734375], [335156.25, 3094843.75], [333711.24267578125, 3094843.75], [333755.4931640625, 3099499.8168945312], [335155.94482421875, 3099779.052734375]]]}	MXRA-Z17-031331031310	333711.24267578125,3094843.75,335156.25,3099779.052734375	6.8	0.4	7	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031310/2022-06-06/10200100C64F3000-visual.tif
2022-06-06 19:20:56+00:00	WV01	0.66	0.0.1	10200100C64F3000	17	031331031311	32.3	216.3	54.8	264.9	64.3	32617	{'type': 'Polygon', 'coordinates': [[[337091.97998046875, 3100156.25], [340156.25, 3100156.25], [340156.25, 3094843.75], [334843.75, 3094843.75], [334843.75, 3099718.017578125], [337091.97998046875, 3100156.25]]]}	MXRA-Z17-031331031311	334843.75,3094843.75,340156.25,3100156.25	27.7	3.1	11	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031311/2022-06-06/10200100C64F3000-visual.tif
2022-06-06 19:20:56+00:00	WV01	0.66	0.0.1	10200100C64F3000	17	031331031312	32.0	216.3	55.1	264.9	64.3	32617	{'type': 'Polygon', 'coordinates': [[[333714.599609375, 3095156.25], [335156.25, 3095156.25], [335156.25, 3089843.75], [333658.14208984375, 3089843.75], [333714.599609375, 3095156.25]]]}	MXRA-Z17-031331031312	333658.14208984375,3089843.75,335156.25,3095156.25	7.8	1.8	23	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031312/2022-06-06/10200100C64F3000-visual.tif
2022-06-06 19:20:56+00:00	WV01	0.66	0.0.1	10200100C64F3000	17	031331031313	32.2	216.7	55.0	264.9	64.3	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3095156.25], [334843.75, 3089843.75], [340156.25, 3089843.75], [340156.25, 3095156.25], [334843.75, 3095156.25]]]}	MXRA-Z17-031331031313	334843.75,3089843.75,340156.25,3095156.25	28.2	4.3	15	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031313/2022-06-06/10200100C64F3000-visual.tif
2022-06-06 19:20:56+00:00	WV01	0.66	0.0.1	10200100C64F3000	17	031331031330	31.9	216.7	55.3	265.1	64.3	32617	{'type': 'Polygon', 'coordinates': [[[333661.4990234375, 3090156.25], [335156.25, 3090156.25], [335156.25, 3084843.75], [333605.95703125, 3084843.75], [333661.4990234375, 3090156.25]]]}	MXRA-Z17-031331031330	333605.95703125,3084843.75,335156.25,3090156.25	8.0	3.6	44	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031330/2022-06-06/10200100C64F3000-visual.tif
2022-06-06 19:20:56+00:00	WV01	0.66	0.0.1	10200100C64F3000	17	031331031331	32.0	217.1	55.2	265.1	64.3	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3090156.25], [334843.75, 3084843.75], [340156.25, 3084843.75], [340156.25, 3090156.25], [334843.75, 3090156.25]]]}	MXRA-Z17-031331031331	334843.75,3084843.75,340156.25,3090156.25	28.2	18.5	65	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031331/2022-06-06/10200100C64F3000-visual.tif
2022-06-06 19:20:56+00:00	WV01	0.66	0.0.1	10200100C64F3000	17	031331031332	31.7	217.1	55.5	265.1	64.3	32617	{'type': 'Polygon', 'coordinates': [[[333609.0087890625, 3085156.25], [335156.25, 3085156.25], [335156.25, 3079843.75], [333553.466796875, 3079843.75], [333609.0087890625, 3085156.25]]]}	MXRA-Z17-031331031332	333553.466796875,3079843.75,335156.25,3085156.25	8.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031332/2022-06-06/10200100C64F3000-visual.tif
2022-06-06 19:20:57+00:00	WV01	0.66	0.0.1	10200100C64F3000	17	031331031333	31.9	217.5	55.3	265.1	64.3	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3085156.25], [334843.75, 3079843.75], [340156.25, 3079843.75], [340156.25, 3085156.25], [334843.75, 3085156.25]]]}	MXRA-Z17-031331031333	334843.75,3079843.75,340156.25,3085156.25	28.2	3.6	12	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031333/2022-06-06/10200100C64F3000-visual.tif
2022-06-06 19:20:57+00:00	WV01	0.66	0.0.1	10200100C64F3000	17	031331033110	31.6	217.5	55.7	265.3	64.3	32617	{'type': 'Polygon', 'coordinates': [[[333556.82373046875, 3080156.25], [335156.25, 3080156.25], [335156.25, 3074843.75], [333497.61962890625, 3074843.75], [333556.82373046875, 3080156.25]]]}	MXRA-Z17-031331033110	333497.61962890625,3074843.75,335156.25,3080156.25	8.6	0.2	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033110/2022-06-06/10200100C64F3000-visual.tif
