datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-07-31 19:26:22+00:00	WV01	0.61	0.0.1	10200100CA0ED900	17	033111000332	26.7	275.1	61.0	264.4	65.0	32617	{'type': 'Polygon', 'coordinates': [[[215156.25, 2519843.75], [214660.13932233717, 2519843.75], [214749.48007608863, 2524601.703104616], [215156.25, 2524594.1852882328], [215156.25, 2519843.75]]]}	MXRA-Z17-033111000332	214660.13932233717,2519843.75,215156.25,2524601.703104616	2.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111000332/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:22+00:00	WV01	0.61	0.0.1	10200100CA0ED900	17	033111000333	27.1	275.0	60.6	264.4	65.0	32617	{'type': 'Polygon', 'coordinates': [[[220156.25, 2519843.75], [214843.75, 2519843.75], [214843.75, 2524599.960832298], [220156.25, 2524501.7765831975], [220156.25, 2519843.75]]]}	MXRA-Z17-033111000333	214843.75,2519843.75,220156.25,2524599.960832298	25.0	0.3	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111000333/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:22+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111001222	27.5	274.9	60.1	264.4	65.0	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2519843.75], [219843.75, 2524507.5521272626], [224761.06758896227, 2524416.671537134], [224678.21786743533, 2519843.75], [219843.75, 2519843.75]]]}	MXRA-Z17-033111001222	219843.75,2519843.75,224761.06758896227,2524507.5521272626	22.5	3.6	16	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111001222/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:23+00:00	WV01	0.61	0.0.1	10200100CA0ED900	17	033111002110	26.8	275.6	60.9	264.5	65.0	32617	{'type': 'Polygon', 'coordinates': [[[215156.25, 2520156.25], [215156.25, 2514843.75], [214566.25362003298, 2514843.75], [214666.00717873118, 2520156.25], [215156.25, 2520156.25]]]}	MXRA-Z17-033111002110	214566.25362003298,2514843.75,215156.25,2520156.25	2.8	0.7	24	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002110/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:23+00:00	WV01	0.61	0.0.1	10200100CA0ED900	17	033111002111	27.2	275.5	60.5	264.5	65.0	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2520156.25], [214843.75, 2514843.75], [220156.25, 2514843.75], [220156.25, 2520156.25], [214843.75, 2520156.25]]]}	MXRA-Z17-033111002111	214843.75,2514843.75,220156.25,2520156.25	28.2	9.8	35	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002111/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:23+00:00	WV01	0.61	0.0.1	10200100CA0ED900	17	033111002112	26.9	276.1	60.8	264.6	65.0	32617	{'type': 'Polygon', 'coordinates': [[[215156.25, 2515156.25], [215156.25, 2514643.8726571286], [214562.70570737758, 2514654.801493021], [214572.121476427, 2515156.25], [215156.25, 2515156.25]]]}	MXRA-Z17-033111002112	214562.70570737758,2514643.8726571286,215156.25,2515156.25	0.2	0.2	96	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002112/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:23+00:00	WV01	0.61	0.0.1	10200100CA0ED900	17	033111002113	27.2	276.0	60.4	264.6	65.0	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2515156.25], [220156.25, 2515156.25], [220156.25, 2514551.808458818], [214843.75, 2514649.6266695233], [214843.75, 2515156.25]]]}	MXRA-Z17-033111002113	214843.75,2514551.808458818,220156.25,2515156.25	2.9	2.1	74	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002113/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:23+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111003000	27.6	275.4	60.0	264.5	65.0	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2514843.75], [219843.75, 2520156.25], [224683.87957358247, 2520156.25], [224587.6305690811, 2514843.75], [219843.75, 2514843.75]]]}	MXRA-Z17-033111003000	219843.75,2514843.75,224683.87957358247,2520156.25	25.4	13.1	51	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003000/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:23+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111003002	27.7	276.0	59.9	264.6	65.0	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2515156.25], [224593.29227522828, 2515156.25], [224580.86530539527, 2514470.3387266337], [219843.75, 2514557.562471213], [219843.75, 2515156.25]]]}	MXRA-Z17-033111003002	219843.75,2514470.3387266337,224593.29227522828,2515156.25	3.0	2.0	65	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003002/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:24+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111003201	28.4	277.4	59.2	264.9	65.0	32617	{'type': 'Polygon', 'coordinates': [[[230156.25, 2494843.75], [225059.91563743248, 2494843.75], [230156.25, 2495718.185404288], [230156.25, 2494843.75]]]}	MXRA-Z17-033111003201	225059.91563743248,2494843.75,230156.25,2495718.185404288	2.2	0.5	26	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003201/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:24+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111003210	28.7	277.3	58.8	264.9	65.0	32617	{'type': 'Polygon', 'coordinates': [[[234464.7216796875, 2494843.75], [229843.75, 2494843.75], [229843.75, 2495664.566264648], [234474.00063443088, 2496459.0304417266], [234464.7216796875, 2494843.75]]]}	MXRA-Z17-033111003210	229843.75,2494843.75,234474.00063443088,2496459.0304417266	5.6	2.5	45	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003210/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.61	0.0.1	10200100CA0ED900	17	033111002312	27.2	278.2	60.5	265.0	65.0	32617	{'type': 'Polygon', 'coordinates': [[[215156.25, 2489843.75], [210767.822265625, 2489843.75], [210807.80029296875, 2490271.3012695312], [210822.1435546875, 2491701.9653320312], [210859.6085358209, 2492407.243601868], [215156.25, 2493144.4667015546], [215156.25, 2489843.75]]]}	MXRA-Z17-033111002312	210767.822265625,2489843.75,215156.25,2493144.4667015546	12.7	0.1	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002312/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111002313	27.6	278.1	60.0	265.0	65.0	32617	{'type': 'Polygon', 'coordinates': [[[220156.25, 2489843.75], [214843.75, 2489843.75], [214843.75, 2493090.847561914], [220156.25, 2494002.372935799], [220156.25, 2489843.75]]]}	MXRA-Z17-033111002313	214843.75,2489843.75,220156.25,2494002.372935799	19.6	1.4	7	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002313/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.61	0.0.1	10200100CA0ED900	17	033111002330	27.3	278.7	60.4	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[210802.001953125, 2490156.25], [215156.25, 2490156.25], [215156.25, 2484843.75], [210689.697265625, 2484843.75], [210802.001953125, 2490156.25]]]}	MXRA-Z17-033111002330	210689.697265625,2484843.75,215156.25,2490156.25	23.4	5.0	21	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002330/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111002331	27.7	278.6	60.0	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2490156.25], [214843.75, 2484843.75], [220156.25, 2484843.75], [220156.25, 2490156.25], [214843.75, 2490156.25]]]}	MXRA-Z17-033111002331	214843.75,2484843.75,220156.25,2490156.25	28.2	5.7	20	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002331/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111002332	27.4	279.3	60.3	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[210690.91796875, 2485156.25], [215156.25, 2485156.25], [215156.25, 2479843.75], [210646.97265625, 2479843.75], [210670.7763671875, 2482357.7880859375], [210567.32177734375, 2483865.966796875], [210683.28857421875, 2484303.5888671875], [210690.91796875, 2485156.25]]]}	MXRA-Z17-033111002332	210567.32177734375,2479843.75,215156.25,2485156.25	23.9	4.9	20	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002332/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111002333	27.8	279.1	59.9	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2485156.25], [214843.75, 2479843.75], [220156.25, 2479843.75], [220156.25, 2485156.25], [214843.75, 2485156.25]]]}	MXRA-Z17-033111002333	214843.75,2479843.75,220156.25,2485156.25	28.2	7.0	25	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002333/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111003202	28.0	278.0	59.6	265.0	65.0	32617	{'type': 'Polygon', 'coordinates': [[[225156.25, 2489843.75], [219843.75, 2489843.75], [219843.75, 2493948.753796159], [225156.25, 2494860.2791700438], [225156.25, 2489843.75]]]}	MXRA-Z17-033111003202	219843.75,2489843.75,225156.25,2494860.2791700438	24.2	3.0	12	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003202/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111003203	28.4	277.9	59.1	265.0	65.0	32617	{'type': 'Polygon', 'coordinates': [[[230156.25, 2495156.25], [230156.25, 2489843.75], [224843.75, 2489843.75], [224843.75, 2494806.6600304036], [226881.21024706517, 2495156.25], [230156.25, 2495156.25]]]}	MXRA-Z17-033111003203	224843.75,2489843.75,230156.25,2495156.25	27.8	4.0	14	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003203/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111003212	28.8	277.8	58.7	265.0	65.0	32617	{'type': 'Polygon', 'coordinates': [[[229843.75, 2495156.25], [229843.75, 2489843.75], [234390.56396484375, 2489843.75], [234469.90966796875, 2495156.25], [229843.75, 2495156.25]]]}	MXRA-Z17-033111003212	229843.75,2489843.75,234469.90966796875,2495156.25	24.3	7.6	31	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003212/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111003220	28.1	278.5	59.5	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2490156.25], [219843.75, 2484843.75], [225156.25, 2484843.75], [225156.25, 2490156.25], [219843.75, 2490156.25]]]}	MXRA-Z17-033111003220	219843.75,2484843.75,225156.25,2490156.25	28.2	3.2	11	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003220/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111003221	28.5	278.4	59.0	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[224843.75, 2490156.25], [224843.75, 2484843.75], [230156.25, 2484843.75], [230156.25, 2490156.25], [224843.75, 2490156.25]]]}	MXRA-Z17-033111003221	224843.75,2484843.75,230156.25,2490156.25	28.2	7.0	25	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003221/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111003222	28.2	279.0	59.4	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2485156.25], [219843.75, 2479843.75], [225156.25, 2479843.75], [225156.25, 2485156.25], [219843.75, 2485156.25]]]}	MXRA-Z17-033111003222	219843.75,2479843.75,225156.25,2485156.25	28.2	7.5	26	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003222/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111003223	28.6	278.9	58.9	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[224843.75, 2485156.25], [224843.75, 2479843.75], [230156.25, 2479843.75], [230156.25, 2485156.25], [224843.75, 2485156.25]]]}	MXRA-Z17-033111003223	224843.75,2479843.75,230156.25,2485156.25	28.2	6.1	21	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003223/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111003230	28.9	278.3	58.6	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[229843.75, 2490156.25], [229843.75, 2484843.75], [234317.93212890625, 2484843.75], [234392.08984375, 2490156.25], [229843.75, 2490156.25]]]}	MXRA-Z17-033111003230	229843.75,2484843.75,234392.08984375,2490156.25	23.9	4.2	17	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003230/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:25+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111003232	29.0	278.7	58.5	265.1	65.0	32617	{'type': 'Polygon', 'coordinates': [[[229843.75, 2485156.25], [229843.75, 2479843.75], [234244.68994140625, 2479843.75], [234319.15283203125, 2485156.25], [229843.75, 2485156.25]]]}	MXRA-Z17-033111003232	229843.75,2479843.75,234319.15283203125,2485156.25	23.5	3.6	15	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003232/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020110	27.5	279.8	60.2	265.4	65.0	32617	{'type': 'Polygon', 'coordinates': [[[210644.53125, 2480156.25], [215156.25, 2480156.25], [215156.25, 2474843.75], [210568.2373046875, 2474843.75], [210592.34619140625, 2477030.029296875], [210653.99169921875, 2479159.2407226562], [210644.53125, 2480156.25]]]}	MXRA-Z17-033111020110	210568.2373046875,2474843.75,215156.25,2480156.25	24.1	3.8	16	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020110/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020111	27.8	279.6	59.8	265.3	65.0	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2480156.25], [214843.75, 2474843.75], [220156.25, 2474843.75], [220156.25, 2480156.25], [214843.75, 2480156.25]]]}	MXRA-Z17-033111020111	214843.75,2474843.75,220156.25,2480156.25	28.2	6.5	23	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020111/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020112	27.6	280.3	60.1	265.4	65.0	32617	{'type': 'Polygon', 'coordinates': [[[210573.42529296875, 2475156.25], [215156.25, 2475156.25], [215156.25, 2469843.75], [210467.22412109375, 2469843.75], [210573.42529296875, 2475156.25]]]}	MXRA-Z17-033111020112	210467.22412109375,2469843.75,215156.25,2475156.25	24.6	1.3	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020112/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020113	27.9	280.1	59.7	265.4	65.0	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2475156.25], [214843.75, 2469843.75], [220156.25, 2469843.75], [220156.25, 2475156.25], [214843.75, 2475156.25]]]}	MXRA-Z17-033111020113	214843.75,2469843.75,220156.25,2475156.25	28.2	1.5	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020113/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020130	27.6	280.8	60.0	265.5	65.0	32617	{'type': 'Polygon', 'coordinates': [[[210472.412109375, 2470156.25], [215156.25, 2470156.25], [215156.25, 2464843.75], [210371.7041015625, 2464843.75], [210472.412109375, 2470156.25]]]}	MXRA-Z17-033111020130	210371.7041015625,2464843.75,215156.25,2470156.25	25.1	0.9	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020130/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020131	28.0	280.6	59.6	265.5	65.0	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2470156.25], [214843.75, 2464843.75], [220156.25, 2464843.75], [220156.25, 2470156.25], [214843.75, 2470156.25]]]}	MXRA-Z17-033111020131	214843.75,2464843.75,220156.25,2470156.25	28.2	0.3	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020131/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111021000	28.3	279.5	59.3	265.3	65.0	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2480156.25], [219843.75, 2474843.75], [225156.25, 2474843.75], [225156.25, 2480156.25], [219843.75, 2480156.25]]]}	MXRA-Z17-033111021000	219843.75,2474843.75,225156.25,2480156.25	28.2	2.3	8	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021000/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111021001	28.7	279.3	58.8	265.3	65.0	32617	{'type': 'Polygon', 'coordinates': [[[224843.75, 2480156.25], [224843.75, 2474843.75], [230156.25, 2474843.75], [230156.25, 2480156.25], [224843.75, 2480156.25]]]}	MXRA-Z17-033111021001	224843.75,2474843.75,230156.25,2480156.25	28.2	2.7	9	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021001/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111021002	28.4	280.0	59.2	265.4	65.0	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2475156.25], [219843.75, 2469843.75], [225156.25, 2469843.75], [225156.25, 2475156.25], [219843.75, 2475156.25]]]}	MXRA-Z17-033111021002	219843.75,2469843.75,225156.25,2475156.25	28.2	0.1	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021002/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111021003	28.8	279.8	58.7	265.4	65.0	32617	{'type': 'Polygon', 'coordinates': [[[224843.75, 2475156.25], [224843.75, 2469843.75], [230156.25, 2469843.75], [230156.25, 2475156.25], [224843.75, 2475156.25]]]}	MXRA-Z17-033111021003	224843.75,2469843.75,230156.25,2475156.25	28.2	0.2	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021003/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111021010	29.1	279.2	58.4	265.3	65.0	32617	{'type': 'Polygon', 'coordinates': [[[229843.75, 2480156.25], [229843.75, 2474843.75], [234178.77197265625, 2474843.75], [234223.0224609375, 2478957.51953125], [234252.9296875, 2480156.25], [229843.75, 2480156.25]]]}	MXRA-Z17-033111021010	229843.75,2474843.75,234252.9296875,2480156.25	23.1	2.4	10	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021010/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111021012	29.1	279.7	58.3	265.4	65.0	32617	{'type': 'Polygon', 'coordinates': [[[229843.75, 2475156.25], [229843.75, 2469843.75], [234106.4453125, 2469843.75], [234184.5703125, 2475156.25], [229843.75, 2475156.25]]]}	MXRA-Z17-033111021012	229843.75,2469843.75,234184.5703125,2475156.25	22.8	0.1	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021012/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111021020	28.4	280.5	59.1	265.5	65.0	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2470156.25], [219843.75, 2464843.75], [225156.25, 2464843.75], [225156.25, 2470156.25], [219843.75, 2470156.25]]]}	MXRA-Z17-033111021020	219843.75,2464843.75,225156.25,2470156.25	28.2	0.2	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021020/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111021021	28.9	280.3	58.6	265.5	65.0	32617	{'type': 'Polygon', 'coordinates': [[[224843.75, 2470156.25], [224843.75, 2464843.75], [230156.25, 2464843.75], [230156.25, 2470156.25], [224843.75, 2470156.25]]]}	MXRA-Z17-033111021021	224843.75,2464843.75,230156.25,2470156.25	28.2	1.1	4	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021021/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:26+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111021030	29.2	280.2	58.2	265.5	65.0	32617	{'type': 'Polygon', 'coordinates': [[[229843.75, 2470156.25], [229843.75, 2464843.75], [234042.96875, 2464843.75], [234109.80224609375, 2470156.25], [229843.75, 2470156.25]]]}	MXRA-Z17-033111021030	229843.75,2464843.75,234109.80224609375,2470156.25	22.4	0.1	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021030/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:27+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020132	27.7	281.3	59.9	265.6	65.0	32617	{'type': 'Polygon', 'coordinates': [[[210376.28173828125, 2465156.25], [215156.25, 2465156.25], [215156.25, 2459843.75], [210278.9306640625, 2459843.75], [210376.28173828125, 2465156.25]]]}	MXRA-Z17-033111020132	210278.9306640625,2459843.75,215156.25,2465156.25	25.6	2.3	9	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020132/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:27+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020133	28.1	281.1	59.4	265.6	65.0	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2465156.25], [214843.75, 2459843.75], [220156.25, 2459843.75], [220156.25, 2465156.25], [214843.75, 2465156.25]]]}	MXRA-Z17-033111020133	214843.75,2459843.75,220156.25,2465156.25	28.2	2.6	9	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020133/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:27+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020310	27.8	281.8	59.8	265.6	65.0	32617	{'type': 'Polygon', 'coordinates': [[[215156.25, 2460156.25], [215156.25, 2456724.6230562353], [210198.79359990664, 2455832.6560322973], [210284.72900390625, 2460156.25], [215156.25, 2460156.25]]]}	MXRA-Z17-033111020310	210198.79359990664,2455832.6560322973,215156.25,2460156.25	19.0	1.6	8	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020310/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:27+00:00	WV01	0.62	0.0.1	10200100CA0ED900	17	033111020311	28.2	281.6	59.3	265.6	65.0	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2460156.25], [220156.25, 2460156.25], [220156.25, 2457624.244708905], [214843.75, 2456668.3967029434], [214843.75, 2460156.25]]]}	MXRA-Z17-033111020311	214843.75,2456668.3967029434,220156.25,2460156.25	15.9	0.5	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111020311/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:27+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111021022	28.5	281.0	59.0	265.6	65.0	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2465156.25], [219843.75, 2459843.75], [225156.25, 2459843.75], [225156.25, 2465156.25], [219843.75, 2465156.25]]]}	MXRA-Z17-033111021022	219843.75,2459843.75,225156.25,2465156.25	28.2	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021022/2022-07-31/10200100CA0ED900-visual.tif
2022-07-31 19:26:27+00:00	WV01	0.63	0.0.1	10200100CA0ED900	17	033111021023	29.0	280.8	58.5	265.6	65.0	32617	{'type': 'Polygon', 'coordinates': [[[224843.75, 2465156.25], [224843.75, 2459843.75], [230156.25, 2459843.75], [230156.25, 2465156.25], [224843.75, 2465156.25]]]}	MXRA-Z17-033111021023	224843.75,2459843.75,230156.25,2465156.25	28.2	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111021023/2022-07-31/10200100CA0ED900-visual.tif
