datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-01-12 16:24:31+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111000332	20.2	344.1	67.2	155.1	41.8	32617	{'type': 'Polygon', 'coordinates': [[[215156.25, 2519843.75], [214660.13932233717, 2519843.75], [214749.48007608863, 2524601.703104616], [215156.25, 2524594.1852882328], [215156.25, 2519843.75]]]}	MXRA-Z17-033111000332	214660.13932233717,2519843.75,215156.25,2524601.703104616	2.1	0.8	37	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111000332/2022-01-12/10300100CCC6CD00-visual.tif
2022-01-12 16:24:31+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111000333	20.3	343.1	67.1	155.1	41.8	32617	{'type': 'Polygon', 'coordinates': [[[220156.25, 2519843.75], [214843.75, 2519843.75], [214843.75, 2524599.960832298], [220156.25, 2524501.7765831975], [220156.25, 2519843.75]]]}	MXRA-Z17-033111000333	214843.75,2519843.75,220156.25,2524599.960832298	25.0	3.6	14	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111000333/2022-01-12/10300100CCC6CD00-visual.tif
2022-01-12 16:24:31+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111001222	20.4	342.2	67.0	155.1	41.8	32617	{'type': 'Polygon', 'coordinates': [[[219843.75, 2519843.75], [219843.75, 2524507.5521272626], [224761.06758896227, 2524416.671537134], [224678.21786743533, 2519843.75], [219843.75, 2519843.75]]]}	MXRA-Z17-033111001222	219843.75,2519843.75,224761.06758896227,2524507.5521272626	22.5	3.7	16	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111001222/2022-01-12/10300100CCC6CD00-visual.tif
2022-01-12 16:24:32+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111002110	20.3	344.0	67.1	155.1	41.8	32617	{'type': 'Polygon', 'coordinates': [[[215156.25, 2520156.25], [215156.25, 2514843.75], [214566.25362003298, 2514843.75], [214666.00717873118, 2520156.25], [215156.25, 2520156.25]]]}	MXRA-Z17-033111002110	214566.25362003298,2514843.75,215156.25,2520156.25	2.8	0.1	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002110/2022-01-12/10300100CCC6CD00-visual.tif
2022-01-12 16:24:32+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111002111	20.4	343.1	66.9	155.1	41.8	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2520156.25], [214843.75, 2514843.75], [220156.25, 2514843.75], [220156.25, 2520156.25], [214843.75, 2520156.25]]]}	MXRA-Z17-033111002111	214843.75,2514843.75,220156.25,2520156.25	28.2	2.3	8	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002111/2022-01-12/10300100CCC6CD00-visual.tif
2022-01-12 16:24:32+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111002112	20.5	344.0	66.9	155.1	41.9	32617	{'type': 'Polygon', 'coordinates': [[[215156.25, 2515156.25], [215156.25, 2514643.8726571286], [214562.70570737758, 2514654.801493021], [214572.121476427, 2515156.25], [215156.25, 2515156.25]]]}	MXRA-Z17-033111002112	214562.70570737758,2514643.8726571286,215156.25,2515156.25	0.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002112/2022-01-12/10300100CCC6CD00-visual.tif
2022-01-12 16:24:32+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111002113	20.6	343.1	66.8	155.1	41.9	32617	{'type': 'Polygon', 'coordinates': [[[214843.75, 2515156.25], [220156.25, 2515156.25], [220156.25, 2514551.808458818], [214843.75, 2514649.6266695233], [214843.75, 2515156.25]]]}	MXRA-Z17-033111002113	214843.75,2514551.808458818,220156.25,2515156.25	2.9	1.2	43	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002113/2022-01-12/10300100CCC6CD00-visual.tif
2022-01-12 16:24:34+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111002303	21.0	344.3	66.4	155.0	42.0	32617	{'type': 'Polygon', 'coordinates': [[[210156.25, 2489843.75], [207744.7509765625, 2489843.75], [207780.76171875, 2491661.6821289062], [207781.96235415575, 2491879.177232658], [210156.25, 2492286.56046731], [210156.25, 2489843.75]]]}	MXRA-Z17-033111002303	207744.7509765625,2489843.75,210156.25,2492286.56046731	5.3	2.4	46	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002303/2022-01-12/10300100CCC6CD00-visual.tif
2022-01-12 16:24:34+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111002312	21.0	343.8	66.3	155.0	42.0	32617	{'type': 'Polygon', 'coordinates': [[[215156.25, 2489843.75], [209843.75, 2489843.75], [209843.75, 2492232.9413276697], [215156.25, 2493144.4667015546], [215156.25, 2489843.75]]]}	MXRA-Z17-033111002312	209843.75,2489843.75,215156.25,2493144.4667015546	15.1	6.4	42	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002312/2022-01-12/10300100CCC6CD00-visual.tif
2022-01-12 16:24:34+00:00	WV02	0.52	0.0.1	10300100CCC6CD00	17	033111002313	21.1	342.9	66.2	155.0	42.0	32617	{'type': 'Polygon', 'coordinates': [[[220156.25, 2489843.75], [214843.75, 2489843.75], [214843.75, 2493090.847561914], [220156.25, 2494002.372935799], [220156.25, 2489843.75]]]}	MXRA-Z17-033111002313	214843.75,2489843.75,220156.25,2494002.372935799	19.6	16.7	85	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111002313/2022-01-12/10300100CCC6CD00-visual.tif
