datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-03-13 16:15:55+00:00	WV02	0.51	0.0.1	10300100D01AC700	17	031331031102	18.0	164.3	69.8	143.2	53.2	32617	{'type': 'Polygon', 'coordinates': [[[325156.25, 3109843.75], [322319.3359375, 3109843.75], [322355.9482180469, 3114150.145809197], [325156.25, 3114291.6971529373], [325156.25, 3109843.75]]]}	MXRA-Z17-031331031102	322319.3359375,3109843.75,325156.25,3114291.6971529373	12.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031102/2022-03-13/10300100D01AC700-visual.tif
2022-03-13 16:15:55+00:00	WV02	0.51	0.0.1	10300100D01AC700	17	031331031103	17.9	165.2	69.8	143.2	53.2	32617	{'type': 'Polygon', 'coordinates': [[[330156.25, 3109843.75], [324843.75, 3109843.75], [324843.75, 3114275.9007144235], [330156.25, 3114544.44016916], [330156.25, 3109843.75]]]}	MXRA-Z17-031331031103	324843.75,3109843.75,330156.25,3114544.44016916	24.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031103/2022-03-13/10300100D01AC700-visual.tif
2022-03-13 16:15:56+00:00	WV02	0.51	0.0.1	10300100D01AC700	17	031331031111	18.3	167.9	69.4	143.2	53.2	32617	{'type': 'Polygon', 'coordinates': [[[339747.314453125, 3114843.75], [336077.47851333296, 3114843.75], [339750.9518572373, 3115029.4389465903], [339747.314453125, 3114843.75]]]}	MXRA-Z17-031331031111	336077.47851333296,3114843.75,339750.9518572373,3115029.4389465903	0.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031111/2022-03-13/10300100D01AC700-visual.tif
2022-03-13 16:15:55+00:00	WV02	0.51	0.0.1	10300100D01AC700	17	031331031112	17.9	166.3	69.9	143.2	53.2	32617	{'type': 'Polygon', 'coordinates': [[[335156.25, 3109843.75], [329843.75, 3109843.75], [329843.75, 3114528.643730646], [335156.25, 3114797.1831853823], [335156.25, 3109843.75]]]}	MXRA-Z17-031331031112	329843.75,3109843.75,335156.25,3114797.1831853823	25.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031112/2022-03-13/10300100D01AC700-visual.tif
2022-03-13 16:15:55+00:00	WV02	0.51	0.0.1	10300100D01AC700	17	031331031113	17.8	167.4	70.0	143.2	53.2	32617	{'type': 'Polygon', 'coordinates': [[[339649.35302734375, 3109843.75], [334843.75, 3109843.75], [334843.75, 3114781.386746868], [339750.9338879279, 3115029.4380382667], [339649.35302734375, 3109843.75]]]}	MXRA-Z17-031331031113	334843.75,3109843.75,339750.9338879279,3115029.4380382667	24.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031113/2022-03-13/10300100D01AC700-visual.tif
2022-03-13 16:15:55+00:00	WV02	0.5	0.0.1	10300100D01AC700	17	031331031120	17.5	163.6	70.3	143.1	53.2	32617	{'type': 'Polygon', 'coordinates': [[[322322.08251953125, 3110156.25], [325156.25, 3110156.25], [325156.25, 3104843.75], [322276.611328125, 3104843.75], [322322.08251953125, 3110156.25]]]}	MXRA-Z17-031331031120	322276.611328125,3104843.75,325156.25,3110156.25	15.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031120/2022-03-13/10300100D01AC700-visual.tif
2022-03-13 16:15:55+00:00	WV02	0.5	0.0.1	10300100D01AC700	17	031331031121	17.4	164.5	70.4	143.1	53.2	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3110156.25], [324843.75, 3104843.75], [330156.25, 3104843.75], [330156.25, 3110156.25], [324843.75, 3110156.25]]]}	MXRA-Z17-031331031121	324843.75,3104843.75,330156.25,3110156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031121/2022-03-13/10300100D01AC700-visual.tif
2022-03-13 16:15:54+00:00	WV02	0.5	0.0.1	10300100D01AC700	17	031331031122	16.9	162.9	70.9	143.1	53.2	32617	{'type': 'Polygon', 'coordinates': [[[322279.35791015625, 3105156.25], [325156.25, 3105156.25], [325156.25, 3099843.75], [322233.2763671875, 3099843.75], [322279.35791015625, 3105156.25]]]}	MXRA-Z17-031331031122	322233.2763671875,3099843.75,325156.25,3105156.25	15.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031122/2022-03-13/10300100D01AC700-visual.tif
2022-03-13 16:15:54+00:00	WV02	0.5	0.0.1	10300100D01AC700	17	031331031123	16.9	163.8	71.0	143.1	53.2	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3105156.25], [324843.75, 3099843.75], [330156.25, 3099843.75], [330156.25, 3105156.25], [324843.75, 3105156.25]]]}	MXRA-Z17-031331031123	324843.75,3099843.75,330156.25,3105156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031123/2022-03-13/10300100D01AC700-visual.tif
2022-03-13 16:15:55+00:00	WV02	0.5	0.0.1	10300100D01AC700	17	031331031130	17.3	165.7	70.5	143.1	53.2	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 3110156.25], [329843.75, 3104843.75], [335156.25, 3104843.75], [335156.25, 3110156.25], [329843.75, 3110156.25]]]}	MXRA-Z17-031331031130	329843.75,3104843.75,335156.25,3110156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331031130/2022-03-13/10300100D01AC700-visual.tif
