datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-08-01 16:21:49+00:00	WV02	0.46	0.0.1	10300100D6CFC000	17	031331120013	3.4	290.9	86.2	116.5	70.3	32617	{'type': 'Polygon', 'coordinates': [[[359620.16365240875, 3112694.8466843357], [360156.25, 3111826.657856687], [360156.25, 3109843.75], [355636.5966796875, 3109843.75], [355671.69189453125, 3112745.361328125], [359620.16365240875, 3112694.8466843357]]]}	MXRA-Z17-031331120013	355636.5966796875,3109843.75,360156.25,3112745.361328125	12.7	4.4	35	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120013/2022-08-01/10300100D6CFC000-visual.tif
2022-08-01 16:21:49+00:00	WV02	0.46	0.0.1	10300100D6CFC000	17	031331120031	3.6	297.7	86.0	116.5	70.3	32617	{'type': 'Polygon', 'coordinates': [[[355640.2587890625, 3110156.25], [360156.25, 3110156.25], [360156.25, 3104843.75], [355576.47705078125, 3104843.75], [355640.2587890625, 3110156.25]]]}	MXRA-Z17-031331120031	355576.47705078125,3104843.75,360156.25,3110156.25	24.1	10.7	44	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120031/2022-08-01/10300100D6CFC000-visual.tif
2022-08-01 16:21:48+00:00	WV02	0.47	0.0.1	10300100D6CFC000	17	031331120033	3.8	306.6	85.7	116.3	70.3	32617	{'type': 'Polygon', 'coordinates': [[[355580.13916015625, 3105156.25], [360156.25, 3105156.25], [360156.25, 3099843.75], [355516.9677734375, 3099843.75], [355580.13916015625, 3105156.25]]]}	MXRA-Z17-031331120033	355516.9677734375,3099843.75,360156.25,3105156.25	24.4	2.0	8	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120033/2022-08-01/10300100D6CFC000-visual.tif
2022-08-01 16:21:49+00:00	WV02	0.47	0.0.1	10300100D6CFC000	17	031331120102	3.7	288.6	85.8	116.5	70.3	32617	{'type': 'Polygon', 'coordinates': [[[359843.75, 3109843.75], [359843.75, 3112332.749850746], [361380.6493433776, 3109843.75], [359843.75, 3109843.75]]]}	MXRA-Z17-031331120102	359843.75,3109843.75,361380.6493433776,3112332.749850746	1.9	0.1	7	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120102/2022-08-01/10300100D6CFC000-visual.tif
2022-08-01 16:21:49+00:00	WV02	0.47	0.0.1	10300100D6CFC000	17	031331120120	3.8	295.3	85.7	116.5	70.3	32617	{'type': 'Polygon', 'coordinates': [[[359843.75, 3104843.75], [359843.75, 3110156.25], [361187.6878835119, 3110156.25], [364468.0327012292, 3104843.75], [359843.75, 3104843.75]]]}	MXRA-Z17-031331120120	359843.75,3104843.75,364468.0327012292,3110156.25	15.8	6.4	40	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120120/2022-08-01/10300100D6CFC000-visual.tif
2022-08-01 16:21:48+00:00	WV02	0.47	0.0.1	10300100D6CFC000	17	031331120122	4.1	303.7	85.4	116.3	70.3	32617	{'type': 'Polygon', 'coordinates': [[[365156.25, 3099843.75], [359843.75, 3099843.75], [359843.75, 3105156.25], [364275.0712413635, 3105156.25], [365156.25, 3103729.1859517414], [365156.25, 3099843.75]]]}	MXRA-Z17-031331120122	359843.75,3099843.75,365156.25,3105156.25	27.5	6.8	24	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120122/2022-08-01/10300100D6CFC000-visual.tif
2022-08-01 16:21:48+00:00	WV02	0.47	0.0.1	10300100D6CFC000	17	031331120123	4.4	300.9	85.0	116.3	70.3	32617	{'type': 'Polygon', 'coordinates': [[[364843.75, 3099843.75], [364843.75, 3104235.2779458], [367555.4160590808, 3099843.75], [364843.75, 3099843.75]]]}	MXRA-Z17-031331120123	364843.75,3099843.75,367555.4160590808,3104235.2779458	5.9	1.1	19	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120123/2022-08-01/10300100D6CFC000-visual.tif
2022-08-01 16:21:48+00:00	WV02	0.47	0.0.1	10300100D6CFC000	17	031331120211	4.2	314.0	85.3	116.3	70.3	32617	{'type': 'Polygon', 'coordinates': [[[355521.240234375, 3100156.25], [360156.25, 3100156.25], [360156.25, 3094843.75], [355455.9326171875, 3094843.75], [355521.240234375, 3100156.25]]]}	MXRA-Z17-031331120211	355455.9326171875,3094843.75,360156.25,3100156.25	24.7	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120211/2022-08-01/10300100D6CFC000-visual.tif
2022-08-01 16:21:47+00:00	WV02	0.47	0.0.1	10300100D6CFC000	17	031331120213	4.6	320.2	84.8	116.2	70.3	32617	{'type': 'Polygon', 'coordinates': [[[355459.89990234375, 3095156.25], [360156.25, 3095156.25], [360156.25, 3089843.75], [355393.37158203125, 3089843.75], [355459.89990234375, 3095156.25]]]}	MXRA-Z17-031331120213	355393.37158203125,3089843.75,360156.25,3095156.25	25.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120213/2022-08-01/10300100D6CFC000-visual.tif
2022-08-01 16:21:47+00:00	WV02	0.47	0.0.1	10300100D6CFC000	17	031331120231	5.1	325.3	84.3	116.0	70.3	32617	{'type': 'Polygon', 'coordinates': [[[355397.3388671875, 3090156.25], [360156.25, 3090156.25], [360156.25, 3084843.75], [355329.89501953125, 3084843.75], [355397.3388671875, 3090156.25]]]}	MXRA-Z17-031331120231	355329.89501953125,3084843.75,360156.25,3090156.25	25.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120231/2022-08-01/10300100D6CFC000-visual.tif
