datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-08-01 16:21:57+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331120310	5.6	250.2	83.7	116.7	70.5	32617	{'type': 'Polygon', 'coordinates': [[[370149.5361328125, 3094843.75], [370157.74888913013, 3095629.2866042717], [370642.7994169324, 3094843.75], [370149.5361328125, 3094843.75]]]}	MXRA-Z17-031331120310	370149.5361328125,3094843.75,370642.7994169324,3095629.2866042717	0.1	0.0	33	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120310/2022-08-01/10300100D8A7A100-visual.tif
2022-08-01 16:21:57+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331120312	5.6	251.5	83.7	116.5	70.5	32617	{'type': 'Polygon', 'coordinates': [[[370449.83795706666, 3095156.25], [373730.182774784, 3089843.75], [370097.96142578125, 3089843.75], [370152.89306640625, 3095156.25], [370449.83795706666, 3095156.25]]]}	MXRA-Z17-031331120312	370097.96142578125,3089843.75,373730.182774784,3095156.25	10.4	4.5	43	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120312/2022-08-01/10300100D8A7A100-visual.tif
2022-08-01 16:21:58+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331120323	5.6	253.8	83.7	116.2	70.5	32617	{'type': 'Polygon', 'coordinates': [[[370048.828125, 3085156.25], [370156.25, 3085156.25], [370156.25, 3079843.75], [369992.0654296875, 3079843.75], [370026.55029296875, 3082956.2377929688], [370041.50390625, 3084547.7294921875], [370048.828125, 3085156.25]]]}	MXRA-Z17-031331120323	369992.0654296875,3079843.75,370156.25,3085156.25	0.7	0.0	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120323/2022-08-01/10300100D8A7A100-visual.tif
2022-08-01 16:21:58+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331120330	5.6	252.7	83.7	116.3	70.5	32617	{'type': 'Polygon', 'coordinates': [[[373537.22131491825, 3090156.25], [375156.25, 3087534.24214185], [375156.25, 3084843.75], [370044.86083984375, 3084843.75], [370101.318359375, 3090156.25], [373537.22131491825, 3090156.25]]]}	MXRA-Z17-031331120330	370044.86083984375,3084843.75,375156.25,3090156.25	24.8	6.0	24	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120330/2022-08-01/10300100D8A7A100-visual.tif
2022-08-01 16:21:58+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331120331	6.0	253.8	83.3	116.3	70.5	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3084843.75], [374843.75, 3088040.334135909], [375771.3590760733, 3086538.076449454], [375929.223114814, 3084843.75], [374843.75, 3084843.75]]]}	MXRA-Z17-031331120331	374843.75,3084843.75,375929.223114814,3088040.334135909	2.4	0.2	12	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120331/2022-08-01/10300100D8A7A100-visual.tif
2022-08-01 16:21:58+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331120332	5.7	254.0	83.7	116.3	70.5	32617	{'type': 'Polygon', 'coordinates': [[[370048.828125, 3085156.25], [375156.25, 3085156.25], [375156.25, 3079843.75], [369992.0654296875, 3079843.75], [370048.828125, 3085156.25]]]}	MXRA-Z17-031331120332	369992.0654296875,3079843.75,375156.25,3085156.25	27.2	8.5	31	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120332/2022-08-01/10300100D8A7A100-visual.tif
2022-08-01 16:21:58+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331120333	6.0	254.9	83.3	116.3	70.5	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3079843.75], [374843.75, 3085156.25], [375900.1068178204, 3085156.25], [376395.0838667123, 3079843.75], [374843.75, 3079843.75]]]}	MXRA-Z17-031331120333	374843.75,3079843.75,376395.0838667123,3085156.25	6.9	2.1	30	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331120333/2022-08-01/10300100D8A7A100-visual.tif
2022-08-01 16:21:59+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331122101	5.6	255.0	83.7	116.2	70.5	32617	{'type': 'Polygon', 'coordinates': [[[369995.42236328125, 3080156.25], [370156.25, 3080156.25], [370156.25, 3074843.75], [369940.7958984375, 3074843.75], [369995.42236328125, 3080156.25]]]}	MXRA-Z17-031331122101	369940.7958984375,3074843.75,370156.25,3080156.25	0.9	0.8	81	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122101/2022-08-01/10300100D8A7A100-visual.tif
2022-08-01 16:21:59+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331122103	5.7	256.1	83.6	116.2	70.5	32617	{'type': 'Polygon', 'coordinates': [[[369944.15283203125, 3075156.25], [370156.25, 3075156.25], [370156.25, 3071432.8002929688], [369906.005859375, 3071434.6313476562], [369944.15283203125, 3075156.25]]]}	MXRA-Z17-031331122103	369906.005859375,3071432.8002929688,370156.25,3075156.25	0.8	0.7	86	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122103/2022-08-01/10300100D8A7A100-visual.tif
2022-08-01 16:21:59+00:00	WV02	0.47	0.0.1	10300100D8A7A100	17	031331122110	5.7	255.2	83.6	116.2	70.5	32617	{'type': 'Polygon', 'coordinates': [[[369995.42236328125, 3080156.25], [375156.25, 3080156.25], [375156.25, 3074843.75], [369940.7958984375, 3074843.75], [369995.42236328125, 3080156.25]]]}	MXRA-Z17-031331122110	369940.7958984375,3074843.75,375156.25,3080156.25	27.5	10.9	39	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122110/2022-08-01/10300100D8A7A100-visual.tif
