datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331123222	24.8	165.9	62.0	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[379843.75, 3039843.75], [379843.75, 3042829.8341545984], [380121.96988189855, 3039843.75], [379843.75, 3039843.75]]]}	MXRA-Z17-031331123222	379843.75,3039843.75,380121.96988189855,3042829.8341545984	0.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331123222/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331300110	24.7	164.3	62.1	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[369843.75, 3040156.25], [369843.75, 3037652.8930664062], [371403.1982421875, 3034843.75], [375156.25, 3034843.75], [375156.25, 3040156.25], [369843.75, 3040156.25]]]}	MXRA-Z17-031331300110	369843.75,3034843.75,375156.25,3040156.25	26.0	0.5	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300110/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331300111	24.5	164.9	62.3	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[380156.25, 3034843.75], [374843.75, 3034843.75], [374843.75, 3040156.25], [380092.8535849049, 3040156.25], [380156.25, 3039475.8276330507], [380156.25, 3034843.75]]]}	MXRA-Z17-031331300111	374843.75,3034843.75,380156.25,3040156.25	28.2	0.3	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300111/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331300112	24.3	164.2	62.5	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[371229.8583984375, 3035156.25], [375156.25, 3035156.25], [375156.25, 3030293.8796370407], [374173.7579251509, 3029860.455542934], [371229.8583984375, 3035156.25]]]}	MXRA-Z17-031331300112	371229.8583984375,3029860.455542934,375156.25,3035156.25	12.7	0.2	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300112/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331300113	24.1	164.5	62.7	149.8	55.8	32617	{'type': 'MultiPolygon', 'coordinates': [[[[374843.75, 3035156.25], [380156.25, 3035156.25], [380156.25, 3032499.618009908], [374843.75, 3030156.0209887363], [374843.75, 3035156.25]]], [[[380156.25, 3030597.5341796875], [378959.04541015625, 3029843.75], [375246.8340527587, 3029843.75], [380156.25, 3032059.9424953186], [380156.25, 3030597.5341796875]]]]}	MXRA-Z17-031331300113	374843.75,3029843.75,380156.25,3035156.25	25.3	0.1	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300113/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331300130	24.1	164.2	62.7	149.8	55.8	32617	{'type': 'MultiPolygon', 'coordinates': [[[[374009.70458984375, 3030156.25], [374844.2691260815, 3030156.25], [374174.0371396149, 3029860.5787177454], [374009.70458984375, 3030156.25]]], [[[375156.25, 3028096.923828125], [374482.421875, 3029305.7250976562], [374396.6879141285, 3029459.9798096954], [375156.25, 3029802.858843073], [375156.25, 3028096.923828125]]]]}	MXRA-Z17-031331300130	374009.70458984375,3028096.923828125,375156.25,3030156.25	0.7	0.0	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300130/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.54	0.0.1	10300100D93D8600	17	031331300131	24.0	164.3	62.9	149.8	55.8	32617	{'type': 'MultiPolygon', 'coordinates': [[[[374843.75, 3030156.25], [374844.26904821343, 3030156.2499656486], [374843.75, 3030156.0209887363], [374843.75, 3030156.25]]], [[[379454.9560546875, 3030155.9448242188], [375421.7529296875, 3027621.1547851562], [374843.75, 3028656.9213867188], [374843.75, 3029661.7911148076], [375938.9384828519, 3030156.177518962], [379454.9560546875, 3030155.9448242188]]]]}	MXRA-Z17-031331300131	374843.75,3027621.1547851562,379454.9560546875,3030156.25	6.0	0.1	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300131/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331301000	24.4	165.6	62.4	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[379843.75, 3034843.75], [379843.75, 3040156.25], [380092.8535849049, 3040156.25], [380587.8306337968, 3034843.75], [379843.75, 3034843.75]]]}	MXRA-Z17-031331301000	379843.75,3034843.75,380587.8306337968,3040156.25	2.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301000/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331301001	24.3	166.2	62.5	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[386909.7900390625, 3034843.75], [386323.07394981483, 3034843.75], [388410.19894829165, 3035785.913142851], [386909.7900390625, 3034843.75]]]}	MXRA-Z17-031331301001	386323.07394981483,3034843.75,388410.19894829165,3035785.913142851	0.2	0.0	7	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301001/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331301002	24.1	165.2	62.8	149.8	55.8	32617	{'type': 'MultiPolygon', 'coordinates': [[[[379843.75, 3035156.25], [380558.7143368032, 3035156.25], [380780.576943106, 3032775.0383890327], [379843.75, 3032361.7593616038], [379843.75, 3035156.25]]], [[[385156.25, 3033738.7084960938], [379843.75, 3030402.2216796875], [379843.75, 3031918.8747670534], [385156.25, 3034317.026147565], [385156.25, 3033738.7084960938]]]]}	MXRA-Z17-031331301002	379843.75,3030402.2216796875,385156.25,3035156.25	7.7	0.2	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301002/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:58+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331301003	24.2	166.0	62.7	149.8	55.9	32617	{'type': 'Polygon', 'coordinates': [[[387402.64892578125, 3035156.25], [387402.64892578125, 3035155.9448242188], [384843.75, 3033540.9545898438], [384843.75, 3034175.958419299], [387015.33894338086, 3035156.25], [387402.64892578125, 3035156.25]]]}	MXRA-Z17-031331301003	384843.75,3033540.9545898438,387402.64892578125,3035156.25	1.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301003/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:59+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122313	25.8	166.0	60.8	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3049843.75], [374843.75, 3055156.25], [378695.2713292101, 3055156.25], [379190.24837810197, 3049843.75], [374843.75, 3049843.75]]]}	MXRA-Z17-031331122313	374843.75,3049843.75,379190.24837810197,3055156.25	21.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122313/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:59+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122321	25.7	164.4	61.0	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[364843.75, 3050156.25], [364843.75, 3046654.3579101562], [365848.9990234375, 3044843.75], [370156.25, 3044843.75], [370156.25, 3050156.25], [364843.75, 3050156.25]]]}	MXRA-Z17-031331122321	364843.75,3044843.75,370156.25,3050156.25	27.3	4.4	16	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122321/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:59+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331122323	25.3	164.2	61.4	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[365675.6591796875, 3045156.25], [368627.01416015625, 3039844.3603515625], [370156.25, 3039843.75], [370156.25, 3045156.25], [365675.6591796875, 3045156.25]]]}	MXRA-Z17-031331122323	365675.6591796875,3039843.75,370156.25,3045156.25	15.9	2.2	14	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122323/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:59+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122330	25.5	165.0	61.1	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[369843.75, 3050156.25], [369843.75, 3044843.75], [375156.25, 3044843.75], [375156.25, 3050156.25], [369843.75, 3050156.25]]]}	MXRA-Z17-031331122330	369843.75,3044843.75,375156.25,3050156.25	28.2	0.2	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122330/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:59+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122331	25.4	165.6	61.3	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3044843.75], [374843.75, 3050156.25], [379161.13208110834, 3050156.25], [379656.1091300003, 3044843.75], [374843.75, 3044843.75]]]}	MXRA-Z17-031331122331	374843.75,3044843.75,379656.1091300003,3050156.25	24.2	1.5	6	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122331/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:59+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331122332	25.1	164.6	61.6	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[369843.75, 3045156.25], [369843.75, 3039843.75], [375156.25, 3039843.75], [375156.25, 3045156.25], [369843.75, 3045156.25]]]}	MXRA-Z17-031331122332	369843.75,3039843.75,375156.25,3045156.25	28.2	0.5	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122332/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:59+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331122333	24.9	165.3	61.8	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3039843.75], [374843.75, 3045156.25], [379626.9928330066, 3045156.25], [380121.96988189855, 3039843.75], [374843.75, 3039843.75]]]}	MXRA-Z17-031331122333	374843.75,3039843.75,380121.96988189855,3045156.25	26.7	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122333/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:12:59+00:00	WV02	0.55	0.0.1	10300100D93D8600	17	031331300101	24.9	164.2	61.9	149.8	55.8	32617	{'type': 'Polygon', 'coordinates': [[[368453.9794921875, 3040156.25], [369065.24658203125, 3039054.2602539062], [370156.25, 3037090.7592773438], [370156.25, 3040156.25], [368453.9794921875, 3040156.25]]]}	MXRA-Z17-031331300101	368453.9794921875,3037090.7592773438,370156.25,3040156.25	2.6	0.0	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300101/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.57	0.0.1	10300100D93D8600	17	031331122123	26.8	165.4	59.6	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[364843.75, 3065156.25], [364843.75, 3059843.75], [370156.25, 3059843.75], [370156.25, 3065156.25], [364843.75, 3065156.25]]]}	MXRA-Z17-031331122123	364843.75,3059843.75,370156.25,3065156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122123/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.57	0.0.1	10300100D93D8600	17	031331122132	26.7	166.0	59.7	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[369843.75, 3065156.25], [369843.75, 3059843.75], [375156.25, 3059843.75], [375156.25, 3065156.25], [369843.75, 3065156.25]]]}	MXRA-Z17-031331122132	369843.75,3059843.75,375156.25,3065156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122132/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.57	0.0.1	10300100D93D8600	17	031331122133	26.5	166.3	60.0	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3059843.75], [374843.75, 3065156.25], [376026.611328125, 3065156.25], [378131.9543753363, 3061202.2299583717], [378258.52687430545, 3059843.75], [374843.75, 3059843.75]]]}	MXRA-Z17-031331122133	374843.75,3059843.75,378258.52687430545,3065156.25	13.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122133/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.57	0.0.1	10300100D93D8600	17	031331122300	26.6	164.5	59.9	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[359843.75, 3060156.25], [359843.75, 3055658.2641601562], [360296.0205078125, 3054844.0551757812], [365156.25, 3054843.75], [365156.25, 3060156.25], [359843.75, 3060156.25]]]}	MXRA-Z17-031331122300	359843.75,3054843.75,365156.25,3060156.25	28.0	0.2	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122300/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.57	0.0.1	10300100D93D8600	17	031331122301	26.5	165.0	60.0	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[364843.75, 3060156.25], [364843.75, 3054843.75], [370156.25, 3054843.75], [370156.25, 3060156.25], [364843.75, 3060156.25]]]}	MXRA-Z17-031331122301	364843.75,3054843.75,370156.25,3060156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122301/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122302	26.2	164.3	60.3	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[360122.6806640625, 3055156.25], [363073.1201171875, 3049844.0551757812], [365156.25, 3049843.75], [365156.25, 3055156.25], [360122.6806640625, 3055156.25]]]}	MXRA-Z17-031331122302	360122.6806640625,3049843.75,365156.25,3055156.25	18.9	2.7	14	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122302/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122303	26.1	164.7	60.5	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[364843.75, 3055156.25], [364843.75, 3049843.75], [370156.25, 3049843.75], [370156.25, 3055156.25], [364843.75, 3055156.25]]]}	MXRA-Z17-031331122303	364843.75,3049843.75,370156.25,3055156.25	28.2	2.2	8	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122303/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122310	26.3	165.7	60.2	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[369843.75, 3060156.25], [369843.75, 3054843.75], [375156.25, 3054843.75], [375156.25, 3060156.25], [369843.75, 3060156.25]]]}	MXRA-Z17-031331122310	369843.75,3054843.75,375156.25,3060156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122310/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122311	26.1	166.2	60.4	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3054843.75], [374843.75, 3060156.25], [378229.4356131538, 3060155.9812947926], [378724.3876262037, 3054843.75], [374843.75, 3054843.75]]]}	MXRA-Z17-031331122311	374843.75,3054843.75,378724.3876262037,3060156.25	19.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122311/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122312	25.9	165.3	60.7	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[369843.75, 3055156.25], [369843.75, 3049843.75], [375156.25, 3049843.75], [375156.25, 3055156.25], [369843.75, 3055156.25]]]}	MXRA-Z17-031331122312	369843.75,3049843.75,375156.25,3055156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122312/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:00+00:00	WV02	0.56	0.0.1	10300100D93D8600	17	031331122320	25.8	164.2	60.8	149.7	55.7	32617	{'type': 'Polygon', 'coordinates': [[[362900.69580078125, 3050156.25], [364656.06689453125, 3046991.8823242188], [365156.25, 3046092.529296875], [365156.25, 3050156.25], [362900.69580078125, 3050156.25]]]}	MXRA-Z17-031331122320	362900.69580078125,3046092.529296875,365156.25,3050156.25	4.5	0.8	18	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122320/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:01+00:00	WV02	0.58	0.0.1	10300100D93D8600	17	031331122031	27.5	164.5	58.8	149.7	55.5	32617	{'type': 'Polygon', 'coordinates': [[[354843.75, 3070156.25], [354843.75, 3064843.75], [360156.25, 3064843.75], [360156.25, 3070156.25], [354843.75, 3070156.25]]]}	MXRA-Z17-031331122031	354843.75,3064843.75,360156.25,3070156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122031/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:01+00:00	WV02	0.57	0.0.1	10300100D93D8600	17	031331122032	27.3	164.2	59.1	149.7	55.5	32617	{'type': 'Polygon', 'coordinates': [[[354572.75390625, 3065156.25], [355103.1494140625, 3064198.6083984375], [355156.25, 3064103.6987304688], [355156.25, 3065156.25], [354572.75390625, 3065156.25]]]}	MXRA-Z17-031331122032	354572.75390625,3064103.6987304688,355156.25,3065156.25	0.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122032/2022-09-30/10300100D93D8600-visual.tif
2022-09-30 16:13:01+00:00	WV02	0.57	0.0.1	10300100D93D8600	17	031331122033	27.2	164.3	59.2	149.7	55.5	32617	{'type': 'Polygon', 'coordinates': [[[354843.75, 3065156.25], [354844.3603515625, 3064665.8325195312], [357519.83642578125, 3059843.75], [360156.25, 3059843.75], [360156.25, 3065156.25], [354843.75, 3065156.25]]]}	MXRA-Z17-031331122033	354843.75,3059843.75,360156.25,3065156.25	21.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331122033/2022-09-30/10300100D93D8600-visual.tif
