datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-30 16:14:51+00:00	WV02	0.67	0.0.1	10300100DA8F7A00	17	033111003201	34.8	172.2	50.2	144.0	59.5	32617	{'type': 'Polygon', 'coordinates': [[[230156.25, 2494843.75], [225059.91563743248, 2494843.75], [230156.25, 2495718.185404288], [230156.25, 2494843.75]]]}	MXRA-Z17-033111003201	225059.91563743248,2494843.75,230156.25,2495718.185404288	2.2	0.2	12	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003201/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:51+00:00	WV02	0.67	0.0.1	10300100DA8F7A00	17	033111003202	34.7	171.7	50.3	143.9	59.5	32617	{'type': 'Polygon', 'coordinates': [[[225156.25, 2489843.75], [220342.4072265625, 2489843.75], [220408.54485802958, 2494045.662002113], [225156.25, 2494860.2791700438], [225156.25, 2489843.75]]]}	MXRA-Z17-033111003202	220342.4072265625,2489843.75,225156.25,2494860.2791700438	22.0	4.3	19	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003202/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:51+00:00	WV02	0.67	0.0.1	10300100DA8F7A00	17	033111003203	34.7	172.2	50.4	143.9	59.5	32617	{'type': 'Polygon', 'coordinates': [[[230156.25, 2495156.25], [230156.25, 2489843.75], [224843.75, 2489843.75], [224843.75, 2494806.6600304036], [226881.21024706517, 2495156.25], [230156.25, 2495156.25]]]}	MXRA-Z17-033111003203	224843.75,2489843.75,230156.25,2495156.25	27.8	3.3	12	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003203/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:51+00:00	WV02	0.67	0.0.1	10300100DA8F7A00	17	033111003210	34.8	172.7	50.3	144.0	59.5	32617	{'type': 'Polygon', 'coordinates': [[[235156.25, 2494843.75], [229843.75, 2494843.75], [229843.75, 2495664.566264648], [235156.25, 2496576.091638533], [235156.25, 2494843.75]]]}	MXRA-Z17-033111003210	229843.75,2494843.75,235156.25,2496576.091638533	6.7	0.9	14	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003210/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:51+00:00	WV02	0.67	0.0.1	10300100DA8F7A00	17	033111003211	34.7	173.3	50.3	144.0	59.5	32617	{'type': 'Polygon', 'coordinates': [[[240156.25, 2494843.75], [234843.75, 2494843.75], [234843.75, 2496522.472498893], [240156.25, 2497433.9978727777], [240156.25, 2494843.75]]]}	MXRA-Z17-033111003211	234843.75,2494843.75,240156.25,2497433.9978727777	11.3	1.1	9	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003211/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:51+00:00	WV02	0.67	0.0.1	10300100DA8F7A00	17	033111003212	34.6	172.7	50.4	143.9	59.5	32617	{'type': 'Polygon', 'coordinates': [[[229843.75, 2495156.25], [229843.75, 2489843.75], [235156.25, 2489843.75], [235156.25, 2495156.25], [229843.75, 2495156.25]]]}	MXRA-Z17-033111003212	229843.75,2489843.75,235156.25,2495156.25	28.2	4.9	17	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003212/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:51+00:00	WV02	0.67	0.0.1	10300100DA8F7A00	17	033111003213	34.6	173.3	50.5	143.9	59.5	32617	{'type': 'Polygon', 'coordinates': [[[234843.75, 2495156.25], [234843.75, 2489843.75], [240156.25, 2489843.75], [240156.25, 2495156.25], [234843.75, 2495156.25]]]}	MXRA-Z17-033111003213	234843.75,2489843.75,240156.25,2495156.25	28.2	5.5	19	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003213/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:52+00:00	WV02	0.66	0.0.1	10300100DA8F7A00	17	033111003220	34.6	171.7	50.5	143.9	59.5	32617	{'type': 'Polygon', 'coordinates': [[[220348.20556640625, 2490156.25], [225156.25, 2490156.25], [225156.25, 2484843.75], [220274.658203125, 2484843.75], [220348.20556640625, 2490156.25]]]}	MXRA-Z17-033111003220	220274.658203125,2484843.75,225156.25,2490156.25	25.7	4.4	17	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003220/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:52+00:00	WV02	0.66	0.0.1	10300100DA8F7A00	17	033111003221	34.5	172.2	50.5	143.9	59.5	32617	{'type': 'Polygon', 'coordinates': [[[224843.75, 2490156.25], [224843.75, 2484843.75], [230156.25, 2484843.75], [230156.25, 2490156.25], [224843.75, 2490156.25]]]}	MXRA-Z17-033111003221	224843.75,2484843.75,230156.25,2490156.25	28.2	3.0	10	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003221/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:52+00:00	WV02	0.66	0.0.1	10300100DA8F7A00	17	033111003222	34.4	171.8	50.7	143.9	59.6	32617	{'type': 'Polygon', 'coordinates': [[[220278.62548828125, 2485156.25], [225156.25, 2485156.25], [225156.25, 2479843.75], [220207.21435546875, 2479843.75], [220278.62548828125, 2485156.25]]]}	MXRA-Z17-033111003222	220207.21435546875,2479843.75,225156.25,2485156.25	26.1	2.9	11	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003222/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:52+00:00	WV02	0.66	0.0.1	10300100DA8F7A00	17	033111003223	34.4	172.3	50.7	143.9	59.6	32617	{'type': 'Polygon', 'coordinates': [[[224843.75, 2485156.25], [224843.75, 2479843.75], [230156.25, 2479843.75], [230156.25, 2485156.25], [224843.75, 2485156.25]]]}	MXRA-Z17-033111003223	224843.75,2479843.75,230156.25,2485156.25	28.2	2.6	9	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003223/2022-09-30/10300100DA8F7A00-visual.tif
2022-09-30 16:14:51+00:00	WV02	0.66	0.0.1	10300100DA8F7A00	17	033111003230	34.5	172.8	50.6	143.9	59.5	32617	{'type': 'Polygon', 'coordinates': [[[229843.75, 2490156.25], [229843.75, 2484843.75], [235156.25, 2484843.75], [235156.25, 2490156.25], [229843.75, 2490156.25]]]}	MXRA-Z17-033111003230	229843.75,2484843.75,235156.25,2490156.25	28.2	7.3	26	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/033111003230/2022-09-30/10300100DA8F7A00-visual.tif
