datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033011	34.2	326.9	50.9	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[317683.10546875, 3076302.1850585938], [320156.25, 3075628.662109375], [320156.25, 3074843.75], [317655.029296875, 3074843.75], [317683.10546875, 3076302.1850585938]]]}	MXRA-Z17-031331033011	317655.029296875,3074843.75,320156.25,3076302.1850585938	2.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033011/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033013	34.2	327.0	50.9	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[317661.1328125, 3075156.25], [320156.25, 3075156.25], [320156.25, 3069843.75], [317561.03515625, 3069843.75], [317661.1328125, 3075156.25]]]}	MXRA-Z17-031331033013	317561.03515625,3069843.75,320156.25,3075156.25	13.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033013/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033031	34.4	327.1	50.8	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[320156.25, 3070156.25], [320156.25, 3064843.75], [318633.55729132367, 3064843.75], [317505.5292189053, 3066892.687745272], [317566.83349609375, 3070156.25], [320156.25, 3070156.25]]]}	MXRA-Z17-031331033031	317505.5292189053,3064843.75,320156.25,3070156.25	12.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033031/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033033	34.5	327.2	50.6	159.9	57.0	32617	{'type': 'Polygon', 'coordinates': [[[320156.25, 3065156.25], [320156.25, 3062077.947763741], [318461.5126435816, 3065156.25], [320156.25, 3065156.25]]]}	MXRA-Z17-031331033033	318461.5126435816,3062077.947763741,320156.25,3065156.25	2.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033033/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033100	34.3	326.7	50.8	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[319843.75, 3075713.8061523438], [319843.75, 3074843.75], [323035.2783203125, 3074843.75], [322026.9775390625, 3075119.0185546875], [319843.75, 3075713.8061523438]]]}	MXRA-Z17-031331033100	319843.75,3074843.75,323035.2783203125,3075713.8061523438	1.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033100/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033102	34.3	326.8	50.8	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[319843.75, 3075156.25], [319843.75, 3069843.75], [325156.25, 3069843.75], [325156.25, 3074265.7470703125], [321890.2587890625, 3075156.25], [319843.75, 3075156.25]]]}	MXRA-Z17-031331033102	319843.75,3069843.75,325156.25,3075156.25	26.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033102/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033103	34.5	326.4	50.6	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3074350.5859375], [324843.75, 3069843.75], [330156.25, 3069843.75], [330156.25, 3072903.4423828125], [324843.75, 3074350.5859375]]]}	MXRA-Z17-031331033103	324843.75,3069843.75,330156.25,3074350.5859375	20.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033103/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033112	34.7	326.1	50.4	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 3072988.28125], [329843.75, 3069843.75], [335156.25, 3069843.75], [335156.25, 3071539.306640625], [329843.75, 3072988.28125]]]}	MXRA-Z17-031331033112	329843.75,3069843.75,335156.25,3072988.28125	12.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033112/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033113	34.8	325.7	50.2	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3071624.755859375], [334843.75, 3069843.75], [340067.7490234375, 3069843.75], [340071.10595703125, 3070184.326171875], [334843.75, 3071624.755859375]]]}	MXRA-Z17-031331033113	334843.75,3069843.75,340071.10595703125,3071624.755859375	5.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033113/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033120	34.5	326.8	50.6	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[319843.75, 3070156.25], [319843.75, 3064843.75], [325156.25, 3064843.75], [325156.25, 3070156.25], [319843.75, 3070156.25]]]}	MXRA-Z17-031331033120	319843.75,3064843.75,325156.25,3070156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033120/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033121	34.6	326.5	50.5	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3070156.25], [324843.75, 3064843.75], [330156.25, 3064843.75], [330156.25, 3070156.25], [324843.75, 3070156.25]]]}	MXRA-Z17-031331033121	324843.75,3064843.75,330156.25,3070156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033121/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033122	34.6	326.9	50.5	159.9	57.0	32617	{'type': 'Polygon', 'coordinates': [[[319843.75, 3065156.25], [325156.25, 3065156.25], [325156.25, 3059843.75], [321386.2716551966, 3059843.75], [319843.75, 3062645.5693159467], [319843.75, 3065156.25]]]}	MXRA-Z17-031331033122	319843.75,3059843.75,325156.25,3065156.25	26.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033122/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033123	34.7	326.6	50.3	159.9	57.0	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3065156.25], [324843.75, 3059843.75], [330156.25, 3059843.75], [330156.25, 3065156.25], [324843.75, 3065156.25]]]}	MXRA-Z17-031331033123	324843.75,3059843.75,330156.25,3065156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033123/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033130	34.7	326.1	50.3	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 3070156.25], [329843.75, 3064843.75], [335156.25, 3064843.75], [335156.25, 3070156.25], [329843.75, 3070156.25]]]}	MXRA-Z17-031331033130	329843.75,3064843.75,335156.25,3070156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033130/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033131	34.9	325.8	50.1	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3070156.25], [334843.75, 3064843.75], [340020.1416015625, 3064843.75], [340070.80078125, 3070156.25], [334843.75, 3070156.25]]]}	MXRA-Z17-031331033131	334843.75,3064843.75,340070.80078125,3070156.25	27.6	0.6	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033131/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033132	34.9	326.2	50.2	159.9	57.0	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 3065156.25], [329843.75, 3059843.75], [335156.25, 3059843.75], [335156.25, 3065156.25], [329843.75, 3065156.25]]]}	MXRA-Z17-031331033132	329843.75,3059843.75,335156.25,3065156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033132/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:08+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033133	35.0	325.9	50.0	160.0	57.0	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3065156.25], [334843.75, 3059843.75], [339973.7548828125, 3059843.75], [340023.193359375, 3065156.25], [334843.75, 3065156.25]]]}	MXRA-Z17-031331033133	334843.75,3059843.75,340023.193359375,3065156.25	27.3	0.8	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033133/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.67	0.0.1	10300100DACCA400	17	031331033300	34.7	327.0	50.4	159.9	57.0	32617	{'type': 'Polygon', 'coordinates': [[[325156.25, 3060156.25], [325156.25, 3054843.75], [324138.98601906956, 3054843.75], [321214.22700745455, 3060156.25], [325156.25, 3060156.25]]]}	MXRA-Z17-031331033300	321214.22700745455,3054843.75,325156.25,3060156.25	13.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033300/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033301	34.8	326.7	50.2	159.9	57.0	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3060156.25], [324843.75, 3054843.75], [330156.25, 3054843.75], [330156.25, 3060156.25], [324843.75, 3060156.25]]]}	MXRA-Z17-031331033301	324843.75,3054843.75,330156.25,3060156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033301/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033302	34.8	327.1	50.2	159.9	57.2	32617	{'type': 'Polygon', 'coordinates': [[[325156.25, 3055156.25], [325156.25, 3052996.0029284526], [323966.9413713275, 3055156.25], [325156.25, 3055156.25]]]}	MXRA-Z17-031331033302	323966.9413713275,3052996.0029284526,325156.25,3055156.25	1.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033302/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033303	35.0	326.7	50.0	159.9	57.1	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3055156.25], [330156.25, 3055156.25], [330156.25, 3049843.75], [326891.70038294245, 3049843.75], [324843.75, 3053563.624480658], [324843.75, 3055156.25]]]}	MXRA-Z17-031331033303	324843.75,3049843.75,330156.25,3055156.25	24.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033303/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033310	35.0	326.3	50.0	159.9	57.0	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 3060156.25], [329843.75, 3054843.75], [335156.25, 3054843.75], [335156.25, 3060156.25], [329843.75, 3060156.25]]]}	MXRA-Z17-031331033310	329843.75,3054843.75,335156.25,3060156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033310/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033311	35.1	326.0	49.9	159.9	57.0	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3060156.25], [334843.75, 3054843.75], [339925.84228515625, 3054843.75], [339976.806640625, 3060156.25], [334843.75, 3060156.25]]]}	MXRA-Z17-031331033311	334843.75,3054843.75,339976.806640625,3060156.25	27.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033311/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033312	35.1	326.4	49.9	159.9	57.1	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 3055156.25], [329843.75, 3049843.75], [335156.25, 3049843.75], [335156.25, 3055156.25], [329843.75, 3055156.25]]]}	MXRA-Z17-031331033312	329843.75,3049843.75,335156.25,3055156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033312/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033313	35.2	326.1	49.7	159.9	57.0	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3055156.25], [334843.75, 3049843.75], [339878.23486328125, 3049843.75], [339928.28369140625, 3055156.25], [334843.75, 3055156.25]]]}	MXRA-Z17-031331033313	334843.75,3049843.75,339928.28369140625,3055156.25	26.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033313/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:10+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033321	35.1	326.8	49.9	159.9	57.2	32617	{'type': 'Polygon', 'coordinates': [[[330156.25, 3050156.25], [330156.25, 3044843.75], [329644.4147468154, 3044843.75], [326719.65573520045, 3050156.25], [330156.25, 3050156.25]]]}	MXRA-Z17-031331033321	326719.65573520045,3044843.75,330156.25,3050156.25	10.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033321/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:10+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033323	35.2	326.9	49.8	159.9	57.2	32617	{'type': 'Polygon', 'coordinates': [[[330156.25, 3045156.25], [330156.25, 3043914.058093164], [329472.37009907333, 3045156.25], [330156.25, 3045156.25]]]}	MXRA-Z17-031331033323	329472.37009907333,3043914.058093164,330156.25,3045156.25	0.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033323/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:10+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033330	35.2	326.5	49.7	159.9	57.2	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 3050156.25], [329843.75, 3044843.75], [335156.25, 3044843.75], [335156.25, 3050156.25], [329843.75, 3050156.25]]]}	MXRA-Z17-031331033330	329843.75,3044843.75,335156.25,3050156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033330/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:09+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033331	35.3	326.1	49.6	159.9	57.2	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3050156.25], [334843.75, 3044843.75], [339833.06884765625, 3044843.75], [339880.9814453125, 3050156.25], [334843.75, 3050156.25]]]}	MXRA-Z17-031331033331	334843.75,3044843.75,339880.9814453125,3050156.25	26.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033331/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:10+00:00	WV02	0.68	0.0.1	10300100DACCA400	17	031331033332	35.3	326.6	49.6	159.9	57.2	32617	{'type': 'Polygon', 'coordinates': [[[329843.75, 3045156.25], [335156.25, 3045156.25], [335156.25, 3039843.75], [332397.12911068834, 3039843.75], [329843.75, 3044481.6796453698], [329843.75, 3045156.25]]]}	MXRA-Z17-031331033332	329843.75,3039843.75,335156.25,3045156.25	22.3	1.8	8	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033332/2022-10-02/10300100DACCA400-visual.tif
2022-10-02 16:37:10+00:00	WV02	0.69	0.0.1	10300100DACCA400	17	031331033333	35.5	326.2	49.4	159.9	57.2	32617	{'type': 'Polygon', 'coordinates': [[[334843.75, 3045156.25], [334843.75, 3039843.75], [339785.15625, 3039843.75], [339836.12060546875, 3045156.25], [334843.75, 3045156.25]]]}	MXRA-Z17-031331033333	334843.75,3039843.75,339836.12060546875,3045156.25	26.3	0.6	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331033333/2022-10-02/10300100DACCA400-visual.tif
