datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-10-03 16:02:32+00:00	WV02	0.68	0.0.1	10300100DB064000	17	031331301002	34.9	142.6	50.1	147.2	53.9	32617	{'type': 'Polygon', 'coordinates': [[[381160.58349609375, 3031715.087890625], [385155.6396484375, 3030629.8828125], [385156.25, 3029843.75], [381150.20751953125, 3029843.75], [381160.58349609375, 3031715.087890625]]]}	MXRA-Z17-031331301002	381150.20751953125,3029843.75,385156.25,3031715.087890625	5.3	0.2	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301002/2022-10-03/10300100DB064000-visual.tif
2022-10-03 16:02:32+00:00	WV02	0.67	0.0.1	10300100DB064000	17	031331301003	34.8	142.9	50.3	147.2	53.9	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 3030714.7216796875], [384843.75, 3029843.75], [388028.86962890625, 3029843.75], [387839.05029296875, 3029897.4609375], [384843.75, 3030714.7216796875]]]}	MXRA-Z17-031331301003	384843.75,3029843.75,388028.86962890625,3030714.7216796875	1.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301003/2022-10-03/10300100DB064000-visual.tif
2022-10-03 16:02:32+00:00	WV02	0.68	0.0.1	10300100DB064000	17	031331301020	34.9	142.6	50.1	147.2	53.9	32617	{'type': 'Polygon', 'coordinates': [[[381152.03857421875, 3030156.25], [385156.25, 3030156.25], [385156.25, 3024843.75], [381126.708984375, 3024843.75], [381152.03857421875, 3030156.25]]]}	MXRA-Z17-031331301020	381126.708984375,3024843.75,385156.25,3030156.25	21.3	3.2	15	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301020/2022-10-03/10300100DB064000-visual.tif
2022-10-03 16:02:32+00:00	WV02	0.67	0.0.1	10300100DB064000	17	031331301021	34.7	142.9	50.3	147.2	53.9	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 3030156.25], [384843.75, 3024843.75], [390156.25, 3024843.75], [390156.25, 3029262.6953125], [386891.78466796875, 3030156.25], [384843.75, 3030156.25]]]}	MXRA-Z17-031331301021	384843.75,3024843.75,390156.25,3030156.25	26.7	1.4	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301021/2022-10-03/10300100DB064000-visual.tif
2022-10-03 16:02:32+00:00	WV02	0.67	0.0.1	10300100DB064000	17	031331301022	34.8	142.5	50.3	147.2	54.0	32617	{'type': 'Polygon', 'coordinates': [[[381127.62451171875, 3025156.25], [385156.25, 3025156.25], [385156.25, 3019843.75], [381104.43115234375, 3019843.75], [381127.62451171875, 3025156.25]]]}	MXRA-Z17-031331301022	381104.43115234375,3019843.75,385156.25,3025156.25	21.4	1.3	6	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301022/2022-10-03/10300100DB064000-visual.tif
2022-10-03 16:02:32+00:00	WV02	0.67	0.0.1	10300100DB064000	17	031331301023	34.6	142.8	50.4	147.2	53.9	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 3025156.25], [384843.75, 3019843.75], [390156.25, 3019843.75], [390156.25, 3025156.25], [384843.75, 3025156.25]]]}	MXRA-Z17-031331301023	384843.75,3019843.75,390156.25,3025156.25	28.2	1.0	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301023/2022-10-03/10300100DB064000-visual.tif
2022-10-03 16:02:32+00:00	WV02	0.67	0.0.1	10300100DB064000	17	031331301030	34.6	143.3	50.5	147.2	53.9	32617	{'type': 'Polygon', 'coordinates': [[[395156.25, 3024843.75], [389843.75, 3024843.75], [389843.75, 3029347.8393554688], [393356.263690271, 3028389.6059274417], [395156.25, 3024861.3393307514], [395156.25, 3024843.75]]]}	MXRA-Z17-031331301030	389843.75,3024843.75,395156.25,3029347.8393554688	17.3	0.8	4	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301030/2022-10-03/10300100DB064000-visual.tif
2022-10-03 16:02:32+00:00	WV02	0.67	0.0.1	10300100DB064000	17	031331301031	34.4	143.7	50.7	147.2	53.9	32617	{'type': 'Polygon', 'coordinates': [[[394843.75, 3024843.75], [394843.75, 3025473.8902737815], [395165.2234020042, 3024843.75], [394843.75, 3024843.75]]]}	MXRA-Z17-031331301031	394843.75,3024843.75,395165.2234020042,3025473.8902737815	0.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301031/2022-10-03/10300100DB064000-visual.tif
2022-10-03 16:02:32+00:00	WV02	0.67	0.0.1	10300100DB064000	17	031331301032	34.5	143.2	50.6	147.2	53.9	32617	{'type': 'Polygon', 'coordinates': [[[395156.25, 3019843.75], [389843.75, 3019843.75], [389843.75, 3025156.25], [395005.7978862799, 3025156.25], [395156.25, 3024861.3393307514], [395156.25, 3019843.75]]]}	MXRA-Z17-031331301032	389843.75,3019843.75,395156.25,3025156.25	28.2	1.6	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301032/2022-10-03/10300100DB064000-visual.tif
2022-10-03 16:02:32+00:00	WV02	0.67	0.0.1	10300100DB064000	17	031331301033	34.3	143.6	50.8	147.2	53.9	32617	{'type': 'Polygon', 'coordinates': [[[394843.75, 3019843.75], [394843.75, 3025156.25], [395005.7978862799, 3025156.25], [397716.0316535938, 3019843.75], [394843.75, 3019843.75]]]}	MXRA-Z17-031331301033	394843.75,3019843.75,397716.0316535938,3025156.25	8.0	0.4	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301033/2022-10-03/10300100DB064000-visual.tif
