datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-09-30 16:11:32+00:00	WV02	0.55	0.0.1	10300100DB06A700	17	031331302331	24.8	35.7	62.0	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[380155.6396484375, 2969875.48828125], [380156.25, 2969875.48828125], [380156.25, 2966845.703125], [378957.21435546875, 2969082.9467773438], [380155.6396484375, 2969875.48828125]]]}	MXRA-Z17-031331302331	378957.21435546875,2966845.703125,380156.25,2969875.48828125	1.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331302331/2022-09-30/10300100DB06A700-visual.tif
2022-09-30 16:11:32+00:00	WV02	0.54	0.0.1	10300100DB06A700	17	031331303033	23.9	34.8	62.9	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[395726.62353515625, 2980156.5551757812], [395901.18408203125, 2979843.75], [395253.60107421875, 2979843.75], [395450.13427734375, 2979974.365234375], [395726.62353515625, 2980156.5551757812]]]}	MXRA-Z17-031331303033	395253.60107421875,2979843.75,395901.18408203125,2980156.5551757812	0.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303033/2022-09-30/10300100DB06A700-visual.tif
2022-09-30 16:11:32+00:00	WV02	0.55	0.0.1	10300100DB06A700	17	031331303201	24.2	35.5	62.6	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[390155.6396484375, 2976479.4921875], [390156.25, 2974843.75], [387678.52783203125, 2974843.75], [390147.0947265625, 2976473.388671875], [390155.6396484375, 2976479.4921875]]]}	MXRA-Z17-031331303201	387678.52783203125,2974843.75,390156.25,2976479.4921875	2.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303201/2022-09-30/10300100DB06A700-visual.tif
2022-09-30 16:11:32+00:00	WV02	0.55	0.0.1	10300100DB06A700	17	031331303202	24.6	35.8	62.2	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[385155.6396484375, 2973178.1005859375], [385156.25, 2969843.75], [380108.0322265625, 2969843.75], [381935.11962890625, 2971051.3305664062], [385155.6396484375, 2973178.1005859375]]]}	MXRA-Z17-031331303202	380108.0322265625,2969843.75,385156.25,2973178.1005859375	8.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303202/2022-09-30/10300100DB06A700-visual.tif
2022-09-30 16:11:32+00:00	WV02	0.55	0.0.1	10300100DB06A700	17	031331303203	24.4	35.4	62.4	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[388151.2451171875, 2975156.25], [390156.25, 2975156.25], [390156.25, 2969843.75], [384843.75, 2969843.75], [384843.75, 2972972.1069335938], [388151.2451171875, 2975156.25]]]}	MXRA-Z17-031331303203	384843.75,2969843.75,390156.25,2975156.25	24.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303203/2022-09-30/10300100DB06A700-visual.tif
2022-09-30 16:11:32+00:00	WV02	0.54	0.0.1	10300100DB06A700	17	031331303210	24.0	35.2	62.9	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[395155.94482421875, 2979779.6630859375], [395156.25, 2974843.75], [389843.75, 2974843.75], [389844.05517578125, 2976273.8037109375], [395155.94482421875, 2979779.6630859375]]]}	MXRA-Z17-031331303210	389843.75,2974843.75,395156.25,2979779.6630859375	16.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303210/2022-09-30/10300100DB06A700-visual.tif
2022-09-30 16:11:32+00:00	WV02	0.54	0.0.1	10300100DB06A700	17	031331303211	24.0	34.8	62.9	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[395726.318359375, 2980156.25], [395861.51123046875, 2979916.3818359375], [398686.82861328125, 2974843.75], [394843.75, 2974843.75], [394843.75, 2979573.6694335938], [395726.318359375, 2980156.25]]]}	MXRA-Z17-031331303211	394843.75,2974843.75,398686.82861328125,2980156.25	12.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303211/2022-09-30/10300100DB06A700-visual.tif
2022-09-30 16:11:32+00:00	WV02	0.55	0.0.1	10300100DB06A700	17	031331303212	24.3	34.8	62.6	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[389843.75, 2975156.25], [389843.75, 2969843.75], [395156.25, 2969843.75], [395156.25, 2975156.25], [389843.75, 2975156.25]]]}	MXRA-Z17-031331303212	389843.75,2969843.75,395156.25,2975156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303212/2022-09-30/10300100DB06A700-visual.tif
2022-09-30 16:11:32+00:00	WV02	0.55	0.0.1	10300100DB06A700	17	031331303213	24.2	34.1	62.6	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[394843.75, 2975156.25], [394843.75, 2969843.75], [400156.25, 2969843.75], [400156.25, 2972211.3037109375], [398513.18359375, 2975155.9448242188], [394843.75, 2975156.25]]]}	MXRA-Z17-031331303213	394843.75,2969843.75,400156.25,2975156.25	25.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303213/2022-09-30/10300100DB06A700-visual.tif
2022-09-30 16:11:32+00:00	WV02	0.55	0.0.1	10300100DB06A700	17	031331303220	24.8	35.6	62.0	148.9	56.3	32617	{'type': 'Polygon', 'coordinates': [[[380580.4443359375, 2970156.25], [385156.25, 2970156.25], [385156.25, 2964843.75], [381228.6376953125, 2964844.0551757812], [379843.75, 2967428.2836914062], [379843.75, 2969669.4946289062], [380580.4443359375, 2970156.25]]]}	MXRA-Z17-031331303220	379843.75,2964843.75,385156.25,2970156.25	26.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331303220/2022-09-30/10300100DB06A700-visual.tif
