datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-04-02 16:01:28+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200102332	15.5	136.3	73.0	143.6	56.2	32617	{'type': 'Polygon', 'coordinates': [[[692557.373046875, 3760725.7080078125], [692575.3784179688, 3759843.75], [695156.25, 3759843.75], [695156.25, 3760668.9453125], [692557.373046875, 3760725.7080078125]]]}	MXRA-Z17-120200102332	692557.373046875,3759843.75,695156.25,3760725.7080078125	2.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200102332/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:28+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200102333	15.3	137.0	73.2	143.6	56.2	32617	{'type': 'Polygon', 'coordinates': [[[694843.75, 3759843.75], [694843.75, 3760675.9643554688], [696467.649258806, 3760640.60947156], [696950.5914459019, 3759843.75], [694843.75, 3759843.75]]]}	MXRA-Z17-120200102333	694843.75,3759843.75,696950.5914459019,3760675.9643554688	1.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200102333/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:28+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120110	15.5	136.2	73.0	143.6	56.2	32617	{'type': 'Polygon', 'coordinates': [[[692569.2749023438, 3760156.25], [692679.443359375, 3754843.75], [695156.25, 3754843.75], [695156.25, 3760156.25], [692569.2749023438, 3760156.25]]]}	MXRA-Z17-120200120110	692569.2749023438,3754843.75,695156.25,3760156.25	13.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120110/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:28+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120111	15.3	137.0	73.2	143.6	56.2	32617	{'type': 'Polygon', 'coordinates': [[[694843.75, 3754843.75], [694843.75, 3760156.25], [696761.1986622885, 3760156.25], [699980.8759837173, 3754843.75], [694843.75, 3754843.75]]]}	MXRA-Z17-120200120111	694843.75,3754843.75,699980.8759837173,3760156.25	18.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120111/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:28+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120112	15.4	136.5	73.0	143.6	56.2	32617	{'type': 'Polygon', 'coordinates': [[[692672.4243164062, 3755156.25], [692783.203125, 3749843.75], [695156.25, 3749843.75], [695156.25, 3755156.25], [692672.4243164062, 3755156.25]]]}	MXRA-Z17-120200120112	692672.4243164062,3749843.75,695156.25,3755156.25	12.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120112/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:28+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120113	15.2	137.3	73.3	143.6	56.2	32617	{'type': 'Polygon', 'coordinates': [[[700156.25, 3749843.75], [694843.75, 3749843.75], [694843.75, 3755156.25], [699791.4832001039, 3755156.25], [700156.25, 3754554.381107254], [700156.25, 3749843.75]]]}	MXRA-Z17-120200120113	694843.75,3749843.75,700156.25,3755156.25	28.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120113/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:29+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120130	15.4	136.9	73.1	143.6	56.2	32617	{'type': 'Polygon', 'coordinates': [[[692776.4892578125, 3750156.25], [692897.0336914062, 3744844.0551757812], [695156.25, 3744843.75], [695156.25, 3750156.25], [692776.4892578125, 3750156.25]]]}	MXRA-Z17-120200120130	692776.4892578125,3744843.75,695156.25,3750156.25	12.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120130/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:29+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120131	15.2	137.6	73.3	143.6	56.2	32617	{'type': 'Polygon', 'coordinates': [[[694843.75, 3750156.25], [694843.75, 3744843.75], [700156.25, 3744843.75], [700156.25, 3750156.25], [694843.75, 3750156.25]]]}	MXRA-Z17-120200120131	694843.75,3744843.75,700156.25,3750156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120131/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:30+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120132	15.3	137.2	73.2	143.5	56.3	32617	{'type': 'Polygon', 'coordinates': [[[692887.8784179688, 3745156.25], [693007.5073242188, 3739843.75], [695156.25, 3739843.75], [695156.25, 3745156.25], [692887.8784179688, 3745156.25]]]}	MXRA-Z17-120200120132	692887.8784179688,3739843.75,695156.25,3745156.25	11.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120132/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:30+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120133	15.1	137.9	73.4	143.5	56.3	32617	{'type': 'Polygon', 'coordinates': [[[694843.75, 3745156.25], [694843.75, 3739843.75], [700156.25, 3739843.75], [700156.25, 3745156.25], [694843.75, 3745156.25]]]}	MXRA-Z17-120200120133	694843.75,3739843.75,700156.25,3745156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120133/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:31+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120310	15.3	137.5	73.2	143.4	56.3	32617	{'type': 'Polygon', 'coordinates': [[[693001.0986328125, 3740156.25], [693115.234375, 3734843.75], [695156.25, 3734843.75], [695156.25, 3740156.25], [693001.0986328125, 3740156.25]]]}	MXRA-Z17-120200120310	693001.0986328125,3734843.75,695156.25,3740156.25	11.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120310/2022-04-02/1040010074035100-visual.tif
2022-04-02 16:01:31+00:00	WV03	0.33	0.0.1	1040010074035100	17	120200120311	15.1	138.2	73.4	143.4	56.3	32617	{'type': 'Polygon', 'coordinates': [[[694843.75, 3740156.25], [694843.75, 3734843.75], [700156.25, 3734843.75], [700156.25, 3740156.25], [694843.75, 3740156.25]]]}	MXRA-Z17-120200120311	694843.75,3734843.75,700156.25,3740156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/120200120311/2022-04-02/1040010074035100-visual.tif
