datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-04-16 16:21:56+00:00	WV03	0.36	0.0.1	1040010076AFB000	17	031331301001	24.5	222.5	62.9	134.3	66.9	32617	{'type': 'Polygon', 'coordinates': [[[386323.07394981483, 3034843.75], [389363.4272115149, 3036216.216328807], [390063.606898825, 3034843.75], [386323.07394981483, 3034843.75]]]}	MXRA-Z17-031331301001	386323.07394981483,3034843.75,390063.606898825,3036216.216328807	2.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301001/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:57+00:00	WV03	0.36	0.0.1	1040010076AFB000	17	031331301002	24.4	222.1	63.1	134.2	67.0	32617	{'type': 'Polygon', 'coordinates': [[[385156.25, 3029843.75], [381506.04248046875, 3029843.75], [381533.5937960308, 3032681.6985284276], [385156.25, 3034317.026147565], [385156.25, 3029843.75]]]}	MXRA-Z17-031331301002	381506.04248046875,3029843.75,385156.25,3034317.026147565	13.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301002/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:57+00:00	WV03	0.36	0.0.1	1040010076AFB000	17	031331301003	24.6	222.7	62.8	134.2	67.0	32617	{'type': 'Polygon', 'coordinates': [[[390156.25, 3029843.75], [384843.75, 3029843.75], [384843.75, 3034175.958419299], [387015.33894338086, 3035156.25], [389904.18138310063, 3035156.25], [390156.25, 3034662.154419232], [390156.25, 3029843.75]]]}	MXRA-Z17-031331301003	384843.75,3029843.75,390156.25,3035156.25	27.0	0.8	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301003/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:57+00:00	WV03	0.37	0.0.1	1040010076AFB000	17	031331301012	24.9	223.4	62.5	134.2	67.0	32617	{'type': 'Polygon', 'coordinates': [[[389843.75, 3029843.75], [389843.75, 3035156.25], [389904.18138310063, 3035156.25], [392614.41515041457, 3029843.75], [389843.75, 3029843.75]]]}	MXRA-Z17-031331301012	389843.75,3029843.75,392614.41515041457,3035156.25	7.5	0.2	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301012/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:58+00:00	WV03	0.36	0.0.1	1040010076AFB000	17	031331301020	24.4	222.3	63.1	134.2	67.0	32617	{'type': 'Polygon', 'coordinates': [[[381508.7890625, 3030156.25], [385156.25, 3030156.25], [385156.25, 3024843.75], [381456.298828125, 3024843.75], [381508.7890625, 3030156.25]]]}	MXRA-Z17-031331301020	381456.298828125,3024843.75,385156.25,3030156.25	19.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301020/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:58+00:00	WV03	0.36	0.0.1	1040010076AFB000	17	031331301021	24.6	222.9	62.8	134.2	67.0	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 3030156.25], [384843.75, 3024843.75], [390156.25, 3024843.75], [390156.25, 3030156.25], [384843.75, 3030156.25]]]}	MXRA-Z17-031331301021	384843.75,3024843.75,390156.25,3030156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301021/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:58+00:00	WV03	0.36	0.0.1	1040010076AFB000	17	031331301022	24.4	222.6	63.0	134.1	67.0	32617	{'type': 'Polygon', 'coordinates': [[[381459.3505859375, 3025156.25], [385156.25, 3025156.25], [385156.25, 3019843.75], [381404.72412109375, 3019843.75], [381459.3505859375, 3025156.25]]]}	MXRA-Z17-031331301022	381404.72412109375,3019843.75,385156.25,3025156.25	19.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301022/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:58+00:00	WV03	0.37	0.0.1	1040010076AFB000	17	031331301030	24.9	223.6	62.5	134.2	67.0	32617	{'type': 'Polygon', 'coordinates': [[[395156.25, 3024843.75], [389843.75, 3024843.75], [389843.75, 3030156.25], [392454.9896346902, 3030156.25], [395156.25, 3024861.3393307514], [395156.25, 3024843.75]]]}	MXRA-Z17-031331301030	389843.75,3024843.75,395156.25,3030156.25	21.0	0.1	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301030/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:58+00:00	WV03	0.37	0.0.1	1040010076AFB000	17	031331301031	25.1	224.0	62.3	134.2	67.0	32617	{'type': 'Polygon', 'coordinates': [[[394843.75, 3024843.75], [394843.75, 3025473.8902737815], [395165.2234020042, 3024843.75], [394843.75, 3024843.75]]]}	MXRA-Z17-031331301031	394843.75,3024843.75,395165.2234020042,3025473.8902737815	0.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301031/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:59+00:00	WV03	0.36	0.0.1	1040010076AFB000	17	031331301023	24.7	223.1	62.8	134.1	67.0	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 3025156.25], [384843.75, 3019843.75], [390156.25, 3019843.75], [390156.25, 3025156.25], [384843.75, 3025156.25]]]}	MXRA-Z17-031331301023	384843.75,3019843.75,390156.25,3025156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301023/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:59+00:00	WV03	0.37	0.0.1	1040010076AFB000	17	031331301032	25.0	223.8	62.4	134.1	67.0	32617	{'type': 'Polygon', 'coordinates': [[[395156.25, 3019843.75], [389843.75, 3019843.75], [389843.75, 3025156.25], [395005.7978862799, 3025156.25], [395156.25, 3024861.3393307514], [395156.25, 3019843.75]]]}	MXRA-Z17-031331301032	389843.75,3019843.75,395156.25,3025156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301032/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:59+00:00	WV03	0.37	0.0.1	1040010076AFB000	17	031331301033	25.1	224.2	62.2	134.1	67.0	32617	{'type': 'Polygon', 'coordinates': [[[396854.8583984375, 3019843.75], [394843.75, 3019843.75], [394843.75, 3025156.25], [395005.7978862799, 3025156.25], [396866.8113102517, 3021508.3603108944], [396854.8583984375, 3019843.75]]]}	MXRA-Z17-031331301033	394843.75,3019843.75,396866.8113102517,3025156.25	7.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301033/2022-04-16/1040010076AFB000-visual.tif
2022-04-16 16:21:59+00:00	WV03	0.36	0.0.1	1040010076AFB000	17	031331301200	24.5	222.8	63.0	134.0	67.0	32617	{'type': 'Polygon', 'coordinates': [[[381408.38623046875, 3020156.25], [385156.25, 3020156.25], [385156.25, 3014843.75], [381353.45458984375, 3014843.75], [381408.38623046875, 3020156.25]]]}	MXRA-Z17-031331301200	381353.45458984375,3014843.75,385156.25,3020156.25	20.0	0.1	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301200/2022-04-16/1040010076AFB000-visual.tif
