datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-10-01 16:01:27+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331300130	29.9	102.0	56.9	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[370489.501953125, 3026823.4252929688], [375156.25, 3026492.919921875], [375156.25, 3024843.75], [370472.71728515625, 3024843.75], [370489.501953125, 3026823.4252929688]]]}	MXRA-Z17-031331300130	370472.71728515625,3024843.75,375156.25,3026823.4252929688	8.4	2.4	28	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300130/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:27+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331300131	29.6	102.2	57.2	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3026515.1977539062], [374843.75, 3024843.75], [380156.25, 3024843.75], [380156.25, 3026140.4418945312], [374843.75, 3026515.1977539062]]]}	MXRA-Z17-031331300131	374843.75,3024843.75,380156.25,3026515.1977539062	7.8	5.4	69	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300131/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:27+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331300132	29.8	102.0	56.9	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[370475.15869140625, 3025156.25], [375156.25, 3025156.25], [375156.25, 3019843.75], [370438.53759765625, 3019843.75], [370475.15869140625, 3025156.25]]]}	MXRA-Z17-031331300132	370438.53759765625,3019843.75,375156.25,3025156.25	24.9	17.5	70	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300132/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:27+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331300133	29.5	102.2	57.3	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3025156.25], [374843.75, 3019843.75], [380156.25, 3019843.75], [380156.25, 3025156.25], [374843.75, 3025156.25]]]}	MXRA-Z17-031331300133	374843.75,3019843.75,380156.25,3025156.25	28.2	11.7	41	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300133/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:27+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331301020	29.2	102.3	57.6	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[379843.75, 3026162.109375], [379843.75, 3024843.75], [385156.25, 3024843.75], [385155.029296875, 3025787.353515625], [379843.75, 3026162.109375]]]}	MXRA-Z17-031331301020	379843.75,3024843.75,385156.25,3026162.109375	6.0	2.2	37	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301020/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:27+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331301021	29.0	102.4	57.9	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 3025809.0209960938], [384843.75, 3024843.75], [388433.2275390625, 3024843.75], [388442.68798828125, 3025555.1147460938], [384843.75, 3025809.0209960938]]]}	MXRA-Z17-031331301021	384843.75,3024843.75,388442.68798828125,3025809.0209960938	3.0	1.0	36	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301021/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:27+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331301022	29.2	102.3	57.7	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[379843.75, 3025156.25], [379843.75, 3019843.75], [385156.25, 3019843.75], [385156.25, 3025156.25], [379843.75, 3025156.25]]]}	MXRA-Z17-031331301022	379843.75,3019843.75,385156.25,3025156.25	28.2	10.2	36	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301022/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:27+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331301023	28.9	102.4	58.0	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 3025156.25], [384843.75, 3019843.75], [388379.82177734375, 3019843.75], [388438.1103515625, 3025156.25], [384843.75, 3025156.25]]]}	MXRA-Z17-031331301023	384843.75,3019843.75,388438.1103515625,3025156.25	18.9	5.8	31	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301023/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:28+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331300310	29.8	102.0	57.0	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[370441.2841796875, 3020156.25], [375156.25, 3020156.25], [375156.25, 3014843.75], [370401.91650390625, 3014843.75], [370441.2841796875, 3020156.25]]]}	MXRA-Z17-031331300310	370401.91650390625,3014843.75,375156.25,3020156.25	25.1	8.5	33	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300310/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:28+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331300311	29.5	102.2	57.4	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3020156.25], [374843.75, 3014843.75], [380156.25, 3014843.75], [380156.25, 3020156.25], [374843.75, 3020156.25]]]}	MXRA-Z17-031331300311	374843.75,3014843.75,380156.25,3020156.25	28.2	9.4	33	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300311/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:28+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331301200	29.1	102.3	57.7	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[379843.75, 3020156.25], [379843.75, 3014843.75], [385156.25, 3014843.75], [385156.25, 3020156.25], [379843.75, 3020156.25]]]}	MXRA-Z17-031331301200	379843.75,3014843.75,385156.25,3020156.25	28.2	8.8	31	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301200/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:28+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331301201	28.9	102.4	58.0	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 3020156.25], [384843.75, 3014843.75], [388316.34521484375, 3014843.75], [388383.48388671875, 3020156.25], [384843.75, 3020156.25]]]}	MXRA-Z17-031331301201	384843.75,3014843.75,388383.48388671875,3020156.25	18.6	7.9	42	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301201/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:29+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331300312	29.7	102.0	57.1	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[370404.35791015625, 3015156.25], [375156.25, 3015156.25], [375156.25, 3009843.75], [370367.431640625, 3009843.75], [370404.35791015625, 3015156.25]]]}	MXRA-Z17-031331300312	370367.431640625,3009843.75,375156.25,3015156.25	25.3	11.6	46	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300312/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:29+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331300313	29.4	102.1	57.4	145.7	54.3	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 3015156.25], [374843.75, 3009843.75], [380156.25, 3009843.75], [380156.25, 3015156.25], [374843.75, 3015156.25]]]}	MXRA-Z17-031331300313	374843.75,3009843.75,380156.25,3015156.25	28.2	10.1	35	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300313/2022-10-01/104001007C700900-visual.tif
2022-10-01 16:01:29+00:00	WV03	0.39	0.0.1	104001007C700900	17	031331300330	29.6	102.0	57.2	145.6	54.4	32617	{'type': 'Polygon', 'coordinates': [[[370369.873046875, 3010156.25], [375156.25, 3010156.25], [375156.25, 3004843.75], [370329.89501953125, 3004843.75], [370369.873046875, 3010156.25]]]}	MXRA-Z17-031331300330	370329.89501953125,3004843.75,375156.25,3010156.25	25.5	12.1	47	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331300330/2022-10-01/104001007C700900-visual.tif
