datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2021-09-24 16:00:59+00:00	GE01	0.51	0.0.1	10500100274A7C00	17	031331312223	27.8	135.0	58.9	142.5	57.0	32617	{'type': 'Polygon', 'coordinates': [[[425241.39404296875, 2961166.6870117188], [430156.25, 2960390.0146484375], [430156.25, 2959843.75], [425244.140625, 2959843.75], [425241.39404296875, 2961166.6870117188]]]}	MXRA-Z17-031331312223	425241.39404296875,2959843.75,430156.25,2961166.6870117188	4.5	1.9	43	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331312223/2021-09-24/10500100274A7C00-visual.tif
2021-09-24 16:00:59+00:00	GE01	0.51	0.0.1	10500100274A7C00	17	031331312232	27.5	135.5	59.2	142.5	57.0	32617	{'type': 'Polygon', 'coordinates': [[[429843.75, 2960439.7583007812], [429843.75, 2959843.75], [433612.36572265625, 2959843.75], [430042.41943359375, 2960407.71484375], [429843.75, 2960439.7583007812]]]}	MXRA-Z17-031331312232	429843.75,2959843.75,433612.36572265625,2960439.7583007812	1.1	1.0	91	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331312232/2021-09-24/10500100274A7C00-visual.tif
2021-09-24 16:00:59+00:00	GE01	0.51	0.0.1	10500100274A7C00	17	031331330001	27.6	134.6	59.1	142.5	57.0	32617	{'type': 'Polygon', 'coordinates': [[[425243.5302734375, 2960156.25], [430156.25, 2960156.25], [430156.25, 2954843.75], [425252.99072265625, 2954843.75], [425243.5302734375, 2960156.25]]]}	MXRA-Z17-031331330001	425243.5302734375,2954843.75,430156.25,2960156.25	26.0	10.7	41	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331330001/2021-09-24/10500100274A7C00-visual.tif
2021-09-24 16:00:58+00:00	GE01	0.51	0.0.1	10500100274A7C00	17	031331330003	27.2	133.1	59.6	142.5	57.0	32617	{'type': 'Polygon', 'coordinates': [[[425252.0751953125, 2955156.25], [430156.25, 2955156.25], [430156.25, 2949843.75], [425263.36669921875, 2949843.75], [425252.0751953125, 2955156.25]]]}	MXRA-Z17-031331330003	425252.0751953125,2949843.75,430156.25,2955156.25	26.0	10.0	38	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331330003/2021-09-24/10500100274A7C00-visual.tif
2021-09-24 16:00:59+00:00	GE01	0.51	0.0.1	10500100274A7C00	17	031331330010	27.4	135.1	59.3	142.5	57.0	32617	{'type': 'Polygon', 'coordinates': [[[429843.75, 2960156.25], [429843.75, 2954843.75], [435156.25, 2954843.75], [435156.25, 2959600.2197265625], [431635.7421875, 2960156.25], [429843.75, 2960156.25]]]}	MXRA-Z17-031331330010	429843.75,2954843.75,435156.25,2960156.25	27.2	11.9	43	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331330010/2021-09-24/10500100274A7C00-visual.tif
2021-09-24 16:00:59+00:00	GE01	0.51	0.0.1	10500100274A7C00	17	031331330011	27.2	135.8	59.6	142.5	57.0	32617	{'type': 'Polygon', 'coordinates': [[[440156.25, 2954843.75], [434843.75, 2954843.75], [434843.75, 2959649.3530273438], [440100.9790873265, 2958821.2193938945], [440155.9674045598, 2958518.903699909], [440156.25, 2954843.75]]]}	MXRA-Z17-031331330011	434843.75,2954843.75,440156.25,2959649.3530273438	23.2	9.4	40	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331330011/2021-09-24/10500100274A7C00-visual.tif
2021-09-24 16:00:58+00:00	GE01	0.51	0.0.1	10500100274A7C00	17	031331330012	27.0	133.8	59.8	142.5	57.0	32617	{'type': 'Polygon', 'coordinates': [[[429843.75, 2955156.25], [429843.75, 2949843.75], [435156.25, 2949843.75], [435156.25, 2955156.25], [429843.75, 2955156.25]]]}	MXRA-Z17-031331330012	429843.75,2949843.75,435156.25,2955156.25	28.2	11.1	39	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331330012/2021-09-24/10500100274A7C00-visual.tif
2021-09-24 16:00:58+00:00	GE01	0.5	0.0.1	10500100274A7C00	17	031331330013	26.8	134.5	60.0	142.5	57.0	32617	{'type': 'Polygon', 'coordinates': [[[434843.75, 2955156.25], [434843.75, 2949843.75], [440156.25, 2949843.75], [440156.25, 2955156.25], [434843.75, 2955156.25]]]}	MXRA-Z17-031331330013	434843.75,2949843.75,440156.25,2955156.25	28.2	8.6	30	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331330013/2021-09-24/10500100274A7C00-visual.tif
2021-09-24 16:00:57+00:00	GE01	0.5	0.0.1	10500100274A7C00	17	031331330021	26.7	131.5	60.1	142.4	57.0	32617	{'type': 'Polygon', 'coordinates': [[[425262.451171875, 2950156.25], [430156.25, 2950156.25], [430156.25, 2944843.75], [425271.30126953125, 2944843.75], [425262.451171875, 2950156.25]]]}	MXRA-Z17-031331330021	425262.451171875,2944843.75,430156.25,2950156.25	25.9	6.5	25	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331330021/2021-09-24/10500100274A7C00-visual.tif
2021-09-24 16:00:56+00:00	GE01	0.5	0.0.1	10500100274A7C00	17	031331330023	26.3	129.9	60.6	142.4	57.0	32617	{'type': 'Polygon', 'coordinates': [[[425270.99609375, 2945156.25], [430156.25, 2945156.25], [430156.25, 2939843.75], [425276.79443359375, 2939843.75], [425270.99609375, 2945156.25]]]}	MXRA-Z17-031331330023	425270.99609375,2939843.75,430156.25,2945156.25	25.9	6.9	26	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331330023/2021-09-24/10500100274A7C00-visual.tif
