datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-07-04 16:15:23+00:00	GE01	0.44	0.0.1	105001002D0A8100	17	031331301030	17.7	184.7	70.3	99.8	72.0	32617	{'type': 'Polygon', 'coordinates': [[[395156.25, 3024843.75], [394025.87890625, 3024843.75], [394047.7726956273, 3027034.1355487383], [395156.25, 3024861.3393307514], [395156.25, 3024843.75]]]}	MXRA-Z17-031331301030	394025.87890625,3024843.75,395156.25,3027034.1355487383	1.2	0.5	47	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301030/2022-07-04/105001002D0A8100-visual.tif
2022-07-04 16:15:23+00:00	GE01	0.44	0.0.1	105001002D0A8100	17	031331301031	17.7	185.3	70.3	99.8	72.0	32617	{'type': 'Polygon', 'coordinates': [[[394843.75, 3024843.75], [394843.75, 3025473.8902737815], [395165.2234020042, 3024843.75], [394843.75, 3024843.75]]]}	MXRA-Z17-031331301031	394843.75,3024843.75,395165.2234020042,3025473.8902737815	0.1	0.0	83	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301031/2022-07-04/105001002D0A8100-visual.tif
2022-07-04 16:15:25+00:00	GE01	0.44	0.0.1	105001002D0A8100	17	031331301032	17.9	185.1	70.1	99.7	72.0	32617	{'type': 'Polygon', 'coordinates': [[[395005.7978862799, 3025156.25], [395156.25, 3024861.3393307514], [395156.25, 3019843.75], [393975.830078125, 3019843.75], [394028.9306640625, 3025156.25], [395005.7978862799, 3025156.25]]]}	MXRA-Z17-031331301032	393975.830078125,3019843.75,395156.25,3025156.25	6.1	0.7	12	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301032/2022-07-04/105001002D0A8100-visual.tif
2022-07-04 16:15:25+00:00	GE01	0.44	0.0.1	105001002D0A8100	17	031331301033	17.9	185.6	70.1	99.7	72.0	32617	{'type': 'Polygon', 'coordinates': [[[394843.75, 3019843.75], [394843.75, 3025156.25], [395005.7978862799, 3025156.25], [397716.0316535938, 3019843.75], [394843.75, 3019843.75]]]}	MXRA-Z17-031331301033	394843.75,3019843.75,397716.0316535938,3025156.25	8.0	0.4	5	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301033/2022-07-04/105001002D0A8100-visual.tif
2022-07-04 16:15:26+00:00	GE01	0.44	0.0.1	105001002D0A8100	17	031331301210	18.1	185.5	69.9	99.7	72.0	32617	{'type': 'Polygon', 'coordinates': [[[393979.18701171875, 3020156.25], [395156.25, 3020156.25], [395156.25, 3014843.75], [393926.3916015625, 3014843.75], [393979.18701171875, 3020156.25]]]}	MXRA-Z17-031331301210	393926.3916015625,3014843.75,395156.25,3020156.25	6.3	0.1	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301210/2022-07-04/105001002D0A8100-visual.tif
2022-07-04 16:15:26+00:00	GE01	0.44	0.0.1	105001002D0A8100	17	031331301211	18.1	186.0	69.9	99.7	72.0	32617	{'type': 'Polygon', 'coordinates': [[[400156.25, 3014843.75], [394843.75, 3014843.75], [394843.75, 3020156.25], [397556.6061378695, 3020156.25], [400156.25, 3015060.524242271], [400156.25, 3014843.75]]]}	MXRA-Z17-031331301211	394843.75,3014843.75,400156.25,3020156.25	21.5	2.7	12	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301211/2022-07-04/105001002D0A8100-visual.tif
2022-07-04 16:15:27+00:00	GE01	0.45	0.0.1	105001002D0A8100	17	031331301212	18.3	185.8	69.7	99.5	72.1	32617	{'type': 'Polygon', 'coordinates': [[[393929.443359375, 3015156.25], [395156.25, 3015156.25], [395156.25, 3009843.75], [393876.64794921875, 3009843.75], [393929.443359375, 3015156.25]]]}	MXRA-Z17-031331301212	393876.64794921875,3009843.75,395156.25,3015156.25	6.6	0.2	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301212/2022-07-04/105001002D0A8100-visual.tif
2022-07-04 16:15:27+00:00	GE01	0.45	0.0.1	105001002D0A8100	17	031331301213	18.3	186.4	69.7	99.5	72.1	32617	{'type': 'Polygon', 'coordinates': [[[400156.25, 3009843.75], [394843.75, 3009843.75], [394843.75, 3015156.25], [400107.4143894591, 3015156.25], [400156.25, 3015060.524242271], [400156.25, 3009843.75]]]}	MXRA-Z17-031331301213	394843.75,3009843.75,400156.25,3015156.25	28.2	3.4	12	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301213/2022-07-04/105001002D0A8100-visual.tif
2022-07-04 16:15:28+00:00	GE01	0.45	0.0.1	105001002D0A8100	17	031331301230	18.4	186.1	69.5	99.3	72.1	32617	{'type': 'Polygon', 'coordinates': [[[393879.69970703125, 3010156.25], [395156.25, 3010156.25], [395156.25, 3004843.75], [393826.904296875, 3004843.75], [393879.69970703125, 3010156.25]]]}	MXRA-Z17-031331301230	393826.904296875,3004843.75,395156.25,3010156.25	6.9	0.1	2	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301230/2022-07-04/105001002D0A8100-visual.tif
2022-07-04 16:15:28+00:00	GE01	0.45	0.0.1	105001002D0A8100	17	031331301231	18.5	186.7	69.5	99.3	72.1	32617	{'type': 'Polygon', 'coordinates': [[[394843.75, 3010156.25], [394843.75, 3004843.75], [400156.25, 3004843.75], [400156.25, 3010156.25], [394843.75, 3010156.25]]]}	MXRA-Z17-031331301231	394843.75,3004843.75,400156.25,3010156.25	28.2	0.2	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331301231/2022-07-04/105001002D0A8100-visual.tif
