datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-07-15 16:14:04+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331320112	24.5	19.4	62.6	101.3	70.9	32617	{'type': 'Polygon', 'coordinates': [[[373205.56640625, 2955156.25], [375156.25, 2955156.25], [375156.25, 2953265.0756835938], [373161.62109375, 2953124.6948242188], [373205.56640625, 2955156.25]]]}	MXRA-Z17-031331320112	373161.62109375,2953124.6948242188,375156.25,2955156.25	3.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331320112/2022-07-15/105001002D409800-visual.tif
2022-07-15 16:14:04+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331320113	24.6	19.0	62.6	101.3	70.9	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 2955156.25], [374843.75, 2953242.1875], [380156.25, 2953612.060546875], [380156.25, 2955156.25], [374843.75, 2955156.25]]]}	MXRA-Z17-031331320113	374843.75,2953242.1875,380156.25,2955156.25	9.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331320113/2022-07-15/105001002D409800-visual.tif
2022-07-15 16:14:04+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331321002	24.4	18.1	62.8	101.2	70.9	32617	{'type': 'Polygon', 'coordinates': [[[379843.75, 2955156.25], [379843.75, 2953590.3930664062], [385156.25, 2953957.8247070312], [385156.25, 2955156.25], [379843.75, 2955156.25]]]}	MXRA-Z17-031331321002	379843.75,2953590.3930664062,385156.25,2955156.25	7.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321002/2022-07-15/105001002D409800-visual.tif
2022-07-15 16:14:04+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331321003	24.3	17.3	62.9	101.2	70.9	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 2955156.25], [384843.75, 2953936.4624023438], [390156.25, 2954302.0629882812], [390156.25, 2955156.25], [384843.75, 2955156.25]]]}	MXRA-Z17-031331321003	384843.75,2953936.4624023438,390156.25,2955156.25	5.5	0.8	14	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321003/2022-07-15/105001002D409800-visual.tif
2022-07-15 16:14:04+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331321012	24.2	17.2	63.0	101.2	70.9	32617	{'type': 'Polygon', 'coordinates': [[[389843.75, 2955156.25], [389843.75, 2954280.3955078125], [390335.38818359375, 2954314.2700195312], [390332.03125, 2955156.25], [389843.75, 2955156.25]]]}	MXRA-Z17-031331321012	389843.75,2954280.3955078125,390335.38818359375,2955156.25	0.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321012/2022-07-15/105001002D409800-visual.tif
2022-07-15 16:14:05+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331320110	24.2	19.7	63.0	101.3	70.9	32617	{'type': 'Polygon', 'coordinates': [[[373313.29345703125, 2960156.25], [375156.25, 2960156.25], [375156.25, 2954843.75], [373198.8525390625, 2954843.75], [373313.29345703125, 2960156.25]]]}	MXRA-Z17-031331320110	373198.8525390625,2954843.75,375156.25,2960156.25	10.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331320110/2022-07-15/105001002D409800-visual.tif
2022-07-15 16:14:05+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331320111	24.2	19.2	63.0	101.3	70.9	32617	{'type': 'Polygon', 'coordinates': [[[374843.75, 2960156.25], [374843.75, 2954843.75], [380156.25, 2954843.75], [380156.25, 2960156.25], [374843.75, 2960156.25]]]}	MXRA-Z17-031331320111	374843.75,2954843.75,380156.25,2960156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331320111/2022-07-15/105001002D409800-visual.tif
2022-07-15 16:14:05+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331321000	24.1	18.3	63.1	101.3	70.9	32617	{'type': 'Polygon', 'coordinates': [[[379843.75, 2960156.25], [379843.75, 2954843.75], [385156.25, 2954843.75], [385156.25, 2960156.25], [379843.75, 2960156.25]]]}	MXRA-Z17-031331321000	379843.75,2954843.75,385156.25,2960156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321000/2022-07-15/105001002D409800-visual.tif
2022-07-15 16:14:05+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331321001	24.0	17.4	63.2	101.3	70.9	32617	{'type': 'Polygon', 'coordinates': [[[384843.75, 2960156.25], [384843.75, 2954843.75], [390156.25, 2954843.75], [390156.25, 2960156.25], [384843.75, 2960156.25]]]}	MXRA-Z17-031331321001	384843.75,2954843.75,390156.25,2960156.25	28.2	0.9	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321001/2022-07-15/105001002D409800-visual.tif
2022-07-15 16:14:05+00:00	GE01	0.48	0.0.1	105001002D409800	17	031331321010	24.0	17.2	63.2	101.3	70.9	32617	{'type': 'Polygon', 'coordinates': [[[389843.75, 2960156.25], [389843.75, 2954843.75], [390333.251953125, 2954843.75], [390313.1103515625, 2960156.25], [389843.75, 2960156.25]]]}	MXRA-Z17-031331321010	389843.75,2954843.75,390333.251953125,2960156.25	2.5	0.2	9	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Ian-9-26-2022/ard/17/031331321010/2022-07-15/105001002D409800-visual.tif
