datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2017-10-20 16:35:02+00:00	GE01	0.49	0.0.1	105001000C7F2100	17	031313230323	25.3	272.4	61.8	163.8	49.0	32617	MXRA-Z17-031313230323	285812.78333019494,3244887.846873705,285936.8896484375,3245156.25	0.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230323/2017-10-20/105001000C7F2100-visual.tif
2017-10-20 16:35:03+00:00	GE01	0.49	0.0.1	105001000C7F2100	17	031313230320	25.3	270.3	61.8	163.8	49.0	32617	MXRA-Z17-031313230320	283620.04263920814,3246653.3110362035,285156.25,3250156.25	2.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230320/2017-10-20/105001000C7F2100-visual.tif
2017-10-20 16:35:03+00:00	GE01	0.49	0.0.1	105001000C7F2100	17	031313230321	25.4	270.2	61.6	163.8	49.0	32617	MXRA-Z17-031313230321	284843.75,3244888.1688881326,286059.5703125,3250156.25	4.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230321/2017-10-20/105001000C7F2100-visual.tif
2017-10-20 16:35:04+00:00	GE01	0.49	0.0.1	105001000C7F2100	17	031313230302	25.4	268.1	61.6	163.8	48.9	32617	MXRA-Z17-031313230302	280101.31525173987,3249843.75,285156.25,3255156.25	14.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230302/2017-10-20/105001000C7F2100-visual.tif
2017-10-20 16:35:04+00:00	GE01	0.49	0.0.1	105001000C7F2100	17	031313230303	25.5	268.1	61.5	163.8	48.9	32617	MXRA-Z17-031313230303	284843.75,3249843.75,286184.08203125,3255156.25	6.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230303/2017-10-20/105001000C7F2100-visual.tif
2017-10-20 16:35:05+00:00	GE01	0.48	0.0.1	105001000C7F2100	17	031313230210	24.9	265.9	62.2	163.8	48.8	32617	MXRA-Z17-031313230210	271887.8055229139,3258166.5740971304,275156.25,3260156.25	3.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230210/2017-10-20/105001000C7F2100-visual.tif
2017-10-20 16:35:05+00:00	GE01	0.49	0.0.1	105001000C7F2100	17	031313230211	25.2	265.9	61.8	163.8	48.8	32617	MXRA-Z17-031313230211	274843.75,3255122.808298417,280156.25,3260156.25	18.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230211/2017-10-20/105001000C7F2100-visual.tif
2017-10-20 16:35:05+00:00	GE01	0.49	0.0.1	105001000C7F2100	17	031313230300	25.6	266.0	61.5	163.8	48.8	32617	MXRA-Z17-031313230300	279843.75,3254843.75,285156.25,3260156.25	28.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230300/2017-10-20/105001000C7F2100-visual.tif
2017-10-20 16:35:05+00:00	GE01	0.49	0.0.1	105001000C7F2100	17	031313230301	25.7	266.0	61.3	163.8	48.8	32617	MXRA-Z17-031313230301	284843.75,3254843.75,286312.255859375,3260156.25	7.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230301/2017-10-20/105001000C7F2100-visual.tif
2017-10-20 16:35:06+00:00	GE01	0.48	0.0.1	105001000C7F2100	17	031313230023	24.8	263.6	62.3	163.9	48.8	32617	MXRA-Z17-031313230023	266902.00890021236,3261210.3398958435,270156.25,3265156.25	9.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313230023/2017-10-20/105001000C7F2100-visual.tif
