datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-07-18 16:36:15+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313201133	23.5	324.1	63.5	118.3	73.0	32617	{'type': 'Polygon', 'coordinates': [[[260156.25, 3339843.75], [254843.75, 3339843.75], [254843.75, 3342014.080829752], [260156.25, 3344808.841179677], [260156.25, 3339843.75]]]}	MXRA-Z17-031313201133	254843.75,3339843.75,260156.25,3344808.841179677	18.9	5.8	31	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313201133/2022-07-18/10300100D71DB500-visual.tif
2022-07-18 16:36:15+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313210020	23.5	323.5	63.4	118.5	72.9	32617	{'type': 'Polygon', 'coordinates': [[[263566.89453125, 3344843.75], [260222.60742773832, 3344843.75], [263601.7165016187, 3346621.4064814593], [263566.89453125, 3344843.75]]]}	MXRA-Z17-031313210020	260222.60742773832,3344843.75,263601.7165016187,3346621.4064814593	2.9	2.9	100	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210020/2022-07-18/10300100D71DB500-visual.tif
2022-07-18 16:36:15+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313210022	23.6	323.6	63.3	118.3	73.0	32617	{'type': 'Polygon', 'coordinates': [[[263573.30322265625, 3345156.25], [263468.32275390625, 3339843.75], [259843.75, 3339843.75], [259843.75, 3344644.443512034], [260816.6319744386, 3345156.25], [263573.30322265625, 3345156.25]]]}	MXRA-Z17-031313210022	259843.75,3339843.75,263573.30322265625,3345156.25	19.2	14.4	74	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210022/2022-07-18/10300100D71DB500-visual.tif
2022-07-18 16:36:16+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313201132	23.3	324.7	63.7	118.3	73.0	32617	{'type': 'Polygon', 'coordinates': [[[255156.25, 3339843.75], [250718.2146805333, 3339843.75], [255156.25, 3342178.478497395], [255156.25, 3339843.75]]]}	MXRA-Z17-031313201132	250718.2146805333,3339843.75,255156.25,3342178.478497395	5.1	0.1	3	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313201132/2022-07-18/10300100D71DB500-visual.tif
2022-07-18 16:36:16+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313201300	23.2	325.6	63.8	118.2	73.0	32617	{'type': 'Polygon', 'coordinates': [[[245156.25, 3334843.75], [244555.96923828125, 3334843.75], [244600.07480518793, 3336625.164637382], [245156.25, 3336917.753132831], [245156.25, 3334843.75]]]}	MXRA-Z17-031313201300	244555.96923828125,3334843.75,245156.25,3336917.753132831	1.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313201300/2022-07-18/10300100D71DB500-visual.tif
2022-07-18 16:36:16+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313201301	23.3	325.4	63.7	118.2	73.0	32617	{'type': 'Polygon', 'coordinates': [[[250156.25, 3334843.75], [244843.75, 3334843.75], [244843.75, 3336753.355465188], [250156.25, 3339548.115815113], [250156.25, 3334843.75]]]}	MXRA-Z17-031313201301	244843.75,3334843.75,250156.25,3339548.115815113	17.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313201301/2022-07-18/10300100D71DB500-visual.tif
2022-07-18 16:36:16+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313201310	23.4	324.8	63.5	118.2	73.0	32617	{'type': 'Polygon', 'coordinates': [[[255156.25, 3340156.25], [255156.25, 3334843.75], [249843.75, 3334843.75], [249843.75, 3339383.71814747], [251312.23922723363, 3340156.25], [255156.25, 3340156.25]]]}	MXRA-Z17-031313201310	249843.75,3334843.75,255156.25,3340156.25	27.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313201310/2022-07-18/10300100D71DB500-visual.tif
2022-07-18 16:36:16+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313201311	23.6	324.2	63.3	118.2	73.0	32617	{'type': 'Polygon', 'coordinates': [[[254843.75, 3340156.25], [254843.75, 3334843.75], [260156.25, 3334843.75], [260156.25, 3340156.25], [254843.75, 3340156.25]]]}	MXRA-Z17-031313201311	254843.75,3334843.75,260156.25,3340156.25	28.2	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313201311/2022-07-18/10300100D71DB500-visual.tif
2022-07-18 16:36:16+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313201312	23.6	324.9	63.4	118.0	73.0	32617	{'type': 'Polygon', 'coordinates': [[[249843.75, 3335156.25], [249843.75, 3329843.75], [255156.25, 3329843.75], [255156.25, 3335156.25], [249843.75, 3335156.25]]]}	MXRA-Z17-031313201312	249843.75,3329843.75,255156.25,3335156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313201312/2022-07-18/10300100D71DB500-visual.tif
2022-07-18 16:36:16+00:00	WV02	0.54	0.0.1	10300100D71DB500	17	031313201313	23.8	324.3	63.2	118.0	73.0	32617	{'type': 'Polygon', 'coordinates': [[[254843.75, 3335156.25], [254843.75, 3329843.75], [260156.25, 3329843.75], [260156.25, 3335156.25], [254843.75, 3335156.25]]]}	MXRA-Z17-031313201313	254843.75,3329843.75,260156.25,3335156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313201313/2022-07-18/10300100D71DB500-visual.tif
