datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-05-12 16:28:28+00:00	WV03	0.37	0.0.1	1040010077338D00	17	031313210020	26.2	215.1	61.0	126.8	71.7	32617	{'type': 'Polygon', 'coordinates': [[[265156.25, 3344843.75], [263069.15283203125, 3344843.75], [263102.57351730287, 3346358.8210656457], [264285.464934184, 3346981.107753677], [265156.25, 3345928.1699979603], [265156.25, 3344843.75]]]}	MXRA-Z17-031313210020	263069.15283203125,3344843.75,265156.25,3346981.107753677	3.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210020/2022-05-12/1040010077338D00-visual.tif
2022-05-12 16:28:28+00:00	WV03	0.38	0.0.1	1040010077338D00	17	031313210021	26.4	215.5	60.8	126.8	71.7	32617	{'type': 'Polygon', 'coordinates': [[[264843.75, 3344843.75], [264843.75, 3346306.0394189903], [266053.07104584976, 3344843.75], [264843.75, 3344843.75]]]}	MXRA-Z17-031313210021	264843.75,3344843.75,266053.07104584976,3346306.0394189903	0.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210021/2022-05-12/1040010077338D00-visual.tif
2022-05-12 16:28:29+00:00	WV03	0.38	0.0.1	1040010077338D00	17	031313210022	26.2	215.3	61.0	126.6	71.7	32617	{'type': 'Polygon', 'coordinates': [[[263076.171875, 3345156.25], [265156.25, 3345156.25], [265156.25, 3339843.75], [262959.5947265625, 3339843.75], [263076.171875, 3345156.25]]]}	MXRA-Z17-031313210022	262959.5947265625,3339843.75,265156.25,3345156.25	11.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210022/2022-05-12/1040010077338D00-visual.tif
2022-05-12 16:28:29+00:00	WV03	0.38	0.0.1	1040010077338D00	17	031313210023	26.4	215.8	60.8	126.6	71.7	32617	{'type': 'Polygon', 'coordinates': [[[270156.25, 3339843.75], [264843.75, 3339843.75], [264843.75, 3345156.25], [265794.6319010948, 3345156.25], [270156.25, 3339882.2592614824], [270156.25, 3339843.75]]]}	MXRA-Z17-031313210023	264843.75,3339843.75,270156.25,3345156.25	16.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210023/2022-05-12/1040010077338D00-visual.tif
2022-05-12 16:28:29+00:00	WV03	0.38	0.0.1	1040010077338D00	17	031313210200	26.2	215.5	61.0	126.5	71.8	32617	{'type': 'Polygon', 'coordinates': [[[262966.61376953125, 3340156.25], [265156.25, 3340156.25], [265156.25, 3334843.75], [262851.5625, 3334843.75], [262966.61376953125, 3340156.25]]]}	MXRA-Z17-031313210200	262851.5625,3334843.75,265156.25,3340156.25	11.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210200/2022-05-12/1040010077338D00-visual.tif
2022-05-12 16:28:30+00:00	WV03	0.38	0.0.1	1040010077338D00	17	031313210201	26.4	216.0	60.8	126.5	71.8	32617	{'type': 'Polygon', 'coordinates': [[[270156.25, 3334843.75], [264843.75, 3334843.75], [264843.75, 3340156.25], [269929.6582171736, 3340156.25], [270156.25, 3339882.2592614824], [270156.25, 3334843.75]]]}	MXRA-Z17-031313210201	264843.75,3334843.75,270156.25,3340156.25	28.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210201/2022-05-12/1040010077338D00-visual.tif
2022-05-12 16:28:30+00:00	WV03	0.38	0.0.1	1040010077338D00	17	031313210202	26.3	215.8	61.0	126.5	71.8	32617	{'type': 'Polygon', 'coordinates': [[[262858.2763671875, 3335156.25], [265156.25, 3335156.25], [265156.25, 3329843.75], [262744.140625, 3329843.75], [262858.2763671875, 3335156.25]]]}	MXRA-Z17-031313210202	262744.140625,3329843.75,265156.25,3335156.25	12.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210202/2022-05-12/1040010077338D00-visual.tif
2022-05-12 16:28:30+00:00	WV03	0.38	0.0.1	1040010077338D00	17	031313210203	26.4	216.2	60.8	126.5	71.8	32617	{'type': 'Polygon', 'coordinates': [[[264843.75, 3335156.25], [264843.75, 3329843.75], [270156.25, 3329843.75], [270156.25, 3335156.25], [264843.75, 3335156.25]]]}	MXRA-Z17-031313210203	264843.75,3329843.75,270156.25,3335156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210203/2022-05-12/1040010077338D00-visual.tif
2022-05-12 16:28:30+00:00	WV03	0.38	0.0.1	1040010077338D00	17	031313210210	26.7	216.7	60.5	126.5	71.8	32617	{'type': 'Polygon', 'coordinates': [[[269843.75, 3334843.75], [269843.75, 3340156.25], [269929.6582171736, 3340156.25], [274323.12367800734, 3334843.75], [269843.75, 3334843.75]]]}	MXRA-Z17-031313210210	269843.75,3334843.75,274323.12367800734,3340156.25	12.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210210/2022-05-12/1040010077338D00-visual.tif
2022-05-12 16:28:30+00:00	WV03	0.38	0.0.1	1040010077338D00	17	031313210212	26.7	216.9	60.5	126.5	71.8	32617	{'type': 'Polygon', 'coordinates': [[[275156.25, 3329843.75], [269843.75, 3329843.75], [269843.75, 3335156.25], [274064.68453325244, 3335156.25], [275156.25, 3333836.3485250045], [275156.25, 3329843.75]]]}	MXRA-Z17-031313210212	269843.75,3329843.75,275156.25,3335156.25	27.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313210212/2022-05-12/1040010077338D00-visual.tif
