datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2018-03-21 16:04:29+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233302	28.5	72.5	58.1	137.5	53.7	32617	{'type': 'Polygon', 'coordinates': [[[325150.146484375, 3215156.25], [325121.3024464274, 3211491.1623168513], [323047.98436401575, 3214811.0151126944], [322922.801219864, 3215156.25], [325150.146484375, 3215156.25]]]}	MXRA-Z17-031313233302	322922.801219864,3211491.1623168513,325150.146484375,3215156.25	4.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233302/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:29+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233303	28.5	72.4	58.2	137.5	53.7	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3215156.25], [325150.146484375, 3215156.25], [325121.3024464274, 3211491.1623168513], [324843.75, 3211935.586774961], [324843.75, 3215156.25]]]}	MXRA-Z17-031313233303	324843.75,3211491.1623168513,325150.146484375,3215156.25	1.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233303/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:31+00:00	GE01	0.52	0.0.1	105001000F069300	17	031313233200	29.2	75.0	57.4	137.6	53.7	32617	{'type': 'Polygon', 'coordinates': [[[305144.91847103735, 3220156.25], [304594.9736731845, 3219206.592444236], [304619.140625, 3220156.25], [305144.91847103735, 3220156.25]]]}	MXRA-Z17-031313233200	304594.9736731845,3219206.592444236,305144.91847103735,3220156.25	0.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233200/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:31+00:00	GE01	0.52	0.0.1	105001000F069300	17	031313233201	29.1	74.9	57.5	137.6	53.7	32617	{'type': 'Polygon', 'coordinates': [[[304843.75, 3220156.25], [305144.91847103735, 3220156.25], [304843.75, 3219636.1852313266], [304843.75, 3220156.25]]]}	MXRA-Z17-031313233201	304843.75,3219636.1852313266,305144.91847103735,3220156.25	0.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233201/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:31+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233300	28.2	74.2	58.4	137.6	53.7	32617	{'type': 'Polygon', 'coordinates': [[[325156.25, 3220156.25], [325147.705078125, 3214843.75], [323036.11460152344, 3214843.75], [321109.78711331234, 3220156.25], [325156.25, 3220156.25]]]}	MXRA-Z17-031313233300	321109.78711331234,3214843.75,325156.25,3220156.25	16.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233300/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:31+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233301	28.2	74.1	58.5	137.6	53.7	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3220156.25], [324843.75, 3214843.75], [325147.705078125, 3214843.75], [325177.001953125, 3218467.7124023438], [325178.52783203125, 3218497.6196289062], [325177.6123046875, 3218541.8701171875], [325180.6640625, 3218912.6586914062], [325182.80029296875, 3218995.9716796875], [325182.18994140625, 3219085.693359375], [325184.02099609375, 3219141.2353515625], [325183.41064453125, 3219246.5209960938], [325185.85205078125, 3219393.0053710938], [325186.1572265625, 3219579.7729492188], [325188.29345703125, 3219660.3393554688], [325188.29345703125, 3219839.1723632812], [325190.4296875, 3219919.43359375], [325192.2607421875, 3220156.25], [324843.75, 3220156.25]]]}	MXRA-Z17-031313233301	324843.75,3214843.75,325192.2607421875,3220156.25	1.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233301/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:32+00:00	GE01	0.52	0.0.1	105001000F069300	17	031313233022	28.9	76.7	57.7	137.6	53.6	32617	{'type': 'Polygon', 'coordinates': [[[305156.25, 3225156.25], [305156.25, 3220175.8175495793], [304963.95034385734, 3219843.75], [304611.2060546875, 3219843.75], [304742.73681640625, 3225156.25], [305156.25, 3225156.25]]]}	MXRA-Z17-031313233022	304611.2060546875,3219843.75,305156.25,3225156.25	2.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233022/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:32+00:00	GE01	0.52	0.0.1	105001000F069300	17	031313233023	28.8	76.6	57.8	137.6	53.6	32617	{'type': 'Polygon', 'coordinates': [[[304843.75, 3219843.75], [304843.75, 3225156.25], [308040.40850591747, 3225156.25], [304963.95034385734, 3219843.75], [304843.75, 3219843.75]]]}	MXRA-Z17-031313233023	304843.75,3219843.75,308040.40850591747,3225156.25	8.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233023/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:32+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233033	28.2	76.2	58.4	137.6	53.6	32617	{'type': 'Polygon', 'coordinates': [[[320156.25, 3225156.25], [320156.25, 3222785.951307526], [319828.1085609979, 3223690.9123826115], [315944.61716283753, 3225156.25], [320156.25, 3225156.25]]]}	MXRA-Z17-031313233033	315944.61716283753,3222785.951307526,320156.25,3225156.25	3.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233033/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:32+00:00	GE01	0.5	0.0.1	105001000F069300	17	031313233122	28.0	76.0	58.8	137.6	53.6	32617	{'type': 'Polygon', 'coordinates': [[[319843.75, 3225156.25], [325156.25, 3225156.25], [325156.25, 3219843.75], [321223.1004949718, 3219843.75], [319843.75, 3223647.775820834], [319843.75, 3225156.25]]]}	MXRA-Z17-031313233122	319843.75,3219843.75,325156.25,3225156.25	25.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233122/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:32+00:00	GE01	0.5	0.0.1	105001000F069300	17	031313233123	27.9	75.9	58.8	137.6	53.6	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3225156.25], [324843.75, 3219843.75], [325188.5986328125, 3219843.75], [325190.73486328125, 3219936.8286132812], [325195.00732421875, 3220617.9809570312], [325198.974609375, 3221085.5102539062], [325201.11083984375, 3221163.9404296875], [325200.50048828125, 3221253.0517578125], [325202.33154296875, 3221307.6782226562], [325201.72119140625, 3221408.0810546875], [325211.181640625, 3222510.986328125], [325213.92822265625, 3222658.9965820312], [325213.31787109375, 3222759.0942382812], [325216.6748046875, 3223147.2778320312], [325220.947265625, 3223473.2055664062], [325220.947265625, 3223638.916015625], [325224.30419921875, 3224023.7426757812], [325227.6611328125, 3224238.8916015625], [325228.57666015625, 3224511.4135742188], [325231.3232421875, 3224656.3720703125], [325234.06982421875, 3225126.6479492188], [325235.595703125, 3225156.25], [324843.75, 3225156.25]]]}	MXRA-Z17-031313233123	324843.75,3219843.75,325235.595703125,3225156.25	1.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233123/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:33+00:00	GE01	0.52	0.0.1	105001000F069300	17	031313233020	28.7	78.4	58.0	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[304864.19677734375, 3230156.25], [305156.25, 3230156.25], [305156.25, 3224843.75], [304735.107421875, 3224843.75], [304864.19677734375, 3230156.25]]]}	MXRA-Z17-031313233020	304735.107421875,3224843.75,305156.25,3230156.25	1.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233020/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:33+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233021	28.6	78.4	58.0	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[310156.25, 3230156.25], [310156.25, 3226082.928823057], [308664.9969490027, 3226234.803950387], [307859.44037873746, 3224843.75], [304843.75, 3224843.75], [304843.75, 3229348.14453125], [304864.19677734375, 3230156.25], [310156.25, 3230156.25]]]}	MXRA-Z17-031313233021	304843.75,3224843.75,310156.25,3230156.25	25.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233021/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:33+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233030	28.3	78.2	58.4	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[309843.75, 3230156.25], [315156.25, 3230156.25], [315156.25, 3225453.7204825063], [314720.68974162336, 3225618.0681701414], [309843.75, 3226114.7550629154], [309843.75, 3230156.25]]]}	MXRA-Z17-031313233030	309843.75,3225453.7204825063,315156.25,3230156.25	22.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233030/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:33+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233031	28.0	78.0	58.7	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[314843.75, 3230156.25], [320156.25, 3230156.25], [320156.25, 3224843.75], [316772.8161031527, 3224843.75], [314843.75, 3225571.634482689], [314843.75, 3230156.25]]]}	MXRA-Z17-031313233031	314843.75,3224843.75,320156.25,3230156.25	27.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233031/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:33+00:00	GE01	0.5	0.0.1	105001000F069300	17	031313233120	27.7	77.9	59.1	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[319843.75, 3230156.25], [319843.75, 3224843.75], [325156.25, 3224843.75], [325156.25, 3230156.25], [319843.75, 3230156.25]]]}	MXRA-Z17-031313233120	319843.75,3224843.75,325156.25,3230156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233120/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:33+00:00	GE01	0.5	0.0.1	105001000F069300	17	031313233121	27.6	77.8	59.1	137.6	53.6	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3230156.25], [324843.75, 3224843.75], [325232.23876953125, 3224843.75], [325280.1513671875, 3230156.25], [324843.75, 3230156.25]]]}	MXRA-Z17-031313233121	324843.75,3224843.75,325280.1513671875,3230156.25	2.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233121/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:34+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233002	28.4	80.2	58.2	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[304981.99462890625, 3235156.25], [305156.25, 3235156.25], [305156.25, 3229843.75], [304857.48291015625, 3229843.75], [304860.53466796875, 3230003.662109375], [304864.19677734375, 3230121.1547851562], [304865.1123046875, 3230196.533203125], [304869.68994140625, 3230323.486328125], [304869.9951171875, 3230401.611328125], [304876.708984375, 3230684.5092773438], [304878.84521484375, 3230737.3046875], [304881.28662109375, 3230869.7509765625], [304885.55908203125, 3230969.23828125], [304887.0849609375, 3231124.267578125], [304892.88330078125, 3231370.2392578125], [304894.4091796875, 3231402.8930664062], [304894.4091796875, 3231435.2416992188], [304897.4609375, 3231564.6362304688], [304898.98681640625, 3231593.017578125], [304900.20751953125, 3231642.1508789062], [304900.81787109375, 3231705.6274414062], [304902.9541015625, 3231758.7280273438], [304903.564453125, 3231823.73046875], [304914.24560546875, 3232278.4423828125], [304916.68701171875, 3232343.75], [304919.12841796875, 3232457.5805664062], [304921.56982421875, 3232504.5776367188], [304922.79052734375, 3232613.2202148438], [304925.23193359375, 3232681.5795898438], [304926.45263671875, 3232773.1323242188], [304929.8095703125, 3232919.6166992188], [304931.640625, 3232959.8999023438], [304934.6923828125, 3233085.9375], [304935.302734375, 3233143.0053710938], [304936.82861328125, 3233177.1850585938], [304938.65966796875, 3233294.9829101562], [304948.1201171875, 3233700.5615234375], [304953.61328125, 3233894.9584960938], [304968.26171875, 3234527.587890625], [304969.78759765625, 3234633.1787109375], [304977.4169921875, 3234922.7905273438], [304977.4169921875, 3234959.4116210938], [304981.99462890625, 3235156.25]]]}	MXRA-Z17-031313233002	304857.48291015625,3229843.75,305156.25,3235156.25	1.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233002/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:34+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233003	28.4	80.1	58.3	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[304981.99462890625, 3235156.25], [310156.25, 3235156.25], [310156.25, 3229843.75], [304857.48291015625, 3229843.75], [304981.99462890625, 3235156.25]]]}	MXRA-Z17-031313233003	304857.48291015625,3229843.75,310156.25,3235156.25	27.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233003/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:34+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233012	28.1	80.0	58.6	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[309843.75, 3235156.25], [309843.75, 3229843.75], [315156.25, 3229843.75], [315156.25, 3235156.25], [309843.75, 3235156.25]]]}	MXRA-Z17-031313233012	309843.75,3229843.75,315156.25,3235156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233012/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:34+00:00	GE01	0.5	0.0.1	105001000F069300	17	031313233013	27.8	79.9	59.0	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[314843.75, 3235156.25], [314843.75, 3229843.75], [320156.25, 3229843.75], [320156.25, 3235156.25], [314843.75, 3235156.25]]]}	MXRA-Z17-031313233013	314843.75,3229843.75,320156.25,3235156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233013/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:34+00:00	GE01	0.5	0.0.1	105001000F069300	17	031313233102	27.5	79.8	59.3	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[319843.75, 3235156.25], [319843.75, 3229843.75], [325156.25, 3229843.75], [325156.25, 3235156.25], [319843.75, 3235156.25]]]}	MXRA-Z17-031313233102	319843.75,3229843.75,325156.25,3235156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233102/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:34+00:00	GE01	0.5	0.0.1	105001000F069300	17	031313233103	27.4	79.7	59.4	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[324843.75, 3235156.25], [324843.75, 3229843.75], [325276.79443359375, 3229843.75], [325328.9794921875, 3235156.25], [324843.75, 3235156.25]]]}	MXRA-Z17-031313233103	324843.75,3229843.75,325328.9794921875,3235156.25	2.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233103/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:35+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233000	28.2	82.0	58.4	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[305096.13037109375, 3240156.25], [305156.25, 3240156.25], [305156.25, 3234843.75], [304975.5859375, 3234843.75], [305096.13037109375, 3240156.25]]]}	MXRA-Z17-031313233000	304975.5859375,3234843.75,305156.25,3240156.25	0.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233000/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:35+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233001	28.2	82.0	58.5	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[305096.13037109375, 3240156.25], [310156.25, 3240156.25], [310156.25, 3234843.75], [304975.5859375, 3234843.75], [305096.13037109375, 3240156.25]]]}	MXRA-Z17-031313233001	304975.5859375,3234843.75,310156.25,3240156.25	27.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233001/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:35+00:00	GE01	0.51	0.0.1	105001000F069300	17	031313233010	27.9	81.9	58.9	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[309843.75, 3240156.25], [309843.75, 3234843.75], [315156.25, 3234843.75], [315156.25, 3240156.25], [309843.75, 3240156.25]]]}	MXRA-Z17-031313233010	309843.75,3234843.75,315156.25,3240156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233010/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:35+00:00	GE01	0.5	0.0.1	105001000F069300	17	031313233011	27.6	81.8	59.2	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[314843.75, 3240156.25], [314843.75, 3234843.75], [320156.25, 3234843.75], [320156.25, 3240156.25], [314843.75, 3240156.25]]]}	MXRA-Z17-031313233011	314843.75,3234843.75,320156.25,3240156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233011/2018-03-21/105001000F069300-visual.tif
2018-03-21 16:04:35+00:00	GE01	0.5	0.0.1	105001000F069300	17	031313233100	27.3	81.7	59.6	137.7	53.6	32617	{'type': 'Polygon', 'coordinates': [[[319843.75, 3240156.25], [319843.75, 3234843.75], [325156.25, 3234843.75], [325156.25, 3240156.25], [319843.75, 3240156.25]]]}	MXRA-Z17-031313233100	319843.75,3234843.75,325156.25,3240156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Hurricane-Idalia-Florida-Aug23/ard/17/031313233100/2018-03-21/105001000F069300-visual.tif
