datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-01-04 03:05:56+00:00	WV02	0.55	0.0.1	10300100CB626A00	48	300020121231	24.1	79.6	62.8	123.8	59.0	32748	{'type': 'Polygon', 'coordinates': [[[720156.25, 9244843.75], [718858.642578125, 9244843.75], [718853.759765625, 9245135.498046875], [718947.75390625, 9246115.417480469], [719049.3774414062, 9246605.224609375], [719231.001768187, 9247277.654978039], [720156.25, 9247288.195591552], [720156.25, 9244843.75]]]}	MXRA-Z48-300020121231	718853.759765625,9244843.75,720156.25,9247288.195591552	2.8	2.2	79	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121231/2022-01-04/10300100CB626A00-visual.tif
2022-01-04 03:05:57+00:00	WV02	0.55	0.0.1	10300100CB626A00	48	300020121233	24.0	79.3	62.8	123.8	59.0	32748	{'type': 'Polygon', 'coordinates': [[[718855.5908203125, 9245156.25], [720156.25, 9245156.25], [720156.25, 9239843.75], [718427.4291992188, 9239843.75], [718634.6435546875, 9243597.412109375], [718855.5908203125, 9245156.25]]]}	MXRA-Z48-300020121233	718427.4291992188,9239843.75,720156.25,9245156.25	8.3	5.4	65	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121233/2022-01-04/10300100CB626A00-visual.tif
2022-01-04 03:05:56+00:00	WV02	0.54	0.0.1	10300100CB626A00	48	300020121312	23.3	79.6	63.6	123.9	58.9	32748	{'type': 'Polygon', 'coordinates': [[[735156.25, 9249843.75], [730434.2810562969, 9249843.75], [730437.6211637103, 9250619.812445937], [735156.25, 9250599.107394818], [735156.25, 9249843.75]]]}	MXRA-Z48-300020121312	730434.2810562969,9249843.75,735156.25,9250619.812445937	3.6	0.4	12	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121312/2022-01-04/10300100CB626A00-visual.tif
2022-01-04 03:05:56+00:00	WV02	0.54	0.0.1	10300100CB626A00	48	300020121313	23.1	79.5	63.9	123.9	58.9	32748	{'type': 'Polygon', 'coordinates': [[[738337.7075195312, 9250491.638183594], [738375.5493164062, 9249843.75], [734843.75, 9249843.75], [734843.75, 9250600.478625465], [738348.0382465994, 9250585.102025652], [738337.7075195312, 9250491.638183594]]]}	MXRA-Z48-300020121313	734843.75,9249843.75,738375.5493164062,9250600.478625465	2.6	0.6	24	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121313/2022-01-04/10300100CB626A00-visual.tif
2022-01-04 03:05:56+00:00	WV02	0.54	0.0.1	10300100CB626A00	48	300020121320	23.9	79.6	63.0	123.8	59.0	32748	{'type': 'Polygon', 'coordinates': [[[725156.25, 9244843.75], [719843.75, 9244843.75], [719843.75, 9247284.635528848], [725156.25, 9247345.156594833], [725156.25, 9244843.75]]]}	MXRA-Z48-300020121320	719843.75,9244843.75,725156.25,9247345.156594833	13.1	11.8	90	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121320/2022-01-04/10300100CB626A00-visual.tif
2022-01-04 03:05:56+00:00	WV02	0.54	0.0.1	10300100CB626A00	48	300020121321	23.6	79.4	63.3	123.8	59.0	32748	{'type': 'Polygon', 'coordinates': [[[730156.25, 9244843.75], [724843.75, 9244843.75], [724843.75, 9247341.596532129], [730156.25, 9247402.117598113], [730156.25, 9244843.75]]]}	MXRA-Z48-300020121321	724843.75,9244843.75,730156.25,9247402.117598113	13.4	0.8	6	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121321/2022-01-04/10300100CB626A00-visual.tif
2022-01-04 03:05:57+00:00	WV02	0.54	0.0.1	10300100CB626A00	48	300020121322	23.9	79.3	63.0	123.8	59.0	32748	{'type': 'Polygon', 'coordinates': [[[719843.75, 9245156.25], [719843.75, 9239843.75], [725156.25, 9239843.75], [725156.25, 9245156.25], [719843.75, 9245156.25]]]}	MXRA-Z48-300020121322	719843.75,9239843.75,725156.25,9245156.25	28.2	7.9	28	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121322/2022-01-04/10300100CB626A00-visual.tif
2022-01-04 03:05:57+00:00	WV02	0.54	0.0.1	10300100CB626A00	48	300020121323	23.6	79.1	63.4	123.8	59.0	32748	{'type': 'Polygon', 'coordinates': [[[724843.75, 9239843.75], [724843.75, 9245156.25], [730156.25, 9245156.25], [730156.25, 9241756.674922032], [730065.6460581183, 9239843.75], [724843.75, 9239843.75]]]}	MXRA-Z48-300020121323	724843.75,9239843.75,730156.25,9245156.25	28.1	0.5	2	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121323/2022-01-04/10300100CB626A00-visual.tif
2022-01-04 03:05:56+00:00	WV02	0.54	0.0.1	10300100CB626A00	48	300020121330	23.3	79.3	63.7	123.8	59.0	32748	{'type': 'MultiPolygon', 'coordinates': [[[[729843.75, 9244843.75], [729843.75, 9247398.557535408], [730423.7855936115, 9247405.165417278], [730302.4664916808, 9244843.75], [729843.75, 9244843.75]]], [[[735156.25, 9250156.25], [735156.25, 9244843.75], [730412.6888842677, 9244843.75], [730423.7855936115, 9247405.165417278], [730435.6260299806, 9250156.25], [735156.25, 9250156.25]]]]}	MXRA-Z48-300020121330	729843.75,9244843.75,735156.25,9250156.25	26.4	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121330/2022-01-04/10300100CB626A00-visual.tif
2022-01-04 03:05:56+00:00	WV02	0.54	0.0.1	10300100CB626A00	48	300020121331	23.1	79.2	63.9	123.8	59.0	32748	{'type': 'Polygon', 'coordinates': [[[734843.75, 9250156.25], [734843.75, 9244843.75], [738271.1791992188, 9244843.75], [738287.0483398438, 9247357.482910156], [738279.7241210938, 9249035.034179688], [738305.3588867188, 9249440.91796875], [738374.0234375, 9249753.41796875], [738384.7045898438, 9250063.171386719], [738371.8872070312, 9250156.25], [734843.75, 9250156.25]]]}	MXRA-Z48-300020121331	734843.75,9244843.75,738384.7045898438,9250156.25	18.3	0.2	1	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121331/2022-01-04/10300100CB626A00-visual.tif
