datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2021-07-04 03:22:31+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020121230	24.8	211.2	62.6	37.2	52.5	32748	{'type': 'Polygon', 'coordinates': [[[715156.25, 9244843.75], [710583.4570379071, 9244843.75], [710502.9356955409, 9247178.223098], [715156.25, 9247231.234588273], [715156.25, 9244843.75]]]}	MXRA-Z48-300020121230	710502.9356955409,9244843.75,715156.25,9247231.234588273	10.8	3.7	34	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121230/2021-07-04/104001006B084C00-visual.tif
2021-07-04 03:22:31+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020121231	25.1	212.0	62.3	37.2	52.5	32748	{'type': 'Polygon', 'coordinates': [[[720156.25, 9244843.75], [714843.75, 9244843.75], [714843.75, 9247227.674525568], [720156.25, 9247288.195591552], [720156.25, 9244843.75]]]}	MXRA-Z48-300020121231	714843.75,9244843.75,720156.25,9247288.195591552	12.8	10.2	79	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121231/2021-07-04/104001006B084C00-visual.tif
2021-07-04 03:22:31+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020121232	24.8	211.3	62.6	37.2	52.5	32748	{'type': 'Polygon', 'coordinates': [[[715156.25, 9245156.25], [715156.25, 9239843.75], [710755.9185291858, 9239843.75], [710572.6781947021, 9245156.25], [715156.25, 9245156.25]]]}	MXRA-Z48-300020121232	710572.6781947021,9239843.75,715156.25,9245156.25	23.8	1.9	8	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121232/2021-07-04/104001006B084C00-visual.tif
2021-07-04 03:22:31+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020121233	25.1	212.2	62.3	37.2	52.5	32748	{'type': 'Polygon', 'coordinates': [[[714843.75, 9245156.25], [714843.75, 9239843.75], [720156.25, 9239843.75], [720156.25, 9245156.25], [714843.75, 9245156.25]]]}	MXRA-Z48-300020121233	714843.75,9239843.75,720156.25,9245156.25	28.2	6.2	22	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121233/2021-07-04/104001006B084C00-visual.tif
2021-07-04 03:22:31+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020121320	25.2	212.5	62.1	37.2	52.5	32748	{'type': 'Polygon', 'coordinates': [[[722707.2143554688, 9247225.341796875], [722718.2006835938, 9247094.7265625], [722705.6884765625, 9246974.792480469], [722727.3559570312, 9246296.38671875], [722752.9907226562, 9246029.968261719], [722743.2250976562, 9245592.956542969], [722787.7807617188, 9244843.75], [719843.75, 9244843.75], [719843.75, 9247284.635528848], [722718.4661141085, 9247317.384871649], [722707.2143554688, 9247225.341796875]]]}	MXRA-Z48-300020121320	719843.75,9244843.75,722787.7807617188,9247317.384871649	7.1	7.1	99	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121320/2021-07-04/104001006B084C00-visual.tif
2021-07-04 03:22:31+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020121322	25.2	212.7	62.1	37.2	52.5	32748	{'type': 'Polygon', 'coordinates': [[[719843.75, 9245156.25], [719843.75, 9239843.75], [722886.0473632812, 9239843.75], [722842.1020507812, 9242605.285644531], [722849.7314453125, 9242826.538085938], [722832.03125, 9243037.719726562], [722848.2055664062, 9243200.378417969], [722799.072265625, 9244055.17578125], [722800.29296875, 9244631.042480469], [722774.3530273438, 9245156.25], [719843.75, 9245156.25]]]}	MXRA-Z48-300020121322	719843.75,9239843.75,722886.0473632812,9245156.25	15.9	4.3	27	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020121322/2021-07-04/104001006B084C00-visual.tif
2021-07-04 03:22:32+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020123010	24.8	211.5	62.5	37.1	52.4	32748	{'type': 'Polygon', 'coordinates': [[[715156.25, 9240156.25], [715156.25, 9234843.75], [710928.3800204645, 9234843.75], [710745.139685981, 9240156.25], [715156.25, 9240156.25]]]}	MXRA-Z48-300020123010	710745.139685981,9234843.75,715156.25,9240156.25	22.9	4.1	17	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020123010/2021-07-04/104001006B084C00-visual.tif
2021-07-04 03:22:32+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020123011	25.1	212.3	62.3	37.0	52.3	32748	{'type': 'Polygon', 'coordinates': [[[714843.75, 9240156.25], [714843.75, 9234843.75], [720156.25, 9234843.75], [720156.25, 9240156.25], [714843.75, 9240156.25]]]}	MXRA-Z48-300020123011	714843.75,9234843.75,720156.25,9240156.25	28.2	1.2	4	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020123011/2021-07-04/104001006B084C00-visual.tif
2021-07-04 03:22:32+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020123100	25.2	212.9	62.1	37.0	52.3	32748	{'type': 'Polygon', 'coordinates': [[[719843.75, 9240156.25], [719843.75, 9234843.75], [722905.2734375, 9234843.75], [722904.052734375, 9235049.743652344], [722859.8022460938, 9235354.614257812], [722884.521484375, 9235754.699707031], [722874.755859375, 9236035.766601562], [722904.6630859375, 9236281.73828125], [722897.0336914062, 9236564.331054688], [722926.3305664062, 9236953.430175781], [722882.3852539062, 9240156.25], [719843.75, 9240156.25]]]}	MXRA-Z48-300020123100	719843.75,9234843.75,722926.3305664062,9240156.25	16.2	1.3	8	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020123100/2021-07-04/104001006B084C00-visual.tif
2021-07-04 03:22:33+00:00	WV03	0.37	0.0.1	104001006B084C00	48	300020123012	24.8	211.7	62.5	37.0	52.3	32748	{'type': 'Polygon', 'coordinates': [[[715156.25, 9235156.25], [715156.25, 9229843.75], [711100.8415117433, 9229843.75], [710917.6011772597, 9235156.25], [715156.25, 9235156.25]]]}	MXRA-Z48-300020123012	710917.6011772597,9229843.75,715156.25,9235156.25	22.0	0.8	3	https://maxar-opendata.s3.amazonaws.com/events/Indonesia-Earthquake22/ard/48/300020123012/2021-07-04/104001006B084C00-visual.tif
