datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-12-16 08:45:41+00:00	WV02	0.57	0.0.1	10300100DD62DB00	37	031133031211	26.9	311.9	59.6	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[320156.25, 4054843.75], [319741.35288094246, 4054843.75], [319747.8259622493, 4055152.3421779997], [320156.16364520113, 4055144.005635665], [320156.25, 4054843.75]]]}	MXRA-Z37-031133031211	319741.35288094246,4054843.75,320156.25,4055152.3421779997	0.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031211/2022-12-16/10300100DD62DB00-visual.tif
2022-12-16 08:45:41+00:00	WV02	0.57	0.0.1	10300100DD62DB00	37	031133031213	26.9	311.9	59.5	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[320156.25, 4049843.75], [319636.4720419525, 4049843.75], [319747.8259622493, 4055152.3421779997], [320156.25, 4055144.0038726623], [320156.25, 4049843.75]]]}	MXRA-Z37-031133031213	319636.4720419525,4049843.75,320156.25,4055152.3421779997	2.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031213/2022-12-16/10300100DD62DB00-visual.tif
2022-12-16 08:45:41+00:00	WV02	0.57	0.0.1	10300100DD62DB00	37	031133031221	26.6	312.8	59.9	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[310156.25, 4044843.75], [305696.10595703125, 4044843.75], [305781.3600192091, 4047686.85864826], [310156.25, 4047589.4910997013], [310156.25, 4044843.75]]]}	MXRA-Z37-031133031221	305696.10595703125,4044843.75,310156.25,4047686.85864826	12.3	12.3	99	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031221/2022-12-16/10300100DD62DB00-visual.tif
2022-12-16 08:45:41+00:00	WV02	0.57	0.0.1	10300100DD62DB00	37	031133031230	26.8	312.5	59.6	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[309843.75, 4044843.75], [309843.75, 4047596.4460994974], [313477.05289680796, 4047515.5833125957], [313419.2047417018, 4044843.75], [309843.75, 4044843.75]]]}	MXRA-Z37-031133031230	309843.75,4044843.75,313477.05289680796,4047596.4460994974	9.7	9.7	100	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031230/2022-12-16/10300100DD62DB00-visual.tif
2022-12-16 08:45:41+00:00	WV02	0.57	0.0.1	10300100DD62DB00	37	031133031231	27.0	312.1	59.4	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[320156.25, 4050156.25], [320156.25, 4045178.747724972], [319538.8819987634, 4045191.3252039705], [319643.02709438937, 4050156.25], [320156.25, 4050156.25]]]}	MXRA-Z37-031133031231	319538.8819987634,4045178.747724972,320156.25,4050156.25	2.8	0.1	3	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031231/2022-12-16/10300100DD62DB00-visual.tif
2022-12-16 08:45:41+00:00	WV02	0.57	0.0.1	10300100DD62DB00	37	031133031300	27.1	311.5	59.3	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[325156.25, 4054843.75], [319843.75, 4054843.75], [319843.75, 4055150.383811591], [325156.25, 4055041.924849798], [325156.25, 4054843.75]]]}	MXRA-Z37-031133031300	319843.75,4054843.75,325156.25,4055150.383811591	1.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031300/2022-12-16/10300100DD62DB00-visual.tif
2022-12-16 08:45:41+00:00	WV02	0.57	0.0.1	10300100DD62DB00	37	031133031301	27.2	311.4	59.2	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[325407.1044921875, 4055003.0517578125], [326138.916015625, 4054875.1831054688], [326138.916015625, 4054843.75], [324843.75, 4054843.75], [324843.75, 4055048.3047887273], [325193.2254229783, 4055041.1699667885], [325407.1044921875, 4055003.0517578125]]]}	MXRA-Z37-031133031301	324843.75,4054843.75,326138.916015625,4055048.3047887273	0.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031301/2022-12-16/10300100DD62DB00-visual.tif
2022-12-16 08:45:41+00:00	WV02	0.57	0.0.1	10300100DD62DB00	37	031133031302	27.1	311.5	59.3	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[325156.25, 4049843.75], [319843.75, 4049843.75], [319843.75, 4055150.383811591], [325156.25, 4055041.924849798], [325156.25, 4049843.75]]]}	MXRA-Z37-031133031302	319843.75,4049843.75,325156.25,4055150.383811591	27.9	0.2	1	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031302/2022-12-16/10300100DD62DB00-visual.tif
2022-12-16 08:45:41+00:00	WV02	0.58	0.0.1	10300100DD62DB00	37	031133031303	27.2	311.4	59.2	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[326138.916015625, 4054875.1831054688], [326076.66015625, 4049843.75], [324843.75, 4049843.75], [324843.75, 4055048.3047887273], [325197.6531847971, 4055041.0795704685], [326138.916015625, 4054875.1831054688]]]}	MXRA-Z37-031133031303	324843.75,4049843.75,326138.916015625,4055048.3047887273	6.4	0.3	5	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031303/2022-12-16/10300100DD62DB00-visual.tif
2022-12-16 08:45:41+00:00	WV02	0.58	0.0.1	10300100DD62DB00	37	031133031320	27.2	311.7	59.1	168.9	29.5	32637	{'type': 'Polygon', 'coordinates': [[[319843.75, 4050156.25], [325156.25, 4050156.25], [325156.25, 4045076.884015054], [319843.75, 4045185.114206842], [319843.75, 4050156.25]]]}	MXRA-Z37-031133031320	319843.75,4045076.884015054,325156.25,4050156.25	26.6	0.8	3	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133031320/2022-12-16/10300100DD62DB00-visual.tif
