datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133023303	27.4	279.3	59.0	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[248815.91796875, 4013434.7534179688], [250156.25, 4013347.4731445312], [250156.25, 4009843.75], [248564.75830078125, 4009843.75], [248597.10693359375, 4010075.68359375], [248628.84521484375, 4010502.0141601562], [248633.11767578125, 4010613.7084960938], [248618.46923828125, 4010889.5874023438], [248677.67333984375, 4011089.1723632812], [248712.46337890625, 4011390.6860351562], [248724.06005859375, 4011784.66796875], [248707.58056640625, 4011951.2939453125], [248701.7822265625, 4012122.1923828125], [248775.93994140625, 4012683.10546875], [248815.91796875, 4013434.7534179688]]]}	MXRA-Z37-031133023303	248564.75830078125,4009843.75,250156.25,4013434.7534179688	5.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133023303/2023-02-22/10300100E3D52E00-visual.tif
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133023312	27.5	279.3	58.9	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[249843.75, 4013365.478515625], [249843.75, 4009843.75], [255156.25, 4009843.75], [255156.25, 4012992.2485351562], [249843.75, 4013365.478515625]]]}	MXRA-Z37-031133023312	249843.75,4009843.75,255156.25,4013365.478515625	17.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133023312/2023-02-22/10300100E3D52E00-visual.tif
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133023313	27.7	279.2	58.5	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[254843.75, 4013016.357421875], [254843.75, 4009843.75], [260156.25, 4009843.75], [260156.25, 4012632.7514648438], [254843.75, 4013016.357421875]]]}	MXRA-Z37-031133023313	254843.75,4009843.75,260156.25,4013016.357421875	15.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133023313/2023-02-22/10300100E3D52E00-visual.tif
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133023321	27.4	279.5	58.9	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[248604.43115234375, 4010156.25], [250156.25, 4010156.25], [250156.25, 4004843.75], [248330.99365234375, 4004843.75], [248347.16796875, 4005455.0170898438], [248422.54638671875, 4006039.7338867188], [248391.11328125, 4006479.1870117188], [248418.88427734375, 4006658.6303710938], [248385.92529296875, 4006859.130859375], [248373.10791015625, 4007124.6337890625], [248416.748046875, 4007446.2890625], [248421.93603515625, 4007839.6606445312], [248398.74267578125, 4008193.6645507812], [248431.396484375, 4008450.3173828125], [248440.5517578125, 4008773.4985351562], [248415.22216796875, 4009044.189453125], [248434.14306640625, 4009294.1284179688], [248551.94091796875, 4009771.4233398438], [248604.43115234375, 4010156.25]]]}	MXRA-Z37-031133023321	248330.99365234375,4004843.75,250156.25,4010156.25	9.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133023321/2023-02-22/10300100E3D52E00-visual.tif
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133023323	27.5	279.8	58.9	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[248334.9609375, 4005156.25], [250156.25, 4005156.25], [250156.25, 3999843.75], [248207.3974609375, 3999843.75], [248226.01318359375, 4000104.6752929688], [248269.04296875, 4000290.2221679688], [248244.93408203125, 4000742.7978515625], [248262.3291015625, 4000965.8813476562], [248246.4599609375, 4001172.1801757812], [248269.95849609375, 4001385.8032226562], [248256.53076171875, 4001669.6166992188], [248288.26904296875, 4001865.234375], [248271.484375, 4002062.6831054688], [248289.1845703125, 4002276.611328125], [248281.8603515625, 4002795.7153320312], [248316.95556640625, 4003122.2534179688], [248296.81396484375, 4003591.0034179688], [248319.091796875, 4004024.658203125], [248334.9609375, 4005156.25]]]}	MXRA-Z37-031133023323	248207.3974609375,3999843.75,250156.25,4005156.25	9.9	0.3	3	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133023323/2023-02-22/10300100E3D52E00-visual.tif
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133023330	27.5	279.5	58.8	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[249843.75, 4010156.25], [249843.75, 4004843.75], [255156.25, 4004843.75], [255156.25, 4010156.25], [249843.75, 4010156.25]]]}	MXRA-Z37-031133023330	249843.75,4004843.75,255156.25,4010156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133023330/2023-02-22/10300100E3D52E00-visual.tif
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133023331	27.8	279.4	58.5	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[254843.75, 4010156.25], [254843.75, 4004843.75], [260156.25, 4004843.75], [260156.25, 4010156.25], [254843.75, 4010156.25]]]}	MXRA-Z37-031133023331	254843.75,4004843.75,260156.25,4010156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133023331/2023-02-22/10300100E3D52E00-visual.tif
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133023332	27.6	279.7	58.7	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[249843.75, 4005156.25], [249843.75, 3999843.75], [255156.25, 3999843.75], [255156.25, 4005156.25], [249843.75, 4005156.25]]]}	MXRA-Z37-031133023332	249843.75,3999843.75,255156.25,4005156.25	28.2	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133023332/2023-02-22/10300100E3D52E00-visual.tif
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133023333	27.9	279.7	58.4	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[254843.75, 4005156.25], [254843.75, 3999843.75], [260156.25, 3999843.75], [260156.25, 4005156.25], [254843.75, 4005156.25]]]}	MXRA-Z37-031133023333	254843.75,3999843.75,260156.25,4005156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133023333/2023-02-22/10300100E3D52E00-visual.tif
2023-02-22 08:50:34+00:00	WV02	0.58	0.0.1	10300100E3D52E00	37	031133032202	28.0	279.2	58.2	160.8	41.8	32637	{'type': 'Polygon', 'coordinates': [[[259843.75, 4012655.3344726562], [259843.75, 4009843.75], [265156.25, 4009843.75], [265156.25, 4012277.5268554688], [259843.75, 4012655.3344726562]]]}	MXRA-Z37-031133032202	259843.75,4009843.75,265156.25,4012655.3344726562	13.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031133032202/2023-02-22/10300100E3D52E00-visual.tif
