datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-02-28 08:52:43+00:00	WV03	0.55	0.0.1	1040010082B6D600	37	031131233313	42.8	290.9	41.9	162.7	43.1	32637	{'type': 'Polygon', 'coordinates': [[[335292.3583984375, 4173344.4213867188], [340156.25, 4172291.259765625], [340156.25, 4169843.75], [334843.75, 4169843.75], [334843.75, 4171565.5517578125], [334931.33544921875, 4172381.8969726562], [335292.3583984375, 4173344.4213867188]]]}	MXRA-Z37-031131233313	334843.75,4169843.75,340156.25,4173344.4213867188	15.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131233313/2023-02-28/1040010082B6D600-visual.tif
2023-02-28 08:52:43+00:00	WV03	0.55	0.0.1	1040010082B6D600	37	031131233331	42.8	291.0	41.8	162.7	43.1	32637	{'type': 'Polygon', 'coordinates': [[[334843.75, 4170156.25], [340156.25, 4170156.25], [340156.25, 4164843.75], [335317.07763671875, 4164843.75], [334855.3466796875, 4166500.5493164062], [334843.75, 4170156.25]]]}	MXRA-Z37-031131233331	334843.75,4164843.75,340156.25,4170156.25	27.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131233331/2023-02-28/1040010082B6D600-visual.tif
2023-02-28 08:52:43+00:00	WV03	0.55	0.0.1	1040010082B6D600	37	031131233333	42.9	291.1	41.7	162.7	43.2	32637	{'type': 'Polygon', 'coordinates': [[[335180.35888671875, 4165156.25], [340156.25, 4165156.25], [340156.25, 4159843.75], [335855.712890625, 4159843.75], [335881.04248046875, 4160065.0024414062], [335863.037109375, 4160255.7373046875], [335874.93896484375, 4160398.5595703125], [335837.40234375, 4160592.3461914062], [335830.078125, 4160812.98828125], [335889.58740234375, 4161317.138671875], [335827.33154296875, 4161592.4072265625], [335851.74560546875, 4161734.9243164062], [335852.05078125, 4161848.4497070312], [335881.04248046875, 4161984.86328125], [335853.8818359375, 4162321.1669921875], [335769.95849609375, 4162651.6723632812], [335718.07861328125, 4162742.0043945312], [335695.80078125, 4162818.2983398438], [335700.37841796875, 4162879.0283203125], [335739.44091796875, 4162991.6381835938], [335700.37841796875, 4163488.1591796875], [335662.53662109375, 4163741.455078125], [335588.9892578125, 4163962.40234375], [335526.123046875, 4164247.7416992188], [335424.49951171875, 4164554.1381835938], [335329.58984375, 4164817.8100585938], [335266.11328125, 4164933.1665039062], [335234.9853515625, 4165050.9643554688], [335180.35888671875, 4165156.25]]]}	MXRA-Z37-031131233333	335180.35888671875,4159843.75,340156.25,4165156.25	23.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131233333/2023-02-28/1040010082B6D600-visual.tif
2023-02-28 08:52:43+00:00	WV03	0.56	0.0.1	1040010082B6D600	37	031131322202	43.0	290.9	41.6	162.7	43.1	32637	{'type': 'Polygon', 'coordinates': [[[339843.75, 4172368.1640625], [339843.75, 4169843.75], [345156.25, 4169843.75], [345155.6396484375, 4171103.515625], [343589.4775390625, 4171496.58203125], [339843.75, 4172368.1640625]]]}	MXRA-Z37-031131322202	339843.75,4169843.75,345156.25,4172368.1640625	10.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131322202/2023-02-28/1040010082B6D600-visual.tif
2023-02-28 08:52:43+00:00	WV03	0.56	0.0.1	1040010082B6D600	37	031131322203	43.2	290.8	41.4	162.7	43.1	32637	{'type': 'Polygon', 'coordinates': [[[344843.75, 4171179.19921875], [344843.75, 4169843.75], [350156.25, 4169843.75], [350155.94482421875, 4169966.4306640625], [349031.06689453125, 4170222.16796875], [348833.31298828125, 4170274.0478515625], [348219.90966796875, 4170400.0854492188], [347358.3984375, 4170596.923828125], [346361.38916015625, 4170813.2934570312], [344843.75, 4171179.19921875]]]}	MXRA-Z37-031131322203	344843.75,4169843.75,350156.25,4171179.19921875	3.8	0.8	20	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131322203/2023-02-28/1040010082B6D600-visual.tif
2023-02-28 08:52:43+00:00	WV03	0.56	0.0.1	1040010082B6D600	37	031131322212	43.4	290.8	41.1	162.7	43.1	32637	{'type': 'Polygon', 'coordinates': [[[349843.75, 4170041.8090820312], [349843.75, 4169843.75], [350719.29931640625, 4169843.75], [350566.10107421875, 4169877.0141601562], [350369.2626953125, 4169917.9077148438], [350228.57666015625, 4169950.5615234375], [350089.41650390625, 4169980.7739257812], [349974.06005859375, 4170007.9345703125], [349896.54541015625, 4170029.296875], [349843.75, 4170041.8090820312]]]}	MXRA-Z37-031131322212	349843.75,4169843.75,350719.29931640625,4170041.8090820312	0.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131322212/2023-02-28/1040010082B6D600-visual.tif
2023-02-28 08:52:43+00:00	WV03	0.56	0.0.1	1040010082B6D600	37	031131322220	43.0	290.9	41.6	162.7	43.1	32637	{'type': 'Polygon', 'coordinates': [[[339843.75, 4170156.25], [339843.75, 4164843.75], [345156.25, 4164843.75], [345156.25, 4170156.25], [339843.75, 4170156.25]]]}	MXRA-Z37-031131322220	339843.75,4164843.75,345156.25,4170156.25	28.2	4.6	16	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131322220/2023-02-28/1040010082B6D600-visual.tif
2023-02-28 08:52:43+00:00	WV03	0.56	0.0.1	1040010082B6D600	37	031131322221	43.2	290.9	41.3	162.7	43.1	32637	{'type': 'Polygon', 'coordinates': [[[344843.75, 4170156.25], [344843.75, 4164843.75], [350156.25, 4164843.75], [350156.25, 4169966.1254882812], [349330.13916015625, 4170156.25], [344843.75, 4170156.25]]]}	MXRA-Z37-031131322221	344843.75,4164843.75,350156.25,4170156.25	28.1	2.3	8	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131322221/2023-02-28/1040010082B6D600-visual.tif
2023-02-28 08:52:43+00:00	WV03	0.56	0.0.1	1040010082B6D600	37	031131322222	43.1	291.0	41.5	162.7	43.2	32637	{'type': 'Polygon', 'coordinates': [[[339843.75, 4165156.25], [339843.75, 4159843.75], [345156.25, 4159843.75], [345156.25, 4165156.25], [339843.75, 4165156.25]]]}	MXRA-Z37-031131322222	339843.75,4159843.75,345156.25,4165156.25	28.2	8.8	31	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131322222/2023-02-28/1040010082B6D600-visual.tif
2023-02-28 08:52:43+00:00	WV03	0.56	0.0.1	1040010082B6D600	37	031131322223	43.3	290.9	41.3	162.7	43.1	32637	{'type': 'Polygon', 'coordinates': [[[344843.75, 4165156.25], [344843.75, 4159843.75], [350156.25, 4159843.75], [350156.25, 4165156.25], [344843.75, 4165156.25]]]}	MXRA-Z37-031131322223	344843.75,4159843.75,350156.25,4165156.25	28.2	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Kahramanmaras-turkey-earthquake-23/ard/37/031131322223/2023-02-28/1040010082B6D600-visual.tif
