datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-08-09 21:10:34+00:00	GE01	0.76	0.0.1	10503F0006FE4B00	4	122000313223	43.3	199.8	40.6	101.3	70.3	32604	MXRA-Z4-122000313223	785089.111328125,2319843.75,787121.58203125,2320648.4985351562	0.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000313223/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330102	42.8	198.4	41.2	101.3	70.3	32604	MXRA-Z4-122000330102	763585.205078125,2309843.75,765156.25,2311929.931640625	2.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330102/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330103	42.9	198.5	41.1	101.3	70.3	32604	MXRA-Z4-122000330103	764843.75,2309843.75,770156.25,2313896.7895507812	15.9	1.5	9	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330103/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330110	43.0	198.9	40.9	101.3	70.3	32604	MXRA-Z4-122000330110	772546.6918945312,2314843.75,775156.25,2315835.2661132812	1.2	0.6	53	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330110/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.76	0.0.1	10503F0006FE4B00	4	122000330111	43.1	199.2	40.8	101.3	70.3	32604	MXRA-Z4-122000330111	774843.75,2314843.75,780156.25,2317879.638671875	10.2	6.7	65	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330111/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330112	43.0	198.9	41.0	101.3	70.3	32604	MXRA-Z4-122000330112	769843.75,2309843.75,775156.25,2315156.25	25.8	5.6	21	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330112/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.76	0.0.1	10503F0006FE4B00	4	122000330113	43.1	199.3	40.8	101.3	70.3	32604	MXRA-Z4-122000330113	774843.75,2309843.75,780156.25,2315156.25	28.2	10.5	37	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330113/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330120	42.8	198.4	41.2	101.3	70.3	32604	MXRA-Z4-122000330120	763614.501953125,2304843.75,765156.25,2310156.25	7.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330120/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330121	42.8	198.6	41.2	101.3	70.3	32604	MXRA-Z4-122000330121	764843.75,2304843.75,770156.25,2310156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330121/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330122	42.7	198.5	41.3	101.2	70.3	32604	MXRA-Z4-122000330122	763762.20703125,2299843.75,765156.25,2305156.25	6.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330122/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330123	42.7	198.7	41.3	101.2	70.3	32604	MXRA-Z4-122000330123	764843.75,2299843.75,770156.25,2305156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330123/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330130	42.9	199.0	41.1	101.3	70.3	32604	MXRA-Z4-122000330130	769843.75,2304843.75,775156.25,2308483.5151672475	18.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330130/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330131	43.0	199.4	41.0	101.2	70.3	32604	MXRA-Z4-122000330131	774843.75,2304843.75,780156.25,2310156.25	28.2	0.2	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330131/2023-08-09/10503F0006FE4B00-visual.tif
2023-08-09 21:10:34+00:00	GE01	0.75	0.0.1	10503F0006FE4B00	4	122000330132	42.8	199.1	41.2	101.2	70.3	32604	MXRA-Z4-122000330132	769843.75,2299843.75,775156.25,2305156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330132/2023-08-09/10503F0006FE4B00-visual.tif
