datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-08-12 21:18:17+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000330303	26.5	303.6	60.4	105.7	71.9	32604	{'type': 'Polygon', 'coordinates': [[[770156.25, 2295156.25], [770156.25, 2293576.8588489685], [768766.9077941976, 2293576.9332373203], [768763.1225585938, 2295156.25], [770156.25, 2295156.25]]]}	MXRA-Z4-122000330303	768763.1225585938,2293576.8588489685,770156.25,2295156.25	2.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330303/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:17+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000330312	26.6	303.6	60.3	105.7	71.9	32604	{'type': 'Polygon', 'coordinates': [[[769843.75, 2295156.25], [775156.25, 2295156.25], [775156.25, 2293576.591138281], [769843.75, 2293576.8755808864], [769843.75, 2295156.25]]]}	MXRA-Z4-122000330312	769843.75,2293576.591138281,775156.25,2295156.25	8.3	0.1	2	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330312/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:17+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000330313	26.9	303.1	60.0	105.7	71.9	32604	{'type': 'Polygon', 'coordinates': [[[774843.75, 2295156.25], [780156.25, 2295156.25], [780156.25, 2293576.3234275933], [774843.75, 2293576.607870199], [774843.75, 2295156.25]]]}	MXRA-Z4-122000330313	774843.75,2293576.3234275933,780156.25,2295156.25	8.3	2.7	32	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330313/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:17+00:00	GE01	0.51	0.0.1	105001003590C300	4	122000331202	27.2	302.7	59.6	105.7	71.9	32604	{'type': 'Polygon', 'coordinates': [[[779843.75, 2295156.25], [784448.5672894627, 2295156.25], [784460.6325890874, 2293576.0929617486], [779843.75, 2293576.340159511], [779843.75, 2295156.25]]]}	MXRA-Z4-122000331202	779843.75,2293576.0929617486,784460.6325890874,2295156.25	7.2	1.6	22	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000331202/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:18+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000330301	26.2	302.5	60.7	105.7	71.9	32604	{'type': 'Polygon', 'coordinates': [[[768700.5615234375, 2300156.25], [770156.25, 2300156.25], [770156.25, 2294843.75], [768761.5966796875, 2294843.75], [768764.3432617188, 2295102.2338867188], [768746.0327148438, 2296387.0239257812], [768750.9155273438, 2297026.0620117188], [768738.0981445312, 2297352.294921875], [768728.6376953125, 2298606.2622070312], [768700.5615234375, 2300156.25]]]}	MXRA-Z4-122000330301	768700.5615234375,2294843.75,770156.25,2300156.25	7.5	2.6	35	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330301/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:18+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000330310	26.3	302.2	60.6	105.7	71.9	32604	{'type': 'Polygon', 'coordinates': [[[769843.75, 2300156.25], [769843.75, 2294843.75], [775156.25, 2294843.75], [775156.25, 2300156.25], [769843.75, 2300156.25]]]}	MXRA-Z4-122000330310	769843.75,2294843.75,775156.25,2300156.25	28.2	0.3	1	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330310/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:18+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000330311	26.6	301.7	60.3	105.7	71.9	32604	{'type': 'Polygon', 'coordinates': [[[774843.75, 2300156.25], [774843.75, 2294843.75], [780156.25, 2294843.75], [780156.25, 2300156.25], [774843.75, 2300156.25]]]}	MXRA-Z4-122000330311	774843.75,2294843.75,780156.25,2300156.25	28.2	3.9	14	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330311/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:18+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000331200	26.9	301.2	59.9	105.7	71.9	32604	{'type': 'Polygon', 'coordinates': [[[779843.75, 2294843.75], [779843.75, 2300156.25], [784410.3897560509, 2300156.25], [784450.9533853008, 2294843.75], [779843.75, 2294843.75]]]}	MXRA-Z4-122000331200	779843.75,2294843.75,784450.9533853008,2300156.25	24.3	1.5	6	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000331200/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:19+00:00	GE01	0.49	0.0.1	105001003590C300	4	122000330123	25.9	300.6	61.1	105.8	71.9	32604	{'type': 'Polygon', 'coordinates': [[[768646.5454101562, 2305156.25], [770156.25, 2305156.25], [770156.25, 2299843.75], [768705.7495117188, 2299843.75], [768693.84765625, 2301390.0756835938], [768663.9404296875, 2302422.4853515625], [768646.5454101562, 2305156.25]]]}	MXRA-Z4-122000330123	768646.5454101562,2299843.75,770156.25,2305156.25	7.8	2.7	34	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330123/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:19+00:00	GE01	0.49	0.0.1	105001003590C300	4	122000330132	26.0	300.3	60.9	105.8	71.9	32604	{'type': 'Polygon', 'coordinates': [[[769843.75, 2305156.25], [769843.75, 2299843.75], [775156.25, 2299843.75], [775156.25, 2305156.25], [769843.75, 2305156.25]]]}	MXRA-Z4-122000330132	769843.75,2299843.75,775156.25,2305156.25	28.2	4.7	16	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330132/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:19+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000330133	26.3	299.8	60.6	105.8	71.9	32604	{'type': 'Polygon', 'coordinates': [[[774843.75, 2305156.25], [774843.75, 2299843.75], [780156.25, 2299843.75], [780156.25, 2305156.25], [774843.75, 2305156.25]]]}	MXRA-Z4-122000330133	774843.75,2299843.75,780156.25,2305156.25	28.2	1.2	4	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330133/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:19+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000331022	26.6	299.4	60.3	105.8	71.9	32604	{'type': 'Polygon', 'coordinates': [[[779843.75, 2299843.75], [779843.75, 2305156.25], [784372.2122226392, 2305156.25], [784412.7758518892, 2299843.75], [779843.75, 2299843.75]]]}	MXRA-Z4-122000331022	779843.75,2299843.75,784412.7758518892,2305156.25	24.1	0.2	1	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000331022/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:20+00:00	GE01	0.49	0.0.1	105001003590C300	4	122000330121	25.7	299.0	61.3	105.8	71.9	32604	{'type': 'Polygon', 'coordinates': [[[770156.25, 2304843.75], [768648.9868164062, 2304843.75], [768617.8588867188, 2307315.9790039062], [768613.6978615177, 2307897.482275761], [770156.25, 2307835.398874877], [770156.25, 2304843.75]]]}	MXRA-Z4-122000330121	768613.6978615177,2304843.75,770156.25,2307897.482275761	4.6	0.4	10	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330121/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:20+00:00	GE01	0.49	0.0.1	105001003590C300	4	122000330130	25.8	298.8	61.2	105.8	71.9	32604	{'type': 'Polygon', 'coordinates': [[[775156.25, 2304843.75], [769843.75, 2304843.75], [769843.75, 2307847.976124159], [775156.25, 2307634.162886365], [775156.25, 2304843.75]]]}	MXRA-Z4-122000330130	769843.75,2304843.75,775156.25,2307847.976124159	15.3	2.0	13	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330130/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:20+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000330131	26.1	298.4	60.9	105.8	71.9	32604	{'type': 'Polygon', 'coordinates': [[[780156.25, 2304843.75], [774843.75, 2304843.75], [774843.75, 2307646.740135647], [780156.25, 2307432.9268978527], [780156.25, 2304843.75]]]}	MXRA-Z4-122000330131	774843.75,2304843.75,780156.25,2307646.740135647	14.3	1.7	12	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000330131/2023-08-12/105001003590C300-visual.tif
2023-08-12 21:18:20+00:00	GE01	0.5	0.0.1	105001003590C300	4	122000331020	26.4	298.0	60.5	105.8	71.9	32604	{'type': 'Polygon', 'coordinates': [[[779843.75, 2304843.75], [779843.75, 2307445.5041471347], [784356.1192933423, 2307263.893928079], [784374.5983184774, 2304843.75], [779843.75, 2304843.75]]]}	MXRA-Z4-122000331020	779843.75,2304843.75,784374.5983184774,2307445.5041471347	11.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Maui-Hawaii-fires-Aug-23/ard/04/122000331020/2023-08-12/105001003590C300-visual.tif
