datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2010-08-26 11:38:32+00:00	WV02	0.48	0.0.1	1030010006CA6400	29	120200233033	12.0	284.1	76.5	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[640039.9780273438, 3543812.255859375], [640156.25, 3543812.255859375], [640156.25, 3539843.75], [639470.21484375, 3539843.75], [639465.33203125, 3540167.5415039062], [639451.2939453125, 3540455.0170898438], [639461.3647460938, 3540687.255859375], [639461.9750976562, 3541433.10546875], [639438.4765625, 3543810.4248046875], [640039.9780273438, 3543812.255859375]]]}	MXRA-Z29-120200233033	639438.4765625,3539843.75,640156.25,3543812.255859375	2.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233033/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:32+00:00	WV02	0.48	0.0.1	1030010006CA6400	29	120200233122	12.1	284.1	76.4	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[645153.80859375, 3543828.7353515625], [645156.25, 3539843.75], [639843.75, 3539843.75], [639843.75, 3543811.6455078125], [645153.80859375, 3543828.7353515625]]]}	MXRA-Z29-120200233122	639843.75,3539843.75,645156.25,3543828.7353515625	21.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233122/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:32+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233123	12.4	283.7	76.1	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[649507.4462890625, 3543845.5200195312], [650156.25, 3543843.994140625], [650156.25, 3539843.75], [644843.75, 3539843.75], [644843.75, 3543827.8198242188], [649507.4462890625, 3543845.5200195312]]]}	MXRA-Z29-120200233123	644843.75,3539843.75,650156.25,3543845.5200195312	21.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233123/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:32+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233132	12.7	283.4	75.7	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[654860.5346679688, 3543857.421875], [655156.25, 3543857.421875], [655156.25, 3539843.75], [649843.75, 3539843.75], [649843.75, 3543844.2993164062], [654860.5346679688, 3543857.421875]]]}	MXRA-Z29-120200233132	649843.75,3539843.75,655156.25,3543857.421875	21.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233132/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:32+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233133	12.9	283.2	75.5	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[656747.1313476562, 3543862.3046875], [656760.5590820312, 3543862.3046875], [656764.2211914062, 3543701.171875], [656820.3735351562, 3539843.75], [654843.75, 3539843.75], [654843.75, 3543857.1166992188], [656747.1313476562, 3543862.3046875]]]}	MXRA-Z29-120200233133	654843.75,3539843.75,656820.3735351562,3543862.3046875	7.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233133/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.48	0.0.1	1030010006CA6400	29	120200233211	12.0	284.6	76.5	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[639465.6372070312, 3540156.25], [640156.25, 3540156.25], [640156.25, 3534843.75], [639527.587890625, 3534843.75], [639497.0703125, 3536434.0209960938], [639465.6372070312, 3537102.05078125], [639469.6044921875, 3537468.5668945312], [639458.3129882812, 3537680.6640625], [639469.2993164062, 3538166.8090820312], [639464.7216796875, 3538592.529296875], [639475.7080078125, 3538934.9365234375], [639462.2802734375, 3539466.2475585938], [639470.5200195312, 3539843.4448242188], [639465.6372070312, 3540156.25]]]}	MXRA-Z29-120200233211	639458.3129882812,3534843.75,640156.25,3540156.25	3.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233211/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.48	0.0.1	1030010006CA6400	29	120200233213	12.1	285.0	76.4	147.2	65.3	32629	{'type': 'Polygon', 'coordinates': [[[639521.7895507812, 3535156.25], [639565.7348632812, 3532965.087890625], [639577.0263671875, 3532201.8432617188], [639585.2661132812, 3531838.6840820312], [639618.8354492188, 3529843.75], [640156.25, 3529843.75], [640156.25, 3535156.25], [639521.7895507812, 3535156.25]]]}	MXRA-Z29-120200233213	639521.7895507812,3529843.75,640156.25,3535156.25	3.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233213/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.48	0.0.1	1030010006CA6400	29	120200233300	12.1	284.5	76.4	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[639843.75, 3540156.25], [639843.75, 3534843.75], [645156.25, 3534843.75], [645156.25, 3540156.25], [639843.75, 3540156.25]]]}	MXRA-Z29-120200233300	639843.75,3534843.75,645156.25,3540156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233300/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233301	12.5	284.1	76.0	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[644843.75, 3540156.25], [644843.75, 3534843.75], [650156.25, 3534843.75], [650156.25, 3540156.25], [644843.75, 3540156.25]]]}	MXRA-Z29-120200233301	644843.75,3534843.75,650156.25,3540156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233301/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.48	0.0.1	1030010006CA6400	29	120200233302	12.2	284.9	76.3	147.2	65.3	32629	{'type': 'Polygon', 'coordinates': [[[639843.75, 3535156.25], [639843.75, 3529843.75], [645156.25, 3529843.75], [645156.25, 3535156.25], [639843.75, 3535156.25]]]}	MXRA-Z29-120200233302	639843.75,3529843.75,645156.25,3535156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233302/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233303	12.6	284.5	75.9	147.2	65.3	32629	{'type': 'Polygon', 'coordinates': [[[644843.75, 3535156.25], [644843.75, 3529843.75], [650156.25, 3529843.75], [650156.25, 3535156.25], [644843.75, 3535156.25]]]}	MXRA-Z29-120200233303	644843.75,3529843.75,650156.25,3535156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233303/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233310	12.8	283.7	75.6	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[649843.75, 3540156.25], [649843.75, 3534843.75], [655156.25, 3534843.75], [655156.25, 3540156.25], [649843.75, 3540156.25]]]}	MXRA-Z29-120200233310	649843.75,3534843.75,655156.25,3540156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233310/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233311	13.0	283.6	75.4	147.3	65.3	32629	{'type': 'Polygon', 'coordinates': [[[654843.75, 3540156.25], [654843.75, 3534843.75], [656903.9916992188, 3534843.75], [656815.185546875, 3540156.25], [654843.75, 3540156.25]]]}	MXRA-Z29-120200233311	654843.75,3534843.75,656903.9916992188,3540156.25	10.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233311/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233312	12.9	284.2	75.5	147.2	65.3	32629	{'type': 'Polygon', 'coordinates': [[[649843.75, 3535156.25], [649843.75, 3529843.75], [655156.25, 3529843.75], [655156.25, 3535156.25], [649843.75, 3535156.25]]]}	MXRA-Z29-120200233312	649843.75,3529843.75,655156.25,3535156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233312/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:33+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233313	13.1	284.0	75.3	147.2	65.3	32629	{'type': 'Polygon', 'coordinates': [[[654843.75, 3535156.25], [654843.75, 3529843.75], [656987.6098632812, 3529843.75], [656899.4140625, 3535156.25], [654843.75, 3535156.25]]]}	MXRA-Z29-120200233313	654843.75,3529843.75,656987.6098632812,3535156.25	11.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233313/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:34+00:00	WV02	0.48	0.0.1	1030010006CA6400	29	120200233231	12.2	285.5	76.3	147.2	65.3	32629	{'type': 'Polygon', 'coordinates': [[[639613.3422851562, 3530156.25], [640156.25, 3530156.25], [640156.25, 3524843.75], [639704.2846679688, 3524843.75], [639688.720703125, 3525368.0419921875], [639673.1567382812, 3525636.9018554688], [639680.7861328125, 3525869.140625], [639679.2602539062, 3526391.6015625], [639613.3422851562, 3530156.25]]]}	MXRA-Z29-120200233231	639613.3422851562,3524843.75,640156.25,3530156.25	2.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233231/2010-08-26/1030010006CA6400-visual.tif
2010-08-26 11:38:34+00:00	WV02	0.49	0.0.1	1030010006CA6400	29	120200233233	12.3	285.9	76.2	147.2	65.4	32629	{'type': 'Polygon', 'coordinates': [[[639692.6879882812, 3525156.25], [639708.251953125, 3524685.6689453125], [639786.9873046875, 3519843.75], [640156.25, 3519843.75], [640156.25, 3525156.25], [639692.6879882812, 3525156.25]]]}	MXRA-Z29-120200233233	639692.6879882812,3519843.75,640156.25,3525156.25	2.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233233/2010-08-26/1030010006CA6400-visual.tif
