datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2018-12-23 11:28:11+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020013	14.3	154.4	73.9	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[516534.423828125, 3431760.5590820312], [518033.14208984375, 3431535.0341796875], [518599.2431640625, 3431589.0502929688], [518809.50927734375, 3431579.2846679688], [519020.69091796875, 3431547.2412109375], [519382.01904296875, 3431549.072265625], [519679.26025390625, 3431506.34765625], [520156.25, 3431542.96875], [520156.25, 3429843.75], [516179.8095703125, 3429843.75], [516145.93505859375, 3430260.6201171875], [516151.7333984375, 3430562.4389648438], [516112.36572265625, 3431163.6352539062], [516122.74169921875, 3431714.4775390625], [516534.423828125, 3431760.5590820312]]]}	MXRA-Z29-120202020013	516112.36572265625,3429843.75,520156.25,3431760.5590820312	7.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020013/2018-12-23/103001008A11FC00-visual.tif
2018-12-23 11:28:11+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020031	14.3	154.4	73.9	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[516154.1748046875, 3430156.25], [520156.25, 3430156.25], [520156.25, 3424843.75], [516199.64599609375, 3424843.75], [516230.77392578125, 3429119.2626953125], [516154.1748046875, 3430156.25]]]}	MXRA-Z29-120202020031	516154.1748046875,3424843.75,520156.25,3430156.25	20.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020031/2018-12-23/103001008A11FC00-visual.tif
2018-12-23 11:28:11+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020102	14.2	155.5	74.0	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[521236.572265625, 3431602.783203125], [523522.64404296875, 3431433.4106445312], [525156.25, 3431435.8520507812], [525156.25, 3429843.75], [519843.75, 3429843.75], [519843.75, 3431514.5874023438], [521236.572265625, 3431602.783203125]]]}	MXRA-Z29-120202020102	519843.75,3429843.75,525156.25,3431602.783203125	8.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020102/2018-12-23/103001008A11FC00-visual.tif
2018-12-23 11:28:11+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020103	14.1	156.9	74.2	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[529903.564453125, 3431504.5166015625], [530156.25, 3431483.7646484375], [530156.25, 3429843.75], [524843.75, 3429843.75], [524843.75, 3431433.10546875], [525491.3330078125, 3431450.8056640625], [526125.48828125, 3431397.705078125], [526556.7016601562, 3431392.822265625], [527176.2084960938, 3431408.69140625], [527538.4521484375, 3431434.9365234375], [528395.99609375, 3431428.22265625], [529244.6899414062, 3431473.388671875], [529549.560546875, 3431466.3696289062], [529754.3334960938, 3431477.6611328125], [529903.564453125, 3431504.5166015625]]]}	MXRA-Z29-120202020103	524843.75,3429843.75,530156.25,3431504.5166015625	8.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020103/2018-12-23/103001008A11FC00-visual.tif
2018-12-23 11:28:11+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020112	13.9	157.9	74.3	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[529903.564453125, 3431504.5166015625], [530144.04296875, 3431485.595703125], [530330.5053710938, 3431456.9091796875], [530504.150390625, 3431443.1762695312], [531133.7280273438, 3431354.6752929688], [531525.87890625, 3431310.4248046875], [532005.615234375, 3431336.0595703125], [532484.130859375, 3431382.4462890625], [532545.7763671875, 3431379.6997070312], [532929.9926757812, 3431324.7680664062], [533063.3544921875, 3431316.8334960938], [533053.5888671875, 3431081.8481445312], [533090.5151367188, 3430077.8198242188], [533083.49609375, 3429843.75], [529843.75, 3429843.75], [529843.75, 3431497.802734375], [529903.564453125, 3431504.5166015625]]]}	MXRA-Z29-120202020112	529843.75,3429843.75,533090.5151367188,3431504.5166015625	4.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020112/2018-12-23/103001008A11FC00-visual.tif
2018-12-23 11:28:11+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020120	14.2	155.5	74.1	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[519843.75, 3430156.25], [519843.75, 3424843.75], [525156.25, 3424843.75], [525156.25, 3430156.25], [519843.75, 3430156.25]]]}	MXRA-Z29-120202020120	519843.75,3424843.75,525156.25,3430156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020120/2018-12-23/103001008A11FC00-visual.tif
2018-12-23 11:28:11+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020121	14.0	156.9	74.3	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[524843.75, 3430156.25], [524843.75, 3424843.75], [530156.25, 3424843.75], [530156.25, 3430156.25], [524843.75, 3430156.25]]]}	MXRA-Z29-120202020121	524843.75,3424843.75,530156.25,3430156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020121/2018-12-23/103001008A11FC00-visual.tif
2018-12-23 11:28:11+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020130	13.9	158.0	74.4	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[529843.75, 3430156.25], [529843.75, 3424843.75], [533164.3676757812, 3424843.75], [533097.2290039062, 3425796.2036132812], [533126.220703125, 3426777.9541015625], [533121.0327148438, 3427385.5590820312], [533139.0380859375, 3427737.1215820312], [533097.5341796875, 3428549.4995117188], [533074.3408203125, 3429556.5795898438], [533087.4633789062, 3430156.25], [529843.75, 3430156.25]]]}	MXRA-Z29-120202020130	529843.75,3424843.75,533164.3676757812,3430156.25	17.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020130/2018-12-23/103001008A11FC00-visual.tif
2018-12-23 11:28:12+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020033	14.2	154.4	74.1	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[516200.5615234375, 3425156.25], [520156.25, 3425156.25], [520156.25, 3419843.75], [516177.978515625, 3419843.75], [516200.5615234375, 3425156.25]]]}	MXRA-Z29-120202020033	516177.978515625,3419843.75,520156.25,3425156.25	21.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020033/2018-12-23/103001008A11FC00-visual.tif
2018-12-23 11:28:12+00:00	WV02	0.49	0.0.1	103001008A11FC00	29	120202020122	14.0	155.5	74.2	161.8	33.5	32629	{'type': 'Polygon', 'coordinates': [[[519843.75, 3425156.25], [519843.75, 3419843.75], [525156.25, 3419843.75], [525156.25, 3425156.25], [519843.75, 3425156.25]]]}	MXRA-Z29-120202020122	519843.75,3419843.75,525156.25,3425156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202020122/2018-12-23/103001008A11FC00-visual.tif
