datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2021-01-27 11:17:50+00:00	WV02	0.47	0.0.1	10300100B33D1000	29	120202010201	9.1	160.8	79.8	154.2	36.0	32629	{'type': 'Polygon', 'coordinates': [[[587125.8544921875, 3500156.25], [587190.5517578125, 3494843.75], [590156.25, 3494843.75], [590156.25, 3500156.25], [587125.8544921875, 3500156.25]]]}	MXRA-Z29-120202010201	587125.8544921875,3494843.75,590156.25,3500156.25	15.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010201/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:50+00:00	WV02	0.47	0.0.1	10300100B33D1000	29	120202010203	8.6	159.1	80.4	154.2	36.0	32629	{'type': 'Polygon', 'coordinates': [[[587186.8896484375, 3495156.25], [587247.6196289062, 3490119.62890625], [590156.25, 3490121.4599609375], [590156.25, 3495156.25], [587186.8896484375, 3495156.25]]]}	MXRA-Z29-120202010203	587186.8896484375,3490119.62890625,590156.25,3495156.25	14.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010203/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:50+00:00	WV02	0.47	0.0.1	10300100B33D1000	29	120202010210	9.0	162.4	79.9	154.2	36.0	32629	{'type': 'Polygon', 'coordinates': [[[589843.75, 3500156.25], [589843.75, 3494843.75], [595156.25, 3494843.75], [595156.25, 3500156.25], [589843.75, 3500156.25]]]}	MXRA-Z29-120202010210	589843.75,3494843.75,595156.25,3500156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010210/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:50+00:00	WV02	0.47	0.0.1	10300100B33D1000	29	120202010211	8.9	164.7	80.0	154.2	36.0	32629	{'type': 'Polygon', 'coordinates': [[[594843.75, 3500156.25], [594843.75, 3494843.75], [600156.25, 3494843.75], [600156.25, 3500156.25], [594843.75, 3500156.25]]]}	MXRA-Z29-120202010211	594843.75,3494843.75,600156.25,3500156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010211/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:50+00:00	WV02	0.47	0.0.1	10300100B33D1000	29	120202010212	8.5	160.9	80.5	154.2	36.0	32629	{'type': 'Polygon', 'coordinates': [[[589843.75, 3495156.25], [589843.75, 3490120.849609375], [595156.25, 3490125.732421875], [595156.25, 3495156.25], [589843.75, 3495156.25]]]}	MXRA-Z29-120202010212	589843.75,3490120.849609375,595156.25,3495156.25	26.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010212/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:50+00:00	WV02	0.47	0.0.1	10300100B33D1000	29	120202010213	8.4	163.3	80.6	154.2	36.0	32629	{'type': 'Polygon', 'coordinates': [[[594843.75, 3495156.25], [594843.75, 3490125.4272460938], [600156.25, 3490133.3618164062], [600156.25, 3495156.25], [594843.75, 3495156.25]]]}	MXRA-Z29-120202010213	594843.75,3490125.4272460938,600156.25,3495156.25	26.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010213/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:50+00:00	WV02	0.47	0.0.1	10300100B33D1000	29	120202010300	8.8	166.7	80.1	154.2	36.0	32629	{'type': 'Polygon', 'coordinates': [[[599843.75, 3500156.25], [599843.75, 3494843.75], [603760.6811523438, 3494843.75], [603726.5014648438, 3500156.25], [599843.75, 3500156.25]]]}	MXRA-Z29-120202010300	599843.75,3494843.75,603760.6811523438,3500156.25	20.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010300/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:50+00:00	WV02	0.47	0.0.1	10300100B33D1000	29	120202010302	8.3	165.3	80.7	154.2	36.0	32629	{'type': 'Polygon', 'coordinates': [[[599843.75, 3495156.25], [599843.75, 3490132.7514648438], [603791.1987304688, 3490139.16015625], [603758.544921875, 3495156.25], [599843.75, 3495156.25]]]}	MXRA-Z29-120202010302	599843.75,3490132.7514648438,603791.1987304688,3495156.25	19.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010302/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:51+00:00	WV02	0.48	0.0.1	10300100B33D1000	29	120202010021	10.2	163.7	78.5	154.3	36.0	32629	{'type': 'Polygon', 'coordinates': [[[587003.173828125, 3510156.25], [587066.9555664062, 3504843.75], [590156.25, 3504843.75], [590156.25, 3510156.25], [587003.173828125, 3510156.25]]]}	MXRA-Z29-120202010021	587003.173828125,3504843.75,590156.25,3510156.25	16.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010021/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:51+00:00	WV02	0.48	0.0.1	10300100B33D1000	29	120202010023	9.7	162.3	79.1	154.3	36.0	32629	{'type': 'Polygon', 'coordinates': [[[587063.2934570312, 3505156.25], [587129.8217773438, 3499843.75], [590156.25, 3499843.75], [590156.25, 3505156.25], [587063.2934570312, 3505156.25]]]}	MXRA-Z29-120202010023	587063.2934570312,3499843.75,590156.25,3505156.25	16.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010023/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:51+00:00	WV02	0.48	0.0.1	10300100B33D1000	29	120202010030	10.2	165.2	78.6	154.3	36.0	32629	{'type': 'Polygon', 'coordinates': [[[589843.75, 3510156.25], [589843.75, 3504843.75], [595156.25, 3504843.75], [595156.25, 3510156.25], [589843.75, 3510156.25]]]}	MXRA-Z29-120202010030	589843.75,3504843.75,595156.25,3510156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010030/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:51+00:00	WV02	0.48	0.0.1	10300100B33D1000	29	120202010031	10.1	167.3	78.7	154.3	36.0	32629	{'type': 'Polygon', 'coordinates': [[[594843.75, 3510156.25], [594843.75, 3504843.75], [600156.25, 3504843.75], [600156.25, 3510156.25], [594843.75, 3510156.25]]]}	MXRA-Z29-120202010031	594843.75,3504843.75,600156.25,3510156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010031/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:51+00:00	WV02	0.48	0.0.1	10300100B33D1000	29	120202010032	9.6	163.9	79.2	154.3	36.0	32629	{'type': 'Polygon', 'coordinates': [[[589843.75, 3505156.25], [589843.75, 3499843.75], [595156.25, 3499843.75], [595156.25, 3505156.25], [589843.75, 3505156.25]]]}	MXRA-Z29-120202010032	589843.75,3499843.75,595156.25,3505156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010032/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:51+00:00	WV02	0.47	0.0.1	10300100B33D1000	29	120202010033	9.5	166.1	79.3	154.3	36.0	32629	{'type': 'Polygon', 'coordinates': [[[594843.75, 3505156.25], [594843.75, 3499843.75], [600156.25, 3499843.75], [600156.25, 3505156.25], [594843.75, 3505156.25]]]}	MXRA-Z29-120202010033	594843.75,3499843.75,600156.25,3505156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010033/2021-01-27/10300100B33D1000-visual.tif
2021-01-27 11:17:51+00:00	WV02	0.48	0.0.1	10300100B33D1000	29	120202010120	10.0	169.0	78.8	154.3	36.0	32629	{'type': 'Polygon', 'coordinates': [[[599843.75, 3510156.25], [599843.75, 3504843.75], [603697.2045898438, 3504843.75], [603669.1284179688, 3510156.25], [599843.75, 3510156.25]]]}	MXRA-Z29-120202010120	599843.75,3504843.75,603697.2045898438,3510156.25	20.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010120/2021-01-27/10300100B33D1000-visual.tif
