datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022001	3.6	289.0	86.0	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[508638.3056640625, 3399552.6123046875], [510156.25, 3399546.8139648438], [510156.25, 3394843.75], [508670.0439453125, 3394843.75], [508647.4609375, 3396309.814453125], [508658.14208984375, 3397601.9287109375], [508638.3056640625, 3399552.6123046875]]]}	MXRA-Z29-120202022001	508638.3056640625,3394843.75,510156.25,3399552.6123046875	7.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022001/2021-07-14/10300100C2C8E000-visual.tif
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022003	3.7	290.3	85.9	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[508662.41455078125, 3395156.25], [510156.25, 3395156.25], [510156.25, 3389843.75], [508713.68408203125, 3389843.75], [508703.91845703125, 3390621.0327148438], [508707.275390625, 3390990.9057617188], [508682.861328125, 3392420.0439453125], [508691.10107421875, 3393049.0112304688], [508662.41455078125, 3395156.25]]]}	MXRA-Z29-120202022003	508662.41455078125,3389843.75,510156.25,3395156.25	7.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022003/2021-07-14/10300100C2C8E000-visual.tif
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022010	3.7	288.2	85.8	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[512179.87060546875, 3399549.2553710938], [515156.25, 3399541.015625], [515156.25, 3394843.75], [509843.75, 3394843.75], [509843.75, 3399548.0346679688], [512179.87060546875, 3399549.2553710938]]]}	MXRA-Z29-120202022010	509843.75,3394843.75,515156.25,3399549.2553710938	24.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022010/2021-07-14/10300100C2C8E000-visual.tif
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022011	4.1	286.6	85.4	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[514843.75, 3399541.9311523438], [514843.75, 3394843.75], [520156.25, 3394843.75], [520156.25, 3399537.9638671875], [514843.75, 3399541.9311523438]]]}	MXRA-Z29-120202022011	514843.75,3394843.75,520156.25,3399541.9311523438	24.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022011/2021-07-14/10300100C2C8E000-visual.tif
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022012	3.8	289.4	85.7	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[509843.75, 3395156.25], [509843.75, 3389843.75], [515156.25, 3389843.75], [515156.25, 3395156.25], [509843.75, 3395156.25]]]}	MXRA-Z29-120202022012	509843.75,3389843.75,515156.25,3395156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022012/2021-07-14/10300100C2C8E000-visual.tif
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022013	4.2	287.7	85.3	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[514843.75, 3395156.25], [514843.75, 3389843.75], [520156.25, 3389843.75], [520156.25, 3395156.25], [514843.75, 3395156.25]]]}	MXRA-Z29-120202022013	514843.75,3389843.75,520156.25,3395156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022013/2021-07-14/10300100C2C8E000-visual.tif
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022100	4.4	285.4	85.0	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[525002.44140625, 3399542.5415039062], [525079.345703125, 3399542.5415039062], [525070.4956054688, 3396069.9462890625], [525088.8061523438, 3394843.75], [519843.75, 3394843.75], [519843.75, 3399537.0483398438], [525002.44140625, 3399542.5415039062]]]}	MXRA-Z29-120202022100	519843.75,3394843.75,525088.8061523438,3399542.5415039062	24.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022100/2021-07-14/10300100C2C8E000-visual.tif
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022101	4.5	285.1	85.0	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[525002.44140625, 3399542.5415039062], [525079.345703125, 3399542.5415039062], [525076.904296875, 3399409.4848632812], [525077.5146484375, 3399166.5649414062], [525073.8525390625, 3398901.6723632812], [525072.9370117188, 3398684.3872070312], [525079.6508789062, 3398449.0966796875], [525077.5146484375, 3398061.2182617188], [525080.2612304688, 3397720.0317382812], [525076.2939453125, 3397221.0693359375], [525075.68359375, 3396887.20703125], [525077.5146484375, 3396696.1669921875], [525071.7163085938, 3396365.0512695312], [525070.4956054688, 3396069.9462890625], [525077.5146484375, 3395924.9877929688], [525081.4819335938, 3395781.8603515625], [525080.8715820312, 3395517.8833007812], [525084.228515625, 3395408.0200195312], [525083.3129882812, 3395220.0317382812], [525090.6372070312, 3394957.5805664062], [525088.8061523438, 3394843.75], [524843.75, 3394843.75], [524843.75, 3399542.236328125], [525002.44140625, 3399542.5415039062]]]}	MXRA-Z29-120202022101	524843.75,3394843.75,525090.6372070312,3399542.5415039062	1.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022101/2021-07-14/10300100C2C8E000-visual.tif
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022102	4.5	286.4	84.9	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[519843.75, 3395156.25], [519843.75, 3389843.75], [525154.1137695312, 3389843.75], [525115.966796875, 3391661.9873046875], [525084.8388671875, 3395156.25], [519843.75, 3395156.25]]]}	MXRA-Z29-120202022102	519843.75,3389843.75,525154.1137695312,3395156.25	27.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022102/2021-07-14/10300100C2C8E000-visual.tif
2021-07-14 11:26:23+00:00	WV02	0.47	0.0.1	10300100C2C8E000	29	120202022103	4.6	286.1	84.8	113.5	71.0	32629	{'type': 'Polygon', 'coordinates': [[[524843.75, 3395156.25], [524843.75, 3389843.75], [525154.1137695312, 3389843.75], [525115.966796875, 3391661.9873046875], [525085.1440429688, 3395154.7241210938], [524843.75, 3395156.25]]]}	MXRA-Z29-120202022103	524843.75,3389843.75,525154.1137695312,3395156.25	1.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022103/2021-07-14/10300100C2C8E000-visual.tif
