datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-01-01 11:26:44+00:00	WV02	0.46	0.0.1	10300100CBAF7D00	29	120200223032	3.1	289.8	86.5	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[555112.3046875, 3541858.2153320312], [555156.25, 3541858.2153320312], [555156.25, 3539843.75], [553218.994140625, 3539843.75], [553207.0922851562, 3541849.0600585938], [555112.3046875, 3541858.2153320312]]]}	MXRA-Z29-120200223032	553207.0922851562,3539843.75,555156.25,3541858.2153320312	3.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223032/2022-01-01/10300100CBAF7D00-visual.tif
2022-01-01 11:26:44+00:00	WV02	0.46	0.0.1	10300100CBAF7D00	29	120200223033	3.3	288.7	86.3	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[560126.3427734375, 3541882.0190429688], [560156.25, 3541882.0190429688], [560156.25, 3539843.75], [554843.75, 3539843.75], [554843.75, 3541856.689453125], [560126.3427734375, 3541882.0190429688]]]}	MXRA-Z29-120200223033	554843.75,3539843.75,560156.25,3541882.0190429688	10.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223033/2022-01-01/10300100CBAF7D00-visual.tif
2022-01-01 11:26:44+00:00	WV02	0.46	0.0.1	10300100CBAF7D00	29	120200223122	3.6	286.8	85.9	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[565119.0185546875, 3541905.517578125], [565156.25, 3541905.517578125], [565156.25, 3539843.75], [559843.75, 3539843.75], [559843.75, 3541880.4931640625], [565119.0185546875, 3541905.517578125]]]}	MXRA-Z29-120200223122	559843.75,3539843.75,565156.25,3541905.517578125	10.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223122/2022-01-01/10300100CBAF7D00-visual.tif
2022-01-01 11:26:44+00:00	WV02	0.47	0.0.1	10300100CBAF7D00	29	120200223123	4.0	285.4	85.6	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[569602.6611328125, 3541926.5747070312], [569615.1733398438, 3539843.75], [564843.75, 3539843.75], [564843.75, 3541903.9916992188], [569602.6611328125, 3541926.5747070312]]]}	MXRA-Z29-120200223123	564843.75,3539843.75,569615.1733398438,3541926.5747070312	9.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223123/2022-01-01/10300100CBAF7D00-visual.tif
2022-01-01 11:26:44+00:00	WV02	0.46	0.0.1	10300100CBAF7D00	29	120200223210	3.1	290.7	86.5	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[553216.8579101562, 3540156.25], [553249.51171875, 3534843.75], [555156.25, 3534843.75], [555156.25, 3540156.25], [553216.8579101562, 3540156.25]]]}	MXRA-Z29-120200223210	553216.8579101562,3534843.75,555156.25,3540156.25	10.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223210/2022-01-01/10300100CBAF7D00-visual.tif
2022-01-01 11:26:44+00:00	WV02	0.46	0.0.1	10300100CBAF7D00	29	120200223211	3.3	289.5	86.3	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[554843.75, 3540156.25], [554843.75, 3534843.75], [560156.25, 3534843.75], [560156.25, 3540156.25], [554843.75, 3540156.25]]]}	MXRA-Z29-120200223211	554843.75,3534843.75,560156.25,3540156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223211/2022-01-01/10300100CBAF7D00-visual.tif
2022-01-01 11:26:44+00:00	WV02	0.46	0.0.1	10300100CBAF7D00	29	120200223212	3.2	292.1	86.4	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[553247.3754882812, 3535156.25], [553280.9448242188, 3529843.75], [555156.25, 3529843.75], [555156.25, 3535156.25], [553247.3754882812, 3535156.25]]]}	MXRA-Z29-120200223212	553247.3754882812,3529843.75,555156.25,3535156.25	10.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223212/2022-01-01/10300100CBAF7D00-visual.tif
2022-01-01 11:26:44+00:00	WV02	0.46	0.0.1	10300100CBAF7D00	29	120200223213	3.4	290.9	86.2	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[554843.75, 3535156.25], [554843.75, 3529843.75], [560156.25, 3529843.75], [560156.25, 3535156.25], [554843.75, 3535156.25]]]}	MXRA-Z29-120200223213	554843.75,3529843.75,560156.25,3535156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223213/2022-01-01/10300100CBAF7D00-visual.tif
2022-01-01 11:26:44+00:00	WV02	0.46	0.0.1	10300100CBAF7D00	29	120200223300	3.7	287.6	85.9	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[559843.75, 3540156.25], [559843.75, 3534843.75], [565156.25, 3534843.75], [565156.25, 3540156.25], [559843.75, 3540156.25]]]}	MXRA-Z29-120200223300	559843.75,3534843.75,565156.25,3540156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223300/2022-01-01/10300100CBAF7D00-visual.tif
2022-01-01 11:26:44+00:00	WV02	0.47	0.0.1	10300100CBAF7D00	29	120200223301	4.0	286.1	85.5	160.7	32.7	32629	{'type': 'Polygon', 'coordinates': [[[564843.75, 3540156.25], [564843.75, 3534843.75], [569644.1650390625, 3534843.75], [569613.3422851562, 3540156.25], [564843.75, 3540156.25]]]}	MXRA-Z29-120200223301	564843.75,3534843.75,569644.1650390625,3540156.25	25.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223301/2022-01-01/10300100CBAF7D00-visual.tif
