datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-01-04 11:16:27+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200233111	8.0	123.2	81.0	158.8	32.3	32629	{'type': 'Polygon', 'coordinates': [[[660156.25, 3554843.75], [656133.1176757812, 3554843.75], [656084.2867197073, 3557667.8339977916], [660156.25, 3555353.1381620215], [660156.25, 3554843.75]]]}	MXRA-Z29-120200233111	656084.2867197073,3554843.75,660156.25,3557667.8339977916	6.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233111/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:27+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322000	7.8	124.5	81.3	158.8	32.3	32629	{'type': 'Polygon', 'coordinates': [[[659843.75, 3554843.75], [659843.75, 3555530.7778898105], [661052.3547318245, 3554843.75], [659843.75, 3554843.75]]]}	MXRA-Z29-120200322000	659843.75,3554843.75,661052.3547318245,3555530.7778898105	0.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322000/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:28+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200233113	7.9	122.8	81.1	158.8	32.3	32629	{'type': 'Polygon', 'coordinates': [[[656127.9296875, 3555156.25], [656220.703125, 3549843.75], [660156.25, 3549843.75], [660156.25, 3555156.25], [656127.9296875, 3555156.25]]]}	MXRA-Z29-120200233113	656127.9296875,3549843.75,660156.25,3555156.25	21.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233113/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:28+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200233131	7.8	122.3	81.2	158.8	32.4	32629	{'type': 'Polygon', 'coordinates': [[[656215.5151367188, 3550156.25], [656310.1196289062, 3544843.75], [660156.25, 3544843.75], [660156.25, 3550156.25], [656215.5151367188, 3550156.25]]]}	MXRA-Z29-120200233131	656215.5151367188,3544843.75,660156.25,3550156.25	20.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233131/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:28+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322002	7.7	124.1	81.4	158.8	32.3	32629	{'type': 'Polygon', 'coordinates': [[[665156.25, 3549843.75], [659843.75, 3549843.75], [659843.75, 3555156.25], [660502.6114327582, 3555156.25], [665156.25, 3552510.9025173974], [665156.25, 3549843.75]]]}	MXRA-Z29-120200322002	659843.75,3549843.75,665156.25,3555156.25	22.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322002/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:28+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322003	7.4	125.7	81.7	158.8	32.3	32629	{'type': 'Polygon', 'coordinates': [[[664843.75, 3549843.75], [664843.75, 3552688.5422451864], [669848.2475168874, 3549843.75], [664843.75, 3549843.75]]]}	MXRA-Z29-120200322003	664843.75,3549843.75,669848.2475168874,3552688.5422451864	7.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322003/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:28+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322020	7.6	123.6	81.5	158.8	32.4	32629	{'type': 'Polygon', 'coordinates': [[[659843.75, 3550156.25], [659843.75, 3544843.75], [665156.25, 3544843.75], [665156.25, 3550156.25], [659843.75, 3550156.25]]]}	MXRA-Z29-120200322020	659843.75,3544843.75,665156.25,3550156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322020/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:28+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322021	7.3	125.2	81.8	158.8	32.4	32629	{'type': 'Polygon', 'coordinates': [[[670156.25, 3544843.75], [664843.75, 3544843.75], [664843.75, 3550156.25], [669298.5042178209, 3550156.25], [670156.25, 3549668.666872773], [670156.25, 3544843.75]]]}	MXRA-Z29-120200322021	664843.75,3544843.75,670156.25,3550156.25	28.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322021/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:28+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322030	7.0	126.5	82.1	158.8	32.4	32629	{'type': 'Polygon', 'coordinates': [[[672918.701171875, 3544843.75], [669843.75, 3544843.75], [669843.75, 3549846.306600562], [672866.2499888324, 3548128.1751597347], [672918.701171875, 3544843.75]]]}	MXRA-Z29-120200322030	669843.75,3544843.75,672918.701171875,3549846.306600562	12.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322030/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:29+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200233133	7.7	121.9	81.3	158.8	32.5	32629	{'type': 'Polygon', 'coordinates': [[[656304.6264648438, 3545156.25], [660156.25, 3545156.25], [660156.25, 3539843.75], [656405.029296875, 3539843.75], [656304.6264648438, 3545156.25]]]}	MXRA-Z29-120200233133	656304.6264648438,3539843.75,660156.25,3545156.25	20.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233133/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:29+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200233311	7.6	121.4	81.4	158.7	32.5	32629	{'type': 'Polygon', 'coordinates': [[[656399.2309570312, 3540156.25], [660156.25, 3540156.25], [660156.25, 3534843.75], [656489.5629882812, 3534843.75], [656399.2309570312, 3540156.25]]]}	MXRA-Z29-120200233311	656399.2309570312,3534843.75,660156.25,3540156.25	19.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233311/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:29+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322022	7.5	123.1	81.6	158.8	32.5	32629	{'type': 'Polygon', 'coordinates': [[[659843.75, 3545156.25], [659843.75, 3539843.75], [665156.25, 3539843.75], [665156.25, 3545156.25], [659843.75, 3545156.25]]]}	MXRA-Z29-120200322022	659843.75,3539843.75,665156.25,3545156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322022/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:29+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322023	7.2	124.7	82.0	158.8	32.5	32629	{'type': 'Polygon', 'coordinates': [[[664843.75, 3545156.25], [664843.75, 3539843.75], [670156.25, 3539843.75], [670156.25, 3545156.25], [664843.75, 3545156.25]]]}	MXRA-Z29-120200322023	664843.75,3539843.75,670156.25,3545156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322023/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:29+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322032	6.9	126.1	82.2	158.8	32.5	32629	{'type': 'Polygon', 'coordinates': [[[669843.75, 3545156.25], [669843.75, 3539843.75], [673000.1831054688, 3539843.75], [672913.5131835938, 3545156.25], [669843.75, 3545156.25]]]}	MXRA-Z29-120200322032	669843.75,3539843.75,673000.1831054688,3545156.25	16.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322032/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:29+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322200	7.4	122.6	81.7	158.7	32.5	32629	{'type': 'Polygon', 'coordinates': [[[659843.75, 3540156.25], [659843.75, 3534843.75], [665156.25, 3534843.75], [665156.25, 3540156.25], [659843.75, 3540156.25]]]}	MXRA-Z29-120200322200	659843.75,3534843.75,665156.25,3540156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322200/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:29+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322201	7.1	124.2	82.1	158.7	32.5	32629	{'type': 'Polygon', 'coordinates': [[[664843.75, 3540156.25], [664843.75, 3534843.75], [670156.25, 3534843.75], [670156.25, 3540156.25], [664843.75, 3540156.25]]]}	MXRA-Z29-120200322201	664843.75,3534843.75,670156.25,3540156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322201/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:29+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322210	6.8	125.6	82.3	158.7	32.5	32629	{'type': 'Polygon', 'coordinates': [[[669843.75, 3540156.25], [669843.75, 3534843.75], [673084.4116210938, 3534843.75], [672994.384765625, 3540156.25], [669843.75, 3540156.25]]]}	MXRA-Z29-120200322210	669843.75,3534843.75,673084.4116210938,3540156.25	16.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322210/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:30+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200233313	7.5	120.9	81.6	158.7	32.5	32629	{'type': 'Polygon', 'coordinates': [[[656484.375, 3535156.25], [656576.8432617188, 3529843.75], [660156.25, 3529843.75], [660156.25, 3535156.25], [656484.375, 3535156.25]]]}	MXRA-Z29-120200233313	656484.375,3529843.75,660156.25,3535156.25	19.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233313/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:30+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200233331	7.4	120.4	81.7	158.7	32.5	32629	{'type': 'Polygon', 'coordinates': [[[656571.3500976562, 3530156.25], [656666.5649414062, 3524843.75], [660156.25, 3524843.75], [660156.25, 3530156.25], [656571.3500976562, 3530156.25]]]}	MXRA-Z29-120200233331	656571.3500976562,3524843.75,660156.25,3530156.25	18.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200233331/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:30+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322202	7.3	122.1	81.8	158.7	32.5	32629	{'type': 'Polygon', 'coordinates': [[[659843.75, 3535156.25], [659843.75, 3529843.75], [665156.25, 3529843.75], [665156.25, 3535156.25], [659843.75, 3535156.25]]]}	MXRA-Z29-120200322202	659843.75,3529843.75,665156.25,3535156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322202/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:30+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322203	7.0	123.8	82.2	158.7	32.5	32629	{'type': 'Polygon', 'coordinates': [[[664843.75, 3535156.25], [664843.75, 3529843.75], [670156.25, 3529843.75], [670156.25, 3535156.25], [664843.75, 3535156.25]]]}	MXRA-Z29-120200322203	664843.75,3529843.75,670156.25,3535156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322203/2022-01-04/10300100CBB79C00-visual.tif
2022-01-04 11:16:30+00:00	WV02	0.47	0.0.1	10300100CBB79C00	29	120200322212	6.7	125.1	82.5	158.7	32.5	32629	{'type': 'Polygon', 'coordinates': [[[669843.75, 3535156.25], [669843.75, 3529843.75], [673162.5366210938, 3529843.75], [673079.2236328125, 3535156.25], [669843.75, 3535156.25]]]}	MXRA-Z29-120200322212	669843.75,3529843.75,673162.5366210938,3535156.25	17.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200322212/2022-01-04/10300100CBB79C00-visual.tif
