datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120200223332	11.6	316.1	77.0	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[574550.4760742188, 3522188.4155273438], [575156.25, 3522165.2221679688], [575156.25, 3519843.75], [574577.9418945312, 3519843.75], [574561.4624023438, 3520910.0341796875], [574531.25, 3521318.6645507812], [574544.9829101562, 3521686.0961914062], [574550.4760742188, 3522188.4155273438]]]}	MXRA-Z29-120200223332	574531.25,3519843.75,575156.25,3522188.4155273438	1.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223332/2023-01-24/10300100DF7ADD00-visual.tif
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120200223333	11.6	315.8	76.9	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[574843.75, 3522178.3447265625], [574843.75, 3519843.75], [580156.25, 3519843.75], [580156.25, 3522072.4487304688], [574843.75, 3522178.3447265625]]]}	MXRA-Z29-120200223333	574843.75,3519843.75,580156.25,3522178.3447265625	12.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200223333/2023-01-24/10300100DF7ADD00-visual.tif
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120200232222	11.9	314.6	76.6	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[579843.75, 3522078.857421875], [579843.75, 3519843.75], [585156.25, 3519843.75], [585156.25, 3521989.4409179688], [582959.2895507812, 3522021.1791992188], [579843.75, 3522078.857421875]]]}	MXRA-Z29-120200232222	579843.75,3519843.75,585156.25,3522078.857421875	11.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232222/2023-01-24/10300100DF7ADD00-visual.tif
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120200232223	12.2	313.5	76.3	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[584843.75, 3521990.6616210938], [584843.75, 3519843.75], [590156.25, 3519843.75], [590156.25, 3521888.7329101562], [589284.66796875, 3521903.9916992188], [588780.517578125, 3521915.5883789062], [588515.0146484375, 3521918.6401367188], [587851.2573242188, 3521934.5092773438], [587630.615234375, 3521936.9506835938], [587003.173828125, 3521950.68359375], [586885.0708007812, 3521955.2612304688], [586643.9819335938, 3521958.3129882812], [586457.51953125, 3521965.0268554688], [586079.4067382812, 3521974.1821289062], [585857.8491210938, 3521975.09765625], [585639.0380859375, 3521978.4545898438], [585442.1997070312, 3521984.2529296875], [585328.0639648438, 3521984.2529296875], [585158.69140625, 3521989.4409179688], [585011.9018554688, 3521988.525390625], [584843.75, 3521990.6616210938]]]}	MXRA-Z29-120200232223	584843.75,3519843.75,590156.25,3521990.6616210938	11.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232223/2023-01-24/10300100DF7ADD00-visual.tif
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120200232232	12.3	313.0	76.2	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[589843.75, 3521894.53125], [589843.75, 3519843.75], [591609.8022460938, 3519843.75], [591587.2192382812, 3521861.2670898438], [589843.75, 3521894.53125]]]}	MXRA-Z29-120200232232	589843.75,3519843.75,591609.8022460938,3521894.53125	3.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200232232/2023-01-24/10300100DF7ADD00-visual.tif
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120202001110	11.7	316.3	76.9	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[574576.1108398438, 3520156.25], [575156.25, 3520156.25], [575156.25, 3514843.75], [574620.0561523438, 3514843.75], [574576.1108398438, 3520156.25]]]}	MXRA-Z29-120202001110	574576.1108398438,3514843.75,575156.25,3520156.25	2.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001110/2023-01-24/10300100DF7ADD00-visual.tif
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120202001111	11.7	315.9	76.8	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[574843.75, 3520156.25], [574843.75, 3514843.75], [580156.25, 3514843.75], [580156.25, 3520156.25], [574843.75, 3520156.25]]]}	MXRA-Z29-120202001111	574843.75,3514843.75,580156.25,3520156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202001111/2023-01-24/10300100DF7ADD00-visual.tif
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120202010000	12.0	314.7	76.5	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[579843.75, 3520156.25], [579843.75, 3514843.75], [585156.25, 3514843.75], [585156.25, 3520156.25], [579843.75, 3520156.25]]]}	MXRA-Z29-120202010000	579843.75,3514843.75,585156.25,3520156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010000/2023-01-24/10300100DF7ADD00-visual.tif
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120202010001	12.2	313.6	76.3	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[584843.75, 3520156.25], [584843.75, 3514843.75], [590156.25, 3514843.75], [590156.25, 3520156.25], [584843.75, 3520156.25]]]}	MXRA-Z29-120202010001	584843.75,3514843.75,590156.25,3520156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010001/2023-01-24/10300100DF7ADD00-visual.tif
2023-01-24 11:31:43+00:00	WV02	0.48	0.0.1	10300100DF7ADD00	29	120202010010	12.4	313.0	76.1	158.5	36.3	32629	{'type': 'Polygon', 'coordinates': [[[589843.75, 3520156.25], [589843.75, 3514843.75], [591653.4423828125, 3514843.75], [591611.6333007812, 3516477.05078125], [591626.2817382812, 3517832.03125], [591606.1401367188, 3520156.25], [589843.75, 3520156.25]]]}	MXRA-Z29-120202010010	589843.75,3514843.75,591653.4423828125,3520156.25	9.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010010/2023-01-24/10300100DF7ADD00-visual.tif
