datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-06-07 11:26:37+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220121	14.7	15.6	73.5	118.2	72.4	32629	{'type': 'Polygon', 'coordinates': [[[530156.25, 3584843.75], [526511.0430477982, 3584843.75], [530156.25, 3585578.077224641], [530156.25, 3584843.75]]]}	MXRA-Z29-120200220121	526511.0430477982,3584843.75,530156.25,3585578.077224641	1.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220121/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:38+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220033	15.0	17.8	73.2	118.2	72.4	32629	{'type': 'Polygon', 'coordinates': [[[520156.25, 3579843.75], [515266.7236328125, 3579843.75], [515262.0122095689, 3582577.6318608504], [520156.25, 3583563.5764452065], [520156.25, 3579843.75]]]}	MXRA-Z29-120200220033	515262.0122095689,3579843.75,520156.25,3583563.5764452065	15.7	0.1	1	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220033/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:38+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220122	14.9	16.6	73.3	118.2	72.4	32629	{'type': 'Polygon', 'coordinates': [[[525156.25, 3579843.75], [519843.75, 3579843.75], [519843.75, 3583500.623295849], [525156.25, 3584570.8268349236], [525156.25, 3579843.75]]]}	MXRA-Z29-120200220122	519843.75,3579843.75,525156.25,3584570.8268349236	22.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220122/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:38+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220123	14.8	15.3	73.4	118.2	72.4	32629	{'type': 'Polygon', 'coordinates': [[[530156.25, 3585156.25], [530156.25, 3579843.75], [524843.75, 3579843.75], [524843.75, 3584507.8736855662], [528062.2958603571, 3585156.25], [530156.25, 3585156.25]]]}	MXRA-Z29-120200220123	524843.75,3579843.75,530156.25,3585156.25	27.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220123/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:38+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220130	14.6	14.7	73.6	118.2	72.4	32629	{'type': 'Polygon', 'coordinates': [[[532344.3603515625, 3584843.75], [529843.75, 3584843.75], [529843.75, 3585515.1240752838], [532340.3128784637, 3586018.056861741], [532344.3603515625, 3584843.75]]]}	MXRA-Z29-120200220130	529843.75,3584843.75,532344.3603515625,3586018.056861741	2.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220130/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:38+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220132	14.7	14.4	73.5	118.2	72.4	32629	{'type': 'Polygon', 'coordinates': [[[529843.75, 3585156.25], [529843.75, 3579843.75], [532360.83984375, 3579843.75], [532343.1396484375, 3585156.25], [529843.75, 3585156.25]]]}	MXRA-Z29-120200220132	529843.75,3579843.75,532360.83984375,3585156.25	13.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220132/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:38+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220211	15.1	17.5	73.1	118.1	72.4	32629	{'type': 'Polygon', 'coordinates': [[[515266.41845703125, 3580156.25], [520156.25, 3580156.25], [520156.25, 3574843.75], [515273.74267578125, 3574843.75], [515266.41845703125, 3580156.25]]]}	MXRA-Z29-120200220211	515266.41845703125,3574843.75,520156.25,3580156.25	25.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220211/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:38+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220300	15.0	16.3	73.2	118.1	72.4	32629	{'type': 'Polygon', 'coordinates': [[[519843.75, 3580156.25], [519843.75, 3574843.75], [525156.25, 3574843.75], [525156.25, 3580156.25], [519843.75, 3580156.25]]]}	MXRA-Z29-120200220300	519843.75,3574843.75,525156.25,3580156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220300/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:38+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220301	14.9	15.0	73.3	118.1	72.4	32629	{'type': 'Polygon', 'coordinates': [[[524843.75, 3580156.25], [524843.75, 3574843.75], [530156.25, 3574843.75], [530156.25, 3580156.25], [524843.75, 3580156.25]]]}	MXRA-Z29-120200220301	524843.75,3574843.75,530156.25,3580156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220301/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:39+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220213	15.2	17.1	73.0	118.0	72.5	32629	{'type': 'Polygon', 'coordinates': [[[515273.13232421875, 3575156.25], [520156.25, 3575156.25], [520156.25, 3569843.75], [515282.5927734375, 3569843.75], [515273.13232421875, 3575156.25]]]}	MXRA-Z29-120200220213	515273.13232421875,3569843.75,520156.25,3575156.25	25.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220213/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:39+00:00	WV02	0.5	0.0.1	10300100E8C15100	29	120200220231	15.3	16.8	72.8	118.0	72.5	32629	{'type': 'Polygon', 'coordinates': [[[515281.67724609375, 3570156.25], [520156.25, 3570156.25], [520156.25, 3564843.75], [515292.66357421875, 3564843.75], [515281.67724609375, 3570156.25]]]}	MXRA-Z29-120200220231	515281.67724609375,3564843.75,520156.25,3570156.25	25.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220231/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:39+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220302	15.1	15.9	73.1	118.0	72.5	32629	{'type': 'Polygon', 'coordinates': [[[519843.75, 3575156.25], [519843.75, 3569843.75], [525156.25, 3569843.75], [525156.25, 3575156.25], [519843.75, 3575156.25]]]}	MXRA-Z29-120200220302	519843.75,3569843.75,525156.25,3575156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220302/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:39+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220303	15.0	14.6	73.2	118.0	72.5	32629	{'type': 'Polygon', 'coordinates': [[[524843.75, 3575156.25], [524843.75, 3569843.75], [530156.25, 3569843.75], [530156.25, 3575156.25], [524843.75, 3575156.25]]]}	MXRA-Z29-120200220303	524843.75,3569843.75,530156.25,3575156.25	28.2	0.4	1	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220303/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:39+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220310	14.8	14.1	73.4	118.1	72.4	32629	{'type': 'Polygon', 'coordinates': [[[529843.75, 3580156.25], [529843.75, 3574843.75], [532377.3193359375, 3574843.75], [532359.619140625, 3580156.25], [529843.75, 3580156.25]]]}	MXRA-Z29-120200220310	529843.75,3574843.75,532377.3193359375,3580156.25	13.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220310/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:39+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220312	14.9	13.7	73.2	118.0	72.5	32629	{'type': 'Polygon', 'coordinates': [[[529843.75, 3575156.25], [529843.75, 3569843.75], [532399.2919921875, 3569843.75], [532375.7934570312, 3575156.25], [529843.75, 3575156.25]]]}	MXRA-Z29-120200220312	529843.75,3569843.75,532399.2919921875,3575156.25	13.5	0.4	3	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220312/2023-06-07/10300100E8C15100-visual.tif
2023-06-07 11:26:39+00:00	WV02	0.49	0.0.1	10300100E8C15100	29	120200220320	15.2	15.6	72.9	118.0	72.5	32629	{'type': 'Polygon', 'coordinates': [[[519843.75, 3570156.25], [519843.75, 3564843.75], [525156.25, 3564843.75], [525156.25, 3570156.25], [519843.75, 3570156.25]]]}	MXRA-Z29-120200220320	519843.75,3564843.75,525156.25,3570156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220320/2023-06-07/10300100E8C15100-visual.tif
