datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010022	15.0	25.9	73.2	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[585150.7568359375, 3501268.0053710938], [585156.25, 3501268.0053710938], [585156.25, 3499843.75], [583365.7836914062, 3499843.75], [583352.9663085938, 3501191.1010742188], [585150.7568359375, 3501268.0053710938]]]}	MXRA-Z29-120202010022	583352.9663085938,3499843.75,585156.25,3501268.0053710938	2.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010022/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010023	14.9	25.4	73.2	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[590152.587890625, 3501479.7973632812], [590156.25, 3499843.75], [584843.75, 3499843.75], [584843.75, 3501254.8828125], [590152.587890625, 3501479.7973632812]]]}	MXRA-Z29-120202010023	584843.75,3499843.75,590156.25,3501479.7973632812	8.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010023/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010032	14.8	24.2	73.4	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[595155.029296875, 3501693.115234375], [595156.25, 3499843.75], [589843.75, 3499843.75], [589843.75, 3501466.3696289062], [595155.029296875, 3501693.115234375]]]}	MXRA-Z29-120202010032	589843.75,3499843.75,595156.25,3501693.115234375	9.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010032/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010033	14.6	23.0	73.6	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[600153.80859375, 3501903.076171875], [600156.25, 3499843.75], [594843.75, 3499843.75], [594843.75, 3501679.3823242188], [600153.80859375, 3501903.076171875]]]}	MXRA-Z29-120202010033	594843.75,3499843.75,600156.25,3501903.076171875	10.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010033/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010122	14.6	22.7	73.6	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[600455.6274414062, 3501915.283203125], [600464.4775390625, 3501915.283203125], [600464.7827148438, 3501897.8881835938], [600484.619140625, 3499843.75], [599843.75, 3499843.75], [599843.75, 3501889.9536132812], [600455.6274414062, 3501915.283203125]]]}	MXRA-Z29-120202010122	599843.75,3499843.75,600484.619140625,3501915.283203125	1.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010122/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010200	15.0	25.9	73.1	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[583363.037109375, 3500156.25], [583409.1186523438, 3494843.75], [585156.25, 3494843.75], [585156.25, 3500156.25], [583363.037109375, 3500156.25]]]}	MXRA-Z29-120202010200	583363.037109375,3494843.75,585156.25,3500156.25	9.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010200/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010201	14.9	25.3	73.2	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[584843.75, 3500156.25], [584843.75, 3494843.75], [590156.25, 3494843.75], [590156.25, 3500156.25], [584843.75, 3500156.25]]]}	MXRA-Z29-120202010201	584843.75,3494843.75,590156.25,3500156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010201/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010202	15.1	25.5	73.0	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[583406.0668945312, 3495156.25], [583454.2846679688, 3489843.75], [585156.25, 3489843.75], [585156.25, 3495156.25], [583406.0668945312, 3495156.25]]]}	MXRA-Z29-120202010202	583406.0668945312,3489843.75,585156.25,3495156.25	9.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010202/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010203	15.0	24.9	73.1	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[584843.75, 3495156.25], [584843.75, 3489843.75], [590156.25, 3489843.75], [590156.25, 3495156.25], [584843.75, 3495156.25]]]}	MXRA-Z29-120202010203	584843.75,3489843.75,590156.25,3495156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010203/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010210	14.8	24.0	73.4	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[589843.75, 3500156.25], [589843.75, 3494843.75], [595156.25, 3494843.75], [595156.25, 3500156.25], [589843.75, 3500156.25]]]}	MXRA-Z29-120202010210	589843.75,3494843.75,595156.25,3500156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010210/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010211	14.7	22.8	73.5	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[594843.75, 3500156.25], [594843.75, 3494843.75], [600156.25, 3494843.75], [600156.25, 3500156.25], [594843.75, 3500156.25]]]}	MXRA-Z29-120202010211	594843.75,3494843.75,600156.25,3500156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010211/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010212	14.9	23.7	73.3	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[589843.75, 3495156.25], [589843.75, 3489843.75], [595156.25, 3489843.75], [595156.25, 3495156.25], [589843.75, 3495156.25]]]}	MXRA-Z29-120202010212	589843.75,3489843.75,595156.25,3495156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010212/2023-08-28/10300100EB8B4500-visual.tif
2023-08-28 11:20:57+00:00	WV02	0.49	0.0.1	10300100EB8B4500	29	120202010213	14.7	22.4	73.4	138.3	62.6	32629	{'type': 'Polygon', 'coordinates': [[[594843.75, 3495156.25], [594843.75, 3489843.75], [600156.25, 3489843.75], [600156.25, 3495156.25], [594843.75, 3495156.25]]]}	MXRA-Z29-120202010213	594843.75,3489843.75,600156.25,3495156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202010213/2023-08-28/10300100EB8B4500-visual.tif
