datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-09-10 11:46:24+00:00	WV02	0.83	0.0.1	10300100ECC53700	29	031313133131	41.5	234.2	42.0	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[500155.94482421875, 3386520.3857421875], [500156.25, 3384843.75], [497556.45751953125, 3384843.75], [497536.92626953125, 3385668.9453125], [499036.865234375, 3386162.7197265625], [500155.94482421875, 3386520.3857421875]]]}	MXRA-Z29-031313133131	497536.92626953125,3384843.75,500156.25,3386520.3857421875	3.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133131/2023-09-10/10300100ECC53700-visual.tif
2023-09-10 11:46:24+00:00	WV02	0.82	0.0.1	10300100ECC53700	29	031313133133	41.5	234.2	42.1	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[497552.18505859375, 3385156.25], [500156.25, 3385156.25], [500156.25, 3379843.75], [497616.88232421875, 3379843.75], [497593.07861328125, 3381746.5209960938], [497586.669921875, 3383079.5288085938], [497552.18505859375, 3385156.25]]]}	MXRA-Z29-031313133133	497552.18505859375,3379843.75,500156.25,3385156.25	13.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133133/2023-09-10/10300100ECC53700-visual.tif
2023-09-10 11:46:24+00:00	WV02	0.84	0.0.1	10300100ECC53700	29	120202022012	42.0	234.6	41.4	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[515155.029296875, 3391275.3295898438], [515156.25, 3389843.75], [510792.8466796875, 3389843.75], [511218.26171875, 3389961.8530273438], [511564.63623046875, 3390113.2202148438], [512250.67138671875, 3390349.12109375], [512829.28466796875, 3390508.1176757812], [513319.7021484375, 3390699.7680664062], [514640.5029296875, 3391031.494140625], [515045.166015625, 3391239.3188476562], [515155.029296875, 3391275.3295898438]]]}	MXRA-Z29-120202022012	510792.8466796875,3389843.75,515156.25,3391275.3295898438	3.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022012/2023-09-10/10300100ECC53700-visual.tif
2023-09-10 11:46:24+00:00	WV02	0.84	0.0.1	10300100ECC53700	29	120202022013	42.1	234.7	41.2	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[520155.029296875, 3392961.42578125], [520156.25, 3389843.75], [514843.75, 3389843.75], [514843.75, 3391134.9487304688], [515101.318359375, 3391261.5966796875], [515445.556640625, 3391352.5390625], [516195.6787109375, 3391607.9711914062], [516546.93603515625, 3391692.1997070312], [516827.392578125, 3391802.0629882812], [516918.3349609375, 3391870.4223632812], [517145.69091796875, 3391982.421875], [517605.5908203125, 3392165.52734375], [518125.6103515625, 3392313.8427734375], [519252.62451171875, 3392711.181640625], [520155.029296875, 3392961.42578125]]]}	MXRA-Z29-120202022013	514843.75,3389843.75,520156.25,3392961.42578125	11.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022013/2023-09-10/10300100ECC53700-visual.tif
2023-09-10 11:46:24+00:00	WV02	0.83	0.0.1	10300100ECC53700	29	120202022020	41.6	234.3	41.9	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[505155.6396484375, 3388075.2563476562], [505156.25, 3384843.75], [499843.75, 3384843.75], [499844.05517578125, 3386419.9829101562], [501984.55810546875, 3387092.28515625], [502948.6083984375, 3387382.2021484375], [503417.05322265625, 3387561.6455078125], [503746.03271484375, 3387645.8740234375], [504023.74267578125, 3387728.5766601562], [504268.49365234375, 3387823.1811523438], [504573.66943359375, 3387927.5512695312], [504901.42822265625, 3388019.1040039062], [505155.6396484375, 3388075.2563476562]]]}	MXRA-Z29-120202022020	499843.75,3384843.75,505156.25,3388075.2563476562	12.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022020/2023-09-10/10300100ECC53700-visual.tif
2023-09-10 11:46:24+00:00	WV02	0.83	0.0.1	10300100ECC53700	29	120202022021	41.8	234.5	41.7	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[510155.6396484375, 3389674.3774414062], [510156.25, 3384843.75], [504843.75, 3384843.75], [504843.75, 3388002.0141601562], [505370.17822265625, 3388125.9155273438], [505802.6123046875, 3388277.2827148438], [506289.6728515625, 3388394.775390625], [506723.32763671875, 3388583.984375], [507068.17626953125, 3388640.13671875], [507443.54248046875, 3388785.0952148438], [507585.14404296875, 3388817.7490234375], [507879.94384765625, 3388942.5659179688], [508124.08447265625, 3389003.6010742188], [508501.89208984375, 3389186.4013671875], [508887.3291015625, 3389317.9321289062], [509399.10888671875, 3389451.5991210938], [509744.56787109375, 3389571.2280273438], [510155.6396484375, 3389674.3774414062]]]}	MXRA-Z29-120202022021	504843.75,3384843.75,510156.25,3389674.3774414062	21.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022021/2023-09-10/10300100ECC53700-visual.tif
2023-09-10 11:46:24+00:00	WV02	0.84	0.0.1	10300100ECC53700	29	120202022030	41.9	234.6	41.5	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[511690.97900390625, 3390156.25], [515156.25, 3390156.25], [515156.25, 3384843.75], [509843.75, 3384843.75], [509843.75, 3389597.4731445312], [511211.5478515625, 3389959.716796875], [511476.13525390625, 3390079.6508789062], [511690.97900390625, 3390156.25]]]}	MXRA-Z29-120202022030	509843.75,3384843.75,515156.25,3390156.25	27.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022030/2023-09-10/10300100ECC53700-visual.tif
2023-09-10 11:46:24+00:00	WV02	0.85	0.0.1	10300100ECC53700	29	120202022101	42.4	235.0	40.9	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[528245.849609375, 3395466.0034179688], [528246.1547851562, 3395462.646484375], [528229.6752929688, 3395351.8676757812], [528223.5717773438, 3395266.4184570312], [528224.4873046875, 3395233.7646484375], [528230.2856445312, 3395205.6884765625], [528235.4736328125, 3395189.8193359375], [528283.69140625, 3395059.814453125], [528302.3071289062, 3395004.2724609375], [528323.3642578125, 3394907.2265625], [528342.28515625, 3394843.75], [526351.6235351562, 3394843.75], [526431.5795898438, 3394870.3002929688], [526556.7016601562, 3394916.0766601562], [526846.923828125, 3395029.6020507812], [526968.994140625, 3395073.2421875], [527073.0590820312, 3395117.4926757812], [527115.478515625, 3395132.7514648438], [527194.82421875, 3395155.3344726562], [527419.43359375, 3395208.740234375], [527512.20703125, 3395232.5439453125], [527824.70703125, 3395321.3500976562], [527898.8647460938, 3395345.1538085938], [528029.1748046875, 3395392.7612304688], [528245.849609375, 3395466.0034179688]]]}	MXRA-Z29-120202022101	526351.6235351562,3394843.75,528342.28515625,3395466.0034179688	0.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022101/2023-09-10/10300100ECC53700-visual.tif
2023-09-10 11:46:24+00:00	WV02	0.85	0.0.1	10300100ECC53700	29	120202022102	42.3	234.9	41.0	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[525155.9448242188, 3394442.7490234375], [525156.25, 3389843.75], [519843.75, 3389843.75], [519843.75, 3392872.6196289062], [520403.74755859375, 3393046.5698242188], [520891.11328125, 3393164.0625], [521253.96728515625, 3393215.9423828125], [521525.57373046875, 3393327.3315429688], [521751.40380859375, 3393374.6337890625], [522023.62060546875, 3393471.3745117188], [522239.3798828125, 3393512.8784179688], [522389.83154296875, 3393559.8754882812], [522588.5009765625, 3393641.6625976562], [523302.91748046875, 3393878.173828125], [523883.97216796875, 3394114.6850585938], [524232.177734375, 3394162.9028320312], [525155.9448242188, 3394442.7490234375]]]}	MXRA-Z29-120202022102	519843.75,3389843.75,525156.25,3394442.7490234375	20.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022102/2023-09-10/10300100ECC53700-visual.tif
2023-09-10 11:46:24+00:00	WV02	0.85	0.0.1	10300100ECC53700	29	120202022103	42.4	235.1	40.9	154.6	62.3	32629	{'type': 'Polygon', 'coordinates': [[[527198.7915039062, 3395156.25], [528247.3754882812, 3395156.25], [528301.6967773438, 3395006.103515625], [528352.05078125, 3394798.8891601562], [528368.5302734375, 3394514.16015625], [528408.5083007812, 3394286.1938476562], [528345.3369140625, 3393878.173828125], [528347.7783203125, 3393706.9702148438], [528384.3994140625, 3393596.8017578125], [528506.1645507812, 3393387.7563476562], [528510.7421875, 3393334.0454101562], [528479.6142578125, 3393189.697265625], [528530.2734375, 3393044.43359375], [528522.6440429688, 3392985.2294921875], [528433.2275390625, 3392785.3393554688], [528414.306640625, 3392527.4658203125], [528377.9907226562, 3392377.9296875], [528371.58203125, 3392269.8974609375], [528486.328125, 3391516.7236328125], [528568.7255859375, 3391204.2236328125], [528620.3002929688, 3390916.1376953125], [528697.8149414062, 3390366.5161132812], [528826.5991210938, 3389843.75], [524843.75, 3389843.75], [524843.75, 3394355.46875], [525676.26953125, 3394572.1435546875], [526242.9809570312, 3394803.466796875], [527198.7915039062, 3395156.25]]]}	MXRA-Z29-120202022103	524843.75,3389843.75,528826.5991210938,3395156.25	18.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022103/2023-09-10/10300100ECC53700-visual.tif
