datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-09-10 11:45:14+00:00	WV02	0.57	0.0.1	10300500E4F91900	29	031313132032	26.5	276.3	60.0	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[430619.5068359375, 3381329.6508789062], [433683.77685546875, 3381228.6376953125], [434464.41650390625, 3381196.2890625], [435156.25, 3381179.19921875], [435156.25, 3379843.75], [430700.68359375, 3379843.75], [430650.634765625, 3380744.9340820312], [430671.9970703125, 3380954.8950195312], [430619.5068359375, 3381329.6508789062]]]}	MXRA-Z29-031313132032	430619.5068359375,3379843.75,435156.25,3381329.6508789062	6.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132032/2023-09-10/10300500E4F91900-visual.tif
2023-09-10 11:45:14+00:00	WV02	0.57	0.0.1	10300500E4F91900	29	031313132033	26.7	276.3	59.8	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[434843.75, 3381185.9130859375], [434843.75, 3379843.75], [440156.25, 3379843.75], [440156.25, 3381007.3852539062], [438554.0771484375, 3381069.0307617188], [434843.75, 3381185.9130859375]]]}	MXRA-Z29-031313132033	434843.75,3379843.75,440156.25,3381185.9130859375	6.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132033/2023-09-10/10300500E4F91900-visual.tif
2023-09-10 11:45:14+00:00	WV02	0.57	0.0.1	10300500E4F91900	29	031313132122	27.0	276.2	59.4	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[439843.75, 3381018.9819335938], [439843.75, 3379843.75], [445156.25, 3379843.75], [445156.25, 3380832.2143554688], [444390.56396484375, 3380855.712890625], [443405.45654296875, 3380903.6254882812], [442292.78564453125, 3380933.837890625], [439843.75, 3381018.9819335938]]]}	MXRA-Z29-031313132122	439843.75,3379843.75,445156.25,3381018.9819335938	5.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132122/2023-09-10/10300500E4F91900-visual.tif
2023-09-10 11:45:14+00:00	WV02	0.57	0.0.1	10300500E4F91900	29	031313132123	27.3	276.2	59.1	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[444843.75, 3380841.6748046875], [444843.75, 3379843.75], [450156.25, 3379843.75], [450156.25, 3380676.8798828125], [450155.029296875, 3380677.1850585938], [449149.47509765625, 3380706.787109375], [448803.7109375, 3380719.2993164062], [448418.5791015625, 3380729.6752929688], [448115.8447265625, 3380735.1684570312], [447900.390625, 3380744.0185546875], [447733.154296875, 3380746.1547851562], [447500.0, 3380752.8686523438], [447327.2705078125, 3380755.3100585938], [447267.76123046875, 3380757.7514648438], [447044.0673828125, 3380771.7895507812], [446011.04736328125, 3380801.3916015625], [445844.7265625, 3380809.326171875], [445557.2509765625, 3380819.7021484375], [445288.0859375, 3380826.416015625], [445089.111328125, 3380834.9609375], [444843.75, 3380841.6748046875]]]}	MXRA-Z29-031313132123	444843.75,3379843.75,450156.25,3380841.6748046875	4.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132123/2023-09-10/10300500E4F91900-visual.tif
2023-09-10 11:45:14+00:00	WV02	0.58	0.0.1	10300500E4F91900	29	031313132132	27.4	276.2	58.9	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[449843.75, 3380686.9506835938], [449843.75, 3379843.75], [452022.705078125, 3379843.75], [452069.091796875, 3380319.5190429688], [452131.04248046875, 3380598.14453125], [449843.75, 3380686.9506835938]]]}	MXRA-Z29-031313132132	449843.75,3379843.75,452131.04248046875,3380686.9506835938	1.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132132/2023-09-10/10300500E4F91900-visual.tif
2023-09-10 11:45:14+00:00	WV02	0.57	0.0.1	10300500E4F91900	29	031313132210	26.5	276.4	60.0	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[430680.5419921875, 3380156.25], [435156.25, 3380156.25], [435156.25, 3374843.75], [430689.0869140625, 3374843.75], [430730.28564453125, 3379501.0375976562], [430680.5419921875, 3380156.25]]]}	MXRA-Z29-031313132210	430680.5419921875,3374843.75,435156.25,3380156.25	23.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132210/2023-09-10/10300500E4F91900-visual.tif
2023-09-10 11:45:14+00:00	WV02	0.57	0.0.1	10300500E4F91900	29	031313132211	26.7	276.4	59.7	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[434843.75, 3380156.25], [434843.75, 3374843.75], [440156.25, 3374843.75], [440156.25, 3380156.25], [434843.75, 3380156.25]]]}	MXRA-Z29-031313132211	434843.75,3374843.75,440156.25,3380156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132211/2023-09-10/10300500E4F91900-visual.tif
2023-09-10 11:45:14+00:00	WV02	0.57	0.0.1	10300500E4F91900	29	031313132212	26.5	276.7	59.9	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[430691.83349609375, 3375156.25], [435156.25, 3375156.25], [435156.25, 3369843.75], [430645.1416015625, 3369843.75], [430691.83349609375, 3375156.25]]]}	MXRA-Z29-031313132212	430645.1416015625,3369843.75,435156.25,3375156.25	23.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132212/2023-09-10/10300500E4F91900-visual.tif
2023-09-10 11:45:14+00:00	WV02	0.57	0.0.1	10300500E4F91900	29	031313132213	26.8	276.6	59.7	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[434843.75, 3375156.25], [434843.75, 3369843.75], [440156.25, 3369843.75], [440156.25, 3375156.25], [434843.75, 3375156.25]]]}	MXRA-Z29-031313132213	434843.75,3369843.75,440156.25,3375156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132213/2023-09-10/10300500E4F91900-visual.tif
2023-09-10 11:45:14+00:00	WV02	0.57	0.0.1	10300500E4F91900	29	031313132300	27.0	276.3	59.4	152.5	62.0	32629	{'type': 'Polygon', 'coordinates': [[[439843.75, 3380156.25], [439843.75, 3374843.75], [445156.25, 3374843.75], [445156.25, 3380156.25], [439843.75, 3380156.25]]]}	MXRA-Z29-031313132300	439843.75,3374843.75,445156.25,3380156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313132300/2023-09-10/10300500E4F91900-visual.tif
