datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2019-03-25 11:57:07+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022021	28.4	274.4	58.5	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[506396.484375, 3386333.9233398438], [510156.25, 3386260.6811523438], [510156.25, 3384843.75], [506429.13818359375, 3384843.75], [506396.484375, 3386333.9233398438]]]}	MXRA-Z29-120202022021	506396.484375,3384843.75,510156.25,3386333.9233398438	5.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022021/2019-03-25/1040010049D28B00-visual.tif
2019-03-25 11:57:07+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022023	28.5	274.4	58.5	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[506424.25537109375, 3385156.25], [510156.25, 3385156.25], [510156.25, 3379843.75], [506471.86279296875, 3379843.75], [506424.25537109375, 3385156.25]]]}	MXRA-Z29-120202022023	506424.25537109375,3379843.75,510156.25,3385156.25	19.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022023/2019-03-25/1040010049D28B00-visual.tif
2019-03-25 11:57:07+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022030	28.7	274.4	58.2	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[509843.75, 3386268.6157226562], [509843.75, 3384843.75], [515156.25, 3384843.75], [515156.25, 3386159.9731445312], [509843.75, 3386268.6157226562]]]}	MXRA-Z29-120202022030	509843.75,3384843.75,515156.25,3386268.6157226562	7.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022030/2019-03-25/1040010049D28B00-visual.tif
2019-03-25 11:57:07+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022031	29.0	274.4	57.8	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[514843.75, 3386166.6870117188], [514843.75, 3384843.75], [520156.25, 3384843.75], [520156.25, 3386059.2651367188], [514843.75, 3386166.6870117188]]]}	MXRA-Z29-120202022031	514843.75,3384843.75,520156.25,3386166.6870117188	6.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022031/2019-03-25/1040010049D28B00-visual.tif
2019-03-25 11:57:07+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022032	28.7	274.4	58.2	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[509843.75, 3385156.25], [509843.75, 3379843.75], [515156.25, 3379843.75], [515156.25, 3385156.25], [509843.75, 3385156.25]]]}	MXRA-Z29-120202022032	509843.75,3379843.75,515156.25,3385156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022032/2019-03-25/1040010049D28B00-visual.tif
2019-03-25 11:57:07+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022033	29.1	274.4	57.8	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[514843.75, 3385156.25], [514843.75, 3379843.75], [520156.25, 3379843.75], [520156.25, 3385156.25], [514843.75, 3385156.25]]]}	MXRA-Z29-120202022033	514843.75,3379843.75,520156.25,3385156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022033/2019-03-25/1040010049D28B00-visual.tif
2019-03-25 11:57:07+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022120	29.3	274.4	57.5	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[519843.75, 3386065.673828125], [519843.75, 3384843.75], [524324.6459960938, 3384843.75], [524301.1474609375, 3385977.1728515625], [519843.75, 3386065.673828125]]]}	MXRA-Z29-120202022120	519843.75,3384843.75,524324.6459960938,3386065.673828125	5.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022120/2019-03-25/1040010049D28B00-visual.tif
2019-03-25 11:57:07+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022122	29.4	274.4	57.5	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[519843.75, 3385156.25], [519843.75, 3379843.75], [524385.0708007812, 3379843.75], [524356.0791015625, 3382850.9521484375], [524317.9321289062, 3385156.25], [519843.75, 3385156.25]]]}	MXRA-Z29-120202022122	519843.75,3379843.75,524385.0708007812,3385156.25	23.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022122/2019-03-25/1040010049D28B00-visual.tif
2019-03-25 11:57:08+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022201	28.5	274.5	58.4	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[506469.7265625, 3380156.25], [510156.25, 3380156.25], [510156.25, 3374843.75], [506496.27685546875, 3374843.75], [506469.7265625, 3380156.25]]]}	MXRA-Z29-120202022201	506469.7265625,3374843.75,510156.25,3380156.25	19.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022201/2019-03-25/1040010049D28B00-visual.tif
2019-03-25 11:57:08+00:00	WV03	0.39	0.0.1	1040010049D28B00	29	120202022210	28.8	274.4	58.1	157.7	59.6	32629	{'type': 'Polygon', 'coordinates': [[[509843.75, 3380156.25], [509843.75, 3374843.75], [515156.25, 3374843.75], [515156.25, 3380156.25], [509843.75, 3380156.25]]]}	MXRA-Z29-120202022210	509843.75,3374843.75,515156.25,3380156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022210/2019-03-25/1040010049D28B00-visual.tif
