datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2020-07-22 11:44:54+00:00	WV03	0.38	0.0.1	104001005D4E7B00	29	120200220023	27.9	267.9	59.1	129.8	72.4	32629	{'type': 'Polygon', 'coordinates': [[[510156.25, 3579843.75], [508232.06948724756, 3579843.75], [508579.78114641504, 3581231.4958923417], [510156.25, 3581549.075665772], [510156.25, 3579843.75]]]}	MXRA-Z29-120200220023	508232.06948724756,3579843.75,510156.25,3581549.075665772	2.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220023/2020-07-22/104001005D4E7B00-visual.tif
2020-07-22 11:44:54+00:00	WV03	0.38	0.0.1	104001005D4E7B00	29	120200220032	28.3	267.9	58.7	129.8	72.4	32629	{'type': 'Polygon', 'coordinates': [[[515156.25, 3579843.75], [509843.75, 3579843.75], [509843.75, 3581486.1225164146], [515156.25, 3582556.326055489], [515156.25, 3579843.75]]]}	MXRA-Z29-120200220032	509843.75,3579843.75,515156.25,3582556.326055489	11.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220032/2020-07-22/104001005D4E7B00-visual.tif
2020-07-22 11:44:54+00:00	WV03	0.39	0.0.1	104001005D4E7B00	29	120200220033	28.5	268.0	58.5	129.8	72.4	32629	{'type': 'Polygon', 'coordinates': [[[516867.98095703125, 3579843.75], [514843.75, 3579843.75], [514843.75, 3582493.3729061317], [516856.74881852017, 3582898.891675023], [516867.98095703125, 3579843.75]]]}	MXRA-Z29-120200220033	514843.75,3579843.75,516867.98095703125,3582898.891675023	5.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220033/2020-07-22/104001005D4E7B00-visual.tif
2020-07-22 11:44:54+00:00	WV03	0.38	0.0.1	104001005D4E7B00	29	120200220201	28.0	267.9	59.0	129.7	72.5	32629	{'type': 'Polygon', 'coordinates': [[[510156.25, 3580156.25], [510156.25, 3574843.75], [506979.27651885775, 3574843.75], [508310.3690477719, 3580156.25], [510156.25, 3580156.25]]]}	MXRA-Z29-120200220201	506979.27651885775,3574843.75,510156.25,3580156.25	13.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220201/2020-07-22/104001005D4E7B00-visual.tif
2020-07-22 11:44:54+00:00	WV03	0.39	0.0.1	104001005D4E7B00	29	120200220210	28.4	268.0	58.6	129.7	72.5	32629	{'type': 'Polygon', 'coordinates': [[[509843.75, 3580156.25], [509843.75, 3574843.75], [515156.25, 3574843.75], [515156.25, 3580156.25], [509843.75, 3580156.25]]]}	MXRA-Z29-120200220210	509843.75,3574843.75,515156.25,3580156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220210/2020-07-22/104001005D4E7B00-visual.tif
2020-07-22 11:44:54+00:00	WV03	0.39	0.0.1	104001005D4E7B00	29	120200220211	28.6	268.0	58.4	129.7	72.5	32629	{'type': 'Polygon', 'coordinates': [[[514843.75, 3580156.25], [514843.75, 3574843.75], [516894.83642578125, 3574843.75], [516867.37060546875, 3580156.25], [514843.75, 3580156.25]]]}	MXRA-Z29-120200220211	514843.75,3574843.75,516894.83642578125,3580156.25	10.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220211/2020-07-22/104001005D4E7B00-visual.tif
2020-07-22 11:44:55+00:00	WV03	0.38	0.0.1	104001005D4E7B00	29	120200220203	28.1	268.0	58.9	129.7	72.5	32629	{'type': 'Polygon', 'coordinates': [[[510156.25, 3575156.25], [510156.25, 3569843.75], [505726.48355046794, 3569843.75], [507057.5760793821, 3575156.25], [510156.25, 3575156.25]]]}	MXRA-Z29-120200220203	505726.48355046794,3569843.75,510156.25,3575156.25	19.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220203/2020-07-22/104001005D4E7B00-visual.tif
2020-07-22 11:44:55+00:00	WV03	0.39	0.0.1	104001005D4E7B00	29	120200220212	28.4	268.0	58.5	129.7	72.5	32629	{'type': 'Polygon', 'coordinates': [[[509843.75, 3575156.25], [509843.75, 3569843.75], [515156.25, 3569843.75], [515156.25, 3575156.25], [509843.75, 3575156.25]]]}	MXRA-Z29-120200220212	509843.75,3569843.75,515156.25,3575156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220212/2020-07-22/104001005D4E7B00-visual.tif
2020-07-22 11:44:55+00:00	WV03	0.39	0.0.1	104001005D4E7B00	29	120200220213	28.6	268.1	58.3	129.7	72.5	32629	{'type': 'Polygon', 'coordinates': [[[514843.75, 3575156.25], [514843.75, 3569843.75], [516913.75732421875, 3569843.75], [516893.310546875, 3575156.25], [514843.75, 3575156.25]]]}	MXRA-Z29-120200220213	514843.75,3569843.75,516913.75732421875,3575156.25	10.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220213/2020-07-22/104001005D4E7B00-visual.tif
2020-07-22 11:44:56+00:00	WV03	0.38	0.0.1	104001005D4E7B00	29	120200220220	27.8	268.0	59.2	129.6	72.5	32629	{'type': 'Polygon', 'coordinates': [[[505156.25, 3564843.75], [504473.6905820781, 3564843.75], [505156.25, 3567567.9008978102], [505156.25, 3564843.75]]]}	MXRA-Z29-120200220220	504473.6905820781,3564843.75,505156.25,3567567.9008978102	0.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220220/2020-07-22/104001005D4E7B00-visual.tif
