datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2020-09-03 11:24:27+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023000	4.9	73.0	84.7	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[545126.6479492188, 3398114.013671875], [545156.25, 3398114.013671875], [545156.25, 3394843.75], [544680.7861328125, 3394843.75], [544671.630859375, 3398110.0463867188], [545126.6479492188, 3398114.013671875]]]}	MXRA-Z29-120202023000	544671.630859375,3394843.75,545156.25,3398114.013671875	1.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023000/2020-09-03/104001005E3F4F00-visual.tif
2020-09-03 11:24:27+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023001	4.8	72.8	84.7	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[550136.4135742188, 3398148.4985351562], [550156.25, 3398148.4985351562], [550156.25, 3394843.75], [544843.75, 3394843.75], [544843.75, 3398111.2670898438], [550136.4135742188, 3398148.4985351562]]]}	MXRA-Z29-120202023001	544843.75,3394843.75,550156.25,3398148.4985351562	17.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023001/2020-09-03/104001005E3F4F00-visual.tif
2020-09-03 11:24:27+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023002	4.8	73.3	84.7	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[544679.8706054688, 3395156.25], [545156.25, 3395156.25], [545156.25, 3389843.75], [544699.70703125, 3389843.75], [544700.0122070312, 3389940.185546875], [544703.6743164062, 3390109.2529296875], [544703.0639648438, 3390306.396484375], [544707.6416015625, 3390639.6484375], [544703.6743164062, 3391022.3388671875], [544704.58984375, 3391267.3950195312], [544701.8432617188, 3391464.2333984375], [544692.6879882812, 3391857.6049804688], [544696.9604492188, 3392083.1298828125], [544689.6362304688, 3392391.0522460938], [544688.720703125, 3392645.5688476562], [544691.4672851562, 3392821.9604492188], [544688.1103515625, 3392983.7036132812], [544684.7534179688, 3393640.4418945312], [544679.8706054688, 3395156.25]]]}	MXRA-Z29-120202023002	544679.8706054688,3389843.75,545156.25,3395156.25	2.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023002/2020-09-03/104001005E3F4F00-visual.tif
2020-09-03 11:24:27+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023003	4.7	72.9	84.8	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[544843.75, 3395156.25], [544843.75, 3389843.75], [550156.25, 3389843.75], [550156.25, 3395156.25], [544843.75, 3395156.25]]]}	MXRA-Z29-120202023003	544843.75,3389843.75,550156.25,3395156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023003/2020-09-03/104001005E3F4F00-visual.tif
2020-09-03 11:24:27+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023010	4.4	71.0	85.2	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[555151.0620117188, 3398182.9833984375], [555156.25, 3394843.75], [549843.75, 3394843.75], [549843.75, 3398146.6674804688], [555151.0620117188, 3398182.9833984375]]]}	MXRA-Z29-120202023010	549843.75,3394843.75,555156.25,3398182.9833984375	17.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023010/2020-09-03/104001005E3F4F00-visual.tif
2020-09-03 11:24:27+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023011	4.1	69.6	85.5	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[557816.7724609375, 3398201.5991210938], [557825.0122070312, 3398201.5991210938], [557835.693359375, 3394843.75], [554843.75, 3394843.75], [554843.75, 3398180.8471679688], [557816.7724609375, 3398201.5991210938]]]}	MXRA-Z29-120202023011	554843.75,3394843.75,557835.693359375,3398201.5991210938	9.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023011/2020-09-03/104001005E3F4F00-visual.tif
2020-09-03 11:24:27+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023012	4.3	71.1	85.3	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[549843.75, 3395156.25], [549843.75, 3389843.75], [555156.25, 3389843.75], [555156.25, 3395156.25], [549843.75, 3395156.25]]]}	MXRA-Z29-120202023012	549843.75,3389843.75,555156.25,3395156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023012/2020-09-03/104001005E3F4F00-visual.tif
2020-09-03 11:24:27+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023013	3.9	69.5	85.7	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[554843.75, 3395156.25], [554843.75, 3389843.75], [557852.783203125, 3389843.75], [557834.7778320312, 3395156.25], [554843.75, 3395156.25]]]}	MXRA-Z29-120202023013	554843.75,3389843.75,557852.783203125,3395156.25	15.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023013/2020-09-03/104001005E3F4F00-visual.tif
2020-09-03 11:24:28+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023020	4.7	73.5	84.8	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[544703.369140625, 3390156.25], [545156.25, 3390156.25], [545156.25, 3384843.75], [544718.9331054688, 3384843.75], [544700.0122070312, 3389318.5424804688], [544703.369140625, 3390156.25]]]}	MXRA-Z29-120202023020	544700.0122070312,3384843.75,545156.25,3390156.25	2.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023020/2020-09-03/104001005E3F4F00-visual.tif
2020-09-03 11:24:28+00:00	WV03	0.31	0.0.1	104001005E3F4F00	29	120202023021	4.6	73.0	85.0	141.8	61.8	32629	{'type': 'Polygon', 'coordinates': [[[544843.75, 3390156.25], [544843.75, 3384843.75], [550156.25, 3384843.75], [550156.25, 3390156.25], [544843.75, 3390156.25]]]}	MXRA-Z29-120202023021	544843.75,3384843.75,550156.25,3390156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023021/2020-09-03/104001005E3F4F00-visual.tif
