datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2020-09-22 11:24:18+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023000	4.3	144.0	85.3	151.3	56.2	32629	{'type': 'Polygon', 'coordinates': [[[544765.0146484375, 3398144.8364257812], [545156.25, 3398143.6157226562], [545156.25, 3394843.75], [544678.955078125, 3394843.75], [544664.306640625, 3398143.6157226562], [544765.0146484375, 3398144.8364257812]]]}	MXRA-Z29-120202023000	544664.306640625,3394843.75,545156.25,3398144.8364257812	1.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023000/2020-09-22/10400100600C9600-visual.tif
2020-09-22 11:24:18+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023001	4.2	144.8	85.3	151.3	56.2	32629	{'type': 'Polygon', 'coordinates': [[[550128.7841796875, 3398155.2124023438], [550156.25, 3398155.2124023438], [550156.25, 3394843.75], [544843.75, 3394843.75], [544843.75, 3398144.8364257812], [550128.7841796875, 3398155.2124023438]]]}	MXRA-Z29-120202023001	544843.75,3394843.75,550156.25,3398155.2124023438	17.5	0.6	3	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023001/2020-09-22/10400100600C9600-visual.tif
2020-09-22 11:24:18+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023010	4.0	150.3	85.6	151.3	56.2	32629	{'type': 'Polygon', 'coordinates': [[[555138.8549804688, 3398166.8090820312], [555156.25, 3398166.8090820312], [555156.25, 3394843.75], [549843.75, 3394843.75], [549843.75, 3398153.6865234375], [555138.8549804688, 3398166.8090820312]]]}	MXRA-Z29-120202023010	549843.75,3394843.75,555156.25,3398166.8090820312	17.6	2.4	14	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023010/2020-09-22/10400100600C9600-visual.tif
2020-09-22 11:24:18+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023011	3.9	154.3	85.8	151.3	56.2	32629	{'type': 'Polygon', 'coordinates': [[[557737.4267578125, 3398172.3022460938], [557788.0859375, 3398172.3022460938], [557804.5654296875, 3394843.75], [554843.75, 3394843.75], [554843.75, 3398165.8935546875], [557737.4267578125, 3398172.3022460938]]]}	MXRA-Z29-120202023011	554843.75,3394843.75,557804.5654296875,3398172.3022460938	9.8	1.9	19	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023011/2020-09-22/10400100600C9600-visual.tif
2020-09-22 11:24:19+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023002	4.3	144.6	85.3	151.3	56.2	32629	{'type': 'Polygon', 'coordinates': [[[544677.4291992188, 3395156.25], [545156.25, 3395156.25], [545156.25, 3389843.75], [544702.1484375, 3389843.75], [544704.8950195312, 3390607.91015625], [544701.5380859375, 3391004.0283203125], [544701.5380859375, 3391260.986328125], [544693.2983398438, 3391851.5014648438], [544695.1293945312, 3392091.6748046875], [544690.2465820312, 3392381.2866210938], [544690.2465820312, 3392821.9604492188], [544687.5, 3393037.7197265625], [544677.4291992188, 3395156.25]]]}	MXRA-Z29-120202023002	544677.4291992188,3389843.75,545156.25,3395156.25	2.4	0.0	3	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023002/2020-09-22/10400100600C9600-visual.tif
2020-09-22 11:24:19+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023003	4.2	146.0	85.4	151.3	56.2	32629	{'type': 'Polygon', 'coordinates': [[[544843.75, 3395156.25], [544843.75, 3389843.75], [550156.25, 3389843.75], [550156.25, 3395156.25], [544843.75, 3395156.25]]]}	MXRA-Z29-120202023003	544843.75,3389843.75,550156.25,3395156.25	28.2	3.5	12	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023003/2020-09-22/10400100600C9600-visual.tif
2020-09-22 11:24:19+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023012	4.0	151.6	85.6	151.3	56.2	32629	{'type': 'Polygon', 'coordinates': [[[549843.75, 3395156.25], [549843.75, 3389843.75], [555156.25, 3389843.75], [555156.25, 3395156.25], [549843.75, 3395156.25]]]}	MXRA-Z29-120202023012	549843.75,3389843.75,555156.25,3395156.25	28.2	6.8	24	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023012/2020-09-22/10400100600C9600-visual.tif
2020-09-22 11:24:19+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023013	3.8	156.1	85.8	151.3	56.2	32629	{'type': 'Polygon', 'coordinates': [[[554843.75, 3395156.25], [554843.75, 3389843.75], [557828.6743164062, 3389843.75], [557803.0395507812, 3395156.25], [554843.75, 3395156.25]]]}	MXRA-Z29-120202023013	554843.75,3389843.75,557828.6743164062,3395156.25	15.7	2.3	14	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023013/2020-09-22/10400100600C9600-visual.tif
2020-09-22 11:24:20+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023020	4.3	146.2	85.3	151.2	56.2	32629	{'type': 'Polygon', 'coordinates': [[[544703.369140625, 3390156.25], [545156.25, 3390156.25], [545156.25, 3384843.75], [544723.8159179688, 3384843.75], [544703.6743164062, 3389298.4008789062], [544703.9794921875, 3389698.486328125], [544702.1484375, 3389832.4584960938], [544703.369140625, 3390156.25]]]}	MXRA-Z29-120202023020	544702.1484375,3384843.75,545156.25,3390156.25	2.3	1.0	46	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023020/2020-09-22/10400100600C9600-visual.tif
2020-09-22 11:24:20+00:00	WV03	0.31	0.0.1	10400100600C9600	29	120202023021	4.2	147.6	85.4	151.2	56.2	32629	{'type': 'Polygon', 'coordinates': [[[544843.75, 3390156.25], [544843.75, 3384843.75], [550156.25, 3384843.75], [550156.25, 3390156.25], [544843.75, 3390156.25]]]}	MXRA-Z29-120202023021	544843.75,3384843.75,550156.25,3390156.25	28.2	14.1	50	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202023021/2020-09-22/10400100600C9600-visual.tif
