datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-05-31 11:41:18+00:00	WV03	0.39	0.0.1	1040010077A6E200	29	120200220023	28.8	280.0	58.1	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[510156.25, 3579843.75], [508232.06948724756, 3579843.75], [508579.78114641504, 3581231.4958923417], [510156.25, 3581549.075665772], [510156.25, 3579843.75]]]}	MXRA-Z29-120200220023	508232.06948724756,3579843.75,510156.25,3581549.075665772	2.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220023/2022-05-31/1040010077A6E200-visual.tif
2022-05-31 11:41:18+00:00	WV03	0.39	0.0.1	1040010077A6E200	29	120200220032	29.1	279.9	57.8	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[515156.25, 3579843.75], [509843.75, 3579843.75], [509843.75, 3581486.1225164146], [515156.25, 3582556.326055489], [515156.25, 3579843.75]]]}	MXRA-Z29-120200220032	509843.75,3579843.75,515156.25,3582556.326055489	11.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220032/2022-05-31/1040010077A6E200-visual.tif
2022-05-31 11:41:18+00:00	WV03	0.39	0.0.1	1040010077A6E200	29	120200220033	29.4	279.8	57.4	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[520156.25, 3579843.75], [514843.75, 3579843.75], [514843.75, 3582493.3729061317], [520156.25, 3583563.5764452065], [520156.25, 3579843.75]]]}	MXRA-Z29-120200220033	514843.75,3579843.75,520156.25,3583563.5764452065	16.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220033/2022-05-31/1040010077A6E200-visual.tif
2022-05-31 11:41:18+00:00	WV03	0.4	0.0.1	1040010077A6E200	29	120200220122	29.7	279.8	57.0	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[525152.587890625, 3579843.75], [519843.75, 3579843.75], [519843.75, 3583500.623295849], [525129.8037146594, 3584565.4992286805], [525152.587890625, 3579843.75]]]}	MXRA-Z29-120200220122	519843.75,3579843.75,525152.587890625,3584565.4992286805	22.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220122/2022-05-31/1040010077A6E200-visual.tif
2022-05-31 11:41:18+00:00	WV03	0.4	0.0.1	1040010077A6E200	29	120200220123	29.8	279.7	57.0	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[525129.39453125, 3584468.994140625], [525131.2255859375, 3584397.8881835938], [525130.3100585938, 3584273.9868164062], [525133.056640625, 3584061.8896484375], [525131.8359375, 3584013.0615234375], [525134.8876953125, 3583746.337890625], [525135.498046875, 3583442.0776367188], [525138.8549804688, 3583236.6943359375], [525138.2446289062, 3583095.703125], [525140.6860351562, 3583002.3193359375], [525140.380859375, 3582612.6098632812], [525141.9067382812, 3582561.3403320312], [525142.822265625, 3582104.7973632812], [525145.8740234375, 3581691.2841796875], [525151.9775390625, 3581426.0864257812], [525151.0620117188, 3581170.0439453125], [525148.3154296875, 3581068.115234375], [525147.705078125, 3580874.0234375], [525149.2309570312, 3580704.345703125], [525151.0620117188, 3580654.9072265625], [525150.4516601562, 3580384.521484375], [525152.587890625, 3580214.5385742188], [525156.25, 3580116.5771484375], [525155.3344726562, 3580000.9155273438], [525152.587890625, 3579926.1474609375], [525152.587890625, 3579843.75], [524843.75, 3579843.75], [524843.75, 3584507.8736855662], [525130.0669415225, 3584565.5522557525], [525129.39453125, 3584468.994140625]]]}	MXRA-Z29-120200220123	524843.75,3579843.75,525156.25,3584565.5522557525	1.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220123/2022-05-31/1040010077A6E200-visual.tif
2022-05-31 11:41:19+00:00	WV03	0.39	0.0.1	1040010077A6E200	29	120200220201	28.9	280.0	58.0	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[510156.25, 3580156.25], [510156.25, 3576109.619140625], [507330.2236536281, 3576244.408942161], [508310.3690477719, 3580156.25], [510156.25, 3580156.25]]]}	MXRA-Z29-120200220201	507330.2236536281,3576109.619140625,510156.25,3580156.25	9.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220201/2022-05-31/1040010077A6E200-visual.tif
2022-05-31 11:41:19+00:00	WV03	0.39	0.0.1	1040010077A6E200	29	120200220210	29.2	279.9	57.7	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[509843.75, 3580156.25], [509843.75, 3576124.5727539062], [515156.25, 3575870.9716796875], [515156.25, 3580156.25], [509843.75, 3580156.25]]]}	MXRA-Z29-120200220210	509843.75,3575870.9716796875,515156.25,3580156.25	22.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220210/2022-05-31/1040010077A6E200-visual.tif
2022-05-31 11:41:19+00:00	WV03	0.39	0.0.1	1040010077A6E200	29	120200220211	29.5	279.8	57.3	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[514843.75, 3580156.25], [514843.75, 3575885.9252929688], [520156.25, 3575631.4086914062], [520156.25, 3580156.25], [514843.75, 3580156.25]]]}	MXRA-Z29-120200220211	514843.75,3575631.4086914062,520156.25,3580156.25	23.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220211/2022-05-31/1040010077A6E200-visual.tif
2022-05-31 11:41:19+00:00	WV03	0.4	0.0.1	1040010077A6E200	29	120200220300	29.8	279.8	57.0	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[519843.75, 3580156.25], [519843.75, 3575646.3623046875], [525156.25, 3575392.4560546875], [525155.029296875, 3580156.25], [519843.75, 3580156.25]]]}	MXRA-Z29-120200220300	519843.75,3575392.4560546875,525156.25,3580156.25	24.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220300/2022-05-31/1040010077A6E200-visual.tif
2022-05-31 11:41:19+00:00	WV03	0.4	0.0.1	1040010077A6E200	29	120200220301	29.9	279.8	56.9	128.6	74.6	32629	{'type': 'Polygon', 'coordinates': [[[524843.75, 3580156.25], [524843.75, 3575407.1044921875], [525179.7485351562, 3575391.2353515625], [525180.6640625, 3576979.3701171875], [525169.677734375, 3577472.8393554688], [525165.4052734375, 3579117.7368164062], [525152.2827148438, 3579767.4560546875], [525155.3344726562, 3580152.587890625], [524843.75, 3580156.25]]]}	MXRA-Z29-120200220301	524843.75,3575391.2353515625,525180.6640625,3580156.25	1.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220301/2022-05-31/1040010077A6E200-visual.tif
