datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-12-11 11:30:46+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311120	19.0	332.8	69.1	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[485156.25, 3350156.25], [485156.25, 3348219.348227024], [481156.0466285438, 3346320.3631514683], [481184.6923828125, 3350156.25], [485156.25, 3350156.25]]]}	MXRA-Z29-031313311120	481156.0466285438,3346320.3631514683,485156.25,3350156.25	11.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311120/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:46+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311121	19.1	331.8	68.9	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[484843.75, 3350156.25], [489236.32472105656, 3350156.25], [484843.75, 3348070.997560569], [484843.75, 3350156.25]]]}	MXRA-Z29-031313311121	484843.75,3348070.997560569,489236.32472105656,3350156.25	4.5	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311121/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:47+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311102	18.3	331.3	69.8	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[481224.9755859375, 3355156.25], [485156.25, 3355156.25], [485156.25, 3349843.75], [481183.16650390625, 3349843.75], [481224.9755859375, 3355156.25]]]}	MXRA-Z29-031313311102	481183.16650390625,3349843.75,485156.25,3355156.25	20.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311102/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:47+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311103	18.5	330.2	69.7	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[484843.75, 3349843.75], [484843.75, 3355156.25], [490156.25, 3355156.25], [490156.25, 3350592.9588903044], [488578.04490112996, 3349843.75], [484843.75, 3349843.75]]]}	MXRA-Z29-031313311103	484843.75,3349843.75,490156.25,3355156.25	27.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311103/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:47+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311112	18.6	329.0	69.5	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[489843.75, 3355156.25], [495156.25, 3355156.25], [495156.25, 3352966.5695535843], [489843.75, 3350444.6082238494], [489843.75, 3355156.25]]]}	MXRA-Z29-031313311112	489843.75,3350444.6082238494,495156.25,3355156.25	18.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311112/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:47+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311113	18.7	328.7	69.4	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[494843.75, 3355156.25], [495320.4345703125, 3355156.25], [495328.18478794926, 3353048.1908027977], [494843.75, 3352818.2188871293], [494843.75, 3355156.25]]]}	MXRA-Z29-031313311113	494843.75,3352818.2188871293,495328.18478794926,3355156.25	1.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311113/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:48+00:00	WV03	0.33	0.0.1	104001007F3A4600	29	031313133322	17.0	327.8	71.3	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[481296.08154296875, 3365156.25], [485156.25, 3365156.25], [485156.25, 3359843.75], [481253.96728515625, 3359843.75], [481296.08154296875, 3365156.25]]]}	MXRA-Z29-031313133322	481253.96728515625,3359843.75,485156.25,3365156.25	20.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133322/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:48+00:00	WV03	0.33	0.0.1	104001007F3A4600	29	031313133323	17.1	326.7	71.1	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[484843.75, 3365156.25], [484843.75, 3359843.75], [490156.25, 3359843.75], [490156.25, 3365156.25], [484843.75, 3365156.25]]]}	MXRA-Z29-031313133323	484843.75,3359843.75,490156.25,3365156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133323/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:48+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311100	17.6	329.6	70.6	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[481259.765625, 3360156.25], [485156.25, 3360156.25], [485156.25, 3354843.75], [481222.5341796875, 3354843.75], [481259.765625, 3360156.25]]]}	MXRA-Z29-031313311100	481222.5341796875,3354843.75,485156.25,3360156.25	20.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311100/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:48+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311101	17.8	328.5	70.4	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[484843.75, 3360156.25], [484843.75, 3354843.75], [490156.25, 3354843.75], [490156.25, 3360156.25], [484843.75, 3360156.25]]]}	MXRA-Z29-031313311101	484843.75,3354843.75,490156.25,3360156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311101/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:48+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311110	18.0	327.3	70.2	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[489843.75, 3360156.25], [489843.75, 3354843.75], [495156.25, 3354843.75], [495156.25, 3360156.25], [489843.75, 3360156.25]]]}	MXRA-Z29-031313311110	489843.75,3354843.75,495156.25,3360156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311110/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:48+00:00	WV03	0.34	0.0.1	104001007F3A4600	29	031313311111	18.0	326.9	70.1	163.4	35.0	32629	{'type': 'Polygon', 'coordinates': [[[494843.75, 3360156.25], [494843.75, 3354843.75], [495321.35009765625, 3354843.75], [495302.42919921875, 3360156.25], [494843.75, 3360156.25]]]}	MXRA-Z29-031313311111	494843.75,3354843.75,495321.35009765625,3360156.25	2.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311111/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:49+00:00	WV03	0.33	0.0.1	104001007F3A4600	29	031313133320	16.3	325.7	72.0	163.4	34.9	32629	{'type': 'Polygon', 'coordinates': [[[481322.32666015625, 3370156.25], [485156.25, 3370156.25], [485156.25, 3364843.75], [481293.9453125, 3364843.75], [481322.32666015625, 3370156.25]]]}	MXRA-Z29-031313133320	481293.9453125,3364843.75,485156.25,3370156.25	20.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133320/2022-12-11/104001007F3A4600-visual.tif
2022-12-11 11:30:49+00:00	WV03	0.33	0.0.1	104001007F3A4600	29	031313133321	16.5	324.6	71.8	163.4	34.9	32629	{'type': 'Polygon', 'coordinates': [[[484843.75, 3370156.25], [484843.75, 3364843.75], [490156.25, 3364843.75], [490156.25, 3370156.25], [484843.75, 3370156.25]]]}	MXRA-Z29-031313133321	484843.75,3364843.75,490156.25,3370156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133321/2022-12-11/104001007F3A4600-visual.tif
