datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	031313133310	22.7	339.6	65.0	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[493439.63623046875, 3376325.3784179688], [495156.25, 3376203.9184570312], [495156.25, 3374843.75], [493440.5517578125, 3374843.75], [493439.63623046875, 3376325.3784179688]]]}	MXRA-Z29-031313133310	493439.63623046875,3374843.75,495156.25,3376325.3784179688	2.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133310/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	031313133311	22.7	339.2	64.9	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[494843.75, 3376224.9755859375], [494843.75, 3374843.75], [500156.25, 3374843.75], [500155.6396484375, 3375845.3369140625], [494843.75, 3376224.9755859375]]]}	MXRA-Z29-031313133311	494843.75,3374843.75,500156.25,3376224.9755859375	6.3	0.5	8	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133311/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	031313133312	22.7	339.6	65.0	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[493440.24658203125, 3375156.25], [495156.25, 3375156.25], [495156.25, 3369843.75], [493442.07763671875, 3369843.75], [493440.24658203125, 3375156.25]]]}	MXRA-Z29-031313133312	493440.24658203125,3369843.75,495156.25,3375156.25	9.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133312/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	031313133313	22.8	339.1	64.9	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[494843.75, 3375156.25], [494843.75, 3369843.75], [500156.25, 3369843.75], [500156.25, 3375156.25], [494843.75, 3375156.25]]]}	MXRA-Z29-031313133313	494843.75,3369843.75,500156.25,3375156.25	28.2	1.2	4	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133313/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	031313133330	22.7	339.4	64.9	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[493442.3828125, 3370156.25], [495156.25, 3370156.25], [495156.25, 3364843.75], [493435.05859375, 3364843.75], [493442.3828125, 3370156.25]]]}	MXRA-Z29-031313133330	493435.05859375,3364843.75,495156.25,3370156.25	9.1	0.8	9	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133330/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	031313133331	22.8	338.9	64.8	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[494843.75, 3370156.25], [494843.75, 3364843.75], [500156.25, 3364843.75], [500156.25, 3370156.25], [494843.75, 3370156.25]]]}	MXRA-Z29-031313133331	494843.75,3364843.75,500156.25,3370156.25	28.2	1.1	4	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133331/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	120202022200	22.9	338.2	64.7	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[499843.75, 3375867.0043945312], [499843.75, 3374843.75], [505156.25, 3374843.75], [505155.029296875, 3375491.943359375], [499843.75, 3375867.0043945312]]]}	MXRA-Z29-120202022200	499843.75,3374843.75,505156.25,3375867.0043945312	4.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022200/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	120202022201	23.0	337.6	64.6	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[504843.75, 3375514.2211914062], [504843.75, 3374843.75], [507986.14501953125, 3374843.75], [507984.619140625, 3375289.0014648438], [504843.75, 3375514.2211914062]]]}	MXRA-Z29-120202022201	504843.75,3374843.75,507986.14501953125,3375514.2211914062	1.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022201/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	120202022202	22.9	338.2	64.7	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[499843.75, 3375156.25], [499843.75, 3369843.75], [505156.25, 3369843.75], [505156.25, 3375156.25], [499843.75, 3375156.25]]]}	MXRA-Z29-120202022202	499843.75,3369843.75,505156.25,3375156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022202/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	120202022203	23.0	337.5	64.6	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[504843.75, 3375156.25], [504843.75, 3369843.75], [507999.57275390625, 3369843.75], [507985.53466796875, 3375156.25], [504843.75, 3375156.25]]]}	MXRA-Z29-120202022203	504843.75,3369843.75,507999.57275390625,3375156.25	16.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022203/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	120202022220	23.0	338.0	64.6	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[499843.75, 3370156.25], [499843.75, 3364843.75], [505156.25, 3364843.75], [505156.25, 3370156.25], [499843.75, 3370156.25]]]}	MXRA-Z29-120202022220	499843.75,3364843.75,505156.25,3370156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022220/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:34+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	120202022221	23.1	337.3	64.5	163.5	34.9	32629	{'type': 'Polygon', 'coordinates': [[[504843.75, 3370156.25], [504843.75, 3364843.75], [508007.50732421875, 3364843.75], [507998.35205078125, 3370156.25], [504843.75, 3370156.25]]]}	MXRA-Z29-120202022221	504843.75,3364843.75,508007.50732421875,3370156.25	16.7	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022221/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:35+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	031313133332	22.8	339.2	64.8	163.5	35.0	32629	{'type': 'Polygon', 'coordinates': [[[493435.36376953125, 3365156.25], [495156.25, 3365156.25], [495156.25, 3359843.75], [493427.42919921875, 3359843.75], [493435.36376953125, 3365156.25]]]}	MXRA-Z29-031313133332	493427.42919921875,3359843.75,495156.25,3365156.25	9.1	1.5	16	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133332/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:35+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	031313133333	22.9	338.8	64.8	163.5	35.0	32629	{'type': 'Polygon', 'coordinates': [[[494843.75, 3365156.25], [494843.75, 3359843.75], [500156.25, 3359843.75], [500156.25, 3365156.25], [494843.75, 3365156.25]]]}	MXRA-Z29-031313133333	494843.75,3359843.75,500156.25,3365156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313133333/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:35+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	120202022222	23.0	337.8	64.6	163.5	35.0	32629	{'type': 'Polygon', 'coordinates': [[[499843.75, 3365156.25], [499843.75, 3359843.75], [505156.25, 3359843.75], [505156.25, 3365156.25], [499843.75, 3365156.25]]]}	MXRA-Z29-120202022222	499843.75,3359843.75,505156.25,3365156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022222/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:35+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	120202022223	23.2	337.1	64.4	163.5	35.0	32629	{'type': 'Polygon', 'coordinates': [[[504843.75, 3365156.25], [504843.75, 3359843.75], [508008.4228515625, 3359843.75], [508006.89697265625, 3365156.25], [504843.75, 3365156.25]]]}	MXRA-Z29-120202022223	504843.75,3359843.75,508008.4228515625,3365156.25	16.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120202022223/2022-12-11/104001007FD1DF00-visual.tif
2022-12-11 11:30:36+00:00	WV03	0.36	0.0.1	104001007FD1DF00	29	031313311110	22.8	339.1	64.8	163.5	35.0	32629	{'type': 'Polygon', 'coordinates': [[[493427.734375, 3360156.25], [495156.25, 3360156.25], [495156.25, 3354843.75], [493419.7998046875, 3354843.75], [493427.734375, 3360156.25]]]}	MXRA-Z29-031313311110	493419.7998046875,3354843.75,495156.25,3360156.25	9.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/031313311110/2022-12-11/104001007FD1DF00-visual.tif
