datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2023-07-14 11:15:55+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200220131	24.1	156.6	63.4	114.3	68.5	32629	{'type': 'Polygon', 'coordinates': [[[540156.25, 3584843.75], [538607.177734375, 3584843.75], [538595.167157905, 3586694.016506105], [540156.25, 3585592.857963232], [540156.25, 3584843.75]]]}	MXRA-Z29-120200220131	538595.167157905,3584843.75,540156.25,3586694.016506105	2.0	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220131/2023-07-14/10400100889ABF00-visual.tif
2023-07-14 11:15:55+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200220133	24.1	156.7	63.4	114.2	68.6	32629	{'type': 'Polygon', 'coordinates': [[[538604.736328125, 3585156.25], [540156.25, 3585156.25], [540156.25, 3579843.75], [538637.0849609375, 3579843.75], [538604.736328125, 3585156.25]]]}	MXRA-Z29-120200220133	538604.736328125,3579843.75,540156.25,3585156.25	8.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220133/2023-07-14/10400100889ABF00-visual.tif
2023-07-14 11:15:55+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200221020	24.0	157.0	63.5	114.3	68.5	32629	{'type': 'Polygon', 'coordinates': [[[539843.75, 3584843.75], [539843.75, 3585813.289599125], [541218.2402064479, 3584843.75], [539843.75, 3584843.75]]]}	MXRA-Z29-120200221020	539843.75,3584843.75,541218.2402064479,3585813.289599125	0.6	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221020/2023-07-14/10400100889ABF00-visual.tif
2023-07-14 11:15:55+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200221022	24.0	157.2	63.5	114.3	68.5	32629	{'type': 'Polygon', 'coordinates': [[[545156.25, 3579843.75], [539843.75, 3579843.75], [539843.75, 3585156.25], [540775.2173635412, 3585156.25], [545156.25, 3582065.95178894], [545156.25, 3579843.75]]]}	MXRA-Z29-120200221022	539843.75,3579843.75,545156.25,3585156.25	21.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221022/2023-07-14/10400100889ABF00-visual.tif
2023-07-14 11:15:55+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200221023	23.8	158.1	63.7	114.3	68.5	32629	{'type': 'Polygon', 'coordinates': [[[544843.75, 3579843.75], [544843.75, 3582286.383424833], [548306.605692955, 3579843.75], [544843.75, 3579843.75]]]}	MXRA-Z29-120200221023	544843.75,3579843.75,548306.605692955,3582286.383424833	4.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221023/2023-07-14/10400100889ABF00-visual.tif
2023-07-14 11:15:56+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200220311	24.0	156.9	63.5	114.2	68.6	32629	{'type': 'Polygon', 'coordinates': [[[538635.5590820312, 3580156.25], [538667.9077148438, 3574843.75], [540156.25, 3574843.75], [540156.25, 3580156.25], [538635.5590820312, 3580156.25]]]}	MXRA-Z29-120200220311	538635.5590820312,3574843.75,540156.25,3580156.25	7.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220311/2023-07-14/10400100889ABF00-visual.tif
2023-07-14 11:15:56+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200221200	23.9	157.3	63.6	114.2	68.6	32629	{'type': 'Polygon', 'coordinates': [[[539843.75, 3580156.25], [539843.75, 3574843.75], [545156.25, 3574843.75], [545156.25, 3580156.25], [539843.75, 3580156.25]]]}	MXRA-Z29-120200221200	539843.75,3574843.75,545156.25,3580156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221200/2023-07-14/10400100889ABF00-visual.tif
2023-07-14 11:15:56+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200221201	23.7	158.2	63.8	114.2	68.6	32629	{'type': 'Polygon', 'coordinates': [[[550156.25, 3574843.75], [544843.75, 3574843.75], [544843.75, 3580156.25], [547863.5828500483, 3580156.25], [550156.25, 3578539.0456146477], [550156.25, 3574843.75]]]}	MXRA-Z29-120200221201	544843.75,3574843.75,550156.25,3580156.25	26.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221201/2023-07-14/10400100889ABF00-visual.tif
2023-07-14 11:15:56+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200221210	23.6	159.0	63.9	114.2	68.6	32629	{'type': 'Polygon', 'coordinates': [[[553376.1596679688, 3574843.75], [549843.75, 3574843.75], [549843.75, 3578759.477250541], [553371.568264878, 3576271.0204465054], [553376.1596679688, 3574843.75]]]}	MXRA-Z29-120200221210	549843.75,3574843.75,553376.1596679688,3578759.477250541	9.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200221210/2023-07-14/10400100889ABF00-visual.tif
2023-07-14 11:15:57+00:00	WV03	0.36	0.0.1	10400100889ABF00	29	120200220313	23.9	157.0	63.6	114.0	68.6	32629	{'type': 'Polygon', 'coordinates': [[[538665.4663085938, 3575156.25], [540156.25, 3575156.25], [540156.25, 3569843.75], [538703.9184570312, 3569843.75], [538665.4663085938, 3575156.25]]]}	MXRA-Z29-120200220313	538665.4663085938,3569843.75,540156.25,3575156.25	7.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220313/2023-07-14/10400100889ABF00-visual.tif
