datetime	platform	gsd	ard_metadata_version	catalog_id	utm_zone	quadkey	view:off_nadir	view:azimuth	view:incidence_angle	view:sun_azimuth	view:sun_elevation	proj:epsg	proj:geometry	grid:code	proj:bbox	tile:data_area	tile:clouds_area	tile:clouds_percent	visual
2022-07-07 11:34:14+00:00	WV03	0.38	0.0.1	1040050044DCCC00	29	120200220121	27.8	333.4	59.2	119.7	72.5	32629	{'type': 'Polygon', 'coordinates': [[[530156.25, 3584843.75], [526511.0430477982, 3584843.75], [530156.25, 3585578.077224641], [530156.25, 3584843.75]]]}	MXRA-Z29-120200220121	526511.0430477982,3584843.75,530156.25,3585578.077224641	1.3	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220121/2022-07-07/1040050044DCCC00-visual.tif
2022-07-07 11:34:14+00:00	WV03	0.38	0.0.1	1040050044DCCC00	29	120200220130	28.0	332.8	59.0	119.7	72.5	32629	{'type': 'Polygon', 'coordinates': [[[534264.5263671875, 3584843.75], [529843.75, 3584843.75], [529843.75, 3585515.1240752838], [534287.2032995394, 3586410.258088814], [534264.5263671875, 3584843.75]]]}	MXRA-Z29-120200220130	529843.75,3584843.75,534287.2032995394,3586410.258088814	4.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220130/2022-07-07/1040050044DCCC00-visual.tif
2022-07-07 11:34:15+00:00	WV03	0.38	0.0.1	1040050044DCCC00	29	120200220033	27.6	334.3	59.4	119.5	72.5	32629	{'type': 'Polygon', 'coordinates': [[[520156.25, 3579843.75], [518609.31396484375, 3579843.75], [518673.1837578364, 3583264.8126351275], [520156.25, 3583563.5764452065], [520156.25, 3579843.75]]]}	MXRA-Z29-120200220033	518609.31396484375,3579843.75,520156.25,3583563.5764452065	5.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220033/2022-07-07/1040050044DCCC00-visual.tif
2022-07-07 11:34:15+00:00	WV03	0.38	0.0.1	1040050044DCCC00	29	120200220122	27.7	334.0	59.3	119.5	72.5	32629	{'type': 'Polygon', 'coordinates': [[[525156.25, 3579843.75], [519843.75, 3579843.75], [519843.75, 3583500.623295849], [525156.25, 3584570.8268349236], [525156.25, 3579843.75]]]}	MXRA-Z29-120200220122	519843.75,3579843.75,525156.25,3584570.8268349236	22.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220122/2022-07-07/1040050044DCCC00-visual.tif
2022-07-07 11:34:15+00:00	WV03	0.38	0.0.1	1040050044DCCC00	29	120200220123	27.9	333.3	59.1	119.5	72.5	32629	{'type': 'Polygon', 'coordinates': [[[530156.25, 3585156.25], [530156.25, 3579843.75], [524843.75, 3579843.75], [524843.75, 3584507.8736855662], [528062.2958603571, 3585156.25], [530156.25, 3585156.25]]]}	MXRA-Z29-120200220123	524843.75,3579843.75,530156.25,3585156.25	27.1	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220123/2022-07-07/1040050044DCCC00-visual.tif
2022-07-07 11:34:15+00:00	WV03	0.38	0.0.1	1040050044DCCC00	29	120200220132	28.1	332.7	58.9	119.5	72.5	32629	{'type': 'Polygon', 'coordinates': [[[529843.75, 3585156.25], [529843.75, 3579843.75], [534190.0634765625, 3579843.75], [534269.1040039062, 3585156.25], [529843.75, 3585156.25]]]}	MXRA-Z29-120200220132	529843.75,3579843.75,534269.1040039062,3585156.25	23.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220132/2022-07-07/1040050044DCCC00-visual.tif
2022-07-07 11:34:15+00:00	WV03	0.38	0.0.1	1040050044DCCC00	29	120200220301	28.0	333.2	59.0	119.5	72.5	32629	{'type': 'Polygon', 'coordinates': [[[524843.75, 3580156.25], [524843.75, 3574843.75], [530156.25, 3574843.75], [530156.25, 3580156.25], [524843.75, 3580156.25]]]}	MXRA-Z29-120200220301	524843.75,3574843.75,530156.25,3580156.25	28.2	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220301/2022-07-07/1040050044DCCC00-visual.tif
2022-07-07 11:34:15+00:00	WV03	0.39	0.0.1	1040050044DCCC00	29	120200220310	28.2	332.6	58.8	119.5	72.5	32629	{'type': 'Polygon', 'coordinates': [[[529843.75, 3580156.25], [529843.75, 3574843.75], [534110.107421875, 3574843.75], [534193.4204101562, 3580156.25], [529843.75, 3580156.25]]]}	MXRA-Z29-120200220310	529843.75,3574843.75,534193.4204101562,3580156.25	22.8	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220310/2022-07-07/1040050044DCCC00-visual.tif
2022-07-07 11:34:16+00:00	WV03	0.38	0.0.1	1040050044DCCC00	29	120200220211	27.7	334.2	59.3	119.3	72.6	32629	{'type': 'Polygon', 'coordinates': [[[518615.1123046875, 3580156.25], [520156.25, 3580156.25], [520156.25, 3574843.75], [518520.81298828125, 3574843.75], [518615.1123046875, 3580156.25]]]}	MXRA-Z29-120200220211	518520.81298828125,3574843.75,520156.25,3580156.25	8.4	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220211/2022-07-07/1040050044DCCC00-visual.tif
2022-07-07 11:34:16+00:00	WV03	0.38	0.0.1	1040050044DCCC00	29	120200220213	27.8	334.1	59.2	119.2	72.7	32629	{'type': 'Polygon', 'coordinates': [[[518526.0009765625, 3575156.25], [520156.25, 3575156.25], [520156.25, 3569843.75], [518430.48095703125, 3569843.75], [518526.0009765625, 3575156.25]]]}	MXRA-Z29-120200220213	518430.48095703125,3569843.75,520156.25,3575156.25	8.9	0.0	0	https://maxar-opendata.s3.amazonaws.com/events/Morocco-Earthquake-Sept-2023/ard/29/120200220213/2022-07-07/1040050044DCCC00-visual.tif
